# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	acs//ilvD//
ArcA_CRP_IHF	sodA//
ArcA_CRP_PuuR	lpxA//frdB//ubiA//fadE//
ArcA_CRP_RhaS	nanA//
ArcA_CRP_TreR	ssuE//ldtB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gadA//mhpA//
ArcA_Cra	moeB//
ArcA_Cra_FNR_H-NS_HypT	sucB//
ArcA_CysB_FNR	
ArcA_FNR	frdB//acs//nfsA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	xylB//
ArcA_FNR_Fis_IHF_NarL	gcvH//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fadH//galT//
ArcA_FNR_IHF_NarL	cysM//yqjH//
ArcA_FNR_NarL	glpK//nrfB//aceA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	argG//zwf//
ArcA_FadR	glcE//udp//puuA//
ArcA_FadR_Fis	edd//frdD//
ArcA_Fur_Lrp_ModE	nrdA//lsrK//
ArcA_GlcC_IHF_PdhR	puuA//cadA//adhE//
ArcA_LexA	ulaF//
ArcA_LldR	pdeL//ubiC//
ArcA_NarL	mpl//
ArcA_NtrC_PhoP_RutR	fes//betB//fadJ//ulaD//mazG//ilvA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nirD//
ArgP_CRP_FNR_Fur_Nac	fadB//
ArgP_DnaA	astE//
ArgP_Lrp	prpE//astB//
ArgP_LysR	tdcE//
ArgP_PhoB	
ArgR_CRP	ulaF//
ArgR_CRP_Fis	gadA//lpxA//mhpF//
ArgR_Fis_IHF_PepA_PurR_RutR	metB//
ArgR_H-NS_NtrC	ynfG//aspA//
ArgR_NtrC	aceB//ftsI//citD//acs//ulaE//
ArgR_PhoP	prpD//
AscG_CRP	acnB//sodB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	entB//
AtoC_IHF	citE//lsrK//ssuD//
BaeR_CpxR	fdhF//
BaeR_CpxR_EvgA	recF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	garK//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	tdcG//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	narG//gcvP//aceB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	narH//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fadI//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ilvG_1//ilvE//tam//dmsA//torA//mhpD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	glcD//pgk//epd//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	yiaK//pnp//entF//
CRP_Cra_Mlc_NagC	treC//fucO//ulaG//malS//
CRP_Cra_PrpR	fabZ//cysH//hemA//hmp//
CRP_CreB_Fis_MalT	napA//
CRP_CsiR_H-NS_Lrp	nrdA//
CRP_CsiR_H-NS_Lrp_Nac	gntK//ubiA//fucK//
CRP_CspA_Fis	fau//
CRP_CytR	fau//
CRP_CytR_DeoR	nagB//ldtB//
CRP_CytR_DeoR_Fis_ModE	idnO//uidA//sodA//fucA//
CRP_CytR_Nac	moaA//
CRP_CytR_NsrR	bglB//
CRP_DcuR_FNR_NarL	hmp//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fadD//astD//
CRP_DpiA_ExuR	argD//
CRP_DsdC	aroA//cysH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	aceA//
CRP_ExuR	ldtB//
CRP_ExuR_FNR	fucA//paaH//
CRP_ExuR_OxyR_UxuR	nrdD//sgbU//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	lpxC//
CRP_FNR_Fis	ilvG_1//ynfH//
CRP_FNR_Fis_GlpR_IHF	glpK//metK//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ubiA//entB//folA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	rimK//lldD//chbF//moeB//nfsA//
CRP_FNR_NarL	ilvM//pdeR//
CRP_FeaR_NsrR	patA//
CRP_Fis	araA//edd//rnpB//
CRP_Fis_FlhDC_GalR_GalS	rhaD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glpX//nrdA//
CRP_Fis_IHF	sgbU//pyrC//melA//
CRP_Fis_NanR	cadA//pgaC//gdhA//puuA//
CRP_Fis_NtrC	betB//
CRP_Fis_XylR	melA//
CRP_FlhDC_GalR_GalS	nrdD//
CRP_FucR	treC//hycC//garR//nrdF//gloA//fadI//
CRP_Fur	mhpE//acnA//ynfH//sdhD//glgA//nrfA//pncB//hycE//pck//fucO//
CRP_Fur_HypT_PdhR	tauD//araB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	zwf//atoA//yqjH//feaB//
CRP_GalR_GalS_NagC	argG//
CRP_GlpR	gatY//ansB//fadB//
CRP_GntR	lpxD//
CRP_GntR_IdnR	glcF//nrfA//waaH//pncB//nirD//caiC//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	xylA//prpE//sdhD//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	moaD//
CRP_H-NS_LacI	paaB//nrdD//araD//
CRP_H-NS_LeuO	sodB//
CRP_H-NS_MqsA	
CRP_IHF	betB//hyaB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	rbsK//
CRP_IHF_PaaX	rutB//hypF//dsdA//glpD//katG//mhpE//gadA//appA//
CRP_IHF_UlaR	sgbU//fucA//hycD//accC//
CRP_IHF_YiaJ	dadX//gatY//paaE//paaJ//tdcG//pgaC//
CRP_LexA	
CRP_Lrp	hypB//gcvH//waaY//mdh//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	nemA//
CRP_LsrR	cadA//paaB//gatD//rutB//pgaC//
CRP_MalI	rbsD//fes//
CRP_MalT	purA//lsrG//
CRP_MalT_PhoP	garK//
CRP_MelR	cyoE//melA//
CRP_MetJ	hycG//
CRP_MhpR	aceF//ilvE//adiA//truB//glnA//hyaC//
CRP_Mlc	
CRP_ModE	fabA//
CRP_MurR	mhpF//uxaA//pnp//
CRP_Nac_NsrR_PhoB	
CRP_NadR	fadE//
CRP_NagC	xylA//paaF//tdcD//nirD//icd//
CRP_NagC_NanR	dmsB//lhgO//
CRP_NagC_PhoP	nrdE//
CRP_OxyR	
CRP_OxyR_UxuR	galK//
CRP_PhoB	mazG//hyaA//
CRP_PhoP	eda//acnA//pgk//
CRP_PutA	pdeL//
CRP_RbsR	galM//gltB//deoB//
CRP_RhaR_RhaS	
CRP_RhaS	lpxA//ascB//zwf//
CRP_Rob	dusB//
CRP_TorR	poxB//lsrG//
CRP_UhpA_UvrY	rbsK//
CRP_UidR_UxuR	araB//nrdD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	purN//argD//
Cbl_CysB_FNR_IHF	dsdA//atoB//idnD//
CdaR_FNR_Fis_Fur_H-NS	fadJ//hyaB//
CdaR_FNR_Fur_H-NS	murF//citD//appA//entF//
CpxR_CsgD_FliZ	
CpxR_CysB	glpK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fabZ//
CpxR_GadE	tauD//gdhA//ulaD//
CpxR_H-NS	adiA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lpd//
Cra_FNR_Fis_Lrp_NarL	entH//
Cra_FNR_Fur_MarA_Rob_SoxS	gltD//
Cra_FhlA_FlhDC	paaG//
Cra_GntR_KdgR	nagB//
Cra_GntR_KdgR_PhoB	carA//
Cra_MarA_SoxS	sdhC//
Cra_PdeL	mazG//
Cra_SgrR	murD//
Cra_TyrR	glpX//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tauD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	rhaB//moaD//
CusR_PhoB_YedW	galM//
CysB_H-NS	gloA//metH//gloA//
CysB_HypT_IHF	frdC//
CysB_IHF	recF//hycD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gdhA//
DinJ-YafQ_LexA	entE//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	fucO//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	purN//
FNR_FhlA_NarL_NarP	atoB//ulaF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fadB//
FNR_Fis_IHF_ModE_NarL	argG//
FNR_Fis_IHF_NarL	hyaA//
FNR_Fis_IHF_NarL_RstA	astE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	malS//
FNR_FlhDC_ModE_NarL_NarP	paaF//
FNR_Fur	mpl//adiA//
FNR_Fur_GadE	lacA//
FNR_Fur_GadX_NtrC	pncB//
FNR_Fur_H-NS	narI//ulaG//gatD//
FNR_Fur_MetR_NsrR	uxuA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	cadA//
FNR_Fur_OxyR	icd//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	mhpC//
FNR_H-NS_NrdR	murQ//rutD//
FNR_IHF	cysM//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fadB//
FNR_IHF_PhoB	
FNR_MalT	caiC//nrfA//
FNR_ModE	
FNR_NarL	mhpA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	galK//paaE//
FNR_NarL_NikR	gloA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	guaA//prpD//
FNR_YqjI	
FabR_FadR	gltA//nanA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	nrdF//waaH//
FhlA_IHF_NsrR	
Fis_Fur	rutD//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	gcvT//
Fis_IHF	
Fis_IHF_NtrC	napG//napG//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	aldA//
Fis_NarL	astB//
Fis_NarL_NarP_NsrR	
Fis_PurR	fucA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hcp//
Fur_H-NS	glpD//treC//
Fur_IHF_IscR_NsrR_OxyR	caiA//
Fur_IscR_NrdR	malS//
Fur_MetR	cyoE//
Fur_MntR	pdeL//
Fur_MntR_OxyR	puuC//
Fur_OxyR	
Fur_PurR	mraY//
Fur_RcnR	fumC//
Fur_RutR	ulaF//
Fur_SoxS_Zur	
Fur_YqjI	paaH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	guaA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	umpH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	nrdF//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	glpQ//
H-NS_Lrp_NhaR_RcsB	napB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	waaZ//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	rsmH//
HU_IHF_TyrR	idnO//
HigA_HigB-HigA	aceA//
HipAB_HipB_IHF	fucI//
HypT_MetJ	hpt//
HypT_MetJ_PhoP	murF//fabA//
IHF_Lrp	glpB//codA//aspC//nirD//pgaD//
IHF_NsrR	
IHF_NtrC	truB//
IHF_PhoP	
IHF_PspF	sgbE//
IHF_RcsAB	
IHF_RtcR	citD//nemA//
IHF_TyrR	sgbU//
IHF_UlaR	metH//
LexA_MraZ_PdhR	entE//glpK//entD//lpxC//galE//moaE//gadB//puuE//cysI//truB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	rnpB//eda//
MarA_PhoP_Rob_SoxS	glcB//murF//moeB//glcD//fau//garK//fadH//astE//paaA//
MarA_Rob_SoxS	nanA//aceE//
MarA_SoxS	uxaC//gatZ//hycE//
MetJ_MetR	accC//
MetJ_OxyR	narG//
MetR_PurR	ansB//
MraZ_PdhR	mnmG//
Nac_PurR	lacA//purH//
NarL_TorR	glpK//
NemR_RutR	ssuD//hycC//
NhaR_OmpR	torC//glgP//eda//
NorR_NsrR	
NsrR_PhoB	ilvI//
OxyR_SoxS	
PdhR_PhoP	paaG//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	acnA//tauD//
RelB_RelB-RelE	moaD//
TrpR_TyrR	caiD//
YefM_YefM-YoeB	dadA//
