# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	lsrK//pgaC//
ArcA_CRP_IHF	ssuE//
ArcA_CRP_PuuR	gabD//tdcB//galM//aspA//
ArcA_CRP_RhaS	glpX//
ArcA_CRP_TreR	fadJ//sucB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	murG//paaK//
ArcA_Cra	ilvI//
ArcA_Cra_FNR_H-NS_HypT	ilvI//
ArcA_CysB_FNR	
ArcA_FNR	aceA//rhaB//gcvH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ackA//
ArcA_FNR_Fis_IHF_NarL	hycE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fdhF//mhpA//
ArcA_FNR_IHF_NarL	citF//rbsK//
ArcA_FNR_NarL	feaB//ugpQ//fadA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	mnmG//pncB//
ArcA_FadR	moeA//garR//cdd//
ArcA_FadR_Fis	fadH//narH//
ArcA_Fur_Lrp_ModE	puuB//araD//
ArcA_GlcC_IHF_PdhR	fadD//acnA//narH//
ArcA_LexA	mtlD//
ArcA_LldR	hemA//pgaB//
ArcA_NarL	tdcG//
ArcA_NtrC_PhoP_RutR	lldD//mpl//frdD//ppiA//betB//pflB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	xylA//
ArgP_CRP_FNR_Fur_Nac	paaK//
ArgP_DnaA	ulaE//
ArgP_Lrp	sdhA//uxuA//
ArgP_LysR	entB//
ArgP_PhoB	
ArgR_CRP	hypB//
ArgR_CRP_Fis	astE//ilvI//sgbE//
ArgR_Fis_IHF_PepA_PurR_RutR	frdC//
ArgR_H-NS_NtrC	moeB//murC//
ArgR_NtrC	ldtB//uvrA//sodB//glgC//garK//
ArgR_PhoP	hycE//
AscG_CRP	nrfC//mpl//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	katG//
AtoC_IHF	glcD//araB//rutA//
BaeR_CpxR	nrfA//
BaeR_CpxR_EvgA	bglB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glgC//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	araD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	sgbU//paaG//ssuD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	garR//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ascB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hypF//ppiA//uxuA//fes//gltB//sdhD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rhaA//xylA//narG//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	nfsB//relA//nrdB//
CRP_Cra_Mlc_NagC	ynfE//aceA//ahpC//fabB//
CRP_Cra_PrpR	puuB//deoA//ubiC//gutQ//
CRP_CreB_Fis_MalT	pgaB//
CRP_CsiR_H-NS_Lrp	glcE//
CRP_CsiR_H-NS_Lrp_Nac	melA//aroG//citX//
CRP_CspA_Fis	citF//
CRP_CytR	entE//
CRP_CytR_DeoR	rbsK//ulaG//
CRP_CytR_DeoR_Fis_ModE	astD//dmsB//frdD//aceE//
CRP_CytR_Nac	pnp//
CRP_CytR_NsrR	lpxC//
CRP_DcuR_FNR_NarL	purM//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	hycF//ulaE//
CRP_DpiA_ExuR	fabB//
CRP_DsdC	guaA//paaF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hyaB//
CRP_ExuR	rnpB//
CRP_ExuR_FNR	folA//mhpC//
CRP_ExuR_OxyR_UxuR	lldD//nirB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	garL//
CRP_FNR_Fis	glpD//dadX//
CRP_FNR_Fis_GlpR_IHF	cyoE//paaH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hemA//ansB//uxaA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	glcF//ulaG//aceB//putA//adiA//
CRP_FNR_NarL	garL//frdA//
CRP_FeaR_NsrR	gntK//
CRP_Fis	gutQ//uidA//gcvT//
CRP_Fis_FlhDC_GalR_GalS	uxaC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hycB//nrdF//
CRP_Fis_IHF	deoD//ascB//aspC//
CRP_Fis_NanR	sgbE//cyoE//chbF//deoB//
CRP_Fis_NtrC	glpB//
CRP_Fis_XylR	dgcZ//
CRP_FlhDC_GalR_GalS	ahpF//
CRP_FucR	lsrF//rsmH//paaF//pgaD//gdhA//feaB//
CRP_Fur	nrfB//entA//idnK//purN//prpB//glpB//sdhC//fumB//fumC//astB//
CRP_Fur_HypT_PdhR	prpB//guaB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	metK//astE//fabA//ugpQ//
CRP_GalR_GalS_NagC	narG//
CRP_GlpR	purD//nanA//paaA//
CRP_GntR	xylA//
CRP_GntR_IdnR	adhE//rutA//glyA//deoD//lysA//gabT//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nanA//sucD//waaZ//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	rutB//
CRP_H-NS_LacI	fabA//ascB//lpxC//
CRP_H-NS_LeuO	dmsA//
CRP_H-NS_MqsA	
CRP_IHF	gatZ//ynfE//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	sgbU//
CRP_IHF_PaaX	chbG//dmsA//sucD//glgC//puuA//ilvI//rutE//nrfA//
CRP_IHF_UlaR	paaK//sdhC//aceB//aroL//
CRP_IHF_YiaJ	murC//ahpF//fes//argD//truB//putA//
CRP_LexA	
CRP_Lrp	mhpA//lpxC//dgcZ//caiB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	waaY//
CRP_LsrR	sodA//glpB//astB//lacZ//mdh//
CRP_MalI	lsrK//prpC//
CRP_MalT	aldB//metK//
CRP_MalT_PhoP	moaE//
CRP_MelR	hycD//sgbU//
CRP_MetJ	aroG//
CRP_MhpR	glgP//torA//metB//cysJ//hemA//ascB//
CRP_Mlc	
CRP_ModE	zwf//
CRP_MurR	lhgO//fau//sgbE//
CRP_Nac_NsrR_PhoB	
CRP_NadR	cysM//
CRP_NagC	prpC//gloA//ndh//fadA//gcvP//
CRP_NagC_NanR	mhpF//mhpE//
CRP_NagC_PhoP	ppiA//
CRP_OxyR	
CRP_OxyR_UxuR	aceF//
CRP_PhoB	aroL//paaB//
CRP_PhoP	glpD//sgbH//dadA//
CRP_PutA	purM//
CRP_RbsR	gabT//pdeR//ogt//
CRP_RhaR_RhaS	
CRP_RhaS	deoA//nanA//rbsD//
CRP_Rob	nrdB//
CRP_TorR	moaA//idnK//
CRP_UhpA_UvrY	mnmG//
CRP_UidR_UxuR	gatZ//rutC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ubiC//napC//
Cbl_CysB_FNR_IHF	ppiA//rhaB//folA//
CdaR_FNR_Fis_Fur_H-NS	araB//malQ//
CdaR_FNR_Fur_H-NS	fadE//napG//caiC//pncB//
CpxR_CsgD_FliZ	
CpxR_CysB	lysA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	nemA//
CpxR_GadE	tdcD//frdC//paaI//
CpxR_H-NS	araD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aroL//
Cra_FNR_Fis_Lrp_NarL	rbsK//
Cra_FNR_Fur_MarA_Rob_SoxS	lpxC//
Cra_FhlA_FlhDC	fau//
Cra_GntR_KdgR	fumC//
Cra_GntR_KdgR_PhoB	paaH//
Cra_MarA_SoxS	yiaK//
Cra_PdeL	putA//
Cra_SgrR	citG//
Cra_TyrR	mraY//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrdF//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ulaD//rhaD//
CusR_PhoB_YedW	fau//
CysB_H-NS	napC//rhaD//glpX//
CysB_HypT_IHF	ilvH//
CysB_IHF	astD//uxuA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	torC//
DinJ-YafQ_LexA	glpD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	galM//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	recF//
FNR_FhlA_NarL_NarP	lsrG//glpA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	cyoE//
FNR_Fis_IHF_ModE_NarL	glgA//
FNR_Fis_IHF_NarL	glpA//
FNR_Fis_IHF_NarL_RstA	lpxD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ansB//
FNR_FlhDC_ModE_NarL_NarP	pgaC//
FNR_Fur	ilvD//umpH//
FNR_Fur_GadE	hypB//
FNR_Fur_GadX_NtrC	sgbU//
FNR_Fur_H-NS	uvrA//moeA//glcB//
FNR_Fur_MetR_NsrR	cyoE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	entA//
FNR_Fur_OxyR	sucA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	purD//
FNR_H-NS_NrdR	mhpF//paaG//
FNR_IHF	fucK//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	treC//
FNR_IHF_PhoB	
FNR_MalT	gutQ//moeB//
FNR_ModE	
FNR_NarL	gabD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	metL//astC//
FNR_NarL_NikR	nirB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	mnmG//bglB//
FNR_YqjI	
FabR_FadR	ackA//paaC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ilvG_2//atoA//
FhlA_IHF_NsrR	
Fis_Fur	lacZ//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	sucA//
Fis_IHF	
Fis_IHF_NtrC	hypB//fadH//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	rutC//
Fis_NarL	murG//
Fis_NarL_NarP_NsrR	
Fis_PurR	gatZ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	dmsA//
Fur_H-NS	fes//rhaD//
Fur_IHF_IscR_NsrR_OxyR	hyaB//
Fur_IscR_NrdR	galK//
Fur_MetR	gcvH//
Fur_MntR	hmp//
Fur_MntR_OxyR	nfsA//
Fur_OxyR	
Fur_PurR	narI//
Fur_RcnR	moeA//
Fur_RutR	gdhA//
Fur_SoxS_Zur	
Fur_YqjI	betA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ssuD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	galT//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lacA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	paaB//
H-NS_Lrp_NhaR_RcsB	dgcZ//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hypB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	moeA//
HU_IHF_TyrR	cdd//
HigA_HigB-HigA	ilvG_1//
HipAB_HipB_IHF	mhpD//
HypT_MetJ	nrfC//
HypT_MetJ_PhoP	hcp//moaE//
IHF_Lrp	hycE//lpxA//entA//rhaA//sgbE//
IHF_NsrR	
IHF_NtrC	pgaB//
IHF_PhoP	
IHF_PspF	hycC//
IHF_RcsAB	
IHF_RtcR	hpt//ugpQ//
IHF_TyrR	ulaF//
IHF_UlaR	hypB//
LexA_MraZ_PdhR	gadA//sufS//mhpB//astD//mdh//aldA//hypB//hemL//gltA//xylA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	chbF//pck//
MarA_PhoP_Rob_SoxS	guaA//aroG//sgbH//garR//fau//murE//citF//garL//prpE//
MarA_Rob_SoxS	aspC//galT//
MarA_SoxS	lsrK//malP//udp//
MetJ_MetR	garK//
MetJ_OxyR	lyxK//
MetR_PurR	puuC//
MraZ_PdhR	dmsA//
Nac_PurR	uxaA//hemL//
NarL_TorR	paaG//
NemR_RutR	hycG//truB//
NhaR_OmpR	ascB//aroL//mhpC//
NorR_NsrR	
NsrR_PhoB	fadE//
OxyR_SoxS	
PdhR_PhoP	uxuA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	sodB//ssuE//
RelB_RelB-RelE	deoC//
TrpR_TyrR	glpQ//
YefM_YefM-YoeB	fumC//
