# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	narG//malP//
ArcA_CRP_IHF	hycB//
ArcA_CRP_PuuR	glpA//ulaD//fadH//ulaD//
ArcA_CRP_RhaS	frdD//
ArcA_CRP_TreR	aldA//fadB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	chbF//sdhD//
ArcA_Cra	lldD//
ArcA_Cra_FNR_H-NS_HypT	fucO//
ArcA_CysB_FNR	
ArcA_FNR	rbsK//gabD//aroG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gabT//
ArcA_FNR_Fis_IHF_NarL	metK//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	purA//argD//
ArcA_FNR_IHF_NarL	uxuA//paaE//
ArcA_FNR_NarL	sodB//lpxA//aldB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	ynfE//carA//
ArcA_FadR	betA//accC//ndh//
ArcA_FadR_Fis	nrdD//moeA//
ArcA_Fur_Lrp_ModE	fumC//hycB//
ArcA_GlcC_IHF_PdhR	paaI//atoD//poxB//
ArcA_LexA	serA//
ArcA_LldR	glpC//garR//
ArcA_NarL	fadD//
ArcA_NtrC_PhoP_RutR	galT//garK//rnpB//araD//moeA//fadB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	aspC//
ArgP_CRP_FNR_Fur_Nac	astE//
ArgP_DnaA	napA//
ArgP_Lrp	dadA//patA//
ArgP_LysR	galT//
ArgP_PhoB	
ArgR_CRP	entA//
ArgR_CRP_Fis	napA//dmsA//cysH//
ArgR_Fis_IHF_PepA_PurR_RutR	nrdE//
ArgR_H-NS_NtrC	napH//nanK//
ArgR_NtrC	galM//nagA//gcvH//sdhB//murQ//
ArgR_PhoP	citG//
AscG_CRP	fumB//fabB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	garR//
AtoC_IHF	glcF//pdeR//aldB//
BaeR_CpxR	srlD//
BaeR_CpxR_EvgA	sufS//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nrfD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	patA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	mpl//tdcE//dadA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ahpF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	acnA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ulaF//mpl//cysM//deoB//puuA//ssuE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nemA//mhpE//nrdB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	hycG//edd//srlD//
CRP_Cra_Mlc_NagC	fabZ//fadJ//ynfF//pck//
CRP_Cra_PrpR	glcB//dsdA//fadJ//argG//
CRP_CreB_Fis_MalT	napH//
CRP_CsiR_H-NS_Lrp	hycC//
CRP_CsiR_H-NS_Lrp_Nac	paaB//epd//mhpA//
CRP_CspA_Fis	ftsI//
CRP_CytR	epd//
CRP_CytR_DeoR	nemA//chbF//
CRP_CytR_DeoR_Fis_ModE	ilvG_2//glcE//pyrD//paaH//
CRP_CytR_Nac	hcp//
CRP_CytR_NsrR	feaB//
CRP_DcuR_FNR_NarL	argG//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	pgaB//astA//
CRP_DpiA_ExuR	purA//
CRP_DsdC	idnK//yiaK//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sodA//
CRP_ExuR	torC//
CRP_ExuR_FNR	dadA//paaG//
CRP_ExuR_OxyR_UxuR	nrfB//fadB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	pspE//
CRP_FNR_Fis	ascB//murC//
CRP_FNR_Fis_GlpR_IHF	dsdA//edd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	glcB//deoA//purH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	nemA//araB//tnaA//melA//tauD//
CRP_FNR_NarL	astC//metK//
CRP_FeaR_NsrR	galM//
CRP_Fis	glcB//edd//atoD//
CRP_Fis_FlhDC_GalR_GalS	uxaC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glpX//araA//
CRP_Fis_IHF	entH//glcD//pdeR//
CRP_Fis_NanR	mhpD//recF//napG//murC//
CRP_Fis_NtrC	fadA//
CRP_Fis_XylR	paaI//
CRP_FlhDC_GalR_GalS	fumC//
CRP_FucR	frdA//glgP//pyrC//nfsA//glnA//sgbH//
CRP_Fur	tdcG//pncB//tdcB//ilvI//ddlB//ascB//puuE//astA//gatY//dgcZ//
CRP_Fur_HypT_PdhR	carB//pgk//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	sodA//galM//murF//hyaA//
CRP_GalR_GalS_NagC	hpt//
CRP_GlpR	lysA//gloA//hypF//
CRP_GntR	tnaA//
CRP_GntR_IdnR	ansB//araD//argG//ftnA//paaK//pyrD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	deoD//ulaF//ftsI//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	lldD//
CRP_H-NS_LacI	gabD//napC//glyA//
CRP_H-NS_LeuO	hycD//
CRP_H-NS_MqsA	
CRP_IHF	napH//ilvE//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nanK//
CRP_IHF_PaaX	ndh//ynfF//adhE//entH//fumA//glgA//glpA//mhpB//
CRP_IHF_UlaR	ilvD//lldD//ndh//napG//
CRP_IHF_YiaJ	aceB//atoA//guaB//nrdD//aceE//gcd//
CRP_LexA	
CRP_Lrp	narH//lpd//mhpC//fdhF//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	gcvP//
CRP_LsrR	garK//puuE//hycB//mpl//ubiA//
CRP_MalI	nrdF//uxuB//
CRP_MalT	rutA//ilvG_2//
CRP_MalT_PhoP	nanK//
CRP_MelR	hmp//feaB//
CRP_MetJ	galM//
CRP_MhpR	nagA//paaK//deoD//galE//rhaA//aroA//
CRP_Mlc	
CRP_ModE	argD//
CRP_MurR	entD//umpH//mhpD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	mtlD//
CRP_NagC	ilvD//gutQ//sufS//pgaD//entC//
CRP_NagC_NanR	melA//cysI//
CRP_NagC_PhoP	codA//
CRP_OxyR	
CRP_OxyR_UxuR	nanK//
CRP_PhoB	rhaA//ilvD//
CRP_PhoP	recF//fumB//nirD//
CRP_PutA	rnpB//
CRP_RbsR	waaH//hycE//hypB//
CRP_RhaR_RhaS	
CRP_RhaS	hypF//puuA//citX//
CRP_Rob	lacZ//
CRP_TorR	uxaB//astE//
CRP_UhpA_UvrY	lpxA//
CRP_UidR_UxuR	lyxK//hycD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	garK//paaI//
Cbl_CysB_FNR_IHF	nanK//carA//cysM//
CdaR_FNR_Fis_Fur_H-NS	ilvH//putA//
CdaR_FNR_Fur_H-NS	puuC//hemA//rnpB//dsdA//
CpxR_CsgD_FliZ	
CpxR_CysB	nanK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	atoA//
CpxR_GadE	waaY//acs//tnaA//
CpxR_H-NS	tdcE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	cyoE//
Cra_FNR_Fis_Lrp_NarL	rhaB//
Cra_FNR_Fur_MarA_Rob_SoxS	narH//
Cra_FhlA_FlhDC	rnpB//
Cra_GntR_KdgR	hyaC//
Cra_GntR_KdgR_PhoB	dsdA//
Cra_MarA_SoxS	deoC//
Cra_PdeL	aceA//
Cra_SgrR	gabD//
Cra_TyrR	nanM//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fadH//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	purA//icd//
CusR_PhoB_YedW	nanE//
CysB_H-NS	codA//accB//hyaC//
CysB_HypT_IHF	hypF//
CysB_IHF	garK//sgbE//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	guaB//
DinJ-YafQ_LexA	malY//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	ynfG//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	sucC//
FNR_FhlA_NarL_NarP	mhpC//sgbH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glnA//
FNR_Fis_IHF_ModE_NarL	ascB//
FNR_Fis_IHF_NarL	gntK//
FNR_Fis_IHF_NarL_RstA	rutC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ldtB//
FNR_FlhDC_ModE_NarL_NarP	gntK//
FNR_Fur	nemA//rhaB//
FNR_Fur_GadE	glpB//
FNR_Fur_GadX_NtrC	lpxC//
FNR_Fur_H-NS	sucD//gutQ//hypF//
FNR_Fur_MetR_NsrR	nirB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	codA//
FNR_Fur_OxyR	nrfC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	xylA//
FNR_H-NS_NrdR	entC//sucD//
FNR_IHF	tauD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	purA//
FNR_IHF_PhoB	
FNR_MalT	folA//malP//
FNR_ModE	
FNR_NarL	katE//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	dsdA//hyaC//
FNR_NarL_NikR	fabZ//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	cysJ//caiA//
FNR_YqjI	
FabR_FadR	garL//gltA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pdeL//paaH//
FhlA_IHF_NsrR	
Fis_Fur	sgbE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	codA//
Fis_IHF	
Fis_IHF_NtrC	torC//prpD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	nirD//
Fis_NarL	paaI//
Fis_NarL_NarP_NsrR	
Fis_PurR	aspC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	garR//
Fur_H-NS	dadA//chbG//
Fur_IHF_IscR_NsrR_OxyR	fadH//
Fur_IscR_NrdR	mhpE//
Fur_MetR	murF//
Fur_MntR	glpA//
Fur_MntR_OxyR	argD//
Fur_OxyR	
Fur_PurR	icd//
Fur_RcnR	atoB//
Fur_RutR	relA//
Fur_SoxS_Zur	
Fur_YqjI	napB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	metE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	entH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ulaF//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	uxaB//
H-NS_Lrp_NhaR_RcsB	ugpQ//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hypB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ugpQ//
HU_IHF_TyrR	glpA//
HigA_HigB-HigA	ahpC//
HipAB_HipB_IHF	aldA//
HypT_MetJ	sgbE//
HypT_MetJ_PhoP	idnK//folA//
IHF_Lrp	ilvE//nrdB//aceA//entE//patA//
IHF_NsrR	
IHF_NtrC	nagA//
IHF_PhoP	
IHF_PspF	glgP//
IHF_RcsAB	
IHF_RtcR	lhgO//sucB//
IHF_TyrR	ilvE//
IHF_UlaR	murF//
LexA_MraZ_PdhR	gltB//srlD//ddlB//nrfB//moaA//nanK//puuA//frdC//gltA//serC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	uidA//ilvA//
MarA_PhoP_Rob_SoxS	accB//gcd//xylA//paaG//ogt//garK//glpA//ilvA//lldD//
MarA_Rob_SoxS	narH//nrdF//
MarA_SoxS	mhpB//caiC//treC//
MetJ_MetR	napC//
MetJ_OxyR	carB//
MetR_PurR	tdcE//
MraZ_PdhR	purA//
Nac_PurR	ddlB//fbaA//
NarL_TorR	pyrC//
NemR_RutR	gadB//ilvA//
NhaR_OmpR	ssuD//sgbU//sucB//
NorR_NsrR	
NsrR_PhoB	chbF//
OxyR_SoxS	
PdhR_PhoP	puuB//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	astE//argD//
RelB_RelB-RelE	guaA//
TrpR_TyrR	malQ//
YefM_YefM-YoeB	tnaA//
