# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	hyaB//gltB//
ArcA_CRP_IHF	hypB//
ArcA_CRP_PuuR	ilvI//ulaD//purM//paaG//
ArcA_CRP_RhaS	citF//
ArcA_CRP_TreR	gdhA//murD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	paaE//entH//
ArcA_Cra	sufS//
ArcA_Cra_FNR_H-NS_HypT	gatY//
ArcA_CysB_FNR	
ArcA_FNR	caiB//gadB//ynfF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nrdA//
ArcA_FNR_Fis_IHF_NarL	prpD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	dmsC//rutE//
ArcA_FNR_IHF_NarL	citF//fucA//
ArcA_FNR_NarL	ulaF//lacZ//waaH//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	waaZ//lsrF//
ArcA_FadR	hypF//astB//glgA//
ArcA_FadR_Fis	lysA//glpB//
ArcA_Fur_Lrp_ModE	ackA//nrfC//
ArcA_GlcC_IHF_PdhR	nanE//lsrG//aspC//
ArcA_LexA	nanE//
ArcA_LldR	frdA//fadE//
ArcA_NarL	caiD//
ArcA_NtrC_PhoP_RutR	hycE//ogt//ppiA//uidA//ahpC//waaY//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gltB//
ArgP_CRP_FNR_Fur_Nac	ulaE//
ArgP_DnaA	ilvH//
ArgP_Lrp	glpC//deoB//
ArgP_LysR	ubiC//
ArgP_PhoB	
ArgR_CRP	aceB//
ArgR_CRP_Fis	mdh//ldtB//tauD//
ArgR_Fis_IHF_PepA_PurR_RutR	mnmG//
ArgR_H-NS_NtrC	lysA//pgaB//
ArgR_NtrC	ulaE//gdhA//gltA//deoA//sodB//
ArgR_PhoP	fumB//
AscG_CRP	purM//glpX//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	gdhA//
AtoC_IHF	uidA//aceF//puuB//
BaeR_CpxR	sufS//
BaeR_CpxR_EvgA	ackA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cysM//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ilvH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ssuD//lpd//nrdF//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	edd//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ilvG_1//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	nagB//cdd//rsmH//moeA//fau//puuD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hypB//prpD//glpQ//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fucI//aceF//guaB//
CRP_Cra_Mlc_NagC	hycG//nrfD//torA//paaH//
CRP_Cra_PrpR	rhaB//aldA//ftnA//entB//
CRP_CreB_Fis_MalT	gcvP//
CRP_CsiR_H-NS_Lrp	paaZ//
CRP_CsiR_H-NS_Lrp_Nac	dsdA//caiD//idnD//
CRP_CspA_Fis	galE//
CRP_CytR	nanM//
CRP_CytR_DeoR	serA//astE//
CRP_CytR_DeoR_Fis_ModE	gabT//prpB//sodB//cadA//
CRP_CytR_Nac	ackA//
CRP_CytR_NsrR	fbaA//
CRP_DcuR_FNR_NarL	purA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	uxaA//kbaZ//
CRP_DpiA_ExuR	hyaA//
CRP_DsdC	melA//dmsB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	poxB//
CRP_ExuR	aspA//
CRP_ExuR_FNR	ahpF//aspC//
CRP_ExuR_OxyR_UxuR	treC//moeB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	cdd//
CRP_FNR_Fis	gabT//idnO//
CRP_FNR_Fis_GlpR_IHF	gatZ//prpE//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	treC//citC//folA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	galT//rimK//paaZ//ubiC//glyA//
CRP_FNR_NarL	lpd//prpB//
CRP_FeaR_NsrR	nrdD//
CRP_Fis	deoC//uxaC//udp//
CRP_Fis_FlhDC_GalR_GalS	fbaA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glgC//narG//
CRP_Fis_IHF	edd//aceA//glpC//
CRP_Fis_NanR	cysH//nrfB//putA//ugpQ//
CRP_Fis_NtrC	dusB//
CRP_Fis_XylR	gcvH//
CRP_FlhDC_GalR_GalS	carB//
CRP_FucR	lacZ//mtlD//mhpD//prpD//mpl//edd//
CRP_Fur	galK//fadJ//fumA//gatY//mhpC//caiB//nrdE//paaB//gdhA//mhpB//
CRP_Fur_HypT_PdhR	entB//rutA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	uidA//atoA//garK//purD//
CRP_GalR_GalS_NagC	zwf//
CRP_GlpR	galT//araD//sucA//
CRP_GntR	poxB//
CRP_GntR_IdnR	atoA//rbsD//aroG//sgbH//cysH//pgaD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	paaA//gcvP//pspE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	gatD//
CRP_H-NS_LacI	galM//feaB//nfsA//
CRP_H-NS_LeuO	fadE//
CRP_H-NS_MqsA	
CRP_IHF	lhgO//rutC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	epd//
CRP_IHF_PaaX	frdC//sdhB//rhaA//frdD//fabB//lldD//ulaF//ilvE//
CRP_IHF_UlaR	hemA//gcvT//napB//pck//
CRP_IHF_YiaJ	ilvE//tnaA//paaK//sdhD//pncB//hypF//
CRP_LexA	
CRP_Lrp	rutD//paaK//ubiC//paaH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	caiC//
CRP_LsrR	acnA//moeB//hycB//hycE//purA//
CRP_MalI	glpX//ilvI//
CRP_MalT	deoC//cysG//
CRP_MalT_PhoP	waaH//
CRP_MelR	umpH//rutE//
CRP_MetJ	frdD//
CRP_MhpR	moeA//gapA//cyoE//puuB//pnp//sdhB//
CRP_Mlc	
CRP_ModE	cysM//
CRP_MurR	hemA//sucA//sucA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	paaE//
CRP_NagC	paaK//gapA//mhpB//glpC//nrfC//
CRP_NagC_NanR	caiD//carA//
CRP_NagC_PhoP	astE//
CRP_OxyR	
CRP_OxyR_UxuR	ogt//
CRP_PhoB	zwf//entF//
CRP_PhoP	metE//xylA//carB//
CRP_PutA	zwf//
CRP_RbsR	lsrF//prpC//nrdF//
CRP_RhaR_RhaS	
CRP_RhaS	garR//citX//paaH//
CRP_Rob	nanM//
CRP_TorR	citC//lysA//
CRP_UhpA_UvrY	treC//
CRP_UidR_UxuR	ilvD//fucA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	paaJ//ahpC//
Cbl_CysB_FNR_IHF	murF//waaZ//narG//
CdaR_FNR_Fis_Fur_H-NS	gcvH//gloA//
CdaR_FNR_Fur_H-NS	yqjH//waaY//hemA//ndh//
CpxR_CsgD_FliZ	
CpxR_CysB	paaH//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ynfE//
CpxR_GadE	malP//fadB//poxB//
CpxR_H-NS	ackA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lysA//
Cra_FNR_Fis_Lrp_NarL	glpA//
Cra_FNR_Fur_MarA_Rob_SoxS	lacA//
Cra_FhlA_FlhDC	fumB//
Cra_GntR_KdgR	citG//
Cra_GntR_KdgR_PhoB	nanM//
Cra_MarA_SoxS	sufS//
Cra_PdeL	prmC//
Cra_SgrR	fadD//
Cra_TyrR	melA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tauD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nrfD//fau//
CusR_PhoB_YedW	atoB//
CysB_H-NS	sgbH//narH//caiD//
CysB_HypT_IHF	citC//
CysB_IHF	murE//fadB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	pspE//
DinJ-YafQ_LexA	fabZ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	paaJ//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	puuD//
FNR_FhlA_NarL_NarP	hycB//mazG//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	lsrF//
FNR_Fis_IHF_ModE_NarL	nanK//
FNR_Fis_IHF_NarL	mhpF//
FNR_Fis_IHF_NarL_RstA	carB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	galE//
FNR_FlhDC_ModE_NarL_NarP	umpH//
FNR_Fur	betB//idnK//
FNR_Fur_GadE	nrdF//
FNR_Fur_GadX_NtrC	glyA//
FNR_Fur_H-NS	ftnA//astA//ulaG//
FNR_Fur_MetR_NsrR	ssuE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gabT//
FNR_Fur_OxyR	lysA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	paaJ//
FNR_H-NS_NrdR	sodA//ilvE//
FNR_IHF	mhpB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ulaF//
FNR_IHF_PhoB	
FNR_MalT	fadJ//gabT//
FNR_ModE	
FNR_NarL	pdeL//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	deoD//lsrG//
FNR_NarL_NikR	fdhF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	bglB//hemL//
FNR_YqjI	
FabR_FadR	puuD//cdd//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	fucK//rutD//
FhlA_IHF_NsrR	
Fis_Fur	fbaA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	tdcG//
Fis_IHF	
Fis_IHF_NtrC	lhgO//nanE//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fadI//
Fis_NarL	rbsK//
Fis_NarL_NarP_NsrR	
Fis_PurR	gatD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	mpl//
Fur_H-NS	lhgO//tdcG//
Fur_IHF_IscR_NsrR_OxyR	accB//
Fur_IscR_NrdR	citC//
Fur_MetR	truB//
Fur_MntR	atoB//
Fur_MntR_OxyR	ulaG//
Fur_OxyR	
Fur_PurR	adhE//
Fur_RcnR	ilvG_1//
Fur_RutR	pyrD//
Fur_SoxS_Zur	
Fur_YqjI	ppiA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	hmp//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	metH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	purM//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	araA//
H-NS_Lrp_NhaR_RcsB	carB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gltB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ilvA//
HU_IHF_TyrR	gutQ//
HigA_HigB-HigA	paaF//
HipAB_HipB_IHF	deoA//
HypT_MetJ	putA//
HypT_MetJ_PhoP	ppiA//entD//
IHF_Lrp	epd//purM//entD//sgbE//ynfF//
IHF_NsrR	
IHF_NtrC	entE//
IHF_PhoP	
IHF_PspF	hycC//
IHF_RcsAB	
IHF_RtcR	glpB//napH//
IHF_TyrR	napG//
IHF_UlaR	dadA//
LexA_MraZ_PdhR	gcvT//glgP//rhaB//lpxC//galT//acnB//tnaA//metB//fabZ//deoD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glnA//gadB//
MarA_PhoP_Rob_SoxS	metH//citD//waaH//ndh//gutQ//ulaG//aroL//tam//prpD//
MarA_Rob_SoxS	moeA//entE//
MarA_SoxS	paaZ//udp//murF//
MetJ_MetR	nrfD//
MetJ_OxyR	puuD//
MetR_PurR	betB//
MraZ_PdhR	dmsB//
Nac_PurR	hycE//paaH//
NarL_TorR	tam//
NemR_RutR	tnaA//sdhA//
NhaR_OmpR	kbaZ//fumB//ilvH//
NorR_NsrR	
NsrR_PhoB	lysA//
OxyR_SoxS	
PdhR_PhoP	nrdA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fadB//paaH//
RelB_RelB-RelE	entA//
TrpR_TyrR	nrdF//
YefM_YefM-YoeB	ftsI//
