# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	entA//ilvG_1//
ArcA_CRP_IHF	lsrG//
ArcA_CRP_PuuR	hycG//yqjH//paaH//pck//
ArcA_CRP_RhaS	gapA//
ArcA_CRP_TreR	moeA//nanM//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ynfH//glgC//
ArcA_Cra	hpt//
ArcA_Cra_FNR_H-NS_HypT	hycG//
ArcA_CysB_FNR	
ArcA_FNR	pdeR//glgC//glpX//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	cadA//
ArcA_FNR_Fis_IHF_NarL	prpD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	ssuD//moeA//
ArcA_FNR_IHF_NarL	rbsK//aroA//
ArcA_FNR_NarL	ulaD//uxaA//citF//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	galE//nrfD//
ArcA_FadR	gatD//carB//murE//
ArcA_FadR_Fis	aldB//murC//
ArcA_Fur_Lrp_ModE	fadB//sodA//
ArcA_GlcC_IHF_PdhR	ppiA//glyA//astE//
ArcA_LexA	argG//
ArcA_LldR	gltD//paaE//
ArcA_NarL	hycG//
ArcA_NtrC_PhoP_RutR	deoB//galE//torC//pgaC//aroL//nrdB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	caiA//
ArgP_CRP_FNR_Fur_Nac	entF//
ArgP_DnaA	lacZ//
ArgP_Lrp	ahpC//chbG//
ArgP_LysR	gabD//
ArgP_PhoB	
ArgR_CRP	atoA//
ArgR_CRP_Fis	dgcZ//feaB//uvrA//
ArgR_Fis_IHF_PepA_PurR_RutR	gltB//
ArgR_H-NS_NtrC	katG//carA//
ArgR_NtrC	rutA//moaD//prpD//rsmH//frdD//
ArgR_PhoP	garL//
AscG_CRP	fucA//rutC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	glcE//
AtoC_IHF	acnA//gcd//fabA//
BaeR_CpxR	pnp//
BaeR_CpxR_EvgA	murG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gadA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	malS//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ubiC//tdcE//citF//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	entH//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	waaY//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	aroL//araD//astA//moaA//appA//aldB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cysG//dadX//prpB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	nrfA//gutQ//aceE//
CRP_Cra_Mlc_NagC	purM//treC//prpD//acnA//
CRP_Cra_PrpR	nrdD//nanK//uidA//serC//
CRP_CreB_Fis_MalT	rsmH//
CRP_CsiR_H-NS_Lrp	cysJ//
CRP_CsiR_H-NS_Lrp_Nac	cysM//ackA//lacZ//
CRP_CspA_Fis	prpD//
CRP_CytR	gapA//
CRP_CytR_DeoR	pgaB//mnmG//
CRP_CytR_DeoR_Fis_ModE	mhpC//araD//fucO//rbsD//
CRP_CytR_Nac	tdcG//
CRP_CytR_NsrR	tnaA//
CRP_DcuR_FNR_NarL	astC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	hypB//torC//
CRP_DpiA_ExuR	frdA//
CRP_DsdC	folA//codA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	paaE//
CRP_ExuR	glnA//
CRP_ExuR_FNR	napB//citE//
CRP_ExuR_OxyR_UxuR	hycE//ddlB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	truB//
CRP_FNR_Fis	purA//gatD//
CRP_FNR_Fis_GlpR_IHF	accC//lldD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nrdB//fucI//pflB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	glcE//sufS//sdhB//nemA//lacZ//
CRP_FNR_NarL	lpd//glcB//
CRP_FeaR_NsrR	entA//
CRP_Fis	sgbH//yiaK//ulaD//
CRP_Fis_FlhDC_GalR_GalS	argG//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	treC//pdeL//
CRP_Fis_IHF	treC//lacA//metK//
CRP_Fis_NanR	entE//fadE//lsrG//astC//
CRP_Fis_NtrC	aceE//
CRP_Fis_XylR	prpD//
CRP_FlhDC_GalR_GalS	entE//
CRP_FucR	purD//lysA//adiA//srlD//glgA//atoD//
CRP_Fur	ahpC//ilvH//ansB//lsrK//paaC//ogt//ynfE//fes//napG//gadA//
CRP_Fur_HypT_PdhR	cysI//rutE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fadA//araA//citC//cdd//
CRP_GalR_GalS_NagC	sufS//
CRP_GlpR	fadD//ynfG//cysI//
CRP_GntR	nirD//
CRP_GntR_IdnR	lsrF//gatZ//mhpD//citD//sodA//fes//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nrfC//rbsK//sodA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	feaB//
CRP_H-NS_LacI	adiA//rhaB//fucK//
CRP_H-NS_LeuO	prpC//
CRP_H-NS_MqsA	
CRP_IHF	dadX//ddlB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	pncB//
CRP_IHF_PaaX	hemA//umpH//glyA//feaB//aspA//cysG//lpd//sodB//
CRP_IHF_UlaR	lldD//sgbH//glpD//rsmH//
CRP_IHF_YiaJ	murC//hycD//fadJ//gadB//lpxC//prpC//
CRP_LexA	
CRP_Lrp	entA//sdhB//adiA//ubiC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	lhgO//
CRP_LsrR	hypB//deoD//pdeR//nrfC//mhpD//
CRP_MalI	lpxA//feaB//
CRP_MalT	fumA//araD//
CRP_MalT_PhoP	rsmH//
CRP_MelR	glpX//fau//
CRP_MetJ	deoD//
CRP_MhpR	nfsB//dsdA//hypB//ssuE//fabZ//rbsD//
CRP_Mlc	
CRP_ModE	astA//
CRP_MurR	ynfH//paaZ//rimK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pgaC//
CRP_NagC	lhgO//fucU//hycF//fumB//narI//
CRP_NagC_NanR	gltB//ogt//
CRP_NagC_PhoP	pgaD//
CRP_OxyR	
CRP_OxyR_UxuR	gcvH//
CRP_PhoB	guaA//uxaA//
CRP_PhoP	moaD//paaE//glpA//
CRP_PutA	aceE//
CRP_RbsR	glpK//gnd//ldtB//
CRP_RhaR_RhaS	
CRP_RhaS	paaC//glpA//lldD//
CRP_Rob	ubiA//
CRP_TorR	ilvA//dgcZ//
CRP_UhpA_UvrY	aspC//
CRP_UidR_UxuR	gcvT//atoB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	galK//hmp//
Cbl_CysB_FNR_IHF	cdd//ilvE//bglB//
CdaR_FNR_Fis_Fur_H-NS	pgk//tdcB//
CdaR_FNR_Fur_H-NS	glpK//nrfB//lysA//frdD//
CpxR_CsgD_FliZ	
CpxR_CysB	galE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	napC//
CpxR_GadE	fadB//fabA//fucK//
CpxR_H-NS	araA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ftnA//
Cra_FNR_Fis_Lrp_NarL	metK//
Cra_FNR_Fur_MarA_Rob_SoxS	paaE//
Cra_FhlA_FlhDC	paaB//
Cra_GntR_KdgR	frdD//
Cra_GntR_KdgR_PhoB	glpD//
Cra_MarA_SoxS	poxB//
Cra_PdeL	appA//
Cra_SgrR	hycB//
Cra_TyrR	fadD//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	sufS//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	hycF//lysA//
CusR_PhoB_YedW	cysI//
CysB_H-NS	malS//chbG//lhgO//
CysB_HypT_IHF	nrdB//
CysB_IHF	frdB//caiA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nemA//
DinJ-YafQ_LexA	rbsD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	waaY//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	moaA//
FNR_FhlA_NarL_NarP	fumA//murE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ubiC//
FNR_Fis_IHF_ModE_NarL	nirB//
FNR_Fis_IHF_NarL	ilvM//
FNR_Fis_IHF_NarL_RstA	pdeL//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fucU//
FNR_FlhDC_ModE_NarL_NarP	aceE//
FNR_Fur	metH//frdD//
FNR_Fur_GadE	ulaD//
FNR_Fur_GadX_NtrC	moaD//
FNR_Fur_H-NS	katE//metH//sgbH//
FNR_Fur_MetR_NsrR	rsmH//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	paaK//
FNR_Fur_OxyR	rutE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	atoA//
FNR_H-NS_NrdR	entE//murQ//
FNR_IHF	glnA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	paaE//
FNR_IHF_PhoB	
FNR_MalT	ppiA//ulaG//
FNR_ModE	
FNR_NarL	serA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	appA//citD//
FNR_NarL_NikR	ynfE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nanA//purA//
FNR_YqjI	
FabR_FadR	purA//glcB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	torC//lldD//
FhlA_IHF_NsrR	
Fis_Fur	torA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	deoC//
Fis_IHF	
Fis_IHF_NtrC	dusB//fabA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	dsdA//
Fis_NarL	guaB//
Fis_NarL_NarP_NsrR	
Fis_PurR	rhaB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	fucO//
Fur_H-NS	fadJ//citG//
Fur_IHF_IscR_NsrR_OxyR	patA//
Fur_IscR_NrdR	argG//
Fur_MetR	fadD//
Fur_MntR	galM//
Fur_MntR_OxyR	yqjH//
Fur_OxyR	
Fur_PurR	uxaB//
Fur_RcnR	paaG//
Fur_RutR	xylA//
Fur_SoxS_Zur	
Fur_YqjI	paaH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	puuD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	patA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	truB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	araA//
H-NS_Lrp_NhaR_RcsB	atoB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	murE//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	fucK//
HU_IHF_TyrR	ssuE//
HigA_HigB-HigA	accB//
HipAB_HipB_IHF	moaE//
HypT_MetJ	lysA//
HypT_MetJ_PhoP	purH//mtlD//
IHF_Lrp	xylB//dmsC//pyrC//metK//fucK//
IHF_NsrR	
IHF_NtrC	citC//
IHF_PhoP	
IHF_PspF	tdcG//
IHF_RcsAB	
IHF_RtcR	codA//udp//
IHF_TyrR	glpC//
IHF_UlaR	lpxA//
LexA_MraZ_PdhR	frdC//nfsB//citG//aspC//ssuD//lpxC//atoB//ansB//aroG//mhpC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	lsrF//patA//
MarA_PhoP_Rob_SoxS	melA//ahpF//sdhB//sucB//kbaZ//deoA//hyaB//lpxC//fucA//
MarA_Rob_SoxS	lhgO//aspA//
MarA_SoxS	moaA//paaG//araB//
MetJ_MetR	carB//
MetJ_OxyR	fumA//
MetR_PurR	rsmH//
MraZ_PdhR	pgaD//
Nac_PurR	cysH//moeB//
NarL_TorR	guaA//
NemR_RutR	aroA//tauD//
NhaR_OmpR	ulaF//entF//nfsA//
NorR_NsrR	
NsrR_PhoB	frdA//
OxyR_SoxS	
PdhR_PhoP	xylA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	lpd//tdcE//
RelB_RelB-RelE	srlD//
TrpR_TyrR	cysJ//
YefM_YefM-YoeB	hycC//
