# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	hmp//fadJ//
ArcA_CRP_IHF	fdhF//
ArcA_CRP_PuuR	hpt//sucB//malS//purD//
ArcA_CRP_RhaS	srlD//
ArcA_CRP_TreR	murE//narG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	idnD//idnD//
ArcA_Cra	accB//
ArcA_Cra_FNR_H-NS_HypT	folA//
ArcA_CysB_FNR	
ArcA_FNR	ssuD//idnO//prpD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	adiA//
ArcA_FNR_Fis_IHF_NarL	hycD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	astD//fadD//
ArcA_FNR_IHF_NarL	mhpC//moaA//
ArcA_FNR_NarL	acnB//gltD//rutC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	gcvT//puuC//
ArcA_FadR	pspE//argG//ynfG//
ArcA_FadR_Fis	idnK//lpd//
ArcA_Fur_Lrp_ModE	aceE//fabA//
ArcA_GlcC_IHF_PdhR	moeB//ackA//argD//
ArcA_LexA	torC//
ArcA_LldR	idnD//aspC//
ArcA_NarL	nrdE//
ArcA_NtrC_PhoP_RutR	betB//ynfG//ascB//napC//cysJ//gntK//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	prpD//
ArgP_CRP_FNR_Fur_Nac	atoB//
ArgP_DnaA	frdB//
ArgP_Lrp	tdcD//nrdD//
ArgP_LysR	appA//
ArgP_PhoB	
ArgR_CRP	aroA//
ArgR_CRP_Fis	lldD//uxuA//waaZ//
ArgR_Fis_IHF_PepA_PurR_RutR	araD//
ArgR_H-NS_NtrC	ahpF//galE//
ArgR_NtrC	torA//astA//pyrD//fucA//rbsK//
ArgR_PhoP	betA//
AscG_CRP	xylB//guaA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	glpK//
AtoC_IHF	citG//lldD//sufS//
BaeR_CpxR	lpxD//
BaeR_CpxR_EvgA	argG//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pdeR//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ilvG_2//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	murD//napG//fumA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	aspA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	hpt//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	nrdA//rimK//mhpF//sufS//mazG//aroL//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lhgO//accB//galK//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	truB//glpQ//tdcD//
CRP_Cra_Mlc_NagC	cysM//ynfG//nfsB//entF//
CRP_Cra_PrpR	rhaA//paaH//pyrC//mtlD//
CRP_CreB_Fis_MalT	ulaF//
CRP_CsiR_H-NS_Lrp	chbF//
CRP_CsiR_H-NS_Lrp_Nac	dadA//malP//entH//
CRP_CspA_Fis	ilvM//
CRP_CytR	melA//
CRP_CytR_DeoR	gltB//ugpQ//
CRP_CytR_DeoR_Fis_ModE	malY//paaJ//fumB//serC//
CRP_CytR_Nac	entH//
CRP_CytR_NsrR	adiA//
CRP_DcuR_FNR_NarL	prpE//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	paaZ//mnmG//
CRP_DpiA_ExuR	entH//
CRP_DsdC	glcB//nfsA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mhpB//
CRP_ExuR	ansB//
CRP_ExuR_FNR	sodA//ssuE//
CRP_ExuR_OxyR_UxuR	mhpE//ansB//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glgA//
CRP_FNR_Fis	bglB//idnK//
CRP_FNR_Fis_GlpR_IHF	entF//gnd//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nrdF//aceE//napH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	lpxD//pck//aspC//hpt//mhpE//
CRP_FNR_NarL	bglB//nrfD//
CRP_FeaR_NsrR	astA//
CRP_Fis	fbaA//chbF//mraY//
CRP_Fis_FlhDC_GalR_GalS	uidA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glyA//nrdB//
CRP_Fis_IHF	hemA//tauD//metB//
CRP_Fis_NanR	moaA//murQ//fucK//ndh//
CRP_Fis_NtrC	fabZ//
CRP_Fis_XylR	fabA//
CRP_FlhDC_GalR_GalS	glpD//
CRP_FucR	atoD//codA//fabB//atoA//truB//hycG//
CRP_Fur	ulaF//caiA//gapA//accB//murF//hpt//cdd//rutB//ulaE//glcF//
CRP_Fur_HypT_PdhR	yiaK//fucK//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	tdcB//rbsD//purN//uxaB//
CRP_GalR_GalS_NagC	lhgO//
CRP_GlpR	cysG//ogt//tdcG//
CRP_GntR	prpB//
CRP_GntR_IdnR	hcp//mhpC//aceE//lsrF//lacZ//nagA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	chbF//argG//ilvH//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	mhpB//
CRP_H-NS_LacI	lysA//murF//mhpA//
CRP_H-NS_LeuO	paaZ//
CRP_H-NS_MqsA	
CRP_IHF	pnp//paaC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	ugpQ//
CRP_IHF_PaaX	aroL//guaA//rutD//murD//narH//gutQ//rimK//appA//
CRP_IHF_UlaR	ilvI//narI//carA//umpH//
CRP_IHF_YiaJ	mhpA//puuE//metK//galE//epd//sdhA//
CRP_LexA	
CRP_Lrp	lpd//ftnA//hycB//entB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	paaC//
CRP_LsrR	deoB//glcF//accB//sodA//pyrD//
CRP_MalI	fabB//lacA//
CRP_MalT	gatZ//lacA//
CRP_MalT_PhoP	paaZ//
CRP_MelR	glgC//gltD//
CRP_MetJ	idnO//
CRP_MhpR	napH//rutD//deoB//lacZ//deoB//torC//
CRP_Mlc	
CRP_ModE	nemA//
CRP_MurR	deoD//fau//mazG//
CRP_Nac_NsrR_PhoB	
CRP_NadR	paaH//
CRP_NagC	fabA//paaK//aroG//prmC//mpl//
CRP_NagC_NanR	nanK//uxaB//
CRP_NagC_PhoP	nfsB//
CRP_OxyR	
CRP_OxyR_UxuR	lysA//
CRP_PhoB	metE//sucC//
CRP_PhoP	hyaB//ugpQ//lacZ//
CRP_PutA	pgaB//
CRP_RbsR	glcE//uxuA//rhaD//
CRP_RhaR_RhaS	
CRP_RhaS	lpxA//nfsB//uxaA//
CRP_Rob	glgC//
CRP_TorR	astC//ugpQ//
CRP_UhpA_UvrY	rutA//
CRP_UidR_UxuR	fucO//glcD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fabZ//nrdA//
Cbl_CysB_FNR_IHF	gntK//rimK//lpd//
CdaR_FNR_Fis_Fur_H-NS	ubiA//mdh//
CdaR_FNR_Fur_H-NS	bglB//nagB//sucD//paaJ//
CpxR_CsgD_FliZ	
CpxR_CysB	carB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	nirB//
CpxR_GadE	malY//ilvG_2//fbaA//
CpxR_H-NS	ulaD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	nrdF//
Cra_FNR_Fis_Lrp_NarL	deoB//
Cra_FNR_Fur_MarA_Rob_SoxS	gabD//
Cra_FhlA_FlhDC	lacA//
Cra_GntR_KdgR	pspE//
Cra_GntR_KdgR_PhoB	prpB//
Cra_MarA_SoxS	tnaA//
Cra_PdeL	murG//
Cra_SgrR	aceF//
Cra_TyrR	fes//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gatD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ulaG//acnA//
CusR_PhoB_YedW	fucO//
CysB_H-NS	sgbU//glpQ//dmsA//
CysB_HypT_IHF	sgbE//
CysB_IHF	puuE//paaC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	metK//
DinJ-YafQ_LexA	tdcE//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	carB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	aspC//
FNR_FhlA_NarL_NarP	nrfC//hycE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glgA//
FNR_Fis_IHF_ModE_NarL	entB//
FNR_Fis_IHF_NarL	pgk//
FNR_Fis_IHF_NarL_RstA	ulaD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gloA//
FNR_FlhDC_ModE_NarL_NarP	aceA//
FNR_Fur	eda//guaA//
FNR_Fur_GadE	metB//
FNR_Fur_GadX_NtrC	lysA//
FNR_Fur_H-NS	prmC//nrfC//sucA//
FNR_Fur_MetR_NsrR	gabD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	garR//
FNR_Fur_OxyR	serA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	pdeL//
FNR_H-NS_NrdR	glpC//lsrF//
FNR_IHF	lpd//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	caiB//
FNR_IHF_PhoB	
FNR_MalT	acs//lysA//
FNR_ModE	
FNR_NarL	glpD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	astB//edd//
FNR_NarL_NikR	hypB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	lpxD//hycE//
FNR_YqjI	
FabR_FadR	aceE//lacA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	uxaC//nrfB//
FhlA_IHF_NsrR	
Fis_Fur	entA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	pyrD//
Fis_IHF	
Fis_IHF_NtrC	citC//glyA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	chbF//
Fis_NarL	adiA//
Fis_NarL_NarP_NsrR	
Fis_PurR	lldD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	glpC//
Fur_H-NS	moaD//serA//
Fur_IHF_IscR_NsrR_OxyR	deoA//
Fur_IscR_NrdR	guaA//
Fur_MetR	galK//
Fur_MntR	betB//
Fur_MntR_OxyR	ppiA//
Fur_OxyR	
Fur_PurR	narG//
Fur_RcnR	fumB//
Fur_RutR	katE//
Fur_SoxS_Zur	
Fur_YqjI	gltA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	gloA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	gatD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	paaG//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	murF//
H-NS_Lrp_NhaR_RcsB	ilvG_2//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	fadD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	bglB//
HU_IHF_TyrR	gloA//
HigA_HigB-HigA	nagB//
HipAB_HipB_IHF	moaD//
HypT_MetJ	carA//
HypT_MetJ_PhoP	sucA//betA//
IHF_Lrp	pgaD//galM//ulaD//edd//hyaB//
IHF_NsrR	
IHF_NtrC	aceE//
IHF_PhoP	
IHF_PspF	ogt//
IHF_RcsAB	
IHF_RtcR	gcvH//hemA//
IHF_TyrR	guaB//
IHF_UlaR	mhpE//
LexA_MraZ_PdhR	ulaG//appA//mhpA//nrfB//tdcB//galM//purH//idnK//dmsC//ssuE//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	acnA//tdcB//
MarA_PhoP_Rob_SoxS	pyrC//sdhC//pdeR//astD//astD//mhpE//moaA//ogt//pck//
MarA_Rob_SoxS	tauD//uxaA//
MarA_SoxS	fadE//citG//ilvH//
MetJ_MetR	mdh//
MetJ_OxyR	nemA//
MetR_PurR	pspE//
MraZ_PdhR	murE//
Nac_PurR	mtlD//aroA//
NarL_TorR	lsrF//
NemR_RutR	napC//glpD//
NhaR_OmpR	gadB//atoB//ilvE//
NorR_NsrR	
NsrR_PhoB	rutB//
OxyR_SoxS	
PdhR_PhoP	narG//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	uxaA//glpX//
RelB_RelB-RelE	glpB//
TrpR_TyrR	caiA//
YefM_YefM-YoeB	eda//
