# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	galT//lysA//
ArcA_CRP_IHF	ilvA//
ArcA_CRP_PuuR	citD//ilvD//ilvM//gapA//
ArcA_CRP_RhaS	entD//
ArcA_CRP_TreR	rutE//ahpF//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pflB//uxaA//
ArcA_Cra	glpB//
ArcA_Cra_FNR_H-NS_HypT	galE//
ArcA_CysB_FNR	
ArcA_FNR	napB//sucD//lysA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	deoB//
ArcA_FNR_Fis_IHF_NarL	fucA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	lysA//nanK//
ArcA_FNR_IHF_NarL	citC//cysM//
ArcA_FNR_NarL	frdC//lacA//glpC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	araB//waaH//
ArcA_FadR	rbsD//pspE//glpX//
ArcA_FadR_Fis	murF//sucD//
ArcA_Fur_Lrp_ModE	cysG//sodA//
ArcA_GlcC_IHF_PdhR	feaB//paaH//purN//
ArcA_LexA	nrdF//
ArcA_LldR	metH//ilvG_2//
ArcA_NarL	puuE//
ArcA_NtrC_PhoP_RutR	pgaB//fau//fadB//glpK//puuE//glgP//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gatZ//
ArgP_CRP_FNR_Fur_Nac	rutA//
ArgP_DnaA	katG//
ArgP_Lrp	fadJ//cysG//
ArgP_LysR	metB//
ArgP_PhoB	
ArgR_CRP	glcD//
ArgR_CRP_Fis	katE//malQ//accB//
ArgR_Fis_IHF_PepA_PurR_RutR	galK//
ArgR_H-NS_NtrC	nfsA//serA//
ArgR_NtrC	deoC//yqjH//prpB//nrdD//ssuE//
ArgR_PhoP	cysM//
AscG_CRP	aceA//adhE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	metK//
AtoC_IHF	aceE//glpQ//lacA//
BaeR_CpxR	murG//
BaeR_CpxR_EvgA	dmsC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	puuE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	sgbH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	entH//pspE//dsdA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	rbsK//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	yiaK//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	galK//mhpD//sucC//frdB//pflB//serC//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rutD//rsmH//sucD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fadD//uxaB//glgC//
CRP_Cra_Mlc_NagC	galE//accB//cysM//entD//
CRP_Cra_PrpR	fabA//sodB//paaA//zwf//
CRP_CreB_Fis_MalT	pncB//
CRP_CsiR_H-NS_Lrp	glpA//
CRP_CsiR_H-NS_Lrp_Nac	mraY//ackA//edd//
CRP_CspA_Fis	rutB//
CRP_CytR	serC//
CRP_CytR_DeoR	araA//hemL//
CRP_CytR_DeoR_Fis_ModE	nanE//galK//torC//feaB//
CRP_CytR_Nac	nanE//
CRP_CytR_NsrR	sgbU//
CRP_DcuR_FNR_NarL	ansB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	mhpF//glcB//
CRP_DpiA_ExuR	tnaA//
CRP_DsdC	poxB//uxuA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hypF//
CRP_ExuR	paaI//
CRP_ExuR_FNR	uxuB//pflB//
CRP_ExuR_OxyR_UxuR	rutD//lsrG//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	yqjH//
CRP_FNR_Fis	caiD//glgC//
CRP_FNR_Fis_GlpR_IHF	nrfB//tnaA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	gapA//narH//ynfE//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	rutB//pgaB//glcB//napB//fdhF//
CRP_FNR_NarL	mazG//fadH//
CRP_FeaR_NsrR	dmsA//
CRP_Fis	pdeL//glcE//gdhA//
CRP_Fis_FlhDC_GalR_GalS	cysM//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hemL//lhgO//
CRP_Fis_IHF	galM//glpK//cysH//
CRP_Fis_NanR	murE//lhgO//waaZ//glpD//
CRP_Fis_NtrC	lldD//
CRP_Fis_XylR	epd//
CRP_FlhDC_GalR_GalS	hyaC//
CRP_FucR	rnpB//rimK//lacZ//gadB//accC//ilvG_1//
CRP_Fur	srlD//waaZ//glpK//ilvE//ssuD//gloA//araA//fadI//carB//napC//
CRP_Fur_HypT_PdhR	malS//deoD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	tdcE//rutA//napB//aceB//
CRP_GalR_GalS_NagC	moeA//
CRP_GlpR	accB//astB//gltB//
CRP_GntR	nanM//
CRP_GntR_IdnR	mhpB//frdA//aceF//hcp//purH//gabD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	glpD//hycB//sucA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	dusB//
CRP_H-NS_LacI	frdD//lsrK//murG//
CRP_H-NS_LeuO	fucO//
CRP_H-NS_MqsA	
CRP_IHF	caiA//lpxA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glcD//
CRP_IHF_PaaX	entA//murC//fau//frdA//aroG//betA//ilvI//xylA//
CRP_IHF_UlaR	pyrD//entF//napB//fadE//
CRP_IHF_YiaJ	pspE//argG//hycC//sucD//sdhC//paaK//
CRP_LexA	
CRP_Lrp	ascB//mhpB//ynfE//dmsC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	glpC//
CRP_LsrR	paaB//dmsB//rhaA//prpB//acs//
CRP_MalI	guaA//galE//
CRP_MalT	fumA//adhE//
CRP_MalT_PhoP	astB//
CRP_MelR	pgaB//lyxK//
CRP_MetJ	gnd//
CRP_MhpR	sdhB//mhpF//malP//dmsA//fabA//melA//
CRP_Mlc	
CRP_ModE	glpD//
CRP_MurR	codA//fadD//lyxK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	tdcE//
CRP_NagC	napC//dmsC//lpxA//glcF//uxaC//
CRP_NagC_NanR	frdB//prpC//
CRP_NagC_PhoP	frdB//
CRP_OxyR	
CRP_OxyR_UxuR	glgP//
CRP_PhoB	ilvE//hemL//
CRP_PhoP	galM//adiA//gdhA//
CRP_PutA	idnD//
CRP_RbsR	fadE//cysM//araA//
CRP_RhaR_RhaS	
CRP_RhaS	lacZ//fadA//aceB//
CRP_Rob	melA//
CRP_TorR	metK//astA//
CRP_UhpA_UvrY	hmp//
CRP_UidR_UxuR	araB//caiD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	sgbH//ldtB//
Cbl_CysB_FNR_IHF	deoA//pyrC//mdh//
CdaR_FNR_Fis_Fur_H-NS	fes//udp//
CdaR_FNR_Fur_H-NS	aceA//cysI//tdcE//paaF//
CpxR_CsgD_FliZ	
CpxR_CysB	frdD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	uidA//
CpxR_GadE	ilvM//tdcG//rutE//
CpxR_H-NS	hypF//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	gatD//
Cra_FNR_Fis_Lrp_NarL	rutC//
Cra_FNR_Fur_MarA_Rob_SoxS	putA//
Cra_FhlA_FlhDC	prpB//
Cra_GntR_KdgR	entF//
Cra_GntR_KdgR_PhoB	srlD//
Cra_MarA_SoxS	ynfH//
Cra_PdeL	napC//
Cra_SgrR	glcD//
Cra_TyrR	cysG//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ulaF//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	pgaB//ulaD//
CusR_PhoB_YedW	araA//
CysB_H-NS	hemA//nfsA//ndh//
CysB_HypT_IHF	kbaZ//
CysB_IHF	dadA//glcB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	fbaA//
DinJ-YafQ_LexA	astC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	puuD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	aroA//
FNR_FhlA_NarL_NarP	murD//sgbH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nanM//
FNR_Fis_IHF_ModE_NarL	gntK//
FNR_Fis_IHF_NarL	aceA//
FNR_Fis_IHF_NarL_RstA	aroG//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	patA//
FNR_FlhDC_ModE_NarL_NarP	accB//
FNR_Fur	dmsA//frdB//
FNR_Fur_GadE	icd//
FNR_Fur_GadX_NtrC	purM//
FNR_Fur_H-NS	gadB//nrfC//nrdD//
FNR_Fur_MetR_NsrR	entA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	purH//
FNR_Fur_OxyR	rhaA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	malQ//
FNR_H-NS_NrdR	gabT//entF//
FNR_IHF	sucD//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fucA//
FNR_IHF_PhoB	
FNR_MalT	pnp//atoA//
FNR_ModE	
FNR_NarL	uxaC//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ndh//appA//
FNR_NarL_NikR	pdeR//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	truB//fadJ//
FNR_YqjI	
FabR_FadR	pgaC//frdA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	tdcE//ascB//
FhlA_IHF_NsrR	
Fis_Fur	hpt//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	relA//
Fis_IHF	
Fis_IHF_NtrC	hyaB//dmsC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	deoC//
Fis_NarL	galE//
Fis_NarL_NarP_NsrR	
Fis_PurR	sgbU//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	katE//
Fur_H-NS	xylA//fdhF//
Fur_IHF_IscR_NsrR_OxyR	yiaK//
Fur_IscR_NrdR	narH//
Fur_MetR	astA//
Fur_MntR	fucA//
Fur_MntR_OxyR	pgaB//
Fur_OxyR	
Fur_PurR	sodB//
Fur_RcnR	argD//
Fur_RutR	aroG//
Fur_SoxS_Zur	
Fur_YqjI	ansB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	zwf//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	glpX//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	uvrA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	rnpB//
H-NS_Lrp_NhaR_RcsB	rimK//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	moaA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	yqjH//
HU_IHF_TyrR	entF//
HigA_HigB-HigA	melA//
HipAB_HipB_IHF	entH//
HypT_MetJ	aroA//
HypT_MetJ_PhoP	glgA//lyxK//
IHF_Lrp	paaI//pyrC//mnmG//ulaE//uidA//
IHF_NsrR	
IHF_NtrC	entC//
IHF_PhoP	
IHF_PspF	caiA//
IHF_RcsAB	
IHF_RtcR	entD//rutE//
IHF_TyrR	hmp//
IHF_UlaR	acnB//
LexA_MraZ_PdhR	moaD//ascB//lpxA//metB//glpA//nagB//lpxD//ulaE//pgaD//purD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	nanE//nagB//
MarA_PhoP_Rob_SoxS	sodA//malP//betA//glpD//uxaC//nrdE//rhaD//lhgO//citD//
MarA_Rob_SoxS	cysH//metE//
MarA_SoxS	paaH//malQ//folA//
MetJ_MetR	treC//
MetJ_OxyR	nrdA//
MetR_PurR	aroL//
MraZ_PdhR	deoC//
Nac_PurR	nrfA//cysM//
NarL_TorR	lsrK//
NemR_RutR	glgA//rutD//
NhaR_OmpR	ssuE//hpt//fumC//
NorR_NsrR	
NsrR_PhoB	araD//
OxyR_SoxS	
PdhR_PhoP	acnA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	paaK//waaZ//
RelB_RelB-RelE	astE//
TrpR_TyrR	ahpF//
YefM_YefM-YoeB	aroG//
