# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	guaB//gabD//
ArcA_CRP_IHF	hycD//
ArcA_CRP_PuuR	rnpB//hycF//narH//lsrG//
ArcA_CRP_RhaS	prpE//
ArcA_CRP_TreR	mpl//mhpA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lpxC//ynfF//
ArcA_Cra	poxB//
ArcA_Cra_FNR_H-NS_HypT	lysA//
ArcA_CysB_FNR	
ArcA_FNR	mhpD//narG//moeB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	aspA//
ArcA_FNR_Fis_IHF_NarL	appA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	prpE//paaI//
ArcA_FNR_IHF_NarL	astD//eda//
ArcA_FNR_NarL	glgA//gcvP//argG//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	lpxC//sgbH//
ArcA_FadR	serA//carB//gadB//
ArcA_FadR_Fis	cysI//aceE//
ArcA_Fur_Lrp_ModE	metH//fes//
ArcA_GlcC_IHF_PdhR	napC//fdhF//ackA//
ArcA_LexA	purN//
ArcA_LldR	rbsD//eda//
ArcA_NarL	prpE//
ArcA_NtrC_PhoP_RutR	umpH//napB//paaG//nrdB//narH//bglB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	aceF//
ArgP_CRP_FNR_Fur_Nac	hypB//
ArgP_DnaA	gcvP//
ArgP_Lrp	sucC//fabB//
ArgP_LysR	hyaC//
ArgP_PhoB	
ArgR_CRP	cysI//
ArgR_CRP_Fis	glpC//mtlD//glpQ//
ArgR_Fis_IHF_PepA_PurR_RutR	entH//
ArgR_H-NS_NtrC	murF//rsmH//
ArgR_NtrC	aldB//sdhB//torA//rbsD//frdD//
ArgR_PhoP	ilvG_2//
AscG_CRP	ubiC//ftsI//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	astA//
AtoC_IHF	ansB//ackA//dgcZ//
BaeR_CpxR	acs//
BaeR_CpxR_EvgA	adhE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	astB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	fucK//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	paaA//gcvT//entC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hycE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gadB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	atoD//araD//katE//malY//nrdE//guaB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	codA//yiaK//acnA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fucI//deoC//galT//
CRP_Cra_Mlc_NagC	deoA//entA//gapA//pgaB//
CRP_Cra_PrpR	nirD//entA//mhpF//gcd//
CRP_CreB_Fis_MalT	malP//
CRP_CsiR_H-NS_Lrp	rbsD//
CRP_CsiR_H-NS_Lrp_Nac	mhpF//guaA//fabA//
CRP_CspA_Fis	moaE//
CRP_CytR	astC//
CRP_CytR_DeoR	lhgO//napG//
CRP_CytR_DeoR_Fis_ModE	cysH//ubiA//appA//napB//
CRP_CytR_Nac	gcvH//
CRP_CytR_NsrR	ilvG_2//
CRP_DcuR_FNR_NarL	accC//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	citX//lpxD//
CRP_DpiA_ExuR	tauD//
CRP_DsdC	pflB//gadA//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	garR//
CRP_ExuR	idnO//
CRP_ExuR_FNR	ftnA//gutQ//
CRP_ExuR_OxyR_UxuR	astA//umpH//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hycD//
CRP_FNR_Fis	argD//icd//
CRP_FNR_Fis_GlpR_IHF	katE//accB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nrdA//nagA//nagA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	lacZ//gcvP//citX//gcvH//moaD//
CRP_FNR_NarL	deoC//caiC//
CRP_FeaR_NsrR	fucK//
CRP_Fis	cysH//bglB//waaY//
CRP_Fis_FlhDC_GalR_GalS	murC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	garK//gltB//
CRP_Fis_IHF	astB//moeA//mhpD//
CRP_Fis_NanR	ddlB//mpl//bglB//pgaB//
CRP_Fis_NtrC	entE//
CRP_Fis_XylR	hyaA//
CRP_FlhDC_GalR_GalS	hyaB//
CRP_FucR	entB//pdeL//fumA//glpX//poxB//cysG//
CRP_Fur	sgbH//rbsD//pnp//prmC//malP//deoB//mhpD//araB//katE//yiaK//
CRP_Fur_HypT_PdhR	ubiC//moeA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	pgaD//entD//fucU//pncB//
CRP_GalR_GalS_NagC	mhpA//
CRP_GlpR	serC//aldB//prpC//
CRP_GntR	hypF//
CRP_GntR_IdnR	guaB//atoD//ftnA//moaA//appA//aldA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nagB//cysJ//dmsC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	nanM//
CRP_H-NS_LacI	xylB//katE//fucK//
CRP_H-NS_LeuO	lldD//
CRP_H-NS_MqsA	
CRP_IHF	ansB//yiaK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	paaK//
CRP_IHF_PaaX	gltD//prpB//frdB//citC//entH//glpQ//lhgO//nanK//
CRP_IHF_UlaR	mpl//aldB//metL//narI//
CRP_IHF_YiaJ	carA//hcp//nanA//hyaC//mdh//fbaA//
CRP_LexA	
CRP_Lrp	lpxA//citC//fau//moaD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ugpQ//
CRP_LsrR	tnaA//prpD//fadA//nrdB//gloA//
CRP_MalI	hycB//ldtB//
CRP_MalT	puuD//pyrD//
CRP_MalT_PhoP	ulaD//
CRP_MelR	malS//nrfD//
CRP_MetJ	glcF//
CRP_MhpR	mhpA//rutC//cdd//rsmH//fucK//araA//
CRP_Mlc	
CRP_ModE	nemA//
CRP_MurR	ulaG//appA//gcvP//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ynfF//
CRP_NagC	entA//gltA//nrdE//nfsB//caiC//
CRP_NagC_NanR	sucD//hycG//
CRP_NagC_PhoP	chbG//
CRP_OxyR	
CRP_OxyR_UxuR	ddlB//
CRP_PhoB	rutC//glpC//
CRP_PhoP	glpC//ddlB//sdhC//
CRP_PutA	paaF//
CRP_RbsR	chbG//cysJ//fadI//
CRP_RhaR_RhaS	
CRP_RhaS	gcvH//rutA//lldD//
CRP_Rob	rimK//
CRP_TorR	umpH//fucK//
CRP_UhpA_UvrY	cysG//
CRP_UidR_UxuR	puuD//fumB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	idnK//betB//
Cbl_CysB_FNR_IHF	truB//moeA//xylB//
CdaR_FNR_Fis_Fur_H-NS	fes//pflB//
CdaR_FNR_Fur_H-NS	ogt//metE//folA//purA//
CpxR_CsgD_FliZ	
CpxR_CysB	hmp//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ilvM//
CpxR_GadE	gatD//mraY//eda//
CpxR_H-NS	glpB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	serA//
Cra_FNR_Fis_Lrp_NarL	puuA//
Cra_FNR_Fur_MarA_Rob_SoxS	ynfF//
Cra_FhlA_FlhDC	torC//
Cra_GntR_KdgR	paaZ//
Cra_GntR_KdgR_PhoB	deoB//
Cra_MarA_SoxS	hypF//
Cra_PdeL	cysM//
Cra_SgrR	nanM//
Cra_TyrR	rhaB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tdcE//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	pncB//aspC//
CusR_PhoB_YedW	citD//
CysB_H-NS	rutC//ilvG_1//sucC//
CysB_HypT_IHF	metE//
CysB_IHF	waaY//gabT//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	dmsA//
DinJ-YafQ_LexA	srlD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	aspA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	prpB//
FNR_FhlA_NarL_NarP	hemA//gntK//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	lysA//
FNR_Fis_IHF_ModE_NarL	hypB//
FNR_Fis_IHF_NarL	deoB//
FNR_Fis_IHF_NarL_RstA	puuD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ssuE//
FNR_FlhDC_ModE_NarL_NarP	ynfH//
FNR_Fur	metB//rutB//
FNR_Fur_GadE	ldtB//
FNR_Fur_GadX_NtrC	metE//
FNR_Fur_H-NS	paaG//ilvH//tnaA//
FNR_Fur_MetR_NsrR	sgbU//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	narG//
FNR_Fur_OxyR	napG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	hycD//
FNR_H-NS_NrdR	deoD//fumB//
FNR_IHF	mhpA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	sodB//
FNR_IHF_PhoB	
FNR_MalT	fucA//frdB//
FNR_ModE	
FNR_NarL	caiB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	fumC//sdhA//
FNR_NarL_NikR	treC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	napG//ahpC//
FNR_YqjI	
FabR_FadR	hycG//tauD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	aldA//glpC//
FhlA_IHF_NsrR	
Fis_Fur	malS//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	aceF//
Fis_IHF	
Fis_IHF_NtrC	dsdA//ahpC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	glpB//
Fis_NarL	mraY//
Fis_NarL_NarP_NsrR	
Fis_PurR	poxB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	glpC//
Fur_H-NS	ilvG_2//pgaC//
Fur_IHF_IscR_NsrR_OxyR	ulaG//
Fur_IscR_NrdR	fucU//
Fur_MetR	pgaC//
Fur_MntR	guaA//
Fur_MntR_OxyR	aceB//
Fur_OxyR	
Fur_PurR	araB//
Fur_RcnR	moeB//
Fur_RutR	pncB//
Fur_SoxS_Zur	
Fur_YqjI	rbsD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fbaA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	hycE//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	gcvP//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	frdB//
H-NS_Lrp_NhaR_RcsB	cadA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	cysG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ssuD//
HU_IHF_TyrR	relA//
HigA_HigB-HigA	ssuE//
HipAB_HipB_IHF	fucU//
HypT_MetJ	yqjH//
HypT_MetJ_PhoP	aceA//sufS//
IHF_Lrp	nrdE//ldtB//citG//ilvI//lpxC//
IHF_NsrR	
IHF_NtrC	mtlD//
IHF_PhoP	
IHF_PspF	sgbE//
IHF_RcsAB	
IHF_RtcR	moeB//icd//
IHF_TyrR	glpB//
IHF_UlaR	nfsB//
LexA_MraZ_PdhR	ahpF//dmsC//napB//rhaB//lpxA//frdD//hcp//dadA//acs//adhE//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	puuE//ilvM//
MarA_PhoP_Rob_SoxS	purD//entF//waaZ//moaD//murC//napA//adhE//dadA//ssuE//
MarA_Rob_SoxS	puuD//accC//
MarA_SoxS	araA//relA//gltD//
MetJ_MetR	argG//
MetJ_OxyR	gadB//
MetR_PurR	fucU//
MraZ_PdhR	sdhB//
Nac_PurR	ulaG//paaI//
NarL_TorR	fbaA//
NemR_RutR	tdcB//betB//
NhaR_OmpR	prpC//melA//glpQ//
NorR_NsrR	
NsrR_PhoB	paaF//
OxyR_SoxS	
PdhR_PhoP	prpD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	serC//pdeR//
RelB_RelB-RelE	rbsK//
TrpR_TyrR	torC//
YefM_YefM-YoeB	dusB//
