# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	napH//araD//
ArcA_CRP_IHF	sgbH//
ArcA_CRP_PuuR	ilvG_1//fadE//bglB//sodB//
ArcA_CRP_RhaS	appA//
ArcA_CRP_TreR	glpB//lpxC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	ubiA//sgbE//
ArcA_Cra	guaA//
ArcA_Cra_FNR_H-NS_HypT	puuA//
ArcA_CysB_FNR	
ArcA_FNR	ulaD//ilvI//dadA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	napA//
ArcA_FNR_Fis_IHF_NarL	chbG//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	hycD//lacA//
ArcA_FNR_IHF_NarL	aceE//serC//
ArcA_FNR_NarL	nirB//fucO//cysJ//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	cadA//ilvG_1//
ArcA_FadR	mhpD//narH//ulaE//
ArcA_FadR_Fis	nrdE//moaD//
ArcA_Fur_Lrp_ModE	ilvG_1//fucO//
ArcA_GlcC_IHF_PdhR	mhpE//rimK//fadA//
ArcA_LexA	fadD//
ArcA_LldR	caiC//aroG//
ArcA_NarL	moaD//
ArcA_NtrC_PhoP_RutR	lpxA//fbaA//hycD//astB//metE//entA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	ftsI//
ArgP_CRP_FNR_Fur_Nac	yqjH//
ArgP_DnaA	ilvD//
ArgP_Lrp	astB//nfsB//
ArgP_LysR	astE//
ArgP_PhoB	
ArgR_CRP	fadI//
ArgR_CRP_Fis	ddlB//galE//pyrC//
ArgR_Fis_IHF_PepA_PurR_RutR	nrfC//
ArgR_H-NS_NtrC	deoA//dsdA//
ArgR_NtrC	glpA//lsrK//tnaA//mhpD//fbaA//
ArgR_PhoP	murG//
AscG_CRP	galT//cysM//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	pflB//
AtoC_IHF	aceA//caiD//paaF//
BaeR_CpxR	nagB//
BaeR_CpxR_EvgA	puuE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	aceA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	fadD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	aroL//garK//ynfH//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fabZ//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	recF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaJ//paaC//ssuE//entA//paaK//deoD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lpd//deoC//nrdE//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	caiB//pgaC//sgbH//
CRP_Cra_Mlc_NagC	entA//murD//ahpC//folA//
CRP_Cra_PrpR	cyoE//gutQ//rhaB//rhaD//
CRP_CreB_Fis_MalT	araD//
CRP_CsiR_H-NS_Lrp	tam//
CRP_CsiR_H-NS_Lrp_Nac	fau//glgA//nrfD//
CRP_CspA_Fis	adhE//
CRP_CytR	hyaA//
CRP_CytR_DeoR	bglB//hycE//
CRP_CytR_DeoR_Fis_ModE	dadX//tnaA//caiC//mhpA//
CRP_CytR_Nac	cysM//
CRP_CytR_NsrR	gcd//
CRP_DcuR_FNR_NarL	citD//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ftnA//citE//
CRP_DpiA_ExuR	relA//
CRP_DsdC	garL//katE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	murQ//
CRP_ExuR	entH//
CRP_ExuR_FNR	glgP//gabT//
CRP_ExuR_OxyR_UxuR	deoD//sgbH//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mnmG//
CRP_FNR_Fis	bglB//dgcZ//
CRP_FNR_Fis_GlpR_IHF	serA//cysG//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	nanA//galK//galM//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	cysG//idnK//nrdE//rbsD//putA//
CRP_FNR_NarL	glpQ//purM//
CRP_FeaR_NsrR	citF//
CRP_Fis	chbF//acnA//rutA//
CRP_Fis_FlhDC_GalR_GalS	uxaB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	entB//treC//
CRP_Fis_IHF	serC//rsmH//nrdD//
CRP_Fis_NanR	nrdF//udp//acs//nanM//
CRP_Fis_NtrC	aceF//
CRP_Fis_XylR	ansB//
CRP_FlhDC_GalR_GalS	cadA//
CRP_FucR	poxB//adhE//cysJ//uvrA//fucI//relA//
CRP_Fur	murC//nemA//caiA//ugpQ//citC//putA//nrfC//astC//glcB//tauD//
CRP_Fur_HypT_PdhR	ddlB//uxaA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	accC//rhaA//hycC//garL//
CRP_GalR_GalS_NagC	fadJ//
CRP_GlpR	argD//prpC//hypB//
CRP_GntR	hypF//
CRP_GntR_IdnR	sdhA//hmp//carA//katG//nrfD//yiaK//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	glcF//nrfC//prpC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	hycG//
CRP_H-NS_LacI	aceA//sgbH//rutB//
CRP_H-NS_LeuO	acnB//
CRP_H-NS_MqsA	
CRP_IHF	tdcB//ilvI//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	ubiC//
CRP_IHF_PaaX	nanA//puuE//glpC//aceF//sgbU//nanM//hemL//galM//
CRP_IHF_UlaR	rbsD//mhpC//acnB//mhpC//
CRP_IHF_YiaJ	umpH//fucU//adiA//gcvH//nagA//hmp//
CRP_LexA	
CRP_Lrp	pdeL//pncB//gapA//purH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ddlB//
CRP_LsrR	napA//dadX//aspA//yqjH//ynfF//
CRP_MalI	tdcB//fbaA//
CRP_MalT	sgbE//hypF//
CRP_MalT_PhoP	mtlD//
CRP_MelR	fadI//fadB//
CRP_MetJ	pflB//
CRP_MhpR	udp//prpD//hcp//entD//fumA//rutB//
CRP_Mlc	
CRP_ModE	sgbU//
CRP_MurR	garR//ulaG//dmsA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	murG//
CRP_NagC	yiaK//rutD//chbG//dsdA//idnK//
CRP_NagC_NanR	dmsC//ulaG//
CRP_NagC_PhoP	adiA//
CRP_OxyR	
CRP_OxyR_UxuR	sucC//
CRP_PhoB	ascB//xylA//
CRP_PhoP	lsrG//entD//lyxK//
CRP_PutA	moaD//
CRP_RbsR	mhpF//idnK//rhaA//
CRP_RhaR_RhaS	
CRP_RhaS	acnA//citD//mpl//
CRP_Rob	malQ//
CRP_TorR	sgbU//glyA//
CRP_UhpA_UvrY	ubiA//
CRP_UidR_UxuR	srlD//uxuA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	hycD//serC//
Cbl_CysB_FNR_IHF	ilvA//lhgO//serC//
CdaR_FNR_Fis_Fur_H-NS	lpxA//entD//
CdaR_FNR_Fur_H-NS	paaZ//fadI//lpxC//aceA//
CpxR_CsgD_FliZ	
CpxR_CysB	gcvP//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pyrC//
CpxR_GadE	cysI//hycE//epd//
CpxR_H-NS	glgP//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	gatZ//
Cra_FNR_Fis_Lrp_NarL	paaC//
Cra_FNR_Fur_MarA_Rob_SoxS	prpE//
Cra_FhlA_FlhDC	paaH//
Cra_GntR_KdgR	entA//
Cra_GntR_KdgR_PhoB	gabD//
Cra_MarA_SoxS	murD//
Cra_PdeL	paaB//
Cra_SgrR	gcvH//
Cra_TyrR	entE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	guaA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	mhpF//uvrA//
CusR_PhoB_YedW	ilvI//
CysB_H-NS	dsdA//eda//appA//
CysB_HypT_IHF	torC//
CysB_IHF	napB//glpX//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	lsrF//
DinJ-YafQ_LexA	ftsI//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	hyaC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	entH//
FNR_FhlA_NarL_NarP	yqjH//ilvG_2//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	lhgO//
FNR_Fis_IHF_ModE_NarL	narG//
FNR_Fis_IHF_NarL	nfsB//
FNR_Fis_IHF_NarL_RstA	frdC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	atoA//
FNR_FlhDC_ModE_NarL_NarP	glyA//
FNR_Fur	uvrA//glcD//
FNR_Fur_GadE	tdcE//
FNR_Fur_GadX_NtrC	astA//
FNR_Fur_H-NS	rutC//entD//tam//
FNR_Fur_MetR_NsrR	relA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	purN//
FNR_Fur_OxyR	sgbE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	glpA//
FNR_H-NS_NrdR	icd//metE//
FNR_IHF	acnA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nrdA//
FNR_IHF_PhoB	
FNR_MalT	nagA//glpX//
FNR_ModE	
FNR_NarL	deoC//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ackA//ynfG//
FNR_NarL_NikR	fabZ//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	truB//xylB//
FNR_YqjI	
FabR_FadR	lpxA//sucC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ynfF//galT//
FhlA_IHF_NsrR	
Fis_Fur	ilvM//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	nagA//
Fis_IHF	
Fis_IHF_NtrC	aspA//tdcB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	citF//
Fis_NarL	ulaD//
Fis_NarL_NarP_NsrR	
Fis_PurR	glpC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	fucI//
Fur_H-NS	tauD//ftsI//
Fur_IHF_IscR_NsrR_OxyR	poxB//
Fur_IscR_NrdR	moaE//
Fur_MetR	adiA//
Fur_MntR	citG//
Fur_MntR_OxyR	pck//
Fur_OxyR	
Fur_PurR	carB//
Fur_RcnR	carA//
Fur_RutR	pdeR//
Fur_SoxS_Zur	
Fur_YqjI	fadB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	ynfF//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fadH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	acnA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ulaG//
H-NS_Lrp_NhaR_RcsB	murF//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	frdC//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	tdcE//
HU_IHF_TyrR	fbaA//
HigA_HigB-HigA	lpd//
HipAB_HipB_IHF	fadI//
HypT_MetJ	narI//
HypT_MetJ_PhoP	sgbU//ynfF//
IHF_Lrp	kbaZ//dmsA//tdcD//idnK//pck//
IHF_NsrR	
IHF_NtrC	frdD//
IHF_PhoP	
IHF_PspF	ogt//
IHF_RcsAB	
IHF_RtcR	sgbH//mhpF//
IHF_TyrR	pdeL//
IHF_UlaR	pyrD//
LexA_MraZ_PdhR	zwf//rhaD//cysH//ilvA//lsrF//cysM//truB//astE//sgbE//lldD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	aceB//pncB//
MarA_PhoP_Rob_SoxS	gcvH//glcF//tnaA//nrfC//hyaC//astC//ynfG//nrdD//garR//
MarA_Rob_SoxS	glpD//nfsA//
MarA_SoxS	sucC//glcF//gadB//
MetJ_MetR	betB//
MetJ_OxyR	metK//
MetR_PurR	acnA//
MraZ_PdhR	pgk//
Nac_PurR	nrdE//edd//
NarL_TorR	aceF//
NemR_RutR	glcB//caiA//
NhaR_OmpR	rutD//sgbH//paaF//
NorR_NsrR	
NsrR_PhoB	gatY//
OxyR_SoxS	
PdhR_PhoP	ugpQ//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	adhE//nrfA//
RelB_RelB-RelE	uxuB//
TrpR_TyrR	deoC//
YefM_YefM-YoeB	ulaG//
