# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	xylA//lpxC//
ArcA_CRP_GlpR	ynfE//
ArcA_CRP_IHF	gapA//
ArcA_CRP_PuuR	paaB//ddlB//argD//gltB//
ArcA_CRP_RhaS	nfsA//
ArcA_CRP_TreR	murQ//napH//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lyxK//sucB//
ArcA_Cra	pspE//
ArcA_Cra_FNR_H-NS_HypT	narH//
ArcA_CysB_FNR	
ArcA_FNR	nirB//ogt//ldtB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	sucB//
ArcA_FNR_Fis_IHF_NarL	ahpC//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	tnaA//prmC//
ArcA_FNR_IHF_NarL	mnmG//garR//
ArcA_FNR_NarL	murC//glpB//sucD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	hemA//murC//
ArcA_FadR	metB//astE//dmsB//
ArcA_FadR_Fis	glgP//nrfB//
ArcA_Fur_Lrp_ModE	gcvH//tauD//
ArcA_GlcC_IHF_PdhR	glpD//ilvE//nrdA//
ArcA_LexA	paaI//
ArcA_LldR	rutD//sdhD//
ArcA_NarL	nanA//
ArcA_NtrC_PhoP_RutR	napG//ssuD//sucA//moeA//metK//glpA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	patA//
ArgP_CRP_FNR_Fur_Nac	galT//
ArgP_DnaA	glpQ//
ArgP_Lrp	frdC//umpH//
ArgP_LysR	prpE//
ArgP_PhoB	
ArgR_CRP	adhE//
ArgR_CRP_Fis	carB//entF//sucA//
ArgR_Fis_IHF_PepA_PurR_RutR	ugpQ//
ArgR_H-NS_NtrC	fucU//mnmG//
ArgR_NtrC	ynfE//paaH//ynfF//udp//dgcZ//
ArgR_PhoP	tam//
AscG_CRP	deoD//purD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaC//
AtoC_IHF	entB//lyxK//malS//
BaeR_CpxR	dgcZ//
BaeR_CpxR_EvgA	murE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ssuE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	puuC//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ndh//hycF//malQ//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	serA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	galM//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	tauD//paaZ//glpB//rutB//glpC//nrfB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pgk//frdB//idnO//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	hemL//pgaD//metB//
CRP_Cra_Mlc_NagC	fau//sucA//relA//hemL//
CRP_Cra_PrpR	fes//rnpB//paaJ//fadI//
CRP_CreB_Fis_MalT	ackA//
CRP_CsiR_H-NS_Lrp	pgaB//
CRP_CsiR_H-NS_Lrp_Nac	ftnA//araD//tdcG//
CRP_CspA_Fis	lyxK//
CRP_CytR	uxuB//
CRP_CytR_DeoR	ulaG//lpxC//
CRP_CytR_DeoR_Fis_ModE	putA//folA//puuD//metL//
CRP_CytR_Nac	deoC//
CRP_CytR_NsrR	rhaB//
CRP_DcuR_FNR_NarL	ubiA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	aceE//uvrA//
CRP_DpiA_ExuR	rhaD//
CRP_DsdC	fumA//mhpE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	napB//
CRP_ExuR	mazG//
CRP_ExuR_FNR	napC//pgaB//
CRP_ExuR_OxyR_UxuR	uxuA//hycG//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	ilvM//
CRP_FNR_Fis	mhpF//dadX//
CRP_FNR_Fis_GlpR_IHF	moeB//betA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	mpl//mhpF//rbsD//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	nfsA//fabB//glpK//murC//fadE//
CRP_FNR_NarL	garR//chbG//
CRP_FeaR_NsrR	hycG//
CRP_Fis	aldA//gatZ//tauD//
CRP_Fis_FlhDC_GalR_GalS	frdC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	entA//gntK//
CRP_Fis_IHF	prmC//metL//lpd//
CRP_Fis_NanR	pgk//aroL//pncB//napA//
CRP_Fis_NtrC	sodA//
CRP_Fis_XylR	sodA//
CRP_FlhDC_GalR_GalS	ackA//
CRP_FucR	deoA//aldB//betA//umpH//ndh//prpB//
CRP_Fur	appA//paaB//mnmG//ilvE//murF//aspC//lacZ//fes//paaF//ilvH//
CRP_Fur_HypT_PdhR	fucK//rutD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	entC//fucO//glcD//caiB//
CRP_GalR_GalS_NagC	guaA//
CRP_GlpR	tdcG//galT//murD//
CRP_GntR	sufS//
CRP_GntR_IdnR	fucO//mhpB//tauD//ahpF//prpB//pnp//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	pncB//paaZ//astE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	entH//
CRP_H-NS_LacI	mhpC//puuE//gdhA//
CRP_H-NS_LeuO	paaB//
CRP_H-NS_MqsA	
CRP_IHF	cyoE//ftnA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glpA//
CRP_IHF_PaaX	mnmG//mdh//moeB//prmC//sgbH//nanA//tauD//moeB//
CRP_IHF_UlaR	aroG//pgaD//astA//gdhA//
CRP_IHF_YiaJ	tnaA//zwf//katG//pnp//dadX//puuA//
CRP_LexA	
CRP_Lrp	eda//ogt//ugpQ//murG//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	waaY//
CRP_LsrR	uxaC//citX//ilvA//murC//glpX//
CRP_MalI	sgbH//tnaA//
CRP_MalT	fadA//rbsD//
CRP_MalT_PhoP	zwf//
CRP_MelR	nanK//nirB//
CRP_MetJ	rhaD//
CRP_MhpR	mhpD//hycB//glpB//astB//rutD//fadB//
CRP_Mlc	
CRP_ModE	nrdD//
CRP_MurR	fucA//purN//hyaC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	aceF//
CRP_NagC	astA//sodB//fucI//frdC//glpX//
CRP_NagC_NanR	fdhF//yqjH//
CRP_NagC_PhoP	aroL//
CRP_OxyR	
CRP_OxyR_UxuR	fau//
CRP_PhoB	xylA//rimK//
CRP_PhoP	deoB//narI//nrdB//
CRP_PutA	mhpD//
CRP_RbsR	ilvG_1//hycF//adhE//
CRP_RhaR_RhaS	
CRP_RhaS	fes//moeA//ulaF//
CRP_Rob	deoD//
CRP_TorR	folA//putA//
CRP_UhpA_UvrY	ugpQ//
CRP_UidR_UxuR	fadB//glpD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	dusB//mhpF//
Cbl_CysB_FNR_IHF	epd//purA//acnB//
CdaR_FNR_Fis_Fur_H-NS	idnK//aceB//
CdaR_FNR_Fur_H-NS	lsrK//galE//truB//glpX//
CpxR_CsgD_FliZ	
CpxR_CysB	gadA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	moaA//
CpxR_GadE	lpd//lacA//metE//
CpxR_H-NS	sucA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	gatY//
Cra_FNR_Fis_Lrp_NarL	glpA//
Cra_FNR_Fur_MarA_Rob_SoxS	pgaB//
Cra_FhlA_FlhDC	lpxA//
Cra_GntR_KdgR	glcB//
Cra_GntR_KdgR_PhoB	lpxD//
Cra_MarA_SoxS	acnB//
Cra_PdeL	ascB//
Cra_SgrR	narG//
Cra_TyrR	puuE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	citD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	puuB//mazG//
CusR_PhoB_YedW	ddlB//
CysB_H-NS	puuD//torA//murE//
CysB_HypT_IHF	rhaB//
CysB_IHF	aroA//ilvM//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	fdhF//
DinJ-YafQ_LexA	astB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	lpxD//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	nanE//
FNR_FhlA_NarL_NarP	kbaZ//sufS//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hpt//
FNR_Fis_IHF_ModE_NarL	nrdE//
FNR_Fis_IHF_NarL	nfsB//
FNR_Fis_IHF_NarL_RstA	glyA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	hpt//
FNR_FlhDC_ModE_NarL_NarP	moeB//
FNR_Fur	fadB//murQ//
FNR_Fur_GadE	citF//
FNR_Fur_GadX_NtrC	nrdB//
FNR_Fur_H-NS	rbsD//puuE//hycE//
FNR_Fur_MetR_NsrR	citD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	idnO//
FNR_Fur_OxyR	purA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	rutB//
FNR_H-NS_NrdR	mhpA//garR//
FNR_IHF	fucU//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	mhpC//
FNR_IHF_PhoB	
FNR_MalT	gdhA//katG//
FNR_ModE	
FNR_NarL	fabZ//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ugpQ//nrfC//
FNR_NarL_NikR	lsrF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	hycE//entC//
FNR_YqjI	
FabR_FadR	astE//nanK//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	rutB//aroG//
FhlA_IHF_NsrR	
Fis_Fur	malQ//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	pgaC//
Fis_IHF	
Fis_IHF_NtrC	uvrA//narH//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fumB//
Fis_NarL	tdcE//
Fis_NarL_NarP_NsrR	
Fis_PurR	aspC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	moaE//
Fur_H-NS	cadA//paaC//
Fur_IHF_IscR_NsrR_OxyR	pncB//
Fur_IscR_NrdR	glcE//
Fur_MetR	glcF//
Fur_MntR	pgaD//
Fur_MntR_OxyR	aldA//
Fur_OxyR	
Fur_PurR	deoC//
Fur_RcnR	frdB//
Fur_RutR	glgC//
Fur_SoxS_Zur	
Fur_YqjI	rnpB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fadJ//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	cyoE//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	rutA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	rhaB//
H-NS_Lrp_NhaR_RcsB	melA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	uxaA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	xylA//
HU_IHF_TyrR	caiC//
HigA_HigB-HigA	frdB//
HipAB_HipB_IHF	pspE//
HypT_MetJ	nanA//
HypT_MetJ_PhoP	hycF//fumC//
IHF_Lrp	gadB//mraY//edd//paaJ//nagB//
IHF_NsrR	
IHF_NtrC	sufS//
IHF_PhoP	
IHF_PspF	entH//
IHF_RcsAB	
IHF_RtcR	cyoE//dsdA//
IHF_TyrR	murC//
IHF_UlaR	aceE//
LexA_MraZ_PdhR	glyA//uxuA//tdcE//glyA//treC//cysM//gatY//hpt//mtlD//deoD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	udp//cyoE//
MarA_PhoP_Rob_SoxS	paaJ//paaH//puuC//katE//ulaE//murG//tauD//sucC//xylB//
MarA_Rob_SoxS	hyaB//malQ//
MarA_SoxS	ssuD//guaA//paaI//
MetJ_MetR	idnK//
MetJ_OxyR	ugpQ//
MetR_PurR	pgaD//
MraZ_PdhR	rbsD//
Nac_PurR	fes//fdhF//
NarL_TorR	sodB//
NemR_RutR	deoC//rsmH//
NhaR_OmpR	cysI//ugpQ//napA//
NorR_NsrR	
NsrR_PhoB	pyrC//
OxyR_SoxS	
PdhR_PhoP	prmC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ynfF//murG//
RelB_RelB-RelE	srlD//
TrpR_TyrR	ilvA//
YefM_YefM-YoeB	glcE//
