# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	icd//caiB//
ArcA_CRP_IHF	galM//
ArcA_CRP_PuuR	malQ//feaB//caiC//umpH//
ArcA_CRP_RhaS	sucD//
ArcA_CRP_TreR	aroL//napC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	pyrD//uxuA//
ArcA_Cra	lhgO//
ArcA_Cra_FNR_H-NS_HypT	hyaA//
ArcA_CysB_FNR	
ArcA_FNR	accC//fucU//napC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fadD//
ArcA_FNR_Fis_IHF_NarL	yqjH//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	nrfA//torC//
ArcA_FNR_IHF_NarL	sucC//atoD//
ArcA_FNR_NarL	rutB//ilvA//nrfA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	napG//sodA//
ArcA_FadR	nfsB//malQ//rbsK//
ArcA_FadR_Fis	glgP//sgbE//
ArcA_Fur_Lrp_ModE	glcE//fdhF//
ArcA_GlcC_IHF_PdhR	aceA//hycD//glpA//
ArcA_LexA	metB//
ArcA_LldR	sodB//fadA//
ArcA_NarL	glcF//
ArcA_NtrC_PhoP_RutR	lldD//pdeL//paaH//lsrK//idnD//gcvT//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	lsrF//
ArgP_CRP_FNR_Fur_Nac	fumA//
ArgP_DnaA	paaZ//
ArgP_Lrp	hemL//glpD//
ArgP_LysR	yqjH//
ArgP_PhoB	
ArgR_CRP	puuA//
ArgR_CRP_Fis	nagB//aroG//melA//
ArgR_Fis_IHF_PepA_PurR_RutR	glpX//
ArgR_H-NS_NtrC	ulaE//metL//
ArgR_NtrC	mazG//nirB//hycG//paaE//citF//
ArgR_PhoP	paaA//
AscG_CRP	puuD//malQ//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	ackA//
AtoC_IHF	fadH//rutE//entE//
BaeR_CpxR	malQ//
BaeR_CpxR_EvgA	ugpQ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	fadA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	uidA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	fadI//rnpB//yqjH//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	lpxD//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nemA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fadI//aroG//metL//metH//hemL//lacZ//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lpxA//pgaB//caiB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	napC//mtlD//acnA//
CRP_Cra_Mlc_NagC	mdh//rutC//moaA//pyrD//
CRP_Cra_PrpR	metH//relA//fadI//lacZ//
CRP_CreB_Fis_MalT	puuA//
CRP_CsiR_H-NS_Lrp	hycC//
CRP_CsiR_H-NS_Lrp_Nac	ilvE//napG//pdeL//
CRP_CspA_Fis	nanA//
CRP_CytR	ynfE//
CRP_CytR_DeoR	acs//garR//
CRP_CytR_DeoR_Fis_ModE	mhpD//lhgO//appA//moaA//
CRP_CytR_Nac	appA//
CRP_CytR_NsrR	fucU//
CRP_DcuR_FNR_NarL	lhgO//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	metH//uxaC//
CRP_DpiA_ExuR	recF//
CRP_DsdC	ilvE//pyrD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	pnp//
CRP_ExuR	mhpD//
CRP_ExuR_FNR	aceE//tauD//
CRP_ExuR_OxyR_UxuR	uxuB//aroL//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mhpB//
CRP_FNR_Fis	tnaA//pgaD//
CRP_FNR_Fis_GlpR_IHF	acnB//paaI//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	garR//aroA//metB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	idnO//metL//mdh//tnaA//entF//
CRP_FNR_NarL	aspC//fumA//
CRP_FeaR_NsrR	chbF//
CRP_Fis	frdD//rbsK//mnmG//
CRP_Fis_FlhDC_GalR_GalS	frdB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glcB//gatY//
CRP_Fis_IHF	ulaE//nanK//yiaK//
CRP_Fis_NanR	moaA//ubiA//ndh//ubiA//
CRP_Fis_NtrC	sodB//
CRP_Fis_XylR	garK//
CRP_FlhDC_GalR_GalS	ulaE//
CRP_FucR	udp//nanE//galK//atoD//citG//glgA//
CRP_Fur	ppiA//mhpF//malY//gabD//ahpC//ilvG_1//murQ//truB//hycG//mnmG//
CRP_Fur_HypT_PdhR	araA//serA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	hmp//hpt//mhpB//argG//
CRP_GalR_GalS_NagC	sdhB//
CRP_GlpR	hycC//hypF//napC//
CRP_GntR	atoB//
CRP_GntR_IdnR	pyrD//narI//mdh//lpxD//glpB//gapA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	ulaF//ynfF//carA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	ftnA//
CRP_H-NS_LacI	tdcB//nanM//tdcE//
CRP_H-NS_LeuO	rutC//
CRP_H-NS_MqsA	
CRP_IHF	sdhA//fadJ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	aceF//
CRP_IHF_PaaX	sgbH//purH//acnA//chbG//murG//ilvD//caiB//ubiC//
CRP_IHF_UlaR	entF//purM//ahpF//ubiA//
CRP_IHF_YiaJ	lysA//accB//melA//entD//hypB//pgk//
CRP_LexA	
CRP_Lrp	gapA//xylA//caiA//nemA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	pgk//
CRP_LsrR	gcvP//melA//astB//gntK//putA//
CRP_MalI	folA//atoB//
CRP_MalT	deoD//cysJ//
CRP_MalT_PhoP	pgaC//
CRP_MelR	fucO//paaF//
CRP_MetJ	fumA//
CRP_MhpR	aceF//ssuD//astE//yiaK//gatD//napB//
CRP_Mlc	
CRP_ModE	putA//
CRP_MurR	rhaA//hypB//sodB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ppiA//
CRP_NagC	rhaA//pnp//nrdF//frdD//fucK//
CRP_NagC_NanR	gdhA//prpC//
CRP_NagC_PhoP	katG//
CRP_OxyR	
CRP_OxyR_UxuR	carA//
CRP_PhoB	carA//pgaD//
CRP_PhoP	gutQ//pyrD//paaK//
CRP_PutA	napA//
CRP_RbsR	nrfD//nanK//cysI//
CRP_RhaR_RhaS	
CRP_RhaS	malY//cysM//caiA//
CRP_Rob	yqjH//
CRP_TorR	ogt//waaH//
CRP_UhpA_UvrY	nirB//
CRP_UidR_UxuR	citF//glcF//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	nanK//lsrF//
Cbl_CysB_FNR_IHF	aceA//garL//citE//
CdaR_FNR_Fis_Fur_H-NS	cadA//ldtB//
CdaR_FNR_Fur_H-NS	fadE//yqjH//mhpC//aroG//
CpxR_CsgD_FliZ	
CpxR_CysB	eda//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	relA//
CpxR_GadE	lhgO//caiD//nrdF//
CpxR_H-NS	uvrA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ilvH//
Cra_FNR_Fis_Lrp_NarL	ubiA//
Cra_FNR_Fur_MarA_Rob_SoxS	ldtB//
Cra_FhlA_FlhDC	lacZ//
Cra_GntR_KdgR	cysM//
Cra_GntR_KdgR_PhoB	galM//
Cra_MarA_SoxS	glcE//
Cra_PdeL	lpxC//
Cra_SgrR	malQ//
Cra_TyrR	uxaC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrdF//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	waaZ//mraY//
CusR_PhoB_YedW	tauD//
CysB_H-NS	adiA//paaH//rnpB//
CysB_HypT_IHF	frdD//
CysB_IHF	uxaB//cadA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	hyaA//
DinJ-YafQ_LexA	garL//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	epd//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	sgbU//
FNR_FhlA_NarL_NarP	murF//murE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nfsA//
FNR_Fis_IHF_ModE_NarL	hypF//
FNR_Fis_IHF_NarL	astA//
FNR_Fis_IHF_NarL_RstA	uxaB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	aspA//
FNR_FlhDC_ModE_NarL_NarP	prmC//
FNR_Fur	ynfH//frdA//
FNR_Fur_GadE	paaA//
FNR_Fur_GadX_NtrC	metB//
FNR_Fur_H-NS	fadJ//edd//gatZ//
FNR_Fur_MetR_NsrR	fabB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	prpB//
FNR_Fur_OxyR	sdhD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	gadB//
FNR_H-NS_NrdR	pnp//sucC//
FNR_IHF	ftsI//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	sdhC//
FNR_IHF_PhoB	
FNR_MalT	entF//murC//
FNR_ModE	
FNR_NarL	caiA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	ubiC//garK//
FNR_NarL_NikR	citD//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	puuC//uxuA//
FNR_YqjI	
FabR_FadR	cysJ//zwf//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mnmG//umpH//
FhlA_IHF_NsrR	
Fis_Fur	prmC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	entD//
Fis_IHF	
Fis_IHF_NtrC	poxB//icd//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	nagA//
Fis_NarL	gadA//
Fis_NarL_NarP_NsrR	
Fis_PurR	cysH//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ilvG_2//
Fur_H-NS	cdd//murC//
Fur_IHF_IscR_NsrR_OxyR	paaG//
Fur_IscR_NrdR	glpC//
Fur_MetR	rbsD//
Fur_MntR	araD//
Fur_MntR_OxyR	fucA//
Fur_OxyR	
Fur_PurR	malS//
Fur_RcnR	moeB//
Fur_RutR	glpD//
Fur_SoxS_Zur	
Fur_YqjI	murG//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	idnD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fucU//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	fabA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	aceA//
H-NS_Lrp_NhaR_RcsB	mhpF//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	malS//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	paaH//
HU_IHF_TyrR	uxuA//
HigA_HigB-HigA	sgbE//
HipAB_HipB_IHF	ubiC//
HypT_MetJ	malP//
HypT_MetJ_PhoP	aspC//mhpA//
IHF_Lrp	accB//bglB//feaB//hcp//dmsA//
IHF_NsrR	
IHF_NtrC	aroA//
IHF_PhoP	
IHF_PspF	puuD//
IHF_RcsAB	
IHF_RtcR	epd//sodA//
IHF_TyrR	nrdD//
IHF_UlaR	glcF//
LexA_MraZ_PdhR	mhpF//glpC//katE//epd//mraY//waaZ//xylB//guaA//lsrF//sgbU//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	ulaD//malS//
MarA_PhoP_Rob_SoxS	sgbU//lsrK//ilvA//puuB//lldD//hycD//ackA//glpC//dmsB//
MarA_Rob_SoxS	mtlD//adiA//
MarA_SoxS	pck//purA//zwf//
MetJ_MetR	prpE//
MetJ_OxyR	srlD//
MetR_PurR	dgcZ//
MraZ_PdhR	nfsA//
Nac_PurR	srlD//aspC//
NarL_TorR	eda//
NemR_RutR	rbsK//nagB//
NhaR_OmpR	ynfF//deoA//gcvT//
NorR_NsrR	
NsrR_PhoB	sodA//
OxyR_SoxS	
PdhR_PhoP	ulaD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	sdhD//udp//
RelB_RelB-RelE	glpX//
TrpR_TyrR	acnB//
YefM_YefM-YoeB	acnB//
