# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ftnA//puuE//
ArcA_CRP_IHF	ilvE//
ArcA_CRP_PuuR	sgbH//melA//paaI//fadJ//
ArcA_CRP_RhaS	araA//
ArcA_CRP_TreR	glpA//rbsK//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nfsA//hycC//
ArcA_Cra	gltA//
ArcA_Cra_FNR_H-NS_HypT	astD//
ArcA_CysB_FNR	
ArcA_FNR	accB//puuB//acnB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	glnA//
ArcA_FNR_Fis_IHF_NarL	ilvE//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	rbsK//nanA//
ArcA_FNR_IHF_NarL	murE//pspE//
ArcA_FNR_NarL	ugpQ//uxuB//dadA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	rutE//murF//
ArcA_FadR	murG//nanA//ilvD//
ArcA_FadR_Fis	rutA//rhaD//
ArcA_Fur_Lrp_ModE	sufS//rutD//
ArcA_GlcC_IHF_PdhR	cadA//hypB//metH//
ArcA_LexA	gutQ//
ArcA_LldR	nrdE//uxuA//
ArcA_NarL	lysA//
ArcA_NtrC_PhoP_RutR	galT//uvrA//fbaA//glpD//entH//dmsA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fabB//
ArgP_CRP_FNR_Fur_Nac	entH//
ArgP_DnaA	lacZ//
ArgP_Lrp	nrfD//sdhB//
ArgP_LysR	mhpA//
ArgP_PhoB	
ArgR_CRP	ilvA//
ArgR_CRP_Fis	edd//caiD//metK//
ArgR_Fis_IHF_PepA_PurR_RutR	citC//
ArgR_H-NS_NtrC	citC//glpC//
ArgR_NtrC	astB//moaE//sgbE//argG//pgaB//
ArgR_PhoP	sucA//
AscG_CRP	lsrG//treC//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	glpK//
AtoC_IHF	accB//fbaA//ilvA//
BaeR_CpxR	paaE//
BaeR_CpxR_EvgA	putA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	narI//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	nanA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nfsB//katG//frdA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ilvE//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	garL//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ascB//rnpB//purN//lsrG//glpX//malS//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	dadA//gdhA//sdhD//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	yqjH//hycC//fabA//
CRP_Cra_Mlc_NagC	aroL//glgP//accC//dmsC//
CRP_Cra_PrpR	sdhD//paaJ//uxaC//glcB//
CRP_CreB_Fis_MalT	umpH//
CRP_CsiR_H-NS_Lrp	sucC//
CRP_CsiR_H-NS_Lrp_Nac	paaZ//lpxD//metE//
CRP_CspA_Fis	murF//
CRP_CytR	purH//
CRP_CytR_DeoR	narH//garK//
CRP_CytR_DeoR_Fis_ModE	ahpF//ulaF//murE//caiC//
CRP_CytR_Nac	tdcG//
CRP_CytR_NsrR	tdcD//
CRP_DcuR_FNR_NarL	relA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ulaG//hmp//
CRP_DpiA_ExuR	entB//
CRP_DsdC	napA//adhE//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ilvG_1//
CRP_ExuR	ubiA//
CRP_ExuR_FNR	lpxA//caiB//
CRP_ExuR_OxyR_UxuR	mhpA//idnO//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	mraY//
CRP_FNR_Fis	caiC//fumB//
CRP_FNR_Fis_GlpR_IHF	rhaB//nemA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	umpH//cadA//uxaC//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	udp//gatD//sgbE//cadA//tdcG//
CRP_FNR_NarL	fumC//paaC//
CRP_FeaR_NsrR	lpxD//
CRP_Fis	paaZ//ulaE//narH//
CRP_Fis_FlhDC_GalR_GalS	citD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	adhE//puuB//
CRP_Fis_IHF	nfsA//entC//tdcG//
CRP_Fis_NanR	chbF//nfsB//uvrA//hyaB//
CRP_Fis_NtrC	fadH//
CRP_Fis_XylR	malQ//
CRP_FlhDC_GalR_GalS	gabT//
CRP_FucR	prpD//fucA//hyaA//chbF//uxaA//glnA//
CRP_Fur	purN//nrdA//murF//pyrD//murD//glpC//xylB//garR//hyaC//udp//
CRP_Fur_HypT_PdhR	zwf//idnD//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	edd//fumC//purH//idnD//
CRP_GalR_GalS_NagC	nagB//
CRP_GlpR	gabT//citD//aspC//
CRP_GntR	napH//
CRP_GntR_IdnR	tnaA//mraY//ppiA//sgbE//putA//ynfG//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	rutC//aldB//bglB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	acnB//
CRP_H-NS_LacI	galT//paaE//prpD//
CRP_H-NS_LeuO	fucA//
CRP_H-NS_MqsA	
CRP_IHF	glgC//caiC//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nanK//
CRP_IHF_PaaX	hmp//dsdA//metK//folA//cysJ//gcvT//nrfD//gabT//
CRP_IHF_UlaR	glpQ//paaB//napC//gdhA//
CRP_IHF_YiaJ	lpd//rutE//narG//dsdA//aspA//malP//
CRP_LexA	
CRP_Lrp	nanA//mhpB//eda//cyoE//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	araA//
CRP_LsrR	ldtB//ubiC//ssuE//purA//pgk//
CRP_MalI	pgaC//atoD//
CRP_MalT	atoA//pncB//
CRP_MalT_PhoP	nfsA//
CRP_MelR	napH//sodB//
CRP_MetJ	metH//
CRP_MhpR	nrfC//caiD//nrdF//pflB//fucI//hemL//
CRP_Mlc	
CRP_ModE	cdd//
CRP_MurR	metH//cadA//lacZ//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pdeR//
CRP_NagC	rimK//galK//kbaZ//glpK//rimK//
CRP_NagC_NanR	gloA//puuB//
CRP_NagC_PhoP	pnp//
CRP_OxyR	
CRP_OxyR_UxuR	betA//
CRP_PhoB	moaA//citX//
CRP_PhoP	pck//purD//hycD//
CRP_PutA	sgbU//
CRP_RbsR	gadB//fucK//gntK//
CRP_RhaR_RhaS	
CRP_RhaS	recF//murQ//truB//
CRP_Rob	ftsI//
CRP_TorR	fabB//mhpC//
CRP_UhpA_UvrY	malP//
CRP_UidR_UxuR	paaI//ilvI//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	prmC//ftnA//
Cbl_CysB_FNR_IHF	ilvI//rutD//gabT//
CdaR_FNR_Fis_Fur_H-NS	sucB//katG//
CdaR_FNR_Fur_H-NS	paaC//fumA//araA//entE//
CpxR_CsgD_FliZ	
CpxR_CysB	sodA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	glpC//
CpxR_GadE	codA//glcD//lacZ//
CpxR_H-NS	nrdB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	araB//
Cra_FNR_Fis_Lrp_NarL	tam//
Cra_FNR_Fur_MarA_Rob_SoxS	cyoE//
Cra_FhlA_FlhDC	fumC//
Cra_GntR_KdgR	cysI//
Cra_GntR_KdgR_PhoB	entF//
Cra_MarA_SoxS	entH//
Cra_PdeL	moaE//
Cra_SgrR	gcvT//
Cra_TyrR	malP//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrdE//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ynfE//galT//
CusR_PhoB_YedW	gabT//
CysB_H-NS	katG//ansB//nrdE//
CysB_HypT_IHF	sucC//
CysB_IHF	sucC//paaK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	hycB//
DinJ-YafQ_LexA	pyrD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	glcF//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	fadJ//
FNR_FhlA_NarL_NarP	argG//purM//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	appA//
FNR_Fis_IHF_ModE_NarL	aroA//
FNR_Fis_IHF_NarL	sucA//
FNR_Fis_IHF_NarL_RstA	ftnA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	serA//
FNR_FlhDC_ModE_NarL_NarP	ubiA//
FNR_Fur	astB//hyaB//
FNR_Fur_GadE	aroG//
FNR_Fur_GadX_NtrC	edd//
FNR_Fur_H-NS	yiaK//hcp//purA//
FNR_Fur_MetR_NsrR	gatD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	ahpC//
FNR_Fur_OxyR	galE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	garR//
FNR_H-NS_NrdR	uidA//fadJ//
FNR_IHF	guaB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	nanE//
FNR_IHF_PhoB	
FNR_MalT	galT//sdhA//
FNR_ModE	
FNR_NarL	moaE//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	malQ//prpB//
FNR_NarL_NikR	rnpB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	glpD//uxuA//
FNR_YqjI	
FabR_FadR	rutA//paaF//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mhpA//ilvM//
FhlA_IHF_NsrR	
Fis_Fur	entE//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	cysJ//
Fis_IHF	
Fis_IHF_NtrC	araA//prpE//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ilvI//
Fis_NarL	fabB//
Fis_NarL_NarP_NsrR	
Fis_PurR	napH//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	torA//
Fur_H-NS	garL//fumB//
Fur_IHF_IscR_NsrR_OxyR	fucO//
Fur_IscR_NrdR	araD//
Fur_MetR	hycB//
Fur_MntR	fumC//
Fur_MntR_OxyR	entH//
Fur_OxyR	
Fur_PurR	nemA//
Fur_RcnR	sucA//
Fur_RutR	fdhF//
Fur_SoxS_Zur	
Fur_YqjI	glnA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	entE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	accB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	rbsD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	lsrG//
H-NS_Lrp_NhaR_RcsB	ubiC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	serC//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	sufS//
HU_IHF_TyrR	idnD//
HigA_HigB-HigA	frdA//
HipAB_HipB_IHF	glpX//
HypT_MetJ	sufS//
HypT_MetJ_PhoP	glgC//tnaA//
IHF_Lrp	astA//mhpD//puuE//ubiA//lysA//
IHF_NsrR	
IHF_NtrC	ilvD//
IHF_PhoP	
IHF_PspF	serC//
IHF_RcsAB	
IHF_RtcR	paaA//truB//
IHF_TyrR	nrdF//
IHF_UlaR	rbsD//
LexA_MraZ_PdhR	ilvA//ftsI//napH//purD//ynfE//codA//chbF//murE//zwf//atoB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	purH//ndh//
MarA_PhoP_Rob_SoxS	lacZ//torA//gcvH//dusB//prpE//ahpF//fadA//pyrD//prpD//
MarA_Rob_SoxS	lpxD//atoA//
MarA_SoxS	nanE//malQ//gcd//
MetJ_MetR	gcd//
MetJ_OxyR	feaB//
MetR_PurR	hycB//
MraZ_PdhR	entA//
Nac_PurR	lhgO//ilvG_2//
NarL_TorR	nanA//
NemR_RutR	gatD//moeB//
NhaR_OmpR	sgbH//katG//narG//
NorR_NsrR	
NsrR_PhoB	ahpC//
OxyR_SoxS	
PdhR_PhoP	napA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fumA//purN//
RelB_RelB-RelE	atoD//
TrpR_TyrR	ilvG_1//
YefM_YefM-YoeB	hycE//
