# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	uxuB//katE//
ArcA_CRP_GlpR	uxaB//
ArcA_CRP_IHF	ilvG_2//
ArcA_CRP_PuuR	ansB//rsmH//ansB//prpE//
ArcA_CRP_RhaS	gabD//
ArcA_CRP_TreR	prpB//hyaB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	xylB//sgbU//
ArcA_Cra	ilvA//
ArcA_Cra_FNR_H-NS_HypT	citG//
ArcA_CysB_FNR	
ArcA_FNR	rhaB//serC//sucA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ynfH//
ArcA_FNR_Fis_IHF_NarL	dgcZ//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	caiC//glpB//
ArcA_FNR_IHF_NarL	aroA//lsrF//
ArcA_FNR_NarL	cdd//narG//nfsB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	gatD//rhaA//
ArcA_FadR	rnpB//sgbE//nemA//
ArcA_FadR_Fis	truB//gcd//
ArcA_Fur_Lrp_ModE	narH//lpxA//
ArcA_GlcC_IHF_PdhR	pdeL//gltA//rutC//
ArcA_LexA	waaZ//
ArcA_LldR	acs//entD//
ArcA_NarL	ansB//
ArcA_NtrC_PhoP_RutR	ilvG_2//ilvG_1//yqjH//citF//citE//entF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	entA//
ArgP_CRP_FNR_Fur_Nac	ppiA//
ArgP_DnaA	lpd//
ArgP_Lrp	citE//fucU//
ArgP_LysR	nrdF//
ArgP_PhoB	
ArgR_CRP	caiC//
ArgR_CRP_Fis	deoB//metB//paaE//
ArgR_Fis_IHF_PepA_PurR_RutR	kbaZ//
ArgR_H-NS_NtrC	ynfF//citX//
ArgR_NtrC	caiB//deoA//ldtB//metH//tam//
ArgR_PhoP	cadA//
AscG_CRP	glcE//fucU//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	narI//
AtoC_IHF	astC//rimK//garR//
BaeR_CpxR	gltA//
BaeR_CpxR_EvgA	acnB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	prpB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	hypF//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	nrdD//dsdA//nrfA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	chbF//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	sdhC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	hcp//chbG//waaY//moaA//xylB//fucA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aceB//dgcZ//sdhB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	nrdB//metH//paaE//
CRP_Cra_Mlc_NagC	ilvA//icd//gadA//sucC//
CRP_Cra_PrpR	acnB//puuC//nirB//astB//
CRP_CreB_Fis_MalT	atoB//
CRP_CsiR_H-NS_Lrp	glyA//
CRP_CsiR_H-NS_Lrp_Nac	rhaA//bglB//hycC//
CRP_CspA_Fis	ilvG_2//
CRP_CytR	idnK//
CRP_CytR_DeoR	aldA//hycE//
CRP_CytR_DeoR_Fis_ModE	umpH//tdcB//metB//fucU//
CRP_CytR_Nac	nanE//
CRP_CytR_NsrR	fbaA//
CRP_DcuR_FNR_NarL	aroL//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ilvA//cysM//
CRP_DpiA_ExuR	accC//
CRP_DsdC	adiA//atoD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sucB//
CRP_ExuR	kbaZ//
CRP_ExuR_FNR	nemA//pnp//
CRP_ExuR_OxyR_UxuR	tdcD//glpX//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	aldA//
CRP_FNR_Fis	lacA//ilvA//
CRP_FNR_Fis_GlpR_IHF	dmsB//narH//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	uxuA//hpt//poxB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	ulaF//ppiA//aceE//poxB//ppiA//
CRP_FNR_NarL	aldB//chbG//
CRP_FeaR_NsrR	ilvA//
CRP_Fis	rutA//puuC//fumC//
CRP_Fis_FlhDC_GalR_GalS	mhpC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	lsrG//metH//
CRP_Fis_IHF	hcp//nrfD//chbG//
CRP_Fis_NanR	nanM//mhpA//murF//narI//
CRP_Fis_NtrC	lyxK//
CRP_Fis_XylR	melA//
CRP_FlhDC_GalR_GalS	malQ//
CRP_FucR	mraY//ansB//glgA//galE//puuA//cysH//
CRP_Fur	nrdE//fucU//mhpE//galT//nagA//glpC//dadX//appA//nrdB//prpE//
CRP_Fur_HypT_PdhR	entD//ugpQ//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	dusB//poxB//cysI//hypB//
CRP_GalR_GalS_NagC	purD//
CRP_GlpR	puuA//nanM//ubiA//
CRP_GntR	napG//
CRP_GntR_IdnR	nanM//ilvD//murQ//idnO//glgP//murE//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	rimK//paaF//hypF//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	umpH//
CRP_H-NS_LacI	prpB//nfsB//paaZ//
CRP_H-NS_LeuO	araA//
CRP_H-NS_MqsA	
CRP_IHF	mhpB//deoB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	rbsD//
CRP_IHF_PaaX	nagA//appA//aceF//moaD//fadE//ansB//rutD//purD//
CRP_IHF_UlaR	glcE//aspC//pspE//citF//
CRP_IHF_YiaJ	entH//waaZ//yqjH//nrfD//mhpF//fumB//
CRP_LexA	
CRP_Lrp	atoA//nrdE//ppiA//lpxD//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	kbaZ//
CRP_LsrR	caiB//uvrA//galT//gltA//puuC//
CRP_MalI	dsdA//appA//
CRP_MalT	napH//dsdA//
CRP_MalT_PhoP	fabZ//
CRP_MelR	caiA//hycC//
CRP_MetJ	purH//
CRP_MhpR	chbF//fadB//glyA//gcvT//ulaF//citE//
CRP_Mlc	
CRP_ModE	deoD//
CRP_MurR	citG//nrdE//aroL//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ftsI//
CRP_NagC	pgaD//rutB//melA//citG//ubiC//
CRP_NagC_NanR	mhpA//astC//
CRP_NagC_PhoP	glgC//
CRP_OxyR	
CRP_OxyR_UxuR	sucD//
CRP_PhoB	chbF//ugpQ//
CRP_PhoP	uxuA//ynfG//purN//
CRP_PutA	ulaG//
CRP_RbsR	napA//astA//xylB//
CRP_RhaR_RhaS	
CRP_RhaS	dmsA//citF//betA//
CRP_Rob	uxaC//
CRP_TorR	pnp//fadA//
CRP_UhpA_UvrY	metB//
CRP_UidR_UxuR	tdcG//lacA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	moaD//frdA//
Cbl_CysB_FNR_IHF	aroG//ssuD//astD//
CdaR_FNR_Fis_Fur_H-NS	murC//pgaD//
CdaR_FNR_Fur_H-NS	argD//acnA//gltA//gltD//
CpxR_CsgD_FliZ	
CpxR_CysB	glpX//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	tam//
CpxR_GadE	purD//moaD//nrdD//
CpxR_H-NS	ndh//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	mhpD//
Cra_FNR_Fis_Lrp_NarL	pgaD//
Cra_FNR_Fur_MarA_Rob_SoxS	sucC//
Cra_FhlA_FlhDC	frdB//
Cra_GntR_KdgR	sucD//
Cra_GntR_KdgR_PhoB	gltD//
Cra_MarA_SoxS	metE//
Cra_PdeL	acnB//
Cra_SgrR	napH//
Cra_TyrR	gatY//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	folA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	yqjH//pncB//
CusR_PhoB_YedW	malY//
CysB_H-NS	acnB//fbaA//citE//
CysB_HypT_IHF	sucD//
CysB_IHF	ppiA//astC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	fumB//
DinJ-YafQ_LexA	hyaC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	gntK//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	paaJ//
FNR_FhlA_NarL_NarP	glcD//ilvI//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gcvH//
FNR_Fis_IHF_ModE_NarL	ilvH//
FNR_Fis_IHF_NarL	entC//
FNR_Fis_IHF_NarL_RstA	metE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ddlB//
FNR_FlhDC_ModE_NarL_NarP	citE//
FNR_Fur	atoA//bglB//
FNR_Fur_GadE	dusB//
FNR_Fur_GadX_NtrC	nfsB//
FNR_Fur_H-NS	fucK//prmC//gcvT//
FNR_Fur_MetR_NsrR	moaD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	mpl//
FNR_Fur_OxyR	ilvM//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	purD//
FNR_H-NS_NrdR	dadA//gltD//
FNR_IHF	hypF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	araB//
FNR_IHF_PhoB	
FNR_MalT	ulaF//deoC//
FNR_ModE	
FNR_NarL	pgaD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	pspE//rhaD//
FNR_NarL_NikR	ascB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	aceB//serC//
FNR_YqjI	
FabR_FadR	entE//murG//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	codA//idnD//
FhlA_IHF_NsrR	
Fis_Fur	lysA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	caiD//
Fis_IHF	
Fis_IHF_NtrC	nrdA//dmsB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	frdC//
Fis_NarL	hycB//
Fis_NarL_NarP_NsrR	
Fis_PurR	betA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hmp//
Fur_H-NS	ilvH//acnB//
Fur_IHF_IscR_NsrR_OxyR	paaZ//
Fur_IscR_NrdR	malQ//
Fur_MetR	tnaA//
Fur_MntR	ldtB//
Fur_MntR_OxyR	mazG//
Fur_OxyR	
Fur_PurR	glcD//
Fur_RcnR	acnA//
Fur_RutR	narH//
Fur_SoxS_Zur	
Fur_YqjI	argG//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	murE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fadJ//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	glgP//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	glcB//
H-NS_Lrp_NhaR_RcsB	glpB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	purN//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	nrfC//
HU_IHF_TyrR	patA//
HigA_HigB-HigA	araB//
HipAB_HipB_IHF	fes//
HypT_MetJ	araD//
HypT_MetJ_PhoP	sgbU//lldD//
IHF_Lrp	lacZ//gatD//glgA//nrdE//pgk//
IHF_NsrR	
IHF_NtrC	feaB//
IHF_PhoP	
IHF_PspF	caiD//
IHF_RcsAB	
IHF_RtcR	sdhC//rimK//
IHF_TyrR	moaA//
IHF_UlaR	paaE//
LexA_MraZ_PdhR	pspE//glpC//yqjH//fabB//hemA//accC//rsmH//moaA//mhpC//paaA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	prmC//chbF//
MarA_PhoP_Rob_SoxS	sgbH//paaF//glgA//gltA//garK//adiA//mraY//tdcB//gatY//
MarA_Rob_SoxS	truB//yqjH//
MarA_SoxS	uidA//ilvD//cdd//
MetJ_MetR	glgA//
MetJ_OxyR	pgaD//
MetR_PurR	aceB//
MraZ_PdhR	glgP//
Nac_PurR	aspC//guaB//
NarL_TorR	fadA//
NemR_RutR	srlD//lsrF//
NhaR_OmpR	gadA//hpt//epd//
NorR_NsrR	
NsrR_PhoB	aceF//
OxyR_SoxS	
PdhR_PhoP	rbsK//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	nanE//hycC//
RelB_RelB-RelE	nirB//
TrpR_TyrR	entH//
YefM_YefM-YoeB	napA//
