# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	hyaC//ndh//
ArcA_CRP_GlpR	paaB//
ArcA_CRP_IHF	glpD//
ArcA_CRP_PuuR	prpB//waaY//astD//tdcD//
ArcA_CRP_RhaS	mazG//
ArcA_CRP_TreR	citF//astB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	uxuA//cysG//
ArcA_Cra	araD//
ArcA_Cra_FNR_H-NS_HypT	fadA//
ArcA_CysB_FNR	
ArcA_FNR	nrdD//galE//uvrA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ulaG//
ArcA_FNR_Fis_IHF_NarL	aceF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	adiA//dgcZ//
ArcA_FNR_IHF_NarL	rbsK//astA//
ArcA_FNR_NarL	gcvT//paaF//paaH//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	dsdA//citF//
ArcA_FadR	citF//dmsA//serC//
ArcA_FadR_Fis	glcD//gcd//
ArcA_Fur_Lrp_ModE	gadB//deoD//
ArcA_GlcC_IHF_PdhR	glpD//mdh//mpl//
ArcA_LexA	glpK//
ArcA_LldR	edd//prpB//
ArcA_NarL	tauD//
ArcA_NtrC_PhoP_RutR	acnA//nrdA//garR//glcD//hemL//caiC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rutE//
ArgP_CRP_FNR_Fur_Nac	atoD//
ArgP_DnaA	tdcE//
ArgP_Lrp	rimK//sucD//
ArgP_LysR	murE//
ArgP_PhoB	
ArgR_CRP	garK//
ArgR_CRP_Fis	hyaB//nrfD//uxuB//
ArgR_Fis_IHF_PepA_PurR_RutR	mnmG//
ArgR_H-NS_NtrC	uvrA//entA//
ArgR_NtrC	murC//chbG//puuA//prpB//mhpF//
ArgR_PhoP	bglB//
AscG_CRP	relA//hemL//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaG//
AtoC_IHF	treC//citD//malP//
BaeR_CpxR	lyxK//
BaeR_CpxR_EvgA	hyaA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	astE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ppiA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	puuB//rbsK//mdh//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	lhgO//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fadJ//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	gatD//frdC//adiA//sdhB//ldtB//sodA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	zwf//yiaK//sgbH//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	sucC//sodB//rimK//
CRP_Cra_Mlc_NagC	fadJ//entA//aroA//ogt//
CRP_Cra_PrpR	lyxK//hypB//citD//pspE//
CRP_CreB_Fis_MalT	napH//
CRP_CsiR_H-NS_Lrp	mhpE//
CRP_CsiR_H-NS_Lrp_Nac	rnpB//nrfA//sgbE//
CRP_CspA_Fis	glpX//
CRP_CytR	dmsB//
CRP_CytR_DeoR	ahpF//ackA//
CRP_CytR_DeoR_Fis_ModE	moaD//puuD//hycD//pgaB//
CRP_CytR_Nac	lacA//
CRP_CytR_NsrR	ilvM//
CRP_DcuR_FNR_NarL	nanK//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	astD//nrfA//
CRP_DpiA_ExuR	astC//
CRP_DsdC	rhaD//glpB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	torA//
CRP_ExuR	nrdB//
CRP_ExuR_FNR	pyrD//citG//
CRP_ExuR_OxyR_UxuR	rutC//mhpE//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fucU//
CRP_FNR_Fis	folA//fucU//
CRP_FNR_Fis_GlpR_IHF	tdcG//frdD//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hycG//nagA//gcvH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	torC//araB//tnaA//paaA//moaD//
CRP_FNR_NarL	fucA//fes//
CRP_FeaR_NsrR	ynfE//
CRP_Fis	ftsI//murG//lpxD//
CRP_Fis_FlhDC_GalR_GalS	dgcZ//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	pncB//gcvH//
CRP_Fis_IHF	pgaD//tauD//mazG//
CRP_Fis_NanR	gnd//gcvT//ansB//prpB//
CRP_Fis_NtrC	hycB//
CRP_Fis_XylR	dsdA//
CRP_FlhDC_GalR_GalS	pck//
CRP_FucR	fumB//murE//dmsA//idnO//aceF//dsdA//
CRP_Fur	poxB//yiaK//mtlD//ndh//feaB//gadB//lpxA//purH//prpE//mdh//
CRP_Fur_HypT_PdhR	paaF//metE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fabA//fabB//hyaB//hycD//
CRP_GalR_GalS_NagC	ynfF//
CRP_GlpR	malY//glgP//fau//
CRP_GntR	fucU//
CRP_GntR_IdnR	nagB//nirB//puuB//aspC//kbaZ//glyA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	yiaK//nanE//treC//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	nanM//
CRP_H-NS_LacI	gnd//glcF//mhpB//
CRP_H-NS_LeuO	fabB//
CRP_H-NS_MqsA	
CRP_IHF	prpD//aldA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	kbaZ//
CRP_IHF_PaaX	chbF//atoD//fucU//malQ//deoA//nrfB//serC//tdcD//
CRP_IHF_UlaR	fabA//rutA//sdhA//pdeL//
CRP_IHF_YiaJ	purA//aroG//rhaD//tdcG//gltA//pgk//
CRP_LexA	
CRP_Lrp	idnK//argG//nrfC//betA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	garL//
CRP_LsrR	pdeR//astC//hmp//gatZ//codA//
CRP_MalI	moeB//lysA//
CRP_MalT	nrfB//aldB//
CRP_MalT_PhoP	idnD//
CRP_MelR	carA//ynfG//
CRP_MetJ	garL//
CRP_MhpR	nrfA//torA//ilvG_2//hypF//citX//gdhA//
CRP_Mlc	
CRP_ModE	metB//
CRP_MurR	astB//pdeL//ppiA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	uxaC//
CRP_NagC	treC//idnD//pnp//dgcZ//ugpQ//
CRP_NagC_NanR	dadA//gcd//
CRP_NagC_PhoP	ulaD//
CRP_OxyR	
CRP_OxyR_UxuR	purA//
CRP_PhoB	glpA//carB//
CRP_PhoP	uvrA//torC//rimK//
CRP_PutA	sgbU//
CRP_RbsR	mdh//betA//murQ//
CRP_RhaR_RhaS	
CRP_RhaS	aldB//chbG//gcvT//
CRP_Rob	aceA//
CRP_TorR	sdhD//cdd//
CRP_UhpA_UvrY	fadJ//
CRP_UidR_UxuR	malP//ansB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ubiA//atoD//
Cbl_CysB_FNR_IHF	gatY//sucC//deoB//
CdaR_FNR_Fis_Fur_H-NS	araB//murF//
CdaR_FNR_Fur_H-NS	dsdA//putA//frdB//gdhA//
CpxR_CsgD_FliZ	
CpxR_CysB	mhpF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	accB//
CpxR_GadE	nanE//pyrC//pyrC//
CpxR_H-NS	astC//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	lacZ//
Cra_FNR_Fis_Lrp_NarL	cadA//
Cra_FNR_Fur_MarA_Rob_SoxS	galK//
Cra_FhlA_FlhDC	nfsB//
Cra_GntR_KdgR	citE//
Cra_GntR_KdgR_PhoB	hpt//
Cra_MarA_SoxS	garL//
Cra_PdeL	cysG//
Cra_SgrR	entC//
Cra_TyrR	sufS//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nemA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ulaG//prpB//
CusR_PhoB_YedW	mnmG//
CysB_H-NS	melA//codA//metH//
CysB_HypT_IHF	rbsD//
CysB_IHF	deoD//mhpD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	galT//
DinJ-YafQ_LexA	nfsA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	pspE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	waaZ//
FNR_FhlA_NarL_NarP	araB//truB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	acnA//
FNR_Fis_IHF_ModE_NarL	nanA//
FNR_Fis_IHF_NarL	fes//
FNR_Fis_IHF_NarL_RstA	gcvP//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	araA//
FNR_FlhDC_ModE_NarL_NarP	nrdA//
FNR_Fur	gutQ//lhgO//
FNR_Fur_GadE	rutE//
FNR_Fur_GadX_NtrC	glpB//
FNR_Fur_H-NS	hemA//edd//fabB//
FNR_Fur_MetR_NsrR	nemA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	folA//
FNR_Fur_OxyR	prpE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ynfF//
FNR_H-NS_NrdR	galM//ugpQ//
FNR_IHF	prpE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	hcp//
FNR_IHF_PhoB	
FNR_MalT	gltB//ppiA//
FNR_ModE	
FNR_NarL	nanK//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	dgcZ//fadH//
FNR_NarL_NikR	truB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	ahpC//garK//
FNR_YqjI	
FabR_FadR	nirB//malY//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ldtB//aroL//
FhlA_IHF_NsrR	
Fis_Fur	cysG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	uxaC//
Fis_IHF	
Fis_IHF_NtrC	murF//tdcE//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	pgaB//
Fis_NarL	paaG//
Fis_NarL_NarP_NsrR	
Fis_PurR	hypB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	araD//
Fur_H-NS	glyA//adhE//
Fur_IHF_IscR_NsrR_OxyR	idnK//
Fur_IscR_NrdR	cadA//
Fur_MetR	uvrA//
Fur_MntR	fucU//
Fur_MntR_OxyR	sucD//
Fur_OxyR	
Fur_PurR	deoD//
Fur_RcnR	citG//
Fur_RutR	truB//
Fur_SoxS_Zur	
Fur_YqjI	tam//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	guaB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	glcB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	purN//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	gltA//
H-NS_Lrp_NhaR_RcsB	cyoE//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	malS//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ilvD//
HU_IHF_TyrR	nrfA//
HigA_HigB-HigA	tdcE//
HipAB_HipB_IHF	tam//
HypT_MetJ	gloA//
HypT_MetJ_PhoP	deoB//torC//
IHF_Lrp	glpB//sdhC//lhgO//paaA//nrdB//
IHF_NsrR	
IHF_NtrC	serA//
IHF_PhoP	
IHF_PspF	paaH//
IHF_RcsAB	
IHF_RtcR	garL//mazG//
IHF_TyrR	nemA//
IHF_UlaR	pgaD//
LexA_MraZ_PdhR	guaB//napH//poxB//tdcE//fau//fdhF//rutA//purH//ssuD//uxaC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	waaY//tauD//
MarA_PhoP_Rob_SoxS	argG//prpD//lldD//accB//lsrF//paaE//pdeR//rutC//pncB//
MarA_Rob_SoxS	torA//murF//
MarA_SoxS	fadB//citD//caiD//
MetJ_MetR	puuB//
MetJ_OxyR	ndh//
MetR_PurR	betA//
MraZ_PdhR	fucU//
Nac_PurR	kbaZ//glpB//
NarL_TorR	sgbU//
NemR_RutR	sodA//rhaD//
NhaR_OmpR	sodB//ilvI//gatZ//
NorR_NsrR	
NsrR_PhoB	entA//
OxyR_SoxS	
PdhR_PhoP	hemA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	deoA//gatZ//
RelB_RelB-RelE	fabB//
TrpR_TyrR	poxB//
YefM_YefM-YoeB	ftnA//
