# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	lsrG//recF//
ArcA_CRP_IHF	frdB//
ArcA_CRP_PuuR	sodB//yqjH//lpxD//ilvH//
ArcA_CRP_RhaS	guaA//
ArcA_CRP_TreR	glpK//mazG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	glpQ//nrfA//
ArcA_Cra	gatY//
ArcA_Cra_FNR_H-NS_HypT	atoB//
ArcA_CysB_FNR	
ArcA_FNR	astD//nagA//hyaA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	sodA//
ArcA_FNR_Fis_IHF_NarL	sodA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	fadI//malQ//
ArcA_FNR_IHF_NarL	citD//garR//
ArcA_FNR_NarL	entE//feaB//srlD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	kbaZ//paaK//
ArcA_FadR	srlD//hycB//pdeL//
ArcA_FadR_Fis	betB//fumA//
ArcA_Fur_Lrp_ModE	metE//dmsC//
ArcA_GlcC_IHF_PdhR	caiD//puuE//gatY//
ArcA_LexA	cysG//
ArcA_LldR	rhaB//tnaA//
ArcA_NarL	ilvA//
ArcA_NtrC_PhoP_RutR	citE//hyaC//gltD//edd//gatD//ynfH//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	cysJ//
ArgP_CRP_FNR_Fur_Nac	nrfA//
ArgP_DnaA	argG//
ArgP_Lrp	nrfD//entF//
ArgP_LysR	idnD//
ArgP_PhoB	
ArgR_CRP	rutB//
ArgR_CRP_Fis	paaB//lsrG//lsrK//
ArgR_Fis_IHF_PepA_PurR_RutR	tnaA//
ArgR_H-NS_NtrC	citE//caiA//
ArgR_NtrC	dgcZ//serA//glpX//pgaB//rimK//
ArgR_PhoP	rhaA//
AscG_CRP	metH//gapA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	epd//
AtoC_IHF	glcB//murF//serA//
BaeR_CpxR	nrfA//
BaeR_CpxR_EvgA	glpK//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	aldB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	aldB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	dusB//hycE//prpB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	malS//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fucA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	sdhC//nfsA//sdhC//cysG//rimK//atoA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	fbaA//ulaD//moeA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fau//sdhB//moaE//
CRP_Cra_Mlc_NagC	rhaA//garK//gltD//nanK//
CRP_Cra_PrpR	carB//tnaA//waaY//hycF//
CRP_CreB_Fis_MalT	galT//
CRP_CsiR_H-NS_Lrp	ftnA//
CRP_CsiR_H-NS_Lrp_Nac	paaG//murC//gatZ//
CRP_CspA_Fis	nrdD//
CRP_CytR	dusB//
CRP_CytR_DeoR	nanA//uxaA//
CRP_CytR_DeoR_Fis_ModE	fabA//hcp//fadH//lyxK//
CRP_CytR_Nac	idnK//
CRP_CytR_NsrR	mtlD//
CRP_DcuR_FNR_NarL	gadA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	murE//rsmH//
CRP_DpiA_ExuR	dsdA//
CRP_DsdC	lpxA//gcvT//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	nirD//
CRP_ExuR	ynfH//
CRP_ExuR_FNR	murD//acnA//
CRP_ExuR_OxyR_UxuR	nanA//fadA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	moaA//
CRP_FNR_Fis	rsmH//narI//
CRP_FNR_Fis_GlpR_IHF	tnaA//ahpF//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	mhpE//rhaD//edd//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	citD//ilvD//uvrA//tauD//galT//
CRP_FNR_NarL	gapA//paaE//
CRP_FeaR_NsrR	sgbU//
CRP_Fis	glpX//aroG//codA//
CRP_Fis_FlhDC_GalR_GalS	murC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	deoC//sgbH//
CRP_Fis_IHF	ulaE//xylA//uidA//
CRP_Fis_NanR	uxaB//guaA//lldD//citF//
CRP_Fis_NtrC	ogt//
CRP_Fis_XylR	mtlD//
CRP_FlhDC_GalR_GalS	cysG//
CRP_FucR	fumB//fadH//cyoE//mraY//tdcD//ulaF//
CRP_Fur	nrdF//purN//fabA//sgbU//metL//torA//yqjH//sufS//entA//nfsB//
CRP_Fur_HypT_PdhR	nrdA//nrdE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	idnD//sgbE//lacA//purH//
CRP_GalR_GalS_NagC	sgbH//
CRP_GlpR	hyaC//aroG//pflB//
CRP_GntR	edd//
CRP_GntR_IdnR	paaC//dadX//aldB//dadX//fumC//frdB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	uvrA//puuC//caiB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	sucB//
CRP_H-NS_LacI	garR//nanK//mdh//
CRP_H-NS_LeuO	gltD//
CRP_H-NS_MqsA	
CRP_IHF	mhpC//sodB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	gltB//
CRP_IHF_PaaX	gcvT//sufS//nrdE//uxuA//nrfA//recF//glgA//moaD//
CRP_IHF_UlaR	aspC//edd//ynfF//hycC//
CRP_IHF_YiaJ	ogt//deoC//ynfF//atoA//metH//idnO//
CRP_LexA	
CRP_Lrp	hycF//nemA//acnA//entA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	fabA//
CRP_LsrR	galT//gcvT//fadE//entA//torA//
CRP_MalI	mnmG//garR//
CRP_MalT	hemA//ynfG//
CRP_MalT_PhoP	citC//
CRP_MelR	torA//hycE//
CRP_MetJ	gatZ//
CRP_MhpR	gatZ//dsdA//feaB//gabD//ascB//torA//
CRP_Mlc	
CRP_ModE	paaB//
CRP_MurR	glgP//hypF//garK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	icd//
CRP_NagC	glgP//fucI//napG//lsrG//lpxA//
CRP_NagC_NanR	murG//glpQ//
CRP_NagC_PhoP	rhaA//
CRP_OxyR	
CRP_OxyR_UxuR	truB//
CRP_PhoB	fabZ//citG//
CRP_PhoP	fau//aldA//hypF//
CRP_PutA	waaZ//
CRP_RbsR	rutB//sucB//lpxA//
CRP_RhaR_RhaS	
CRP_RhaS	murE//nanM//mhpB//
CRP_Rob	dusB//
CRP_TorR	hycC//acnB//
CRP_UhpA_UvrY	sdhD//
CRP_UidR_UxuR	lyxK//uxaC//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	aspC//ddlB//
Cbl_CysB_FNR_IHF	fucO//napG//poxB//
CdaR_FNR_Fis_Fur_H-NS	citD//glpA//
CdaR_FNR_Fur_H-NS	argD//sdhC//fucO//mdh//
CpxR_CsgD_FliZ	
CpxR_CysB	idnK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gdhA//
CpxR_GadE	pgk//glgC//serA//
CpxR_H-NS	hyaC//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	fau//
Cra_FNR_Fis_Lrp_NarL	murG//
Cra_FNR_Fur_MarA_Rob_SoxS	sucD//
Cra_FhlA_FlhDC	katG//
Cra_GntR_KdgR	lpd//
Cra_GntR_KdgR_PhoB	moaA//
Cra_MarA_SoxS	fau//
Cra_PdeL	lyxK//
Cra_SgrR	ilvM//
Cra_TyrR	metL//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hemL//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	lhgO//nrdB//
CusR_PhoB_YedW	mhpB//
CysB_H-NS	ynfH//srlD//katG//
CysB_HypT_IHF	astD//
CysB_IHF	paaF//epd//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	frdB//
DinJ-YafQ_LexA	nrfD//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	gloA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	narH//
FNR_FhlA_NarL_NarP	ansB//araB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	rutE//
FNR_Fis_IHF_ModE_NarL	ubiA//
FNR_Fis_IHF_NarL	nemA//
FNR_Fis_IHF_NarL_RstA	pck//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	araB//
FNR_FlhDC_ModE_NarL_NarP	glcF//
FNR_Fur	tauD//fumC//
FNR_Fur_GadE	ssuE//
FNR_Fur_GadX_NtrC	malQ//
FNR_Fur_H-NS	paaB//frdD//frdB//
FNR_Fur_MetR_NsrR	moaE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	torA//
FNR_Fur_OxyR	rutB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	deoC//
FNR_H-NS_NrdR	malS//treC//
FNR_IHF	treC//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	pnp//
FNR_IHF_PhoB	
FNR_MalT	murE//garR//
FNR_ModE	
FNR_NarL	galM//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	astA//napG//
FNR_NarL_NikR	citF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nfsA//nanE//
FNR_YqjI	
FabR_FadR	glpX//pyrD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	adhE//ubiC//
FhlA_IHF_NsrR	
Fis_Fur	narG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	rutD//
Fis_IHF	
Fis_IHF_NtrC	adhE//tdcG//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fes//
Fis_NarL	narG//
Fis_NarL_NarP_NsrR	
Fis_PurR	glpD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	nrdB//
Fur_H-NS	acs//guaB//
Fur_IHF_IscR_NsrR_OxyR	waaH//
Fur_IscR_NrdR	uvrA//
Fur_MetR	narI//
Fur_MntR	nrdB//
Fur_MntR_OxyR	glpQ//
Fur_OxyR	
Fur_PurR	glgC//
Fur_RcnR	murG//
Fur_RutR	caiC//
Fur_SoxS_Zur	
Fur_YqjI	ubiC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	waaZ//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	narI//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	entB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	citX//
H-NS_Lrp_NhaR_RcsB	glgP//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	narG//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	entD//
HU_IHF_TyrR	ilvD//
HigA_HigB-HigA	ppiA//
HipAB_HipB_IHF	waaH//
HypT_MetJ	fabB//
HypT_MetJ_PhoP	glcE//ulaF//
IHF_Lrp	hycE//sufS//pgk//nrdF//ftsI//
IHF_NsrR	
IHF_NtrC	codA//
IHF_PhoP	
IHF_PspF	guaB//
IHF_RcsAB	
IHF_RtcR	nagB//caiA//
IHF_TyrR	aceF//
IHF_UlaR	ascB//
LexA_MraZ_PdhR	aroG//aroG//lpxD//epd//nrfA//mpl//gltA//citF//hycE//torC//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	edd//murE//
MarA_PhoP_Rob_SoxS	mhpD//glpC//garR//uvrA//paaE//dgcZ//dmsA//ynfG//mhpB//
MarA_Rob_SoxS	waaZ//malS//
MarA_SoxS	recF//prpE//ilvG_1//
MetJ_MetR	malQ//
MetJ_OxyR	nfsA//
MetR_PurR	mpl//
MraZ_PdhR	entE//
Nac_PurR	araA//nrdD//
NarL_TorR	lacZ//
NemR_RutR	ugpQ//citE//
NhaR_OmpR	gatZ//lsrK//fadA//
NorR_NsrR	
NsrR_PhoB	gapA//
OxyR_SoxS	
PdhR_PhoP	prpD//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	napC//uxaB//
RelB_RelB-RelE	ugpQ//
TrpR_TyrR	paaB//
YefM_YefM-YoeB	ilvI//
