# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aroL//gcd//
ArcA_CRP_GlpR	puuA//
ArcA_CRP_IHF	astA//
ArcA_CRP_PuuR	gadA//glcF//rhaB//hypF//
ArcA_CRP_RhaS	mhpC//
ArcA_CRP_TreR	nanK//nagB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	hpt//murQ//
ArcA_Cra	garR//
ArcA_Cra_FNR_H-NS_HypT	sucB//
ArcA_CysB_FNR	
ArcA_FNR	sucD//fucO//ilvG_2//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rsmH//
ArcA_FNR_Fis_IHF_NarL	fadB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	citD//aldB//
ArcA_FNR_IHF_NarL	hyaA//gltD//
ArcA_FNR_NarL	ilvE//pyrD//sucC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	idnD//aceE//
ArcA_FadR	zwf//frdA//paaH//
ArcA_FadR_Fis	nfsA//glcE//
ArcA_Fur_Lrp_ModE	sdhA//hcp//
ArcA_GlcC_IHF_PdhR	rhaA//mhpC//nrfD//
ArcA_LexA	aceA//
ArcA_LldR	feaB//hycD//
ArcA_NarL	napA//
ArcA_NtrC_PhoP_RutR	lsrF//sdhD//betB//pnp//fucU//narI//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	epd//
ArgP_CRP_FNR_Fur_Nac	waaY//
ArgP_DnaA	fucA//
ArgP_Lrp	gntK//gdhA//
ArgP_LysR	glpX//
ArgP_PhoB	
ArgR_CRP	ilvA//
ArgR_CRP_Fis	glcE//lpxA//napA//
ArgR_Fis_IHF_PepA_PurR_RutR	fumA//
ArgR_H-NS_NtrC	katE//metL//
ArgR_NtrC	idnK//moaE//epd//rimK//rutD//
ArgR_PhoP	nagB//
AscG_CRP	rutA//hycF//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	glpK//
AtoC_IHF	sucD//aldB//glpC//
BaeR_CpxR	ilvA//
BaeR_CpxR_EvgA	betB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glpX//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	ssuD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	pyrC//entA//napG//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	torA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	prpC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	pncB//paaA//waaH//ppiA//malS//nrdA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	dmsC//ulaE//napC//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	fes//torA//puuC//
CRP_Cra_Mlc_NagC	mdh//lpd//araB//cysI//
CRP_Cra_PrpR	garR//patA//glpX//frdD//
CRP_CreB_Fis_MalT	atoD//
CRP_CsiR_H-NS_Lrp	murF//
CRP_CsiR_H-NS_Lrp_Nac	relA//eda//deoA//
CRP_CspA_Fis	rutA//
CRP_CytR	ilvA//
CRP_CytR_DeoR	rutB//fbaA//
CRP_CytR_DeoR_Fis_ModE	nfsB//glcF//aceE//malP//
CRP_CytR_Nac	malY//
CRP_CytR_NsrR	entC//
CRP_DcuR_FNR_NarL	malY//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	gabD//malP//
CRP_DpiA_ExuR	torA//
CRP_DsdC	metK//sgbU//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	gatZ//
CRP_ExuR	gapA//
CRP_ExuR_FNR	ynfG//mhpC//
CRP_ExuR_OxyR_UxuR	idnD//mhpF//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	deoC//
CRP_FNR_Fis	ilvD//puuB//
CRP_FNR_Fis_GlpR_IHF	moeB//glpA//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	fadD//hycD//gnd//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	moaD//aspC//entB//mazG//nirD//
CRP_FNR_NarL	dadX//mhpE//
CRP_FeaR_NsrR	nagA//
CRP_Fis	nrdF//entC//lpxD//
CRP_Fis_FlhDC_GalR_GalS	prpB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nrfA//recF//
CRP_Fis_IHF	tdcE//rbsD//citG//
CRP_Fis_NanR	sodB//rimK//ldtB//lldD//
CRP_Fis_NtrC	purN//
CRP_Fis_XylR	fadI//
CRP_FlhDC_GalR_GalS	gapA//
CRP_FucR	nrfB//malP//nrdF//nanE//prmC//rsmH//
CRP_Fur	narI//pnp//gabD//accC//citG//paaF//ogt//idnO//ulaE//caiD//
CRP_Fur_HypT_PdhR	pgaC//uvrA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	putA//accC//xylB//mdh//
CRP_GalR_GalS_NagC	puuC//
CRP_GlpR	tdcB//prpB//sucC//
CRP_GntR	napH//
CRP_GntR_IdnR	dmsB//bglB//ndh//putA//recF//atoB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	sgbU//paaH//fadI//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	pdeR//
CRP_H-NS_LacI	nrdF//murF//ulaE//
CRP_H-NS_LeuO	nagB//
CRP_H-NS_MqsA	
CRP_IHF	murG//dgcZ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	putA//
CRP_IHF_PaaX	nfsB//acnB//rhaB//xylA//metB//murE//araD//glpD//
CRP_IHF_UlaR	aspA//ftsI//deoB//napA//
CRP_IHF_YiaJ	fucI//ulaD//paaB//ulaD//fumB//rutE//
CRP_LexA	
CRP_Lrp	tauD//gadB//murE//lsrK//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	puuD//
CRP_LsrR	ascB//ynfG//gabT//fabZ//hypF//
CRP_MalI	uxaB//gcvT//
CRP_MalT	tnaA//moaD//
CRP_MalT_PhoP	gatY//
CRP_MelR	ugpQ//glpA//
CRP_MetJ	relA//
CRP_MhpR	nanE//patA//ulaE//zwf//pflB//poxB//
CRP_Mlc	
CRP_ModE	glpK//
CRP_MurR	ldtB//moaD//appA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	lyxK//
CRP_NagC	gloA//umpH//serA//aceF//murF//
CRP_NagC_NanR	rimK//rutD//
CRP_NagC_PhoP	glpK//
CRP_OxyR	
CRP_OxyR_UxuR	entH//
CRP_PhoB	purN//nrdE//
CRP_PhoP	cysM//tnaA//glgP//
CRP_PutA	frdD//
CRP_RbsR	glgA//purD//rhaA//
CRP_RhaR_RhaS	
CRP_RhaS	aspA//mraY//pdeR//
CRP_Rob	paaF//
CRP_TorR	pspE//epd//
CRP_UhpA_UvrY	glnA//
CRP_UidR_UxuR	fumA//citG//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	fabB//carA//
Cbl_CysB_FNR_IHF	fumA//paaZ//entF//
CdaR_FNR_Fis_Fur_H-NS	feaB//glpA//
CdaR_FNR_Fur_H-NS	mnmG//lpxC//pncB//ilvA//
CpxR_CsgD_FliZ	
CpxR_CysB	murE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	galM//
CpxR_GadE	caiA//tdcE//ackA//
CpxR_H-NS	acnA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	pgk//
Cra_FNR_Fis_Lrp_NarL	sucC//
Cra_FNR_Fur_MarA_Rob_SoxS	citD//
Cra_FhlA_FlhDC	puuE//
Cra_GntR_KdgR	mazG//
Cra_GntR_KdgR_PhoB	ldtB//
Cra_MarA_SoxS	glpQ//
Cra_PdeL	ubiA//
Cra_SgrR	pgaB//
Cra_TyrR	idnO//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	malQ//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	napG//fdhF//
CusR_PhoB_YedW	adhE//
CysB_H-NS	rimK//murQ//pgaD//
CysB_HypT_IHF	glpA//
CysB_IHF	astC//gltB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	katG//
DinJ-YafQ_LexA	dmsB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	gcd//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	paaB//
FNR_FhlA_NarL_NarP	rnpB//mpl//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	dmsB//
FNR_Fis_IHF_ModE_NarL	hycD//
FNR_Fis_IHF_NarL	dusB//
FNR_Fis_IHF_NarL_RstA	moeA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	gntK//
FNR_FlhDC_ModE_NarL_NarP	prpE//
FNR_Fur	argG//hycG//
FNR_Fur_GadE	entC//
FNR_Fur_GadX_NtrC	idnK//
FNR_Fur_H-NS	aroA//caiB//ynfE//
FNR_Fur_MetR_NsrR	cyoE//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	rbsD//
FNR_Fur_OxyR	rutE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nanE//
FNR_H-NS_NrdR	sufS//ulaE//
FNR_IHF	moaE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	murG//
FNR_IHF_PhoB	
FNR_MalT	rhaA//nrdA//
FNR_ModE	
FNR_NarL	citX//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	gntK//relA//
FNR_NarL_NikR	recF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	garK//fabB//
FNR_YqjI	
FabR_FadR	pdeR//malY//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	mraY//fabB//
FhlA_IHF_NsrR	
Fis_Fur	entC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	epd//
Fis_IHF	
Fis_IHF_NtrC	rhaD//purA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fadE//
Fis_NarL	fes//
Fis_NarL_NarP_NsrR	
Fis_PurR	yiaK//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	gcd//
Fur_H-NS	feaB//ilvM//
Fur_IHF_IscR_NsrR_OxyR	narG//
Fur_IscR_NrdR	gcd//
Fur_MetR	aroA//
Fur_MntR	pdeL//
Fur_MntR_OxyR	ynfH//
Fur_OxyR	
Fur_PurR	xylB//
Fur_RcnR	lsrK//
Fur_RutR	frdC//
Fur_SoxS_Zur	
Fur_YqjI	nrfB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	fadH//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	galT//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	napA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	sdhD//
H-NS_Lrp_NhaR_RcsB	ndh//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gnd//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	acnB//
HU_IHF_TyrR	aroG//
HigA_HigB-HigA	mhpE//
HipAB_HipB_IHF	mhpF//
HypT_MetJ	paaA//
HypT_MetJ_PhoP	mpl//gdhA//
IHF_Lrp	nrdF//gatY//citF//gapA//dsdA//
IHF_NsrR	
IHF_NtrC	moaE//
IHF_PhoP	
IHF_PspF	deoB//
IHF_RcsAB	
IHF_RtcR	aspA//gatZ//
IHF_TyrR	pspE//
IHF_UlaR	xylA//
LexA_MraZ_PdhR	atoB//entB//tnaA//paaG//citG//araA//gadA//accC//betA//paaB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	truB//nagB//
MarA_PhoP_Rob_SoxS	napH//sucD//ilvD//hycB//folA//astB//nagB//gadA//nrdD//
MarA_Rob_SoxS	gapA//aroL//
MarA_SoxS	lpd//betB//folA//
MetJ_MetR	araD//
MetJ_OxyR	metB//
MetR_PurR	adhE//
MraZ_PdhR	murC//
Nac_PurR	napA//feaB//
NarL_TorR	pgaB//
NemR_RutR	gatD//cysI//
NhaR_OmpR	purD//rutA//gltB//
NorR_NsrR	
NsrR_PhoB	murC//
OxyR_SoxS	
PdhR_PhoP	waaZ//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	pnp//sufS//
RelB_RelB-RelE	gatZ//
TrpR_TyrR	pncB//
YefM_YefM-YoeB	mhpC//
