# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	lacZ//astA//
ArcA_CRP_IHF	hyaA//
ArcA_CRP_PuuR	murC//puuB//lpd//deoA//
ArcA_CRP_RhaS	fadA//
ArcA_CRP_TreR	cysJ//aceB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	hypB//sgbH//
ArcA_Cra	pflB//
ArcA_Cra_FNR_H-NS_HypT	puuD//
ArcA_CysB_FNR	
ArcA_FNR	paaK//ftsI//lacA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	napH//
ArcA_FNR_Fis_IHF_NarL	eda//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	glcD//ldtB//
ArcA_FNR_IHF_NarL	malS//udp//
ArcA_FNR_NarL	accC//nemA//glcE//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	glgA//pncB//
ArcA_FadR	lacZ//ilvG_2//gloA//
ArcA_FadR_Fis	sucB//glnA//
ArcA_Fur_Lrp_ModE	sgbU//pflB//
ArcA_GlcC_IHF_PdhR	udp//puuB//ulaE//
ArcA_LexA	entD//
ArcA_LldR	entH//fumC//
ArcA_NarL	hycG//
ArcA_NtrC_PhoP_RutR	waaH//glpQ//acnA//udp//glpQ//accC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hyaC//
ArgP_CRP_FNR_Fur_Nac	ubiA//
ArgP_DnaA	nrdB//
ArgP_Lrp	acs//sodB//
ArgP_LysR	tdcE//
ArgP_PhoB	
ArgR_CRP	prpE//
ArgR_CRP_Fis	nanK//tdcE//tdcE//
ArgR_Fis_IHF_PepA_PurR_RutR	lsrG//
ArgR_H-NS_NtrC	katE//aceA//
ArgR_NtrC	ugpQ//frdC//ynfE//nagA//caiD//
ArgR_PhoP	sdhA//
AscG_CRP	moaD//glcD//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	mraY//
AtoC_IHF	atoB//mazG//gatD//
BaeR_CpxR	udp//
BaeR_CpxR_EvgA	hyaB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	glcE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	rhaD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	poxB//ugpQ//araA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	caiA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	metE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	astD//mhpB//gabD//prpC//pgaB//pck//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lpxC//nrfA//gltA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	moaA//mhpD//gdhA//
CRP_Cra_Mlc_NagC	rutE//epd//nanE//mhpF//
CRP_Cra_PrpR	pdeR//carA//dmsC//hemA//
CRP_CreB_Fis_MalT	ssuE//
CRP_CsiR_H-NS_Lrp	ilvG_1//
CRP_CsiR_H-NS_Lrp_Nac	dsdA//pflB//rhaD//
CRP_CspA_Fis	aceF//
CRP_CytR	rbsD//
CRP_CytR_DeoR	sufS//aroL//
CRP_CytR_DeoR_Fis_ModE	gapA//mraY//treC//puuB//
CRP_CytR_Nac	rhaD//
CRP_CytR_NsrR	cysM//
CRP_DcuR_FNR_NarL	lpd//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	adhE//sdhA//
CRP_DpiA_ExuR	lpxC//
CRP_DsdC	udp//ulaG//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	tdcD//
CRP_ExuR	accC//
CRP_ExuR_FNR	gadA//ppiA//
CRP_ExuR_OxyR_UxuR	astB//entF//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	metK//
CRP_FNR_Fis	garL//fucO//
CRP_FNR_Fis_GlpR_IHF	dadA//malP//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	malS//lhgO//idnK//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	aceB//nanE//lsrG//ugpQ//tam//
CRP_FNR_NarL	ldtB//sodB//
CRP_FeaR_NsrR	fabA//
CRP_Fis	citG//entB//katG//
CRP_Fis_FlhDC_GalR_GalS	dgcZ//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	pck//guaA//
CRP_Fis_IHF	sdhC//ansB//fabB//
CRP_Fis_NanR	metK//hcp//narG//metK//
CRP_Fis_NtrC	entH//
CRP_Fis_XylR	zwf//
CRP_FlhDC_GalR_GalS	accB//
CRP_FucR	kbaZ//uxuA//ddlB//hycE//mtlD//ubiA//
CRP_Fur	narI//murG//acnA//epd//gcvP//murG//tnaA//glpB//mhpA//ackA//
CRP_Fur_HypT_PdhR	mnmG//mhpE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	relA//fadH//murC//garR//
CRP_GalR_GalS_NagC	tdcG//
CRP_GlpR	ssuD//nfsB//sufS//
CRP_GntR	rutE//
CRP_GntR_IdnR	caiA//pyrC//tauD//argD//xylB//citF//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	ddlB//aceF//malY//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	carB//
CRP_H-NS_LacI	puuD//ilvI//pnp//
CRP_H-NS_LeuO	citE//
CRP_H-NS_MqsA	
CRP_IHF	sdhD//cysJ//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	hypF//
CRP_IHF_PaaX	fucO//fabZ//gatZ//citC//uxaA//frdC//purM//ilvH//
CRP_IHF_UlaR	epd//carB//gadB//gltD//
CRP_IHF_YiaJ	pncB//nanE//kbaZ//gdhA//rbsK//citC//
CRP_LexA	
CRP_Lrp	nirB//citX//sgbU//katE//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	codA//
CRP_LsrR	malY//sgbH//aceE//galK//ssuD//
CRP_MalI	murE//srlD//
CRP_MalT	edd//nirD//
CRP_MalT_PhoP	katE//
CRP_MelR	torA//rsmH//
CRP_MetJ	gadB//
CRP_MhpR	chbF//citE//malP//entB//acnB//lpxA//
CRP_Mlc	
CRP_ModE	purD//
CRP_MurR	galT//astC//rsmH//
CRP_Nac_NsrR_PhoB	
CRP_NadR	sdhC//
CRP_NagC	ilvG_1//ilvA//hcp//pck//citG//
CRP_NagC_NanR	waaY//gadA//
CRP_NagC_PhoP	prpD//
CRP_OxyR	
CRP_OxyR_UxuR	glpK//
CRP_PhoB	napB//ssuD//
CRP_PhoP	purM//ugpQ//paaZ//
CRP_PutA	uxuA//
CRP_RbsR	uidA//metB//sdhA//
CRP_RhaR_RhaS	
CRP_RhaS	napC//appA//sodB//
CRP_Rob	sgbH//
CRP_TorR	napA//hycB//
CRP_UhpA_UvrY	rnpB//
CRP_UidR_UxuR	fumC//icd//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	sucD//paaJ//
Cbl_CysB_FNR_IHF	yqjH//chbG//gapA//
CdaR_FNR_Fis_Fur_H-NS	tdcE//murE//
CdaR_FNR_Fur_H-NS	purD//fadB//lsrF//hycD//
CpxR_CsgD_FliZ	
CpxR_CysB	nrfB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	paaK//
CpxR_GadE	ogt//gabT//hycD//
CpxR_H-NS	tdcB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	paaC//
Cra_FNR_Fis_Lrp_NarL	uxuB//
Cra_FNR_Fur_MarA_Rob_SoxS	rutA//
Cra_FhlA_FlhDC	mhpA//
Cra_GntR_KdgR	gltD//
Cra_GntR_KdgR_PhoB	rutE//
Cra_MarA_SoxS	chbF//
Cra_PdeL	paaI//
Cra_SgrR	mhpD//
Cra_TyrR	bglB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrdB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	sgbE//sdhC//
CusR_PhoB_YedW	relA//
CysB_H-NS	frdA//sgbU//betB//
CysB_HypT_IHF	nirB//
CysB_IHF	torA//aldA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	ftsI//
DinJ-YafQ_LexA	paaZ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	hypF//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	rutB//
FNR_FhlA_NarL_NarP	ilvG_1//lpxC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	xylB//
FNR_Fis_IHF_ModE_NarL	paaG//
FNR_Fis_IHF_NarL	fucO//
FNR_Fis_IHF_NarL_RstA	gltA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	deoC//
FNR_FlhDC_ModE_NarL_NarP	moeB//
FNR_Fur	gcvT//fumA//
FNR_Fur_GadE	fbaA//
FNR_Fur_GadX_NtrC	galM//
FNR_Fur_H-NS	paaC//rutE//nrfA//
FNR_Fur_MetR_NsrR	dadX//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	fadB//
FNR_Fur_OxyR	purA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	glgA//
FNR_H-NS_NrdR	idnO//patA//
FNR_IHF	waaH//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	rnpB//
FNR_IHF_PhoB	
FNR_MalT	nrdD//glpB//
FNR_ModE	
FNR_NarL	ssuE//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	pck//mhpF//
FNR_NarL_NikR	narH//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	napA//frdA//
FNR_YqjI	
FabR_FadR	moaE//accC//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	uxuA//galT//
FhlA_IHF_NsrR	
Fis_Fur	caiC//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	hycF//
Fis_IHF	
Fis_IHF_NtrC	ulaD//narH//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	dadX//
Fis_NarL	sucD//
Fis_NarL_NarP_NsrR	
Fis_PurR	fabA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	hyaC//
Fur_H-NS	fadB//narG//
Fur_IHF_IscR_NsrR_OxyR	puuB//
Fur_IscR_NrdR	nrdA//
Fur_MetR	fau//
Fur_MntR	lsrG//
Fur_MntR_OxyR	prpC//
Fur_OxyR	
Fur_PurR	narI//
Fur_RcnR	sodB//
Fur_RutR	deoB//
Fur_SoxS_Zur	
Fur_YqjI	aceF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	lldD//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	citC//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ynfE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	ilvI//
H-NS_Lrp_NhaR_RcsB	ogt//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	ubiA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	atoB//
HU_IHF_TyrR	glpD//
HigA_HigB-HigA	ldtB//
HipAB_HipB_IHF	lldD//
HypT_MetJ	entD//
HypT_MetJ_PhoP	prmC//gabD//
IHF_Lrp	glpB//nanK//frdB//napB//torC//
IHF_NsrR	
IHF_NtrC	uidA//
IHF_PhoP	
IHF_PspF	fumA//
IHF_RcsAB	
IHF_RtcR	glcB//aldB//
IHF_TyrR	pdeR//
IHF_UlaR	adhE//
LexA_MraZ_PdhR	garK//hycC//gcvT//pgaB//putA//fadI//poxB//frdB//gutQ//ilvG_2//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	citD//fadE//
MarA_PhoP_Rob_SoxS	ftsI//aceE//moeB//fucA//uxuB//ndh//uxuB//narH//ilvD//
MarA_Rob_SoxS	mhpB//entA//
MarA_SoxS	aspA//entB//ubiA//
MetJ_MetR	mnmG//
MetJ_OxyR	paaE//
MetR_PurR	tdcE//
MraZ_PdhR	galK//
Nac_PurR	fbaA//ilvH//
NarL_TorR	puuE//
NemR_RutR	nrdA//ulaF//
NhaR_OmpR	nrdE//cysJ//ilvA//
NorR_NsrR	
NsrR_PhoB	hmp//
OxyR_SoxS	
PdhR_PhoP	fucU//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	uxuB//patA//
RelB_RelB-RelE	ppiA//
TrpR_TyrR	deoD//
YefM_YefM-YoeB	guaA//
