# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	accB//gadA//
ArcA_CRP_IHF	icd//
ArcA_CRP_PuuR	fadH//mhpD//lysA//nrdD//
ArcA_CRP_RhaS	prpD//
ArcA_CRP_TreR	accB//rbsD//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cadA//frdD//
ArcA_Cra	fadA//
ArcA_Cra_FNR_H-NS_HypT	mhpC//
ArcA_CysB_FNR	
ArcA_FNR	malQ//atoD//nirB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	glcE//
ArcA_FNR_Fis_IHF_NarL	ldtB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	hycC//astB//
ArcA_FNR_IHF_NarL	dadX//guaA//
ArcA_FNR_NarL	lpxD//betB//appA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	purA//atoA//
ArcA_FadR	ynfH//hcp//poxB//
ArcA_FadR_Fis	rutB//lpxC//
ArcA_Fur_Lrp_ModE	lsrK//accC//
ArcA_GlcC_IHF_PdhR	nrdB//tnaA//entH//
ArcA_LexA	purA//
ArcA_LldR	paaH//adiA//
ArcA_NarL	adhE//
ArcA_NtrC_PhoP_RutR	nrfB//frdC//araB//sgbH//hycD//fumC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	galM//
ArgP_CRP_FNR_Fur_Nac	astC//
ArgP_DnaA	hyaA//
ArgP_Lrp	fabB//dmsA//
ArgP_LysR	treC//
ArgP_PhoB	
ArgR_CRP	glcD//
ArgR_CRP_Fis	paaE//cysI//mraY//
ArgR_Fis_IHF_PepA_PurR_RutR	acnB//
ArgR_H-NS_NtrC	pgk//nagB//
ArgR_NtrC	hemA//uvrA//garR//pgaC//ynfH//
ArgR_PhoP	murE//
AscG_CRP	codA//glnA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	pgaB//
AtoC_IHF	glpB//lpxA//ppiA//
BaeR_CpxR	astB//
BaeR_CpxR_EvgA	pspE//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	nrfB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	sucB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	rbsD//galK//hycE//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	fadI//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	citX//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	kbaZ//uxaC//accC//paaF//paaI//napB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	dgcZ//relA//ilvE//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	narH//dusB//hcp//
CRP_Cra_Mlc_NagC	hyaB//epd//fes//acs//
CRP_Cra_PrpR	narG//ulaD//sufS//fadA//
CRP_CreB_Fis_MalT	lyxK//
CRP_CsiR_H-NS_Lrp	cysJ//
CRP_CsiR_H-NS_Lrp_Nac	sdhB//sgbH//gabD//
CRP_CspA_Fis	nanE//
CRP_CytR	fes//
CRP_CytR_DeoR	ubiA//glnA//
CRP_CytR_DeoR_Fis_ModE	gapA//fadB//rutB//hcp//
CRP_CytR_Nac	rsmH//
CRP_CytR_NsrR	mraY//
CRP_DcuR_FNR_NarL	prpB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ilvA//napH//
CRP_DpiA_ExuR	pdeL//
CRP_DsdC	cysJ//ilvG_2//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ansB//
CRP_ExuR	dmsC//
CRP_ExuR_FNR	ulaD//tdcE//
CRP_ExuR_OxyR_UxuR	rhaB//appA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	uxuA//
CRP_FNR_Fis	mpl//fdhF//
CRP_FNR_Fis_GlpR_IHF	sucA//ulaF//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	pspE//glpX//chbF//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	hemA//dgcZ//tdcB//sdhD//fau//
CRP_FNR_NarL	sdhD//aspC//
CRP_FeaR_NsrR	waaH//
CRP_Fis	codA//malY//uidA//
CRP_Fis_FlhDC_GalR_GalS	rutD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	chbF//pck//
CRP_Fis_IHF	araA//hypF//mraY//
CRP_Fis_NanR	gatZ//paaI//mraY//atoB//
CRP_Fis_NtrC	puuE//
CRP_Fis_XylR	gadA//
CRP_FlhDC_GalR_GalS	deoC//
CRP_FucR	nanM//galK//mhpF//betB//sucA//hycC//
CRP_Fur	sodA//gabT//mraY//glpA//uxuB//serC//carA//glpA//carB//serC//
CRP_Fur_HypT_PdhR	murF//malS//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	nagA//lpxA//ilvD//gabT//
CRP_GalR_GalS_NagC	katE//
CRP_GlpR	eda//frdC//pdeR//
CRP_GntR	glcD//
CRP_GntR_IdnR	rnpB//ndh//rhaD//entA//fadD//metH//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	aceA//gutQ//ftnA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	gdhA//
CRP_H-NS_LacI	nemA//astA//pyrC//
CRP_H-NS_LeuO	glpD//
CRP_H-NS_MqsA	
CRP_IHF	rnpB//aroL//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nanK//
CRP_IHF_PaaX	udp//murD//lsrF//carA//narI//caiA//recF//metK//
CRP_IHF_UlaR	relA//mhpF//pgk//ilvM//
CRP_IHF_YiaJ	entE//hycF//udp//fumB//gabD//purM//
CRP_LexA	
CRP_Lrp	udp//mhpA//araB//aceF//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	uvrA//
CRP_LsrR	pnp//ilvG_1//ilvG_2//patA//garR//
CRP_MalI	ulaE//puuB//
CRP_MalT	paaE//paaZ//
CRP_MalT_PhoP	paaE//
CRP_MelR	murQ//dgcZ//
CRP_MetJ	sufS//
CRP_MhpR	pgk//eda//hmp//katE//entC//eda//
CRP_Mlc	
CRP_ModE	lpxC//
CRP_MurR	purM//moaD//kbaZ//
CRP_Nac_NsrR_PhoB	
CRP_NadR	gatD//
CRP_NagC	caiA//metH//aceB//sdhA//glcD//
CRP_NagC_NanR	nanA//carB//
CRP_NagC_PhoP	fucA//
CRP_OxyR	
CRP_OxyR_UxuR	pgk//
CRP_PhoB	napG//gcd//
CRP_PhoP	lacA//lsrG//aceE//
CRP_PutA	dmsA//
CRP_RbsR	lsrF//gcvH//hyaC//
CRP_RhaR_RhaS	
CRP_RhaS	glnA//fadD//mnmG//
CRP_Rob	lyxK//
CRP_TorR	poxB//deoA//
CRP_UhpA_UvrY	glpB//
CRP_UidR_UxuR	yqjH//ulaE//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	treC//lpd//
Cbl_CysB_FNR_IHF	mdh//gcvH//mazG//
CdaR_FNR_Fis_Fur_H-NS	ubiC//caiA//
CdaR_FNR_Fur_H-NS	ulaG//gltD//ilvG_2//uxaA//
CpxR_CsgD_FliZ	
CpxR_CysB	lhgO//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	aceF//
CpxR_GadE	ubiC//murQ//caiB//
CpxR_H-NS	glcE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	sdhD//
Cra_FNR_Fis_Lrp_NarL	mraY//
Cra_FNR_Fur_MarA_Rob_SoxS	lacZ//
Cra_FhlA_FlhDC	lpxC//
Cra_GntR_KdgR	gntK//
Cra_GntR_KdgR_PhoB	galK//
Cra_MarA_SoxS	ynfG//
Cra_PdeL	astA//
Cra_SgrR	deoB//
Cra_TyrR	citE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	mraY//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	purA//garK//
CusR_PhoB_YedW	hycG//
CysB_H-NS	nemA//udp//narI//
CysB_HypT_IHF	sdhA//
CysB_IHF	acnB//uxaB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	pflB//
DinJ-YafQ_LexA	narI//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	aspC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	caiD//
FNR_FhlA_NarL_NarP	rbsK//fdhF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glpX//
FNR_Fis_IHF_ModE_NarL	lacA//
FNR_Fis_IHF_NarL	frdD//
FNR_Fis_IHF_NarL_RstA	metB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	uidA//
FNR_FlhDC_ModE_NarL_NarP	paaC//
FNR_Fur	hmp//nagA//
FNR_Fur_GadE	gntK//
FNR_Fur_GadX_NtrC	puuA//
FNR_Fur_H-NS	citD//pncB//aceF//
FNR_Fur_MetR_NsrR	rbsK//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	rutC//
FNR_Fur_OxyR	hycC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	waaZ//
FNR_H-NS_NrdR	prpB//ilvG_1//
FNR_IHF	mazG//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	tdcD//
FNR_IHF_PhoB	
FNR_MalT	ackA//serC//
FNR_ModE	
FNR_NarL	paaZ//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	moaA//nirB//
FNR_NarL_NikR	murC//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	garK//caiC//
FNR_YqjI	
FabR_FadR	fucU//ddlB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	fadA//feaB//
FhlA_IHF_NsrR	
Fis_Fur	garL//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	truB//
Fis_IHF	
Fis_IHF_NtrC	nagB//metL//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	purM//
Fis_NarL	fumB//
Fis_NarL_NarP_NsrR	
Fis_PurR	fadE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	glcD//
Fur_H-NS	rimK//aldA//
Fur_IHF_IscR_NsrR_OxyR	murG//
Fur_IscR_NrdR	deoC//
Fur_MetR	gcvH//
Fur_MntR	moeA//
Fur_MntR_OxyR	hycD//
Fur_OxyR	
Fur_PurR	hmp//
Fur_RcnR	prpD//
Fur_RutR	mpl//
Fur_SoxS_Zur	
Fur_YqjI	tdcE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glcB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	entH//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	ddlB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	araB//
H-NS_Lrp_NhaR_RcsB	guaB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	gatD//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	araA//
HU_IHF_TyrR	atoD//
HigA_HigB-HigA	bglB//
HipAB_HipB_IHF	deoC//
HypT_MetJ	gapA//
HypT_MetJ_PhoP	nrdF//sdhA//
IHF_Lrp	cysG//fadI//gatZ//waaY//ilvE//
IHF_NsrR	
IHF_NtrC	fumB//
IHF_PhoP	
IHF_PspF	cysG//
IHF_RcsAB	
IHF_RtcR	deoB//waaH//
IHF_TyrR	acnA//
IHF_UlaR	gcd//
LexA_MraZ_PdhR	rbsD//rhaA//serC//malY//edd//glpA//fes//mhpF//glyA//napB//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	mpl//cysH//
MarA_PhoP_Rob_SoxS	gntK//purD//bglB//nirD//puuD//aldB//lsrG//fabB//hycD//
MarA_Rob_SoxS	ubiC//fumC//
MarA_SoxS	purD//hemL//citD//
MetJ_MetR	ahpF//
MetJ_OxyR	entA//
MetR_PurR	yqjH//
MraZ_PdhR	lhgO//
Nac_PurR	gatD//sdhA//
NarL_TorR	murD//
NemR_RutR	ppiA//paaK//
NhaR_OmpR	caiA//lyxK//cyoE//
NorR_NsrR	
NsrR_PhoB	nanE//
OxyR_SoxS	
PdhR_PhoP	hmp//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	pgaC//idnK//
RelB_RelB-RelE	gcd//
TrpR_TyrR	lacA//
YefM_YefM-YoeB	murD//
