# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	murF//murQ//
ArcA_CRP_IHF	cysG//
ArcA_CRP_PuuR	nfsA//cysJ//chbF//treC//
ArcA_CRP_RhaS	hypB//
ArcA_CRP_TreR	gadB//tnaA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	accC//acnB//
ArcA_Cra	moaA//
ArcA_Cra_FNR_H-NS_HypT	fumC//
ArcA_CysB_FNR	
ArcA_FNR	fadH//narH//napB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	moaD//
ArcA_FNR_Fis_IHF_NarL	sodB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	metB//edd//
ArcA_FNR_IHF_NarL	galM//ulaE//
ArcA_FNR_NarL	tdcD//acnA//puuB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	poxB//aceE//
ArcA_FadR	nanM//pyrD//patA//
ArcA_FadR_Fis	hyaA//hycB//
ArcA_Fur_Lrp_ModE	citG//paaH//
ArcA_GlcC_IHF_PdhR	truB//nrdA//gadA//
ArcA_LexA	ulaD//
ArcA_LldR	waaZ//fumB//
ArcA_NarL	uxaB//
ArcA_NtrC_PhoP_RutR	tnaA//argD//chbG//fumB//glpC//prpD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	paaH//
ArgP_CRP_FNR_Fur_Nac	acnA//
ArgP_DnaA	galE//
ArgP_Lrp	ilvE//sdhA//
ArgP_LysR	waaZ//
ArgP_PhoB	
ArgR_CRP	glgC//
ArgR_CRP_Fis	ilvE//glpX//ugpQ//
ArgR_Fis_IHF_PepA_PurR_RutR	lsrF//
ArgR_H-NS_NtrC	puuA//mhpF//
ArgR_NtrC	eda//puuB//adiA//patA//hycE//
ArgR_PhoP	xylA//
AscG_CRP	hemL//metB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaC//
AtoC_IHF	nrfD//hyaA//paaJ//
BaeR_CpxR	mtlD//
BaeR_CpxR_EvgA	citF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ynfH//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	nagB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	aspA//rimK//epd//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	hpt//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	puuE//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	ynfF//prpE//ilvI//lysA//truB//dmsB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	carB//hycG//gdhA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	acs//prpD//puuD//
CRP_Cra_Mlc_NagC	ulaE//sgbU//murQ//rnpB//
CRP_Cra_PrpR	ynfH//hycD//gatY//ilvA//
CRP_CreB_Fis_MalT	appA//
CRP_CsiR_H-NS_Lrp	ogt//
CRP_CsiR_H-NS_Lrp_Nac	uidA//gatD//lpxC//
CRP_CspA_Fis	entD//
CRP_CytR	aceB//
CRP_CytR_DeoR	glpX//glpX//
CRP_CytR_DeoR_Fis_ModE	ppiA//narG//pgk//pncB//
CRP_CytR_Nac	serC//
CRP_CytR_NsrR	prpE//
CRP_DcuR_FNR_NarL	zwf//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	sdhC//fucA//
CRP_DpiA_ExuR	hypF//
CRP_DsdC	ddlB//entC//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mazG//
CRP_ExuR	citC//
CRP_ExuR_FNR	lpxC//fucK//
CRP_ExuR_OxyR_UxuR	fadJ//paaA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	galE//
CRP_FNR_Fis	citE//fumA//
CRP_FNR_Fis_GlpR_IHF	garK//garL//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	icd//carA//hemA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	gloA//narH//astA//glpC//purN//
CRP_FNR_NarL	nagA//paaE//
CRP_FeaR_NsrR	glgC//
CRP_Fis	paaF//fadH//murE//
CRP_Fis_FlhDC_GalR_GalS	fucA//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nfsA//paaG//
CRP_Fis_IHF	paaK//treC//gltB//
CRP_Fis_NanR	idnK//pck//garL//frdA//
CRP_Fis_NtrC	nagA//
CRP_Fis_XylR	purN//
CRP_FlhDC_GalR_GalS	dmsB//
CRP_FucR	paaE//pdeL//ppiA//astE//fucI//glpD//
CRP_Fur	astE//entE//codA//pyrD//fabB//paaI//rutC//purN//nemA//poxB//
CRP_Fur_HypT_PdhR	glcE//ssuE//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	pgaD//sucC//lysA//galK//
CRP_GalR_GalS_NagC	lysA//
CRP_GlpR	glpC//adiA//mraY//
CRP_GntR	lpxC//
CRP_GntR_IdnR	sodB//tnaA//gloA//ulaE//puuA//moeA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	hyaA//astD//sucA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	cysG//
CRP_H-NS_LacI	aldA//epd//hyaC//
CRP_H-NS_LeuO	nemA//
CRP_H-NS_MqsA	
CRP_IHF	nrfB//metB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	nanA//
CRP_IHF_PaaX	hmp//narG//metB//paaC//mhpF//feaB//cysI//glpQ//
CRP_IHF_UlaR	caiB//guaB//narI//fadE//
CRP_IHF_YiaJ	rnpB//fadB//garK//fucK//paaZ//mhpD//
CRP_LexA	
CRP_Lrp	citG//glcF//sgbH//napB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	umpH//
CRP_LsrR	paaC//fucO//aceF//fucO//frdA//
CRP_MalI	gabT//sucD//
CRP_MalT	gcvH//lsrF//
CRP_MalT_PhoP	aldB//
CRP_MelR	mazG//deoD//
CRP_MetJ	glcD//
CRP_MhpR	pyrC//entD//fucO//paaG//katG//mnmG//
CRP_Mlc	
CRP_ModE	ubiA//
CRP_MurR	murD//cysG//waaH//
CRP_Nac_NsrR_PhoB	
CRP_NadR	entF//
CRP_NagC	srlD//pck//yqjH//ssuD//serA//
CRP_NagC_NanR	patA//ynfE//
CRP_NagC_PhoP	purN//
CRP_OxyR	
CRP_OxyR_UxuR	deoC//
CRP_PhoB	fucK//recF//
CRP_PhoP	hycB//katE//citD//
CRP_PutA	gatY//
CRP_RbsR	bglB//hypF//aroA//
CRP_RhaR_RhaS	
CRP_RhaS	malQ//glcB//torA//
CRP_Rob	purD//
CRP_TorR	chbF//sodB//
CRP_UhpA_UvrY	ascB//
CRP_UidR_UxuR	glcD//patA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	hycF//ssuE//
Cbl_CysB_FNR_IHF	rimK//fabA//sdhD//
CdaR_FNR_Fis_Fur_H-NS	prpB//garR//
CdaR_FNR_Fur_H-NS	napB//rimK//gabD//rsmH//
CpxR_CsgD_FliZ	
CpxR_CysB	galK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	cyoE//
CpxR_GadE	araB//gcvH//purD//
CpxR_H-NS	ynfG//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	ilvD//
Cra_FNR_Fis_Lrp_NarL	aspC//
Cra_FNR_Fur_MarA_Rob_SoxS	hmp//
Cra_FhlA_FlhDC	glcE//
Cra_GntR_KdgR	murC//
Cra_GntR_KdgR_PhoB	edd//
Cra_MarA_SoxS	fucK//
Cra_PdeL	carA//
Cra_SgrR	ahpC//
Cra_TyrR	tam//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ilvD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nrdF//glpB//
CusR_PhoB_YedW	mdh//
CysB_H-NS	rutB//murF//codA//
CysB_HypT_IHF	murG//
CysB_IHF	frdB//xylB//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	tdcB//
DinJ-YafQ_LexA	nagB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	moaA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	paaG//
FNR_FhlA_NarL_NarP	metB//yiaK//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gdhA//
FNR_Fis_IHF_ModE_NarL	hypF//
FNR_Fis_IHF_NarL	citF//
FNR_Fis_IHF_NarL_RstA	aroA//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	napC//
FNR_FlhDC_ModE_NarL_NarP	fucI//
FNR_Fur	fucI//mpl//
FNR_Fur_GadE	fadB//
FNR_Fur_GadX_NtrC	hycB//
FNR_Fur_H-NS	narH//pdeR//aceE//
FNR_Fur_MetR_NsrR	carA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	katE//
FNR_Fur_OxyR	aceA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lyxK//
FNR_H-NS_NrdR	ugpQ//betA//
FNR_IHF	carB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	eda//
FNR_IHF_PhoB	
FNR_MalT	puuD//garR//
FNR_ModE	
FNR_NarL	frdA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	aceB//ogt//
FNR_NarL_NikR	fadE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	citF//citX//
FNR_YqjI	
FabR_FadR	citE//rutE//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	gcvH//rbsK//
FhlA_IHF_NsrR	
Fis_Fur	pncB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	icd//
Fis_IHF	
Fis_IHF_NtrC	fadD//fadB//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	srlD//
Fis_NarL	edd//
Fis_NarL_NarP_NsrR	
Fis_PurR	lacZ//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	metL//
Fur_H-NS	fdhF//nagB//
Fur_IHF_IscR_NsrR_OxyR	gcvP//
Fur_IscR_NrdR	glyA//
Fur_MetR	fumA//
Fur_MntR	nrfA//
Fur_MntR_OxyR	gcvH//
Fur_OxyR	
Fur_PurR	gadB//
Fur_RcnR	nrdB//
Fur_RutR	moaE//
Fur_SoxS_Zur	
Fur_YqjI	ubiC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	bglB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fes//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	tnaA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	purM//
H-NS_Lrp_NhaR_RcsB	malP//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	puuE//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	cyoE//
HU_IHF_TyrR	betA//
HigA_HigB-HigA	sdhA//
HipAB_HipB_IHF	deoC//
HypT_MetJ	murQ//
HypT_MetJ_PhoP	lhgO//ahpF//
IHF_Lrp	recF//garR//gcvP//rbsD//metE//
IHF_NsrR	
IHF_NtrC	nfsA//
IHF_PhoP	
IHF_PspF	nfsA//
IHF_RcsAB	
IHF_RtcR	edd//tdcD//
IHF_TyrR	epd//
IHF_UlaR	waaY//
LexA_MraZ_PdhR	aroA//codA//nrfD//hycG//lsrK//ynfH//pyrD//umpH//gutQ//ppiA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	malS//putA//
MarA_PhoP_Rob_SoxS	rutE//ugpQ//sdhA//mdh//betA//hypF//atoB//gutQ//hycD//
MarA_Rob_SoxS	astA//cadA//
MarA_SoxS	fadE//paaC//murQ//
MetJ_MetR	ulaF//
MetJ_OxyR	uidA//
MetR_PurR	lldD//
MraZ_PdhR	ynfE//
Nac_PurR	malS//rutD//
NarL_TorR	ddlB//
NemR_RutR	zwf//udp//
NhaR_OmpR	gatD//hcp//entF//
NorR_NsrR	
NsrR_PhoB	hyaC//
OxyR_SoxS	
PdhR_PhoP	aldA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	torA//sgbE//
RelB_RelB-RelE	caiD//
TrpR_TyrR	mhpC//
YefM_YefM-YoeB	cysG//
