# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	yqjH//citC//
ArcA_CRP_IHF	tdcB//
ArcA_CRP_PuuR	malY//nrfA//cysM//pdeR//
ArcA_CRP_RhaS	ynfH//
ArcA_CRP_TreR	waaH//nanA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nanA//rhaD//
ArcA_Cra	fumC//
ArcA_Cra_FNR_H-NS_HypT	mhpD//
ArcA_CysB_FNR	
ArcA_FNR	carA//deoA//hycC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	patA//
ArcA_FNR_Fis_IHF_NarL	atoB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	waaH//malP//
ArcA_FNR_IHF_NarL	caiA//dmsC//
ArcA_FNR_NarL	pnp//glpD//gatD//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	chbF//rhaA//
ArcA_FadR	pflB//purA//astE//
ArcA_FadR_Fis	tnaA//astC//
ArcA_Fur_Lrp_ModE	nrdA//adhE//
ArcA_GlcC_IHF_PdhR	patA//adiA//gutQ//
ArcA_LexA	napC//
ArcA_LldR	caiD//waaY//
ArcA_NarL	gutQ//
ArcA_NtrC_PhoP_RutR	glpK//atoD//nanE//fadB//gcd//fabA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	icd//
ArgP_CRP_FNR_Fur_Nac	tdcD//
ArgP_DnaA	xylA//
ArgP_Lrp	murF//paaA//
ArgP_LysR	entD//
ArgP_PhoB	
ArgR_CRP	araA//
ArgR_CRP_Fis	galT//citD//caiD//
ArgR_Fis_IHF_PepA_PurR_RutR	gltB//
ArgR_H-NS_NtrC	cadA//nanA//
ArgR_NtrC	sdhD//purN//lsrF//zwf//srlD//
ArgR_PhoP	fumA//
AscG_CRP	ftnA//ftsI//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	paaF//
AtoC_IHF	glpB//sgbU//paaK//
BaeR_CpxR	sufS//
BaeR_CpxR_EvgA	ppiA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gltA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	edd//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	codA//sucD//deoD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	gltA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	fabZ//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	paaB//glnA//gltA//fabA//galM//garK//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	paaH//garK//codA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	glpK//gcvP//ftnA//
CRP_Cra_Mlc_NagC	fumB//murG//fabA//hycC//
CRP_Cra_PrpR	aceF//lldD//ilvG_2//hypF//
CRP_CreB_Fis_MalT	nfsA//
CRP_CsiR_H-NS_Lrp	rbsD//
CRP_CsiR_H-NS_Lrp_Nac	yiaK//fumC//narI//
CRP_CspA_Fis	glcD//
CRP_CytR	folA//
CRP_CytR_DeoR	caiD//purN//
CRP_CytR_DeoR_Fis_ModE	ulaE//caiD//ppiA//aspC//
CRP_CytR_Nac	pyrC//
CRP_CytR_NsrR	ilvM//
CRP_DcuR_FNR_NarL	galE//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	citG//rutC//
CRP_DpiA_ExuR	rutC//
CRP_DsdC	nirD//citG//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ahpC//
CRP_ExuR	gadA//
CRP_ExuR_FNR	gatZ//waaH//
CRP_ExuR_OxyR_UxuR	moaD//lpxD//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fbaA//
CRP_FNR_Fis	hyaC//pspE//
CRP_FNR_Fis_GlpR_IHF	malQ//ilvI//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	metH//atoB//nfsA//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	araD//deoB//yiaK//caiB//mraY//
CRP_FNR_NarL	ldtB//glgP//
CRP_FeaR_NsrR	pyrD//
CRP_Fis	tnaA//ilvA//murQ//
CRP_Fis_FlhDC_GalR_GalS	pncB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glnA//tauD//
CRP_Fis_IHF	rutA//ftnA//hypF//
CRP_Fis_NanR	napC//fumC//torA//araA//
CRP_Fis_NtrC	ilvM//
CRP_Fis_XylR	glgA//
CRP_FlhDC_GalR_GalS	dadX//
CRP_FucR	dmsA//udp//gatZ//glpA//paaC//ilvI//
CRP_Fur	sgbE//astB//nagB//narG//glpC//bglB//carB//gadA//mazG//gcd//
CRP_Fur_HypT_PdhR	astC//fabB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	hmp//tdcE//gnd//nirB//
CRP_GalR_GalS_NagC	prpC//
CRP_GlpR	edd//nfsB//aldA//
CRP_GntR	purH//
CRP_GntR_IdnR	epd//murF//pgk//malS//serC//xylB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	malS//gabD//carB//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	uxaC//
CRP_H-NS_LacI	gcd//metH//udp//
CRP_H-NS_LeuO	uxaA//
CRP_H-NS_MqsA	
CRP_IHF	nfsA//araA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	mhpA//
CRP_IHF_PaaX	tdcG//paaG//gloA//mhpE//betA//murE//entA//tam//
CRP_IHF_UlaR	entF//caiB//hycD//frdD//
CRP_IHF_YiaJ	fucI//ackA//galT//cysG//murF//ansB//
CRP_LexA	
CRP_Lrp	deoD//ilvG_1//glpB//hmp//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	murE//
CRP_LsrR	prpB//fumB//fau//ilvD//ftnA//
CRP_MalI	bglB//glpC//
CRP_MalT	ubiC//puuD//
CRP_MalT_PhoP	uxaB//
CRP_MelR	fucO//galM//
CRP_MetJ	astA//
CRP_MhpR	srlD//gabT//glgA//ssuE//dmsB//sdhC//
CRP_Mlc	
CRP_ModE	fes//
CRP_MurR	glpA//sucC//frdB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	cysH//
CRP_NagC	rsmH//ahpC//glpQ//pflB//katG//
CRP_NagC_NanR	argD//gcvT//
CRP_NagC_PhoP	paaZ//
CRP_OxyR	
CRP_OxyR_UxuR	malP//
CRP_PhoB	uxaB//fadJ//
CRP_PhoP	astE//aroG//napH//
CRP_PutA	pspE//
CRP_RbsR	metK//sucB//gltB//
CRP_RhaR_RhaS	
CRP_RhaS	hycC//nirB//glpD//
CRP_Rob	serA//
CRP_TorR	glpB//acs//
CRP_UhpA_UvrY	lpd//
CRP_UidR_UxuR	uxaC//ssuD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	puuC//fucK//
Cbl_CysB_FNR_IHF	fabZ//moeA//uxuB//
CdaR_FNR_Fis_Fur_H-NS	nirD//rutB//
CdaR_FNR_Fur_H-NS	nemA//sodB//puuC//paaE//
CpxR_CsgD_FliZ	
CpxR_CysB	tdcE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gcd//
CpxR_GadE	aroA//ndh//moeB//
CpxR_H-NS	napH//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	sgbU//
Cra_FNR_Fis_Lrp_NarL	metH//
Cra_FNR_Fur_MarA_Rob_SoxS	mhpB//
Cra_FhlA_FlhDC	hpt//
Cra_GntR_KdgR	yqjH//
Cra_GntR_KdgR_PhoB	astB//
Cra_MarA_SoxS	ynfE//
Cra_PdeL	nfsA//
Cra_SgrR	purH//
Cra_TyrR	hypB//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	entC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	ynfF//paaB//
CusR_PhoB_YedW	pgk//
CysB_H-NS	entD//aroL//purM//
CysB_HypT_IHF	mhpC//
CysB_IHF	fucI//murC//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	epd//
DinJ-YafQ_LexA	ilvI//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	acnA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	mhpA//
FNR_FhlA_NarL_NarP	ilvA//uxaC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	astE//
FNR_Fis_IHF_ModE_NarL	tdcE//
FNR_Fis_IHF_NarL	ugpQ//
FNR_Fis_IHF_NarL_RstA	aceE//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	fucK//
FNR_FlhDC_ModE_NarL_NarP	araD//
FNR_Fur	edd//aceB//
FNR_Fur_GadE	uxaC//
FNR_Fur_GadX_NtrC	pdeR//
FNR_Fur_H-NS	icd//sucB//ulaG//
FNR_Fur_MetR_NsrR	pflB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	pgk//
FNR_Fur_OxyR	moaE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	lsrF//
FNR_H-NS_NrdR	bglB//dgcZ//
FNR_IHF	glcB//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	ftnA//
FNR_IHF_PhoB	
FNR_MalT	paaJ//bglB//
FNR_ModE	
FNR_NarL	gabD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	citX//prpB//
FNR_NarL_NikR	lhgO//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	acs//gatY//
FNR_YqjI	
FabR_FadR	moaD//caiB//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	narG//frdB//
FhlA_IHF_NsrR	
Fis_Fur	cysG//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	adiA//
Fis_IHF	
Fis_IHF_NtrC	gnd//nrfC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	sufS//
Fis_NarL	rimK//
Fis_NarL_NarP_NsrR	
Fis_PurR	murF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	adhE//
Fur_H-NS	ugpQ//tdcG//
Fur_IHF_IscR_NsrR_OxyR	argG//
Fur_IscR_NrdR	recF//
Fur_MetR	cysJ//
Fur_MntR	astA//
Fur_MntR_OxyR	adiA//
Fur_OxyR	
Fur_PurR	gcvH//
Fur_RcnR	nrdA//
Fur_RutR	narI//
Fur_SoxS_Zur	
Fur_YqjI	purN//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glcB//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	melA//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	nrfA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	rbsD//
H-NS_Lrp_NhaR_RcsB	napC//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	cadA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	entH//
HU_IHF_TyrR	frdB//
HigA_HigB-HigA	katE//
HipAB_HipB_IHF	gntK//
HypT_MetJ	feaB//
HypT_MetJ_PhoP	araD//waaH//
IHF_Lrp	icd//gadA//aldB//fadJ//glcD//
IHF_NsrR	
IHF_NtrC	uxaC//
IHF_PhoP	
IHF_PspF	lhgO//
IHF_RcsAB	
IHF_RtcR	paaA//puuE//
IHF_TyrR	adiA//
IHF_UlaR	gadA//
LexA_MraZ_PdhR	entB//entA//caiB//gltB//nrfD//pnp//entF//gabD//katE//araA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glcF//murC//
MarA_PhoP_Rob_SoxS	accC//nanK//ilvM//garK//gadB//gltD//edd//hyaA//malP//
MarA_Rob_SoxS	galE//metK//
MarA_SoxS	idnD//purA//rsmH//
MetJ_MetR	lpxA//
MetJ_OxyR	fdhF//
MetR_PurR	narI//
MraZ_PdhR	poxB//
Nac_PurR	glpQ//rutE//
NarL_TorR	puuB//
NemR_RutR	nrdD//chbG//
NhaR_OmpR	yiaK//srlD//nrfA//
NorR_NsrR	
NsrR_PhoB	fadJ//
OxyR_SoxS	
PdhR_PhoP	nemA//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	fadI//citF//
RelB_RelB-RelE	entC//
TrpR_TyrR	fadD//
YefM_YefM-YoeB	hycC//
