# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ynfH//serA//
ArcA_CRP_GlpR	ugpQ//
ArcA_CRP_IHF	lysA//
ArcA_CRP_PuuR	nagB//gabD//aspA//lacA//
ArcA_CRP_RhaS	uxaB//
ArcA_CRP_TreR	tdcB//waaH//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	prpE//paaE//
ArcA_Cra	aceF//
ArcA_Cra_FNR_H-NS_HypT	sodB//
ArcA_CysB_FNR	
ArcA_FNR	umpH//pdeL//uidA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	paaG//
ArcA_FNR_Fis_IHF_NarL	accB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	mhpF//nagA//
ArcA_FNR_IHF_NarL	idnK//pck//
ArcA_FNR_NarL	chbG//paaJ//nagA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	gltD//frdA//
ArcA_FadR	nanM//moaE//ppiA//
ArcA_FadR_Fis	cysM//sgbH//
ArcA_Fur_Lrp_ModE	purD//deoB//
ArcA_GlcC_IHF_PdhR	murC//lpxD//idnK//
ArcA_LexA	hyaC//
ArcA_LldR	fabZ//araB//
ArcA_NarL	narH//
ArcA_NtrC_PhoP_RutR	ulaF//aceB//aspC//uvrA//pncB//gatY//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rbsK//
ArgP_CRP_FNR_Fur_Nac	nanM//
ArgP_DnaA	ddlB//
ArgP_Lrp	ilvA//ilvE//
ArgP_LysR	patA//
ArgP_PhoB	
ArgR_CRP	idnD//
ArgR_CRP_Fis	treC//sucC//lpd//
ArgR_Fis_IHF_PepA_PurR_RutR	paaC//
ArgR_H-NS_NtrC	metL//entB//
ArgR_NtrC	uxaB//hycE//mhpF//cdd//glgC//
ArgR_PhoP	srlD//
AscG_CRP	hycB//folA//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	rutD//
AtoC_IHF	fabA//araB//malS//
BaeR_CpxR	hycD//
BaeR_CpxR_EvgA	nrfA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hycD//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	chbG//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	ilvI//puuA//moeB//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	xylB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	napC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fucK//rhaD//codA//eda//mhpD//prmC//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	glgC//purA//dadX//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	hemL//hycE//deoC//
CRP_Cra_Mlc_NagC	ldtB//mraY//ilvI//glpB//
CRP_Cra_PrpR	paaG//uxaC//caiA//pyrD//
CRP_CreB_Fis_MalT	gltB//
CRP_CsiR_H-NS_Lrp	putA//
CRP_CsiR_H-NS_Lrp_Nac	metH//folA//ppiA//
CRP_CspA_Fis	gnd//
CRP_CytR	hyaC//
CRP_CytR_DeoR	ubiC//rutB//
CRP_CytR_DeoR_Fis_ModE	tdcB//astA//edd//rnpB//
CRP_CytR_Nac	rbsK//
CRP_CytR_NsrR	tdcB//
CRP_DcuR_FNR_NarL	tdcB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	metH//idnO//
CRP_DpiA_ExuR	serC//
CRP_DsdC	glcF//murF//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	malP//
CRP_ExuR	narH//
CRP_ExuR_FNR	sdhC//glcB//
CRP_ExuR_OxyR_UxuR	gltD//malQ//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	paaJ//
CRP_FNR_Fis	dusB//truB//
CRP_FNR_Fis_GlpR_IHF	folA//mnmG//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	waaY//nemA//hyaC//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	paaE//ddlB//gltB//gatD//atoD//
CRP_FNR_NarL	adhE//napA//
CRP_FeaR_NsrR	moaA//
CRP_Fis	murE//gltD//yiaK//
CRP_Fis_FlhDC_GalR_GalS	napB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	gltA//argD//
CRP_Fis_IHF	ynfE//prpD//ssuD//
CRP_Fis_NanR	bglB//idnO//murQ//aceE//
CRP_Fis_NtrC	malQ//
CRP_Fis_XylR	tnaA//
CRP_FlhDC_GalR_GalS	purM//
CRP_FucR	waaZ//uxuA//uxuB//tnaA//galM//rutE//
CRP_Fur	betB//hycD//puuA//fdhF//lpd//hyaB//gabD//zwf//araD//yqjH//
CRP_Fur_HypT_PdhR	mhpC//edd//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glgA//guaB//hyaC//uxaA//
CRP_GalR_GalS_NagC	aroA//
CRP_GlpR	glpA//pgaB//garK//
CRP_GntR	citE//
CRP_GntR_IdnR	paaH//umpH//guaB//uxaB//metH//nanK//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	glcB//garK//torA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	gabT//
CRP_H-NS_LacI	pgk//fbaA//fumC//
CRP_H-NS_LeuO	pyrD//
CRP_H-NS_MqsA	
CRP_IHF	napC//lsrK//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	glpK//
CRP_IHF_PaaX	metE//caiA//feaB//melA//entF//truB//paaC//napA//
CRP_IHF_UlaR	acs//uxuA//rsmH//gltD//
CRP_IHF_YiaJ	galM//ssuD//caiB//aspA//dusB//hycD//
CRP_LexA	
CRP_Lrp	astA//paaG//frdA//purH//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	cadA//
CRP_LsrR	glpC//cadA//feaB//lyxK//cysH//
CRP_MalI	hycF//galT//
CRP_MalT	paaA//fucO//
CRP_MalT_PhoP	gcd//
CRP_MelR	pncB//citC//
CRP_MetJ	aceE//
CRP_MhpR	cysI//nirB//napB//hycB//fucU//aspA//
CRP_Mlc	
CRP_ModE	dadX//
CRP_MurR	nrfA//putA//rbsD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	argD//
CRP_NagC	appA//galE//tnaA//nanE//glpA//
CRP_NagC_NanR	ugpQ//betB//
CRP_NagC_PhoP	hemL//
CRP_OxyR	
CRP_OxyR_UxuR	entE//
CRP_PhoB	astD//ugpQ//
CRP_PhoP	mazG//gadB//glpK//
CRP_PutA	mraY//
CRP_RbsR	atoA//ubiA//pspE//
CRP_RhaR_RhaS	
CRP_RhaS	moaE//pyrD//deoC//
CRP_Rob	tauD//
CRP_TorR	rnpB//pdeR//
CRP_UhpA_UvrY	fucI//
CRP_UidR_UxuR	nfsA//gcd//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	pspE//argD//
Cbl_CysB_FNR_IHF	citE//narG//mpl//
CdaR_FNR_Fis_Fur_H-NS	gabT//gatZ//
CdaR_FNR_Fur_H-NS	eda//gcvH//dmsB//gnd//
CpxR_CsgD_FliZ	
CpxR_CysB	deoD//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	sucA//
CpxR_GadE	pdeL//ubiA//sgbE//
CpxR_H-NS	aceE//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	glpK//
Cra_FNR_Fis_Lrp_NarL	gabT//
Cra_FNR_Fur_MarA_Rob_SoxS	glgP//
Cra_FhlA_FlhDC	cysG//
Cra_GntR_KdgR	gutQ//
Cra_GntR_KdgR_PhoB	fbaA//
Cra_MarA_SoxS	gdhA//
Cra_PdeL	astA//
Cra_SgrR	ilvA//
Cra_TyrR	tnaA//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ulaD//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	uxuA//pnp//
CusR_PhoB_YedW	citD//
CysB_H-NS	nanA//lldD//aroL//
CysB_HypT_IHF	uidA//
CysB_IHF	gltB//lsrK//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	mhpF//
DinJ-YafQ_LexA	acs//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	rhaB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	chbF//
FNR_FhlA_NarL_NarP	waaZ//puuE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	puuA//
FNR_Fis_IHF_ModE_NarL	glgC//
FNR_Fis_IHF_NarL	gltB//
FNR_Fis_IHF_NarL_RstA	deoD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	rhaA//
FNR_FlhDC_ModE_NarL_NarP	adhE//
FNR_Fur	umpH//chbG//
FNR_Fur_GadE	moaE//
FNR_Fur_GadX_NtrC	glpC//
FNR_Fur_H-NS	araA//serC//adiA//
FNR_Fur_MetR_NsrR	gutQ//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	atoD//
FNR_Fur_OxyR	tam//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	nirB//
FNR_H-NS_NrdR	dadX//pck//
FNR_IHF	pck//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	paaC//
FNR_IHF_PhoB	
FNR_MalT	argD//puuB//
FNR_ModE	
FNR_NarL	galE//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	prpE//rutD//
FNR_NarL_NikR	citE//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	betB//aspC//
FNR_YqjI	
FabR_FadR	xylA//caiD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	codA//nemA//
FhlA_IHF_NsrR	
Fis_Fur	dadA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	ssuD//
Fis_IHF	
Fis_IHF_NtrC	rutE//glcF//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	uxuB//
Fis_NarL	ascB//
Fis_NarL_NarP_NsrR	
Fis_PurR	fucK//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	rutD//
Fur_H-NS	ilvH//umpH//
Fur_IHF_IscR_NsrR_OxyR	dmsC//
Fur_IscR_NrdR	rbsK//
Fur_MetR	murD//
Fur_MntR	acnA//
Fur_MntR_OxyR	paaK//
Fur_OxyR	
Fur_PurR	hycD//
Fur_RcnR	melA//
Fur_RutR	atoD//
Fur_SoxS_Zur	
Fur_YqjI	fadJ//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	idnK//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	ugpQ//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	moeB//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	entD//
H-NS_Lrp_NhaR_RcsB	sodA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	malS//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	murC//
HU_IHF_TyrR	prpD//
HigA_HigB-HigA	uxaC//
HipAB_HipB_IHF	rutB//
HypT_MetJ	mpl//
HypT_MetJ_PhoP	gapA//ilvG_2//
IHF_Lrp	relA//sucC//argD//hycG//nrdB//
IHF_NsrR	
IHF_NtrC	moeA//
IHF_PhoP	
IHF_PspF	entB//
IHF_RcsAB	
IHF_RtcR	katG//glcB//
IHF_TyrR	hyaA//
IHF_UlaR	nagA//
LexA_MraZ_PdhR	uvrA//glyA//sdhD//pflB//edd//deoD//glpA//entD//torA//uxuA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	dadX//garL//
MarA_PhoP_Rob_SoxS	frdC//entE//feaB//murF//sdhC//cysH//entH//puuE//ahpF//
MarA_Rob_SoxS	hmp//ynfF//
MarA_SoxS	garL//purD//gcvH//
MetJ_MetR	hyaA//
MetJ_OxyR	araD//
MetR_PurR	zwf//
MraZ_PdhR	ilvA//
Nac_PurR	tam//mazG//
NarL_TorR	araA//
NemR_RutR	hyaA//xylB//
NhaR_OmpR	metB//idnK//melA//
NorR_NsrR	
NsrR_PhoB	ahpC//
OxyR_SoxS	
PdhR_PhoP	fadH//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	gutQ//hyaA//
RelB_RelB-RelE	lacA//
TrpR_TyrR	melA//
YefM_YefM-YoeB	glpA//
