# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	adhE//fucK//
ArcA_CRP_IHF	uxuA//
ArcA_CRP_PuuR	aceF//dadA//ddlB//paaI//
ArcA_CRP_RhaS	dadA//
ArcA_CRP_TreR	araA//galT//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	nanA//ulaF//
ArcA_Cra	pgaC//
ArcA_Cra_FNR_H-NS_HypT	glpA//
ArcA_CysB_FNR	
ArcA_FNR	ugpQ//torA//galT//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	nanK//
ArcA_FNR_Fis_IHF_NarL	mhpB//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	gdhA//glyA//
ArcA_FNR_IHF_NarL	zwf//sucC//
ArcA_FNR_NarL	pck//pgaB//dmsC//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	ahpC//ugpQ//
ArcA_FadR	glcF//ogt//tdcG//
ArcA_FadR_Fis	pncB//gcvT//
ArcA_Fur_Lrp_ModE	glcE//serA//
ArcA_GlcC_IHF_PdhR	dmsB//acnB//mhpA//
ArcA_LexA	uxuA//
ArcA_LldR	carB//galK//
ArcA_NarL	sodB//
ArcA_NtrC_PhoP_RutR	tdcB//nrfB//fadD//deoD//gapA//astB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	tam//
ArgP_CRP_FNR_Fur_Nac	rbsK//
ArgP_DnaA	metH//
ArgP_Lrp	atoA//fucU//
ArgP_LysR	entF//
ArgP_PhoB	
ArgR_CRP	lpxD//
ArgR_CRP_Fis	murD//rutB//hycD//
ArgR_Fis_IHF_PepA_PurR_RutR	accB//
ArgR_H-NS_NtrC	nrdE//sgbH//
ArgR_NtrC	folA//entE//idnK//entF//ynfG//
ArgR_PhoP	hemA//
AscG_CRP	garL//moaE//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fucI//
AtoC_IHF	carB//glcB//fadA//
BaeR_CpxR	gcvH//
BaeR_CpxR_EvgA	citC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	gloA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	metL//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	deoA//fumA//lysA//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	ndh//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	dusB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	malS//gutQ//citE//hemL//napB//astA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	moaD//entC//galM//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	galT//patA//pncB//
CRP_Cra_Mlc_NagC	sodA//nanA//waaZ//mnmG//
CRP_Cra_PrpR	sgbE//tdcB//glgP//hycE//
CRP_CreB_Fis_MalT	pnp//
CRP_CsiR_H-NS_Lrp	gltB//
CRP_CsiR_H-NS_Lrp_Nac	ubiC//ahpF//dmsB//
CRP_CspA_Fis	pnp//
CRP_CytR	frdC//
CRP_CytR_DeoR	citD//uxaC//
CRP_CytR_DeoR_Fis_ModE	poxB//sdhA//uxuB//citC//
CRP_CytR_Nac	fbaA//
CRP_CytR_NsrR	lysA//
CRP_DcuR_FNR_NarL	gntK//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	murF//rutC//
CRP_DpiA_ExuR	poxB//
CRP_DsdC	pyrD//moeB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	rutC//
CRP_ExuR	entE//
CRP_ExuR_FNR	araA//mhpA//
CRP_ExuR_OxyR_UxuR	aceB//idnO//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	nirB//
CRP_FNR_Fis	fbaA//paaC//
CRP_FNR_Fis_GlpR_IHF	fucU//fumC//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	ulaD//ftsI//yiaK//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	waaY//rimK//glnA//fadJ//fucK//
CRP_FNR_NarL	tnaA//citG//
CRP_FeaR_NsrR	ilvI//
CRP_Fis	ackA//hycD//moaA//
CRP_Fis_FlhDC_GalR_GalS	umpH//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	dmsB//ssuE//
CRP_Fis_IHF	aceA//rimK//carA//
CRP_Fis_NanR	ppiA//ilvG_2//rimK//kbaZ//
CRP_Fis_NtrC	rbsK//
CRP_Fis_XylR	acs//
CRP_FlhDC_GalR_GalS	deoD//
CRP_FucR	mtlD//mhpD//sdhB//purH//gadA//paaE//
CRP_Fur	paaH//frdA//nanE//aceA//glyA//paaH//cysM//tnaA//nrfC//fbaA//
CRP_Fur_HypT_PdhR	astA//citG//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	glcD//rutE//entA//paaG//
CRP_GalR_GalS_NagC	murG//
CRP_GlpR	astC//puuD//nrdB//
CRP_GntR	umpH//
CRP_GntR_IdnR	gatD//rutC//nanK//entB//accB//pflB//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	nrdB//ilvH//cdd//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	nrdA//
CRP_H-NS_LacI	hycB//mhpD//lsrK//
CRP_H-NS_LeuO	murF//
CRP_H-NS_MqsA	
CRP_IHF	mazG//ilvH//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	lpxC//
CRP_IHF_PaaX	accB//sdhD//codA//hycG//araB//galM//pflB//metK//
CRP_IHF_UlaR	umpH//metB//gntK//lacZ//
CRP_IHF_YiaJ	glcF//serC//gatZ//appA//aspC//tauD//
CRP_LexA	
CRP_Lrp	moaA//glpX//carA//ackA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	metL//
CRP_LsrR	ulaE//gapA//lpxD//cysM//glpK//
CRP_MalI	aroG//metL//
CRP_MalT	metB//mhpE//
CRP_MalT_PhoP	glcD//
CRP_MelR	hycE//sucB//
CRP_MetJ	hyaA//
CRP_MhpR	tdcB//patA//lysA//accC//murD//narI//
CRP_Mlc	
CRP_ModE	fadE//
CRP_MurR	ascB//ackA//xylA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	pncB//
CRP_NagC	galE//fucA//nrfB//paaI//paaF//
CRP_NagC_NanR	deoC//mnmG//
CRP_NagC_PhoP	araA//
CRP_OxyR	
CRP_OxyR_UxuR	rutB//
CRP_PhoB	lpxC//ilvG_1//
CRP_PhoP	caiA//sufS//ynfG//
CRP_PutA	moeA//
CRP_RbsR	sdhD//fucO//hypB//
CRP_RhaR_RhaS	
CRP_RhaS	nemA//gcd//hemL//
CRP_Rob	prpD//
CRP_TorR	moaD//prpE//
CRP_UhpA_UvrY	gdhA//
CRP_UidR_UxuR	ilvD//argD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	patA//fadD//
Cbl_CysB_FNR_IHF	aroL//nrdF//dmsC//
CdaR_FNR_Fis_Fur_H-NS	pyrC//sdhC//
CdaR_FNR_Fur_H-NS	rimK//glpD//ansB//cadA//
CpxR_CsgD_FliZ	
CpxR_CysB	galE//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	araB//
CpxR_GadE	ssuE//puuE//nanA//
CpxR_H-NS	xylA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	fumA//
Cra_FNR_Fis_Lrp_NarL	sucD//
Cra_FNR_Fur_MarA_Rob_SoxS	fadH//
Cra_FhlA_FlhDC	ubiC//
Cra_GntR_KdgR	aspC//
Cra_GntR_KdgR_PhoB	fabA//
Cra_MarA_SoxS	gutQ//
Cra_PdeL	mazG//
Cra_SgrR	aceE//
Cra_TyrR	ndh//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	uvrA//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	puuE//prpC//
CusR_PhoB_YedW	aceE//
CysB_H-NS	citC//gcd//nanK//
CysB_HypT_IHF	hypF//
CysB_IHF	truB//cysI//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	araD//
DinJ-YafQ_LexA	ackA//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	entB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	araD//
FNR_FhlA_NarL_NarP	aceF//gadA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	glpK//
FNR_Fis_IHF_ModE_NarL	paaG//
FNR_Fis_IHF_NarL	hycG//
FNR_Fis_IHF_NarL_RstA	hycC//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	cysM//
FNR_FlhDC_ModE_NarL_NarP	tdcE//
FNR_Fur	gdhA//galT//
FNR_Fur_GadE	tdcB//
FNR_Fur_GadX_NtrC	fadD//
FNR_Fur_H-NS	citC//paaA//ilvM//
FNR_Fur_MetR_NsrR	rhaD//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gcd//
FNR_Fur_OxyR	galM//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ilvD//
FNR_H-NS_NrdR	ascB//sucC//
FNR_IHF	torA//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	rutE//
FNR_IHF_PhoB	
FNR_MalT	gltB//lacA//
FNR_ModE	
FNR_NarL	fadD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	tdcB//tdcB//
FNR_NarL_NikR	nagA//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	nrdA//ulaF//
FNR_YqjI	
FabR_FadR	lsrK//galT//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	glcF//galM//
FhlA_IHF_NsrR	
Fis_Fur	nanA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	murG//
Fis_IHF	
Fis_IHF_NtrC	xylB//uxaA//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	dgcZ//
Fis_NarL	glpQ//
Fis_NarL_NarP_NsrR	
Fis_PurR	lpxD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	kbaZ//
Fur_H-NS	purD//cysG//
Fur_IHF_IscR_NsrR_OxyR	garL//
Fur_IscR_NrdR	rutD//
Fur_MetR	rutE//
Fur_MntR	ldtB//
Fur_MntR_OxyR	tnaA//
Fur_OxyR	
Fur_PurR	sgbE//
Fur_RcnR	aldB//
Fur_RutR	uxaC//
Fur_SoxS_Zur	
Fur_YqjI	nrdA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	frdA//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	pgaD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	epd//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	acnB//
H-NS_Lrp_NhaR_RcsB	glgA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	hyaA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	paaE//
HU_IHF_TyrR	pdeL//
HigA_HigB-HigA	garR//
HipAB_HipB_IHF	nanA//
HypT_MetJ	narI//
HypT_MetJ_PhoP	xylB//adiA//
IHF_Lrp	nirD//hcp//mhpB//ynfH//ynfG//
IHF_NsrR	
IHF_NtrC	idnK//
IHF_PhoP	
IHF_PspF	gadB//
IHF_RcsAB	
IHF_RtcR	idnO//malS//
IHF_TyrR	paaB//
IHF_UlaR	appA//
LexA_MraZ_PdhR	cysJ//ubiA//idnD//nirB//galE//glgP//cadA//kbaZ//frdB//cysM//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	acs//narG//
MarA_PhoP_Rob_SoxS	rhaD//adhE//entC//aceF//murC//nirB//murC//galE//mhpA//
MarA_Rob_SoxS	gltB//glyA//
MarA_SoxS	ahpF//hemL//sgbE//
MetJ_MetR	deoD//
MetJ_OxyR	cysH//
MetR_PurR	araA//
MraZ_PdhR	glpK//
Nac_PurR	pgk//fes//
NarL_TorR	ansB//
NemR_RutR	dmsB//acnB//
NhaR_OmpR	murF//pgaC//mtlD//
NorR_NsrR	
NsrR_PhoB	ogt//
OxyR_SoxS	
PdhR_PhoP	ahpC//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	purD//ahpC//
RelB_RelB-RelE	ftsI//
TrpR_TyrR	ynfE//
YefM_YefM-YoeB	ilvH//
