# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	idnO//hyaB//
ArcA_CRP_IHF	fumC//
ArcA_CRP_PuuR	epd//malP//folA//paaB//
ArcA_CRP_RhaS	ddlB//
ArcA_CRP_TreR	paaI//waaH//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	poxB//glyA//
ArcA_Cra	edd//
ArcA_Cra_FNR_H-NS_HypT	ubiA//
ArcA_CysB_FNR	
ArcA_FNR	deoB//napA//cyoE//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	glcB//
ArcA_FNR_Fis_IHF_NarL	gloA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	udp//ynfF//
ArcA_FNR_IHF_NarL	ilvA//citF//
ArcA_FNR_NarL	torA//nrdE//patA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	pflB//rutE//
ArcA_FadR	fadI//entF//atoD//
ArcA_FadR_Fis	cysH//mhpC//
ArcA_Fur_Lrp_ModE	ulaD//torA//
ArcA_GlcC_IHF_PdhR	idnK//galM//pdeL//
ArcA_LexA	yqjH//
ArcA_LldR	napH//sdhB//
ArcA_NarL	lpxC//
ArcA_NtrC_PhoP_RutR	edd//deoD//ilvA//waaY//idnD//aroG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	uxuA//
ArgP_CRP_FNR_Fur_Nac	entD//
ArgP_DnaA	fucO//
ArgP_Lrp	fucA//poxB//
ArgP_LysR	gloA//
ArgP_PhoB	
ArgR_CRP	hycC//
ArgR_CRP_Fis	aroA//hyaA//gltB//
ArgR_Fis_IHF_PepA_PurR_RutR	codA//
ArgR_H-NS_NtrC	prpE//folA//
ArgR_NtrC	hyaC//citX//recF//torC//dadA//
ArgR_PhoP	fdhF//
AscG_CRP	nrdB//fadI//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	idnD//
AtoC_IHF	feaB//gcvP//nanE//
BaeR_CpxR	napC//
BaeR_CpxR_EvgA	feaB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	acnA//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	paaH//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	gadA//rbsK//ilvD//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	araB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	serC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	citE//narG//argG//citD//torC//hyaC//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gatY//malY//nrfA//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	rutE//pyrC//lldD//
CRP_Cra_Mlc_NagC	murG//hycB//pyrC//lldD//
CRP_Cra_PrpR	nanK//lhgO//gntK//glpK//
CRP_CreB_Fis_MalT	ndh//
CRP_CsiR_H-NS_Lrp	ynfG//
CRP_CsiR_H-NS_Lrp_Nac	hycE//ulaF//caiC//
CRP_CspA_Fis	nfsB//
CRP_CytR	entC//
CRP_CytR_DeoR	fabA//astC//
CRP_CytR_DeoR_Fis_ModE	moaE//torC//purH//pdeL//
CRP_CytR_Nac	moaA//
CRP_CytR_NsrR	sdhB//
CRP_DcuR_FNR_NarL	deoA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	pgaD//glpQ//
CRP_DpiA_ExuR	fucI//
CRP_DsdC	glpC//ulaD//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glpK//
CRP_ExuR	gcvT//
CRP_ExuR_FNR	hyaA//rbsD//
CRP_ExuR_OxyR_UxuR	sdhB//waaH//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glcB//
CRP_FNR_Fis	purH//xylB//
CRP_FNR_Fis_GlpR_IHF	idnO//pck//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	waaZ//srlD//aldB//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	glpQ//paaH//chbG//ftnA//deoC//
CRP_FNR_NarL	hycE//purA//
CRP_FeaR_NsrR	moeA//
CRP_Fis	fadE//araD//waaZ//
CRP_Fis_FlhDC_GalR_GalS	mtlD//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ilvG_1//mhpB//
CRP_Fis_IHF	aspC//fabB//hycB//
CRP_Fis_NanR	nrfD//paaB//deoC//dsdA//
CRP_Fis_NtrC	nfsA//
CRP_Fis_XylR	ubiA//
CRP_FlhDC_GalR_GalS	napB//
CRP_FucR	galT//garR//relA//fucA//dmsA//frdB//
CRP_Fur	gnd//murF//nirB//pgaC//feaB//galE//aspA//metH//pgaC//srlD//
CRP_Fur_HypT_PdhR	cadA//garK//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	fucU//chbF//ilvD//fes//
CRP_GalR_GalS_NagC	puuD//
CRP_GlpR	citE//ftnA//mhpF//
CRP_GntR	metL//
CRP_GntR_IdnR	glgC//sgbE//galT//puuD//lldD//galK//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	waaZ//purM//fucI//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	relA//
CRP_H-NS_LacI	guaA//fabA//aceE//
CRP_H-NS_LeuO	hycC//
CRP_H-NS_MqsA	
CRP_IHF	entA//cysH//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	metH//
CRP_IHF_PaaX	paaZ//murF//ddlB//aceE//fadJ//hycC//idnK//pnp//
CRP_IHF_UlaR	gcvH//glcE//caiA//pyrC//
CRP_IHF_YiaJ	cyoE//nrdE//pck//murG//gltB//mazG//
CRP_LexA	
CRP_Lrp	lacZ//ascB//lsrK//putA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	gapA//
CRP_LsrR	chbG//katE//fes//ulaF//sdhA//
CRP_MalI	ssuE//rsmH//
CRP_MalT	atoA//gabT//
CRP_MalT_PhoP	astB//
CRP_MelR	fucK//glcD//
CRP_MetJ	sodB//
CRP_MhpR	fumC//murC//sgbH//metK//folA//moeB//
CRP_Mlc	
CRP_ModE	aceB//
CRP_MurR	folA//puuE//hypB//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ynfE//
CRP_NagC	aceE//umpH//tauD//citX//betA//
CRP_NagC_NanR	rsmH//murD//
CRP_NagC_PhoP	guaA//
CRP_OxyR	
CRP_OxyR_UxuR	paaF//
CRP_PhoB	melA//rhaD//
CRP_PhoP	rnpB//aldB//gdhA//
CRP_PutA	hyaB//
CRP_RbsR	gltB//feaB//aspC//
CRP_RhaR_RhaS	
CRP_RhaS	pyrD//fadH//lpxD//
CRP_Rob	murE//
CRP_TorR	astB//bglB//
CRP_UhpA_UvrY	fadB//
CRP_UidR_UxuR	pnp//xylA//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	uxuA//glpQ//
Cbl_CysB_FNR_IHF	astC//truB//moaE//
CdaR_FNR_Fis_Fur_H-NS	gcvH//ftnA//
CdaR_FNR_Fur_H-NS	lpxA//entE//sgbE//frdC//
CpxR_CsgD_FliZ	
CpxR_CysB	idnO//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	lpd//
CpxR_GadE	serC//citC//aceF//
CpxR_H-NS	narI//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	prpD//
Cra_FNR_Fis_Lrp_NarL	deoD//
Cra_FNR_Fur_MarA_Rob_SoxS	guaA//
Cra_FhlA_FlhDC	adhE//
Cra_GntR_KdgR	fadH//
Cra_GntR_KdgR_PhoB	deoD//
Cra_MarA_SoxS	nirD//
Cra_PdeL	sdhA//
Cra_SgrR	paaZ//
Cra_TyrR	eda//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hyaC//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	cyoE//murF//
CusR_PhoB_YedW	mhpB//
CysB_H-NS	fadJ//uvrA//murQ//
CysB_HypT_IHF	paaA//
CysB_IHF	uvrA//acnA//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	gcvH//
DinJ-YafQ_LexA	puuC//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	araB//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	xylB//
FNR_FhlA_NarL_NarP	cysM//nfsA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	prpE//
FNR_Fis_IHF_ModE_NarL	pgaC//
FNR_Fis_IHF_NarL	entC//
FNR_Fis_IHF_NarL_RstA	prpB//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ynfE//
FNR_FlhDC_ModE_NarL_NarP	glpK//
FNR_Fur	deoD//patA//
FNR_Fur_GadE	hycB//
FNR_Fur_GadX_NtrC	frdA//
FNR_Fur_H-NS	ftsI//fumC//narH//
FNR_Fur_MetR_NsrR	sucB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	glpQ//
FNR_Fur_OxyR	hycG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	astC//
FNR_H-NS_NrdR	paaK//garR//
FNR_IHF	tdcE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	deoD//
FNR_IHF_PhoB	
FNR_MalT	caiA//paaG//
FNR_ModE	
FNR_NarL	rutA//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	aceF//pnp//
FNR_NarL_NikR	fadH//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	betB//ubiC//
FNR_YqjI	
FabR_FadR	hemA//glcF//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	pgaD//prpC//
FhlA_IHF_NsrR	
Fis_Fur	rbsK//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	tdcG//
Fis_IHF	
Fis_IHF_NtrC	ilvM//pgaD//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	citD//
Fis_NarL	nrdD//
Fis_NarL_NarP_NsrR	
Fis_PurR	waaY//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	uxaC//
Fur_H-NS	citE//nirB//
Fur_IHF_IscR_NsrR_OxyR	moaE//
Fur_IscR_NrdR	ulaE//
Fur_MetR	treC//
Fur_MntR	paaF//
Fur_MntR_OxyR	entB//
Fur_OxyR	
Fur_PurR	frdB//
Fur_RcnR	cysM//
Fur_RutR	cdd//
Fur_SoxS_Zur	
Fur_YqjI	cysG//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	aroG//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	fucU//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	uidA//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	nrfC//
H-NS_Lrp_NhaR_RcsB	fucA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	dadA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	accB//
HU_IHF_TyrR	argG//
HigA_HigB-HigA	astE//
HipAB_HipB_IHF	serC//
HypT_MetJ	tnaA//
HypT_MetJ_PhoP	ilvA//icd//
IHF_Lrp	tdcE//nrdB//hycD//purM//guaB//
IHF_NsrR	
IHF_NtrC	fucI//
IHF_PhoP	
IHF_PspF	puuB//
IHF_RcsAB	
IHF_RtcR	fes//gcvH//
IHF_TyrR	atoB//
IHF_UlaR	icd//
LexA_MraZ_PdhR	betA//glpQ//astC//uxuA//citG//mazG//pgaD//mpl//sdhA//dadA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	eda//entF//
MarA_PhoP_Rob_SoxS	purD//sucA//lysA//purH//lpxD//pck//lsrF//xylB//fumC//
MarA_Rob_SoxS	caiB//frdB//
MarA_SoxS	patA//ulaG//uxaC//
MetJ_MetR	ilvH//
MetJ_OxyR	puuC//
MetR_PurR	aroL//
MraZ_PdhR	gabT//
Nac_PurR	garL//lyxK//
NarL_TorR	pdeR//
NemR_RutR	carA//tauD//
NhaR_OmpR	epd//frdA//cysJ//
NorR_NsrR	
NsrR_PhoB	fes//
OxyR_SoxS	
PdhR_PhoP	pspE//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	tdcG//gcvH//
RelB_RelB-RelE	melA//
TrpR_TyrR	entD//
YefM_YefM-YoeB	nrdB//
