# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nrfB//deoD//
ArcA_CRP_IHF	ilvM//
ArcA_CRP_PuuR	purH//lpd//dgcZ//fumA//
ArcA_CRP_RhaS	fau//
ArcA_CRP_TreR	moeA//nirB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	recF//dadX//
ArcA_Cra	lldD//
ArcA_Cra_FNR_H-NS_HypT	idnD//
ArcA_CysB_FNR	
ArcA_FNR	treC//sdhD//atoD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	uxuA//
ArcA_FNR_Fis_IHF_NarL	fdhF//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	malY//sucC//
ArcA_FNR_IHF_NarL	tdcE//ilvA//
ArcA_FNR_NarL	malS//cysI//lhgO//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	idnD//fbaA//
ArcA_FadR	mtlD//araD//idnK//
ArcA_FadR_Fis	paaK//garR//
ArcA_Fur_Lrp_ModE	dusB//mhpD//
ArcA_GlcC_IHF_PdhR	xylB//napH//caiC//
ArcA_LexA	hypF//
ArcA_LldR	uxaB//napG//
ArcA_NarL	ahpF//
ArcA_NtrC_PhoP_RutR	ddlB//lsrG//ilvG_1//gloA//cysG//gapA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	dmsA//
ArgP_CRP_FNR_Fur_Nac	gcvT//
ArgP_DnaA	metB//
ArgP_Lrp	poxB//waaZ//
ArgP_LysR	glpD//
ArgP_PhoB	
ArgR_CRP	chbF//
ArgR_CRP_Fis	metE//gltB//garL//
ArgR_Fis_IHF_PepA_PurR_RutR	glcE//
ArgR_H-NS_NtrC	sodB//paaH//
ArgR_NtrC	patA//metH//ansB//cdd//aceA//
ArgR_PhoP	nagA//
AscG_CRP	fbaA//fadB//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	dadX//
AtoC_IHF	murG//lpd//hycE//
BaeR_CpxR	dmsB//
BaeR_CpxR_EvgA	ldtB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cyoE//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	nemA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	hycF//prpD//ilvG_2//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	glgC//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	lpd//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	moeB//glcF//edd//gatZ//paaG//relA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	lldD//rutC//murE//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	sdhD//paaG//puuC//
CRP_Cra_Mlc_NagC	tdcB//paaK//sgbE//pdeR//
CRP_Cra_PrpR	fbaA//caiA//gcvH//umpH//
CRP_CreB_Fis_MalT	patA//
CRP_CsiR_H-NS_Lrp	rhaD//
CRP_CsiR_H-NS_Lrp_Nac	accB//waaZ//mhpC//
CRP_CspA_Fis	dmsA//
CRP_CytR	gadA//
CRP_CytR_DeoR	lyxK//aroG//
CRP_CytR_DeoR_Fis_ModE	sufS//mhpA//paaC//relA//
CRP_CytR_Nac	hycF//
CRP_CytR_NsrR	mhpC//
CRP_DcuR_FNR_NarL	patA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	ssuE//fumA//
CRP_DpiA_ExuR	napC//
CRP_DsdC	nrdE//waaH//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ynfF//
CRP_ExuR	guaA//
CRP_ExuR_FNR	fadA//cyoE//
CRP_ExuR_OxyR_UxuR	gatZ//paaZ//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	idnK//
CRP_FNR_Fis	ssuE//ulaE//
CRP_FNR_Fis_GlpR_IHF	galT//tdcB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	pdeR//gloA//nanE//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	paaJ//ulaD//galE//paaH//ahpF//
CRP_FNR_NarL	lldD//waaZ//
CRP_FeaR_NsrR	acs//
CRP_Fis	sufS//sucA//serA//
CRP_Fis_FlhDC_GalR_GalS	accB//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	caiD//gatD//
CRP_Fis_IHF	glpC//astC//metE//
CRP_Fis_NanR	nanM//serC//pnp//mnmG//
CRP_Fis_NtrC	metB//
CRP_Fis_XylR	sufS//
CRP_FlhDC_GalR_GalS	betA//
CRP_FucR	dgcZ//atoB//acnA//purN//hycF//pdeR//
CRP_Fur	frdB//entD//guaA//murG//ddlB//astD//adiA//lacA//nrdA//glpQ//
CRP_Fur_HypT_PdhR	ynfH//bglB//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	chbG//sdhA//mpl//ilvA//
CRP_GalR_GalS_NagC	rbsK//
CRP_GlpR	tnaA//betA//araD//
CRP_GntR	lpxA//
CRP_GntR_IdnR	gcvP//serC//argG//ascB//hemL//deoA//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	pdeR//araB//sgbE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	aceF//
CRP_H-NS_LacI	fucI//pgk//carA//
CRP_H-NS_LeuO	accB//
CRP_H-NS_MqsA	
CRP_IHF	ssuE//gdhA//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	cyoE//
CRP_IHF_PaaX	torA//araA//gltD//gcvP//ynfF//fau//treC//citX//
CRP_IHF_UlaR	hemA//nfsA//ulaE//aldA//
CRP_IHF_YiaJ	ftnA//ssuD//xylA//ynfG//prpD//accB//
CRP_LexA	
CRP_Lrp	napA//yiaK//nrfC//paaC//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	hypF//
CRP_LsrR	pncB//truB//lhgO//argD//gabT//
CRP_MalI	rhaD//gltA//
CRP_MalT	ddlB//deoC//
CRP_MalT_PhoP	glgC//
CRP_MelR	galK//astD//
CRP_MetJ	puuD//
CRP_MhpR	aldA//paaZ//ynfH//lpxD//uidA//feaB//
CRP_Mlc	
CRP_ModE	srlD//
CRP_MurR	yiaK//xylB//hycD//
CRP_Nac_NsrR_PhoB	
CRP_NadR	nrfC//
CRP_NagC	chbF//dgcZ//lacA//rhaB//araA//
CRP_NagC_NanR	fbaA//caiD//
CRP_NagC_PhoP	glpD//
CRP_OxyR	
CRP_OxyR_UxuR	ynfG//
CRP_PhoB	astD//bglB//
CRP_PhoP	caiA//gdhA//adiA//
CRP_PutA	gntK//
CRP_RbsR	aspC//yqjH//yiaK//
CRP_RhaR_RhaS	
CRP_RhaS	nrdB//ftsI//lpxC//
CRP_Rob	rutC//
CRP_TorR	tdcE//dsdA//
CRP_UhpA_UvrY	astA//
CRP_UidR_UxuR	rhaD//fau//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	patA//hypF//
Cbl_CysB_FNR_IHF	puuD//mhpC//pyrC//
CdaR_FNR_Fis_Fur_H-NS	paaZ//ilvG_1//
CdaR_FNR_Fur_H-NS	tdcE//paaJ//gcvH//idnK//
CpxR_CsgD_FliZ	
CpxR_CysB	cadA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	purH//
CpxR_GadE	pck//relA//gdhA//
CpxR_H-NS	ilvG_1//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	cdd//
Cra_FNR_Fis_Lrp_NarL	sodA//
Cra_FNR_Fur_MarA_Rob_SoxS	caiB//
Cra_FhlA_FlhDC	entF//
Cra_GntR_KdgR	betB//
Cra_GntR_KdgR_PhoB	glpB//
Cra_MarA_SoxS	nrdA//
Cra_PdeL	betB//
Cra_SgrR	ssuD//
Cra_TyrR	glpX//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	gcvP//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nanK//ssuE//
CusR_PhoB_YedW	nagB//
CysB_H-NS	ssuD//nfsB//rnpB//
CysB_HypT_IHF	puuB//
CysB_IHF	dmsB//araD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	nrfA//
DinJ-YafQ_LexA	purH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	rutC//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	sgbE//
FNR_FhlA_NarL_NarP	nagA//katE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gltA//
FNR_Fis_IHF_ModE_NarL	nanA//
FNR_Fis_IHF_NarL	idnO//
FNR_Fis_IHF_NarL_RstA	gabT//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	nanK//
FNR_FlhDC_ModE_NarL_NarP	puuD//
FNR_Fur	pflB//mhpC//
FNR_Fur_GadE	guaA//
FNR_Fur_GadX_NtrC	paaF//
FNR_Fur_H-NS	acs//ilvM//purM//
FNR_Fur_MetR_NsrR	sucB//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	gcvP//
FNR_Fur_OxyR	sucC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ssuD//
FNR_H-NS_NrdR	lldD//cyoE//
FNR_IHF	hycG//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	araA//
FNR_IHF_PhoB	
FNR_MalT	nanA//sucA//
FNR_ModE	
FNR_NarL	prpD//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	malY//cysH//
FNR_NarL_NikR	gntK//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	mtlD//glcF//
FNR_YqjI	
FabR_FadR	uxaB//glcD//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	aceF//recF//
FhlA_IHF_NsrR	
Fis_Fur	aspA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	rhaD//
Fis_IHF	
Fis_IHF_NtrC	serA//ilvH//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	argG//
Fis_NarL	napB//
Fis_NarL_NarP_NsrR	
Fis_PurR	purN//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	glcB//
Fur_H-NS	ubiA//epd//
Fur_IHF_IscR_NsrR_OxyR	rhaB//
Fur_IscR_NrdR	ahpC//
Fur_MetR	citE//
Fur_MntR	ilvA//
Fur_MntR_OxyR	mhpD//
Fur_OxyR	
Fur_PurR	xylA//
Fur_RcnR	ahpC//
Fur_RutR	moeA//
Fur_SoxS_Zur	
Fur_YqjI	sucD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	paaE//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	rbsK//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	tauD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	glpQ//
H-NS_Lrp_NhaR_RcsB	paaZ//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	xylB//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	citE//
HU_IHF_TyrR	metB//
HigA_HigB-HigA	lsrG//
HipAB_HipB_IHF	ilvH//
HypT_MetJ	aspC//
HypT_MetJ_PhoP	serC//pgk//
IHF_Lrp	mhpE//fabA//pncB//icd//rsmH//
IHF_NsrR	
IHF_NtrC	entH//
IHF_PhoP	
IHF_PspF	hpt//
IHF_RcsAB	
IHF_RtcR	nrfA//galE//
IHF_TyrR	caiB//
IHF_UlaR	deoD//
LexA_MraZ_PdhR	bglB//narH//frdB//gltA//adiA//serA//truB//araD//pgaB//melA//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	glpC//deoB//
MarA_PhoP_Rob_SoxS	hycC//fabZ//nemA//gapA//atoB//appA//hyaA//glcF//putA//
MarA_Rob_SoxS	epd//metK//
MarA_SoxS	gcvP//uxaC//nanM//
MetJ_MetR	gutQ//
MetJ_OxyR	mhpE//
MetR_PurR	astD//
MraZ_PdhR	katG//
Nac_PurR	guaA//lsrK//
NarL_TorR	atoB//
NemR_RutR	narH//deoC//
NhaR_OmpR	aspA//frdA//purD//
NorR_NsrR	
NsrR_PhoB	hypF//
OxyR_SoxS	
PdhR_PhoP	cysM//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	gatD//caiC//
RelB_RelB-RelE	sucA//
TrpR_TyrR	dadX//
YefM_YefM-YoeB	caiD//
