# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	malS//glgC//
ArcA_CRP_IHF	purM//
ArcA_CRP_PuuR	fadI//fau//aceB//gadB//
ArcA_CRP_RhaS	astC//
ArcA_CRP_TreR	torA//frdA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	mraY//dmsB//
ArcA_Cra	eda//
ArcA_Cra_FNR_H-NS_HypT	sdhD//
ArcA_CysB_FNR	
ArcA_FNR	gdhA//uxaA//torC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gutQ//
ArcA_FNR_Fis_IHF_NarL	narH//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	edd//gcvP//
ArcA_FNR_IHF_NarL	araB//gloA//
ArcA_FNR_NarL	galE//gdhA//malQ//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	glcD//glgA//
ArcA_FadR	ogt//napG//garL//
ArcA_FadR_Fis	glpQ//prmC//
ArcA_Fur_Lrp_ModE	pnp//sodB//
ArcA_GlcC_IHF_PdhR	pspE//uxaC//nanE//
ArcA_LexA	napH//
ArcA_LldR	astD//guaB//
ArcA_NarL	ynfF//
ArcA_NtrC_PhoP_RutR	uvrA//hycF//astC//idnK//metL//caiB//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	prpE//
ArgP_CRP_FNR_Fur_Nac	frdB//
ArgP_DnaA	hyaB//
ArgP_Lrp	carB//paaZ//
ArgP_LysR	entC//
ArgP_PhoB	
ArgR_CRP	puuA//
ArgR_CRP_Fis	truB//metH//malP//
ArgR_Fis_IHF_PepA_PurR_RutR	sucB//
ArgR_H-NS_NtrC	pncB//nrdE//
ArgR_NtrC	dusB//fucI//paaH//rutA//ilvE//
ArgR_PhoP	purA//
AscG_CRP	nfsA//garK//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	fucO//
AtoC_IHF	acs//acnA//glpC//
BaeR_CpxR	cdd//
BaeR_CpxR_EvgA	sucC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	garR//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	acnB//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	pyrC//gadA//rutC//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	gloA//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gltB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	araB//citF//gcvT//glcD//idnO//ulaE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	aspC//pgaB//hypB//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	gntK//dusB//waaZ//
CRP_Cra_Mlc_NagC	caiC//ulaG//nfsB//idnD//
CRP_Cra_PrpR	citX//uxaA//ahpC//sdhC//
CRP_CreB_Fis_MalT	nanA//
CRP_CsiR_H-NS_Lrp	napG//
CRP_CsiR_H-NS_Lrp_Nac	gatY//nrfB//gntK//
CRP_CspA_Fis	rnpB//
CRP_CytR	citD//
CRP_CytR_DeoR	bglB//katG//
CRP_CytR_DeoR_Fis_ModE	gntK//glpK//hyaA//nrfC//
CRP_CytR_Nac	narG//
CRP_CytR_NsrR	pyrD//
CRP_DcuR_FNR_NarL	rhaB//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	cdd//murD//
CRP_DpiA_ExuR	sgbE//
CRP_DsdC	murC//fucI//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mhpC//
CRP_ExuR	acnB//
CRP_ExuR_FNR	nrdE//mraY//
CRP_ExuR_OxyR_UxuR	gcvH//patA//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	hycG//
CRP_FNR_Fis	lacZ//atoD//
CRP_FNR_Fis_GlpR_IHF	ulaG//feaB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	mraY//mtlD//ndh//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	ynfH//hyaA//aceF//aldA//glpC//
CRP_FNR_NarL	nrfC//lsrK//
CRP_FeaR_NsrR	hcp//
CRP_Fis	sucA//fumA//glpD//
CRP_Fis_FlhDC_GalR_GalS	accC//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	ulaD//gatZ//
CRP_Fis_IHF	paaB//murD//gcvH//
CRP_Fis_NanR	dusB//glnA//purN//glpD//
CRP_Fis_NtrC	mazG//
CRP_Fis_XylR	hemA//
CRP_FlhDC_GalR_GalS	cdd//
CRP_FucR	pgk//fes//melA//ilvA//glpX//gloA//
CRP_Fur	fadH//recF//fucI//argD//ynfE//caiB//moaA//cyoE//icd//atoB//
CRP_Fur_HypT_PdhR	murE//frdC//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	pgk//rbsD//sdhC//astD//
CRP_GalR_GalS_NagC	ugpQ//
CRP_GlpR	entC//aceB//fabA//
CRP_GntR	moeA//
CRP_GntR_IdnR	napH//glcE//glcB//tam//nrfD//sufS//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	sucB//tdcD//cysH//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	pdeR//
CRP_H-NS_LacI	fumB//tdcG//ftsI//
CRP_H-NS_LeuO	murC//
CRP_H-NS_MqsA	
CRP_IHF	moaE//truB//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	mdh//
CRP_IHF_PaaX	garR//uxaB//waaH//fucI//mhpD//puuB//recF//xylB//
CRP_IHF_UlaR	uxaA//rutE//hycC//nfsA//
CRP_IHF_YiaJ	nrfB//atoD//ldtB//mhpA//paaJ//nanA//
CRP_LexA	
CRP_Lrp	glpX//entF//melA//torA//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	gabD//
CRP_LsrR	lsrK//sucA//atoA//ogt//dusB//
CRP_MalI	paaJ//citX//
CRP_MalT	patA//puuC//
CRP_MalT_PhoP	katE//
CRP_MelR	mhpC//malP//
CRP_MetJ	ubiC//
CRP_MhpR	guaA//serA//nrfD//lsrG//nrdF//purD//
CRP_Mlc	
CRP_ModE	torA//
CRP_MurR	icd//moeB//treC//
CRP_Nac_NsrR_PhoB	
CRP_NadR	ilvA//
CRP_NagC	putA//lpxD//prpB//fadJ//glcB//
CRP_NagC_NanR	ilvE//pnp//
CRP_NagC_PhoP	moaA//
CRP_OxyR	
CRP_OxyR_UxuR	tdcB//
CRP_PhoB	malS//rhaD//
CRP_PhoP	aceB//caiA//citG//
CRP_PutA	mpl//
CRP_RbsR	mhpF//accB//deoD//
CRP_RhaR_RhaS	
CRP_RhaS	gltA//murD//puuB//
CRP_Rob	aspC//
CRP_TorR	glpD//glgA//
CRP_UhpA_UvrY	ilvG_1//
CRP_UidR_UxuR	moeB//acnB//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	ugpQ//atoD//
Cbl_CysB_FNR_IHF	frdD//pgaB//guaB//
CdaR_FNR_Fis_Fur_H-NS	sdhD//deoB//
CdaR_FNR_Fur_H-NS	glpA//sdhC//uxaA//nirB//
CpxR_CsgD_FliZ	
CpxR_CysB	epd//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	pgaB//
CpxR_GadE	waaZ//dadX//sgbU//
CpxR_H-NS	frdD//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	aroL//
Cra_FNR_Fis_Lrp_NarL	puuC//
Cra_FNR_Fur_MarA_Rob_SoxS	sucA//
Cra_FhlA_FlhDC	entA//
Cra_GntR_KdgR	gltB//
Cra_GntR_KdgR_PhoB	lldD//
Cra_MarA_SoxS	atoD//
Cra_PdeL	hemA//
Cra_SgrR	relA//
Cra_TyrR	torC//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	aceB//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	cysI//adiA//
CusR_PhoB_YedW	metE//
CysB_H-NS	paaB//murE//cysG//
CysB_HypT_IHF	fumA//
CysB_IHF	citG//nrdD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	eda//
DinJ-YafQ_LexA	gutQ//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	nagA//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	entE//
FNR_FhlA_NarL_NarP	uxaA//fadI//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	sucB//
FNR_Fis_IHF_ModE_NarL	nanA//
FNR_Fis_IHF_NarL	hycE//
FNR_Fis_IHF_NarL_RstA	nrdF//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	ackA//
FNR_FlhDC_ModE_NarL_NarP	bglB//
FNR_Fur	ascB//hpt//
FNR_Fur_GadE	deoA//
FNR_Fur_GadX_NtrC	deoB//
FNR_Fur_H-NS	cysM//aceE//ppiA//
FNR_Fur_MetR_NsrR	uxaC//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	hycG//
FNR_Fur_OxyR	waaZ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	rbsD//
FNR_H-NS_NrdR	gltA//moeB//
FNR_IHF	nrdE//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	uxuB//
FNR_IHF_PhoB	
FNR_MalT	fbaA//glcB//
FNR_ModE	
FNR_NarL	fabZ//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	accB//umpH//
FNR_NarL_NikR	fdhF//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	srlD//ssuE//
FNR_YqjI	
FabR_FadR	malQ//dadA//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	ilvG_1//fes//
FhlA_IHF_NsrR	
Fis_Fur	sdhA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	hycC//
Fis_IHF	
Fis_IHF_NtrC	purN//hyaC//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	ulaF//
Fis_NarL	astA//
Fis_NarL_NarP_NsrR	
Fis_PurR	hycB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	ynfE//
Fur_H-NS	mazG//tdcB//
Fur_IHF_IscR_NsrR_OxyR	frdA//
Fur_IscR_NrdR	codA//
Fur_MetR	metK//
Fur_MntR	fbaA//
Fur_MntR_OxyR	hemL//
Fur_OxyR	
Fur_PurR	nagB//
Fur_RcnR	citF//
Fur_RutR	dgcZ//
Fur_SoxS_Zur	
Fur_YqjI	cysH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	glpK//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	puuB//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	rbsD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	serC//
H-NS_Lrp_NhaR_RcsB	tdcG//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	waaY//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ynfG//
HU_IHF_TyrR	frdA//
HigA_HigB-HigA	relA//
HipAB_HipB_IHF	napH//
HypT_MetJ	yqjH//
HypT_MetJ_PhoP	mhpF//deoB//
IHF_Lrp	fucO//deoB//fadE//truB//fucO//
IHF_NsrR	
IHF_NtrC	pgaC//
IHF_PhoP	
IHF_PspF	acnA//
IHF_RcsAB	
IHF_RtcR	pncB//prpB//
IHF_TyrR	purH//
IHF_UlaR	malQ//
LexA_MraZ_PdhR	nrdD//garR//pnp//glcF//uxuB//nrdE//rutA//mnmG//glcB//deoD//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	serC//ddlB//
MarA_PhoP_Rob_SoxS	nrfA//dmsB//uvrA//ubiA//accB//mtlD//feaB//frdD//rhaA//
MarA_Rob_SoxS	guaA//tdcG//
MarA_SoxS	carA//waaY//fabA//
MetJ_MetR	glcD//
MetJ_OxyR	citC//
MetR_PurR	gadA//
MraZ_PdhR	paaH//
Nac_PurR	pncB//ulaE//
NarL_TorR	carA//
NemR_RutR	accC//hycE//
NhaR_OmpR	ddlB//sucD//nrdF//
NorR_NsrR	
NsrR_PhoB	aldA//
OxyR_SoxS	
PdhR_PhoP	sufS//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	acs//rnpB//
RelB_RelB-RelE	glpQ//
TrpR_TyrR	fadH//
YefM_YefM-YoeB	purD//
