# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	galK//fadH//
ArcA_CRP_IHF	citE//
ArcA_CRP_PuuR	sgbU//hycG//poxB//aroA//
ArcA_CRP_RhaS	lldD//
ArcA_CRP_TreR	pncB//pck//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gdhA//aroG//
ArcA_Cra	purD//
ArcA_Cra_FNR_H-NS_HypT	rsmH//
ArcA_CysB_FNR	
ArcA_FNR	lacA//gntK//argG//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	fumC//
ArcA_FNR_Fis_IHF_NarL	rutD//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	gcvT//gltA//
ArcA_FNR_IHF_NarL	idnO//dmsB//
ArcA_FNR_NarL	sdhA//glyA//ldtB//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	ilvA//nagA//
ArcA_FadR	sodA//gcvH//purN//
ArcA_FadR_Fis	gatD//bglB//
ArcA_Fur_Lrp_ModE	carA//serC//
ArcA_GlcC_IHF_PdhR	ahpC//pgk//pnp//
ArcA_LexA	atoB//
ArcA_LldR	ndh//sdhC//
ArcA_NarL	deoA//
ArcA_NtrC_PhoP_RutR	torA//glcF//atoD//gltA//paaH//fdhF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	moaE//
ArgP_CRP_FNR_Fur_Nac	pdeL//
ArgP_DnaA	hypF//
ArgP_Lrp	cysM//dadX//
ArgP_LysR	dmsA//
ArgP_PhoB	
ArgR_CRP	betA//
ArgR_CRP_Fis	aroG//ilvD//ulaE//
ArgR_Fis_IHF_PepA_PurR_RutR	dadX//
ArgR_H-NS_NtrC	acs//ynfG//
ArgR_NtrC	dusB//hmp//murE//prpD//nirB//
ArgR_PhoP	aceF//
AscG_CRP	nanM//pdeR//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	tam//
AtoC_IHF	ynfF//accC//prmC//
BaeR_CpxR	metB//
BaeR_CpxR_EvgA	cdd//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	narH//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	folA//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	prpB//lpxA//ilvG_2//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	aldB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	katG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	pdeR//mraY//ansB//relA//purA//murG//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	ugpQ//fdhF//waaY//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	udp//gatZ//rhaB//
CRP_Cra_Mlc_NagC	galE//dmsA//ynfG//ogt//
CRP_Cra_PrpR	rutA//pgaB//mhpC//galM//
CRP_CreB_Fis_MalT	astD//
CRP_CsiR_H-NS_Lrp	tdcG//
CRP_CsiR_H-NS_Lrp_Nac	dsdA//ynfE//prpC//
CRP_CspA_Fis	ilvG_2//
CRP_CytR	acnA//
CRP_CytR_DeoR	prpD//nrdD//
CRP_CytR_DeoR_Fis_ModE	dgcZ//lsrG//dusB//fucK//
CRP_CytR_Nac	puuB//
CRP_CytR_NsrR	recF//
CRP_DcuR_FNR_NarL	aceA//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	fbaA//puuC//
CRP_DpiA_ExuR	rhaD//
CRP_DsdC	entB//gcvT//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glnA//
CRP_ExuR	deoB//
CRP_ExuR_FNR	hypB//gcd//
CRP_ExuR_OxyR_UxuR	ssuE//glpC//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	glgA//
CRP_FNR_Fis	malQ//hemL//
CRP_FNR_Fis_GlpR_IHF	tdcD//hycB//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	hycD//gatD//astE//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	pgk//pspE//ilvA//idnO//nanA//
CRP_FNR_NarL	idnK//gltB//
CRP_FeaR_NsrR	rhaB//
CRP_Fis	argD//idnO//prpB//
CRP_Fis_FlhDC_GalR_GalS	mdh//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fau//astA//
CRP_Fis_IHF	melA//putA//murE//
CRP_Fis_NanR	lacZ//ftnA//gadA//nanM//
CRP_Fis_NtrC	citF//
CRP_Fis_XylR	napA//
CRP_FlhDC_GalR_GalS	fes//
CRP_FucR	murC//yiaK//nfsA//treC//ansB//uxaA//
CRP_Fur	glpB//guaA//katE//ynfE//pgaB//mnmG//fadD//hemA//caiB//dusB//
CRP_Fur_HypT_PdhR	tam//gapA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	truB//lldD//ftnA//sgbE//
CRP_GalR_GalS_NagC	glpA//
CRP_GlpR	murE//glcD//fadE//
CRP_GntR	nfsA//
CRP_GntR_IdnR	katG//rhaA//treC//lhgO//paaE//mnmG//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	idnO//ilvE//putA//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	rnpB//
CRP_H-NS_LacI	prpC//fau//dmsB//
CRP_H-NS_LeuO	cysG//
CRP_H-NS_MqsA	
CRP_IHF	uxaC//ilvG_1//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fucA//
CRP_IHF_PaaX	lacZ//nrfB//sgbH//epd//torC//tdcB//metL//mhpC//
CRP_IHF_UlaR	rutD//caiD//lacZ//rutD//
CRP_IHF_YiaJ	astB//chbG//nrfD//puuB//pflB//ilvI//
CRP_LexA	
CRP_Lrp	nrfD//nagB//nanM//malS//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ynfE//
CRP_LsrR	aroA//ubiA//hycD//purA//fbaA//
CRP_MalI	putA//mhpD//
CRP_MalT	ascB//serC//
CRP_MalT_PhoP	betB//
CRP_MelR	malY//feaB//
CRP_MetJ	frdC//
CRP_MhpR	araD//atoA//pyrD//ynfE//mraY//lsrG//
CRP_Mlc	
CRP_ModE	feaB//
CRP_MurR	rutE//rnpB//metK//
CRP_Nac_NsrR_PhoB	
CRP_NadR	sodA//
CRP_NagC	moeB//sodB//cysJ//carB//icd//
CRP_NagC_NanR	hyaB//deoA//
CRP_NagC_PhoP	udp//
CRP_OxyR	
CRP_OxyR_UxuR	idnO//
CRP_PhoB	katE//gatY//
CRP_PhoP	narI//prpE//fucA//
CRP_PutA	ogt//
CRP_RbsR	mhpE//lsrK//ulaE//
CRP_RhaR_RhaS	
CRP_RhaS	citX//nrfC//folA//
CRP_Rob	rhaA//
CRP_TorR	cysI//nrfC//
CRP_UhpA_UvrY	sucB//
CRP_UidR_UxuR	relA//glpQ//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	nrdA//glpK//
Cbl_CysB_FNR_IHF	nrfD//puuD//lacA//
CdaR_FNR_Fis_Fur_H-NS	lpd//prmC//
CdaR_FNR_Fur_H-NS	dadA//murG//ssuE//pdeR//
CpxR_CsgD_FliZ	
CpxR_CysB	recF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dmsB//
CpxR_GadE	glpD//malQ//recF//
CpxR_H-NS	araA//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	fumA//
Cra_FNR_Fis_Lrp_NarL	ilvM//
Cra_FNR_Fur_MarA_Rob_SoxS	melA//
Cra_FhlA_FlhDC	gltA//
Cra_GntR_KdgR	mhpD//
Cra_GntR_KdgR_PhoB	yqjH//
Cra_MarA_SoxS	cysJ//
Cra_PdeL	nfsB//
Cra_SgrR	cysG//
Cra_TyrR	mpl//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	malS//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	acnB//waaY//
CusR_PhoB_YedW	torA//
CysB_H-NS	dusB//lpd//xylB//
CysB_HypT_IHF	lpxC//
CysB_IHF	aroL//mraY//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	uidA//
DinJ-YafQ_LexA	narH//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	sgbE//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	glpA//
FNR_FhlA_NarL_NarP	pgaB//ubiA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	pyrC//
FNR_Fis_IHF_ModE_NarL	acnA//
FNR_Fis_IHF_NarL	serA//
FNR_Fis_IHF_NarL_RstA	mhpD//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	araA//
FNR_FlhDC_ModE_NarL_NarP	moeB//
FNR_Fur	fabB//pck//
FNR_Fur_GadE	carB//
FNR_Fur_GadX_NtrC	ugpQ//
FNR_Fur_H-NS	hycF//guaB//tdcE//
FNR_Fur_MetR_NsrR	puuA//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	frdA//
FNR_Fur_OxyR	fumB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	sgbH//
FNR_H-NS_NrdR	relA//lpd//
FNR_IHF	gcvH//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	deoB//
FNR_IHF_PhoB	
FNR_MalT	hpt//fadI//
FNR_ModE	
FNR_NarL	nirB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	purD//yiaK//
FNR_NarL_NikR	metL//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	sodB//purD//
FNR_YqjI	
FabR_FadR	metH//sufS//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	frdD//sucA//
FhlA_IHF_NsrR	
Fis_Fur	fumA//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	moaD//
Fis_IHF	
Fis_IHF_NtrC	lysA//hmp//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	fadH//
Fis_NarL	torA//
Fis_NarL_NarP_NsrR	
Fis_PurR	ubiC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	pflB//
Fur_H-NS	betB//idnO//
Fur_IHF_IscR_NsrR_OxyR	fucO//
Fur_IscR_NrdR	mpl//
Fur_MetR	mhpD//
Fur_MntR	mhpC//
Fur_MntR_OxyR	dmsA//
Fur_OxyR	
Fur_PurR	napH//
Fur_RcnR	uvrA//
Fur_RutR	rutE//
Fur_SoxS_Zur	
Fur_YqjI	garK//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	lpxC//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	idnO//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	pspE//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	gntK//
H-NS_Lrp_NhaR_RcsB	glcB//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	uidA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	chbF//
HU_IHF_TyrR	narI//
HigA_HigB-HigA	entB//
HipAB_HipB_IHF	malP//
HypT_MetJ	fadJ//
HypT_MetJ_PhoP	acnA//atoD//
IHF_Lrp	citE//sdhA//metE//pyrC//citG//
IHF_NsrR	
IHF_NtrC	glcE//
IHF_PhoP	
IHF_PspF	rnpB//
IHF_RcsAB	
IHF_RtcR	araA//nrdF//
IHF_TyrR	hycB//
IHF_UlaR	acnB//
LexA_MraZ_PdhR	srlD//metB//narI//tdcE//uxuA//gapA//icd//mnmG//glpD//aceF//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	moeB//lpxD//
MarA_PhoP_Rob_SoxS	ilvA//napB//astB//rimK//astE//paaI//hemL//fabB//sucB//
MarA_Rob_SoxS	sucB//mnmG//
MarA_SoxS	fucK//lacA//aceE//
MetJ_MetR	napH//
MetJ_OxyR	pdeR//
MetR_PurR	aceE//
MraZ_PdhR	rutB//
Nac_PurR	garK//accC//
NarL_TorR	gadB//
NemR_RutR	pdeL//codA//
NhaR_OmpR	puuE//ascB//aldB//
NorR_NsrR	
NsrR_PhoB	ddlB//
OxyR_SoxS	
PdhR_PhoP	nanM//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	hypF//caiA//
RelB_RelB-RelE	ulaD//
TrpR_TyrR	metB//
YefM_YefM-YoeB	purM//
