# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ilvG_2//caiA//
ArcA_CRP_GlpR	citD//
ArcA_CRP_IHF	ascB//
ArcA_CRP_PuuR	nrfB//aroG//nanA//astA//
ArcA_CRP_RhaS	nrfA//
ArcA_CRP_TreR	ahpF//hycG//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	aroL//entC//
ArcA_Cra	gadA//
ArcA_Cra_FNR_H-NS_HypT	carB//
ArcA_CysB_FNR	
ArcA_FNR	atoB//glpC//sdhB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	citC//
ArcA_FNR_Fis_IHF_NarL	lysA//
ArcA_FNR_Fur_IHF	
ArcA_FNR_IHF	rhaD//carA//
ArcA_FNR_IHF_NarL	fabA//ftnA//
ArcA_FNR_NarL	deoC//accB//deoA//
ArcA_FNR_PhoP	
ArcA_FNR_PuuR	pgk//hemA//
ArcA_FadR	lsrG//pyrC//ascB//
ArcA_FadR_Fis	tam//narH//
ArcA_Fur_Lrp_ModE	dsdA//hyaC//
ArcA_GlcC_IHF_PdhR	pncB//rhaB//ilvD//
ArcA_LexA	tam//
ArcA_LldR	codA//gabT//
ArcA_NarL	entC//
ArcA_NtrC_PhoP_RutR	malQ//nrdF//dusB//metL//gatD//tdcG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	glcF//
ArgP_CRP_FNR_Fur_Nac	rbsK//
ArgP_DnaA	moeB//
ArgP_Lrp	ulaG//waaY//
ArgP_LysR	prpB//
ArgP_PhoB	
ArgR_CRP	katG//
ArgR_CRP_Fis	serC//nirD//aspA//
ArgR_Fis_IHF_PepA_PurR_RutR	nrdE//
ArgR_H-NS_NtrC	malQ//ahpC//
ArgR_NtrC	dusB//pgaC//pspE//astD//araB//
ArgR_PhoP	torC//
AscG_CRP	ilvH//rbsK//
AscG_CRP_PhoB_PrpR	
AsnC_MraZ_Nac	
AsnC_Nac	recF//
AtoC_IHF	fumA//gloA//accC//
BaeR_CpxR	purD//
BaeR_CpxR_EvgA	fdhF//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pflB//
BasR_CpxR_PdhR	
BasR_Fis	
BasR_H-NS_IHF_NagC_NanR	
BasR_MarA_PutA	mtlD//
BasR_PhoP	
BasR_QseB	
CRP_CaiF_FNR	
CRP_ChbR_NagC	metL//moaE//malP//
CRP_ComR	
CRP_CpxR	
CRP_CpxR_CytR	prpB//
CRP_CpxR_CytR_DnaA_IHF	
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	lpxA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	
CRP_Cra	fadA//appA//lsrG//puuC//ubiA//hycD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nanA//gatD//paaK//
CRP_Cra_FNR_PdhR	
CRP_Cra_Fis	
CRP_Cra_Fis_GlcC	
CRP_Cra_Fis_MtlR	uxaC//mpl//dgcZ//
CRP_Cra_Mlc_NagC	ulaD//feaB//hyaA//hemA//
CRP_Cra_PrpR	metH//rsmH//ftnA//ansB//
CRP_CreB_Fis_MalT	appA//
CRP_CsiR_H-NS_Lrp	ynfF//
CRP_CsiR_H-NS_Lrp_Nac	purA//napH//srlD//
CRP_CspA_Fis	putA//
CRP_CytR	atoD//
CRP_CytR_DeoR	sdhC//yiaK//
CRP_CytR_DeoR_Fis_ModE	poxB//mpl//ackA//adhE//
CRP_CytR_Nac	fes//
CRP_CytR_NsrR	hcp//
CRP_DcuR_FNR_NarL	epd//
CRP_DinJ-YafQ	
CRP_DnaA_Fis_PurR	moaA//acnA//
CRP_DpiA_ExuR	fadH//
CRP_DsdC	sdhD//atoB//
CRP_EbgR	
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ilvI//
CRP_ExuR	gcd//
CRP_ExuR_FNR	sufS//moaD//
CRP_ExuR_OxyR_UxuR	entD//fes//
CRP_ExuR_UxuR	
CRP_FNR	
CRP_FNR_FhlA_HyfR	fdhF//
CRP_FNR_Fis	nirD//aceF//
CRP_FNR_Fis_GlpR_IHF	ascB//malY//
CRP_FNR_Fis_H-NS_SlyA	
CRP_FNR_GcvA_Lrp_PurR	gapA//rbsK//entH//
CRP_FNR_H-NS_NarL	
CRP_FNR_IHF_TdcA_TdcR	fucU//sdhA//citF//hypB//glcB//
CRP_FNR_NarL	kbaZ//purD//
CRP_FeaR_NsrR	malQ//
CRP_Fis	citG//chbF//citE//
CRP_Fis_FlhDC_GalR_GalS	lyxK//
CRP_Fis_FliZ_IHF_Lrp	
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	glgP//ascB//
CRP_Fis_IHF	lpd//umpH//ynfH//
CRP_Fis_NanR	zwf//yqjH//nanA//fucK//
CRP_Fis_NtrC	narG//
CRP_Fis_XylR	sdhA//
CRP_FlhDC_GalR_GalS	kbaZ//
CRP_FucR	deoA//ansB//ynfF//moaD//idnK//hycF//
CRP_Fur	citF//ascB//entD//hemL//sucA//mdh//lsrG//rsmH//prpD//xylB//
CRP_Fur_HypT_PdhR	araD//ubiA//
CRP_Fur_OxyR_SoxS	
CRP_GalR_GalS	
CRP_GalR_GalS_H-NS_HU	ilvM//rsmH//aspC//citC//
CRP_GalR_GalS_NagC	patA//
CRP_GlpR	malY//paaC//cdd//
CRP_GntR	glgC//
CRP_GntR_IdnR	ilvA//frdC//prpB//cysG//rbsD//sdhD//
CRP_GntR_IscR	
CRP_GutM_GutR_H-NS	citD//betA//sgbE//
CRP_H-NS	
CRP_H-NS_HipAB_HipB_NtrC	idnO//
CRP_H-NS_LacI	rsmH//nrfB//metB//
CRP_H-NS_LeuO	gatD//
CRP_H-NS_MqsA	
CRP_IHF	rhaA//epd//
CRP_IHF_MprA_OmpR	
CRP_IHF_NsrR	fadD//
CRP_IHF_PaaX	waaH//dadA//moaA//glpQ//ilvE//lhgO//fdhF//atoD//
CRP_IHF_UlaR	nanK//acs//gatZ//gltD//
CRP_IHF_YiaJ	mazG//pdeR//lacA//fadA//dmsC//entA//
CRP_LexA	
CRP_Lrp	ogt//serA//eda//pgaB//
CRP_Lrp_Mlc	
CRP_Lrp_Nac	ulaG//
CRP_LsrR	dmsA//dusB//rnpB//araA//tam//
CRP_MalI	metL//mazG//
CRP_MalT	katG//nfsB//
CRP_MalT_PhoP	epd//
CRP_MelR	frdA//atoB//
CRP_MetJ	nagB//
CRP_MhpR	nrfC//hycG//glcB//mhpA//ahpC//sucD//
CRP_Mlc	
CRP_ModE	araA//
CRP_MurR	fadH//aroL//frdA//
CRP_Nac_NsrR_PhoB	
CRP_NadR	nagA//
CRP_NagC	nrdA//xylA//aceA//puuA//dusB//
CRP_NagC_NanR	hpt//hemA//
CRP_NagC_PhoP	glcB//
CRP_OxyR	
CRP_OxyR_UxuR	cysJ//
CRP_PhoB	ansB//dadX//
CRP_PhoP	astA//acnB//cadA//
CRP_PutA	hyaC//
CRP_RbsR	torA//ubiC//icd//
CRP_RhaR_RhaS	
CRP_RhaS	napC//glgP//nrdB//
CRP_Rob	adiA//
CRP_TorR	sodA//gutQ//
CRP_UhpA_UvrY	udp//
CRP_UidR_UxuR	nanM//prpD//
CRP_UvrY	
CRP_YehT	
CRP_ZraR	
CadC_FNR_H-NS_LeuO_MlrA	
Cbl_CysB	srlD//aroG//
Cbl_CysB_FNR_IHF	mhpF//glcD//uxuB//
CdaR_FNR_Fis_Fur_H-NS	tdcE//nrdF//
CdaR_FNR_Fur_H-NS	aceB//ackA//pgk//malP//
CpxR_CsgD_FliZ	
CpxR_CysB	glpA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fbaA//
CpxR_GadE	mhpD//murF//glpB//
CpxR_H-NS	rutB//
CpxR_NsrR	
CpxR_RcsB	
CpxR_TyrR	pspE//
Cra_FNR_Fis_Lrp_NarL	lsrK//
Cra_FNR_Fur_MarA_Rob_SoxS	aspA//
Cra_FhlA_FlhDC	lpxC//
Cra_GntR_KdgR	ilvG_2//
Cra_GntR_KdgR_PhoB	ilvG_1//
Cra_MarA_SoxS	pgk//
Cra_PdeL	garK//
Cra_SgrR	atoA//
Cra_TyrR	cyoE//
CreB_NagC	
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hemL//
CsgD_FlhDC	
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	
CspA_Fis_GadX_H-NS	
CueR_FNR_ModE	nfsB//codA//
CusR_PhoB_YedW	puuD//
CysB_H-NS	paaJ//nrfA//mnmG//
CysB_HypT_IHF	zwf//
CysB_IHF	gltA//atoD//
CysB_NtrC	
CysB_PhoP	
DcuR_FNR_NarL	aldA//
DinJ-YafQ_LexA	frdB//
DpiA_H-NS	
DsdC_NsrR	
EvgA_FNR	yiaK//
EvgA_H-NS	
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	
EvgA_H-NS_PhoP_RcsB_YdeO	
EvgA_PhoP_RcsB_YdeO	
ExuR_UxuR	
FNR_FhlA_IHF_NsrR	fadA//
FNR_FhlA_NarL_NarP	astC//garK//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	gutQ//
FNR_Fis_IHF_ModE_NarL	hyaC//
FNR_Fis_IHF_NarL	putA//
FNR_Fis_IHF_NarL_RstA	ogt//
FNR_FlhDC	
FNR_FlhDC_IscR_ModE_NarL_NarP	mazG//
FNR_FlhDC_ModE_NarL_NarP	araD//
FNR_Fur	adhE//pdeL//
FNR_Fur_GadE	accC//
FNR_Fur_GadX_NtrC	fucI//
FNR_Fur_H-NS	bglB//galE//lsrF//
FNR_Fur_MetR_NsrR	paaF//
FNR_Fur_Nac_NtrC	
FNR_Fur_NagC	purD//
FNR_Fur_OxyR	gadB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	
FNR_H-NS	ynfG//
FNR_H-NS_NrdR	carA//gcd//
FNR_IHF	chbF//
FNR_IHF_Lrp_YeiL	
FNR_IHF_NarL_NarP_NorR	fumA//
FNR_IHF_PhoB	
FNR_MalT	rutD//gadB//
FNR_ModE	
FNR_NarL	guaB//
FNR_NarL_NarP	
FNR_NarL_NarP_NsrR	
FNR_NarL_NarP_NsrR_OxyR	aspA//metH//
FNR_NarL_NikR	deoB//
FNR_NsrR	
FNR_OxyR	
FNR_PurR	moaE//carA//
FNR_YqjI	
FabR_FadR	dmsA//sgbU//
FadR_IHF	
FadR_IclR	
FhlA_FlhDC	
FhlA_IHF_ModE_NsrR	idnO//prpD//
FhlA_IHF_NsrR	
Fis_Fur	nfsB//
Fis_H-NS	
Fis_H-NS_IHF_MntR_OxyR	
Fis_H-NS_Lrp	
Fis_H-NS_Lrp_StpA	hycG//
Fis_IHF	
Fis_IHF_NtrC	citC//udp//
Fis_IHF_OmpR_RcsB	
Fis_Lrp	
Fis_MazE_MazE-MazF	pck//
Fis_NarL	hmp//
Fis_NarL_NarP_NsrR	
Fis_PurR	gdhA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	
FliZ_RutR	nirB//
Fur_H-NS	paaE//hyaA//
Fur_IHF_IscR_NsrR_OxyR	paaJ//
Fur_IscR_NrdR	araA//
Fur_MetR	yqjH//
Fur_MntR	garK//
Fur_MntR_OxyR	rsmH//
Fur_OxyR	
Fur_PurR	entC//
Fur_RcnR	uxaC//
Fur_RutR	nagB//
Fur_SoxS_Zur	
Fur_YqjI	deoA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	
GadE-RcsB_H-NS	
GadE-RcsB_PhoB	galT//
GadE-RcsB_Rob	
GadE_GadX_H-NS_PhoP_RcsB	
GadE_H-NS_Lrp_NsrR	
GadE_H-NS_MatA	
GadE_H-NS_RcsAB	
GadE_MarA_PurR	hycD//
GadW_GadX_RcsB	
GalR_GalS	
GlrR_IHF	
H-NS_IHF	lldD//
H-NS_IHF_Lrp	
H-NS_LeuO	
H-NS_LeuO_RcsB-BglJ_StpA	
H-NS_LrhA_Lrp	
H-NS_Lrp	deoA//
H-NS_Lrp_NhaR_RcsB	ppiA//
H-NS_Lrp_StpA	
H-NS_McbR	
H-NS_NhaR	uxuA//
H-NS_OmpR	
H-NS_PhoB_RcdA_RstA	
HU_IHF_TrpR_TyrR	ansB//
HU_IHF_TyrR	gadA//
HigA_HigB-HigA	mnmG//
HipAB_HipB_IHF	kbaZ//
HypT_MetJ	aroA//
HypT_MetJ_PhoP	tauD//paaJ//
IHF_Lrp	astB//fucU//nrdF//hyaB//purM//
IHF_NsrR	
IHF_NtrC	mraY//
IHF_PhoP	
IHF_PspF	lhgO//
IHF_RcsAB	
IHF_RtcR	carB//appA//
IHF_TyrR	citG//
IHF_UlaR	sgbU//
LexA_MraZ_PdhR	nrdE//lpxC//gdhA//gabD//ftsI//yqjH//aroL//entB//lpxA//tdcG//
LexA_MraZ_PdhR_RcsB_SdiA	
LexA_MraZ_PdhR_SdiA	
LexA_NagC	
LexA_RcdA	
LexA_RcsB-BglJ	
MarA_OxyR_Rob_SoxS	accB//pck//
MarA_PhoP_Rob_SoxS	fucA//purN//purA//paaE//codA//udp//sgbH//tdcD//nrdE//
MarA_Rob_SoxS	cysG//fucI//
MarA_SoxS	accB//napG//fumA//
MetJ_MetR	uxuB//
MetJ_OxyR	pdeL//
MetR_PurR	rutB//
MraZ_PdhR	gcvH//
Nac_PurR	pncB//pgaC//
NarL_TorR	araD//
NemR_RutR	gdhA//patA//
NhaR_OmpR	gapA//ftsI//paaB//
NorR_NsrR	
NsrR_PhoB	gadB//
OxyR_SoxS	
PdhR_PhoP	ynfF//
PgrR_TyrR	
PhoB_PhoP	
PhoP_PurR_RbsR	ulaD//rbsD//
RelB_RelB-RelE	acs//
TrpR_TyrR	nrdF//
YefM_YefM-YoeB	ynfG//
