#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	tehB//
EvgA	mepH//rsmA//pagP//nadC//cysE//ryhB//rplU//
FNR	rutR//fabH//gudX//ampD//ivbL//fbaB//dtpA//ycgZ//spf//ymiA//bdcA//lolA//nadC//ddpF//fabD//yaeQ//sutR//yccA//tyrU//arsB//ddpB//flgE//uvrB//yegR//spf//ymjC//treR//
FadR	narQ//glpE//yncE//zntA//rcsB//paaY//alsA//hchA//
FeaR	ykiA//
Fis	flgE//priB//hfq//prs//yqjA//trmA//xapA//thrT//glgS//fliL//manA//hcaC//umuC//ibpB//trpL//pepT//phr//dgcC//accD//leuD//yeiB//iscR//wzb//rutR//cheR//ycgR//alsA//recA//fadM//bdcA//ryhB//purC//cheR//thiQ//potH//hflD//cpxR//dapD//glpE//yjjZ//cueO//allS//dapB//ydcU//alaX//ynbC//bacA//phnI//mipA//xdhA//nimR//ycjF//hofN//phoE//yidQ//uspD//
FlhDC	artQ//ygbK//dacC//alaW//sfsB//hslJ//rmf//ddpF//ydeI//msrA//frc//yoaC//adeD//yegR//arcA//speC//preT//ycjF//hcaE//yidQ//uspE//xapA//fruK//dhaK//agaR//sroA//speB//ruvB//phnC//yjeV//ruvA//adeD//ampD//gspA//glk//leuB//cheY//ttdB//
FliZ	flgK//
Fur	valT//tyrV//gor//avtA//glyT//yaeP//lon//metC//ruvB//nadC//mpaA//bioD//btuB//yoaC//ribA//gcl//pspF//glmU//msrA//agaD//garD//ihfB//thiQ//dgcN//
GadX	yciX//ymgC//apaH//hofO//umuC//fliR//recN//
GcvA	flgG//accD//
H-NS	lon//hcaR//ttdA//fhuD//phnJ//mepH//gltK//purB//yibQ//glyU//ybaT//ycgZ//speA//glpE//
HU	ilvY//yhfA//
HcaR	rplI//hofC//glnW//pfkA//ybaT//mhpT//
IHF	manA//asnB//bdm//fecI//ygiZ//ybbW//pdeF//
IlvY	ddpX//bioA//
IscR	dicC//tfaQ//yibQ//rcnR//flgI//arcZ//dhaR//ydcU//
KdpE	azuC//wrbA//ydfX//asnA//
LeuO	glmS//alaA//slt//wecE//fruA//arcZ//
LexA	phnH//flhA//ampC//arsR//ruvA//uspD//dicC//gcvA//cysN//sbmA//argR//allC//ycjG//hdfR//leuA//ymgA//gfcA//leuL//manA//accA//trpE//ycjG//livK//phnK//emrB//omrA//phnL//mipA//purL//lexA//gspA//ybjG//ldtD//yegZ//argI//frc//umuC//
LrhA	mgrR//
Lrp	yeiW//dtpA//symE//lysO//wecB//ybhL//tsgA//pheU//ybhS//uspD//accA//purF//artJ//gfcA//
LysR	ycjX//
MalT	iraD//
MarA	nadA//thiQ//
MatA	fliL//metJ//
McbR	priB//
MetJ	gpmM//insD//tktB//metT//ppc//
MlrA	raiA//hofM//yneM//obgE//yhjC//
MngR	hflC//dhaM//efeU_1//
MntR	purK//livM//
MprA	dgcC//ddpD//thiQ//
MqsA	bioD//ybhL//
MurR	gltI//
Nac	ubiX//dnaG//gspA//argX//yccJ//
NadR	xapA//fliO//hofO//
NagC	murI//phnO//glnU//pdxA//sbcD//
NanR	artM//rimM//
NimR	glmU//tehA//
NsrR	ung//ybjG//argF//serT//glpR//queA//avtA//allB//sbmA//flhE//alaX//fhuB//aaeB//mcbA//dinB//fliN//ttdR//yccT//leuV//yhdX//hflK//mprA//flgG//alsB//tyrV//zntA//ybhR//polB//livJ//fadR//
NtrC	ymjD//glmU//rpoD//dinB//phoA//psiF//rutR//bioC//gltX//cra//gspA//ftsK//fldB//hflK//hchA//dnaG//cheR//
OmpR	phnC//lysT//yaeQ//rutR//
OxyR	lrhA//erpA//hcaR//leuE//ilvY//speC//dicB//dsrA//ttdR//
PaaX	glyU//yfiB//
PepA	znuA//
PgrR	thrW//glnV//arsC//alaX//pnuC//tehA//alaS//
PhoB	ydeI//xapA//purC//exbB//erpA//ruvB//gltK//ydfN//yhdY//metU//wzxE//ttdB//slyB//cvpA//mscM//znuC//dinQ//gudX//metA//rffT//motA//serX//flgK//mzrA//xdhC//iscS//copA//ydfE//phnM//yccJ//ibaG//
PhoP	flgB//wza//pdeF//sohB//ftsK//entS//patD//alaA//uvrC//fruA//glgB//eno//yoaC//yqaE//dinD//dkgA//
PspF	agaI//
PurR	yhdY//cheW//wzc//nlpA//ftsK//yoaC//ymjD//leuA//alsC//speC//ychH//bioC//accD//
RbsR	yegR//
RcdA	yagK//narQ//nadC//
RclR	wcaA//mntS//amiA//
RcnR	yhhY//
RcsAB	yojI//livJ//paaY//sfsB//fliP//
RcsB	xapB//omrA//ruvB//pheT//
RcsB-BglJ	emrA//add//uraA//oxc//tyrB//trpD//patZ//thiQ//flgD//yiiS//cecR//
Rob	ysgA//
RutR	trpC//
SdiA	alsE//
SgrR	znuB//uspD//fabI//dsbA//copA//recC//
SoxS	gspA//ibpB//dhaR//dgcC//wcaA//mcaS//
SutR	pheS//mngA//
TorR	cysE//
TrpR	omrA//livJ//ppsA//psd//hofO//psd//yjhC//ddpB//
TyrR	ydeJ//tsr//iscR//
UidR	prs//
UvrY	exbD//topA//
XapR	tap//sroA//
YdeO	creA//mukB//
YjjQ	ybbY//trpB//polA//yhbT//nadC//rpsF//yqhD//
YpdB	tap//
YqhC	glnX//rybB//
ZntR	recC//
ZraR	ybhG//
Zur	lysO//thrU//ddpX//bcsZ//hflD//
