#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gudD//
CsgD	ibpB//mgrR//hofM//yibQ//ompX//rfe//allD//ycgZ//hemF//
CueR	xapB//livK//
CynR	entS//mhpT//fepG//gltK//
CysB	hcaF//ptrA//sroA//omrA//metF//oxyS//yciX//flgG//allE//rplU//
Dan	recB//ddpX//ydbD//fabH//
DhaR	dksA//tap//queA//ybhG//
DicA	lysR//cra//nimT//ydcV//lysC//phnN//fabD//aaeX//
DnaA	arsC//gyrB//
EvgA	dinB//yccT//hofM//cynS//yjhB//fruB//cbpM//
FNR	lexA//artM//tktB//alaX//envC//ybaS//dhaK//adiY//narQ//ydbD//mcaS//slyB//kbl//argU//ybhR//wcaB//seqA//ldtC//flhA//apaG//trmA//dkgA//hflC//yhjC//tisB//argR//flxA//
FadR	rarA//ompN//hflK//ydbD//livK//tufB//queA//rcnR//
FeaR	asnB//
Fis	argE//ybaT//leuV//pgpC//phnE_2//iscU//queA//ibpB//sohB//creC//ubiX//ycjF//ibaG//raiA//argA//ymjD//dgkA//agaI//agaS//ymgA//trpL//ubiX//fliT//tdh//fhuD//ydcU//dacC//alkA//creB//ariR//iscS//dicB//cheR//cysD//cysC//ddpD//cvpA//agaS//purE//flxA//nadC//agp//ynbA//hdfR//wzc//yccT//ydcV//ymiA//cysE//trpB//cheZ//yjjZ//creA//uraA//ykgM//ruvB//
FlhDC	hflD//lon//recD//flgB//fabG//cheB//cheA//rffM//ygdB//wrbA//hofN//obgE//ycjF//leuA//yqjA//agaI//argE//agaC//tyrT//alsE//phnO//insD//trmD//cynX//priB//uvrD//ybhL//gyrB//bdcA//ydeJ//gltJ//phoR//wecC//ybhF//ykiA//ttdA//murR//mltF//
FliZ	rplU//
Fur	yiiS//agaR//pagP//metC//ycjY//avtA//ydeI//metT//gcvB//rplS//uidR//ynbB//glgX//uspE//tpr//dtpA//rmf//alaS//lysR//pagP//amn//mhpR//hofM//fliL//
GadX	glnB//yjjZ//gpmA//phnO//rdoA//mntS//ppdB//
GcvA	preA//fliR//
H-NS	mhpR//gspB//gor//pagP//fecI//yqhG//hofM//yccA//alaA//ldtC//tyrA//fepC//flgD//dgcN//
HU	lysR//garD//
HcaR	tdh//raiA//pdeH//dicB//leuX//yhdZ//
IHF	leuD//ybjG//dsbC//exbD//allB//dhaM//yqjA//
IlvY	exbB//ydeI//
IscR	mscM//trmA//slt//gltL//ybfE//fbaB//ldtC//umuC//
KdpE	serT//upp//thrU//oxyS//
LeuO	xapA//fruB//yhdW//leuC//iscA//nadC//
LexA	upp//kbp//pnuC//ydjM//insD//tap//mqsR//rnlA//glnU//fliQ//ilvB//wzzE//argX//ilvC//ygeH//gfcA//ydiU//cueO//ibpB//ibaG//glpR//ppdC//metU//gudP//tdh//uvrC//sbcD//ydcU//ymiA//creB//potF//motB//alaS//artI//mscM//pspF//ybaS//
LrhA	allB//
Lrp	pdxA//add//trxC//rffH//rpsR//pepT//iscU//polB//gudP//glgB//ptrA//yidQ//phnL//rcsB//
LysR	pdeF//
MalT	ybhG//
MarA	fliR//kdpC//
MatA	alsB//ydfN//
McbR	mltF//
MetJ	gudD//fabI//ribA//tktB//recA//
MlrA	cstA//ykgR//dnaG//uraA//ompN//
MngR	patZ//rcsB//adeD//
MntR	rpsP//mhpT//
MprA	rpiR//psd//cpxA//
MqsA	rpsF//decR//
MurR	bioF//
Nac	argW//ydfX//uvrY//iscR//trpD//
NadR	fliN//ada//kbl//
NagC	tisB//yidQ//yqhG//rstA//rcsD//
NanR	slyB//yhhY//
NimR	add//sbcD//
NsrR	prs//dacC//ydbK//phnI//tehA//wzyE//cecR//ynbB//bluF//preT//pgi//ppdD//uvrC//yqaE//allD//livF//gspA//creB//grxA//lysO//tufB//htpG//creB//gyrB//yccA//yfdX//fabH//yncE//pgi//ygiZ//
NtrC	yagK//ung//polB//cpxR//rpsU//seqA//purK//bioB//ycjY//sohB//fliD//glpE//ycgR//cheZ//yfiB//aaeB//ada//
OmpR	adeD//cpdB//cyaA//arsC//
OxyR	ybhS//yaeP//yafO//rclA//ynbC//manA//paaY//proK//glpG//
PaaX	ycgZ//dhaK//
PepA	pgm//
PgrR	mukF//leuT//phnD//flu//uidR//yhjX//ybhL//
PhoB	fepG//psd//sroC//aroH//ppdA//yjjZ//argF//glpE//thiQ//sfsB//spf//bdm//xseA//lysC//glnB//priB//allB//allC//dhaK//glxK//fliP//luxS//emrA//thrS//tktB//yojI//gspA//bcsZ//yhdZ//ttdB//phoE//
PhoP	potG//valT//allE//rybA//yhbT//recX//tpr//leuX//iraP//envC//ydfE//rpmI//glnV//yhdW//oxyS//tehA//
PspF	yadV//
PurR	bioA//znuB//xdhA//phnN//ydfN//tbpA//speC//yjjZ//ychH//cvpA//dapB//zraP//fecI//
RbsR	bioF//
RcdA	yjhC//rcsD//trpB//
RclR	livK//tpiA//phnP//
RcnR	fliS//
RcsAB	trxA//cbpM//aroF//ibpB//priB//
RcsB	apaH//metT//rcsB//purB//
RcsB-BglJ	potF//alaA//yeaH//lysR//hcaD//ddpX//psiF//cysE//leuD//efeU_1//argR//
Rob	btuB//
RutR	ybhS//
SdiA	xapA//
SgrR	dinD//mqsA//mlrA//livG//dacC//iraP//
SoxS	leuE//fepC//htpG//cheA//mntS//kbaY//
SutR	cmoM//livG//
TorR	fhuD//
TrpR	fliS//metA//ycgR//kdpA//hofM//trxA//yojI//uidR//
TyrR	hemF//rffC//ydfH//
UidR	tyrB//
UvrY	ddpF//cbpA//
XapR	ruvB//uraA//
YdeO	cpxP//trmD//
YjjQ	mngB//ompA//mqsA//hcaD//nadC//proM//cho//
YpdB	cra//
YqhC	rnlA//gcvB//
ZntR	phnG//
ZraR	ycgZ//
Zur	ycgZ//htrE//yafP//agaC//tyrV//
