#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	glgX//
TrpR	rcsB//mukB//allD//flgA//agaS//flgL//valY//rdoA//
TyrR	yhjX//fruK//fruA//
UidR	kdpA//
UvrY	mgrB//pheV//
XapR	phnJ//pfkA//
YdeO	secB//mpaA//
YjjQ	argU//ybbW//flgE//phoA//dsrA//glmU//phnJ//
YpdB	yjjZ//
YqhC	glxK//purK//
ZntR	metF//
ZraR	ybbW//
Zur	pspF//yjhC//mlrA//dacC//cdaR//
