#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	sroA//
CynR	lysO//iscA//ilvY//metC//
CysB	flgI//hyi//gltK//ddpA//gudD//accD//recD//phnE_2//ompN//hofM//
Dan	hcaE//cpxQ//yfiB//mpaA//
DhaR	hfq//ymiA//pepD//lexA//
DicA	gpmM//mukF//gltJ//ydfE//paaY//ariR//tktB//argA//
DnaA	ygiZ//rcsD//
EvgA	hcaC//thrS//pepT//gyrB//rnlA//tar//ecpA//
FNR	copA//dinG//wecB//yjjP//livF//patZ//sfsA//phnO//arsB//ynbB//avtA//hofM//ung//preA//ydfD//alaA//torR//cheY//yeaE//talA//phoA//fhuE//rnlB//tynA//gfcA//allS//thiP//
FadR	pheS//manA//cdaR//uspE//aroF//trxA//manA//tufB//
FeaR	flu//
Fis	ddpX//glk//gltL//polB//yqjA//pdeH//adiY//hfq//hokE//fhuC//kbl//crl//tcyP//omrB//iraD//glnX//nimT//ampE//yecT//arsR//mngB//thiQ//hflK//rcnR//preT//artQ//yidQ//leuC//fliQ//glmS//lolA//fldB//pheS//hcaC//phnH//hfq//gfcA//lysV//potH//ymjD//fliM//dicB//ttdR//tsgA//livG//ybaT//thrU//trmA//hcaB//wzyE//bdcA//ydfE//leuE//lysR//livF//ybfE//
FlhDC	cysN//ydcU//ddpF//ydfN//dgkA//ydeI//dgcN//hofB//sroC//wecE//tpr//trpB//ariR//psd//intQ//xapA//yjjP//hcaE//ycgZ//ppiD//ycjX//creB//tpr//trxC//gltI//zraP//rcnR//alkB//gpsA//ompN//ycjX//leuV//artI//metU//arsR//argB//alaA//leuV//
FliZ	ppdC//
Fur	hokE//dhaK//symE//potH//hcaD//hcaC//ung//aroH//recD//znuA//ompA//fabI//yqhG//ybbY//potH//ftsK//yjjZ//cho//cynS//seqA//ftsK//ftsK//erpA//tsr//
GadX	cheY//isrC//flxA//mngR//rybA//flhE//gudD//
GcvA	mltF//rplS//
H-NS	glpG//flgJ//ung//metJ//ycgR//dicC//dhaK//agaS//tyrT//hslJ//psd//torR//allC//ydeA//
HU	htpG//ysgA//
HcaR	mqsR//nohA//leuV//glnW//ihfB//uspB//
IHF	ykiA//kbaY//gor//rsmA//kdpA//yafP//ynbB//
IlvY	raiA//ttdA//
IscR	rsmA//potF//hcaB//uvrC//lysC//preA//aroH//mukE//
KdpE	pgi//ada//azuC//rof//
LeuO	phnC//trmD//agaR//cyaA//phoB//seqA//
LexA	ilvC//fbaB//sbcC//chiA//sroA//efeU_1//pitA//yojI//ynbD//kbl//rplS//glgS//yidQ//grxD//ecpA//fadM//glnW//argX//argU//ycjY//cho//wcaB//cyaA//ybhS//artM//metJ//recD//bioD//yibQ//glnV//tdh//crl//ynjI//dsbC//ddpA//ddpF//xdhA//
LrhA	gpmA//
Lrp	yfdX//glpG//ryhB//cynR//ynbD//ppsA//tbpA//ykiA//glnW//cheY//pitB//creA//rutR//lacI//
LysR	tar//
MalT	aroF//
MarA	talA//valX//
MatA	iscU//comR//
McbR	ribA//
MetJ	ybjG//kdpA//mpaA//gcvA//ompA//
MlrA	znuC//leuT//pnuC//adiY//leuV//
MngR	rfe//ymiA//purC//
MntR	xseA//alsE//
MprA	ppdA//proM//znuB//
MqsA	cbpM//agp//
MurR	speB//
Nac	ompT//yfbR//creC//yjhC//ivbL//
NadR	tfaQ//umuC//bcsZ//
NagC	cpxP//alsE//rybB//htpG//symE//
NanR	purC//ubiX//
NimR	leuW//leuP//
NsrR	yjjZ//ybbW//phoE//hcaR//yoaC//ybhF//iscU//ddpC//phoB//rclA//ihfB//rpsR//adeD//tisB//fecI//cheR//ydeI//ybhS//alaC//mngR//mngB//rybA//ychH//purB//fadR//trmA//ychO//kbl//metF//thiQ//
NtrC	dacC//ompA//hdfR//purL//ihfB//rffM//nohA//leuV//yafN//cheY//phnE_1//yjjZ//mukE//eno//arsC//ychF//ddpA//
OmpR	cpxP//ygdB//alsC//phoE//
OxyR	hslJ//leuQ//pepT//amn//sroA//narQ//exbB//ariR//cdaR//
PaaX	mngA//fadR//
PepA	arsC//
PgrR	gspB//yidL//yncE//ftnB//phnN//fadR//wzc//
PhoB	allD//ompT//ecpR//pepA//tsgA//bioB//uvrD//metA//yeiP//cmoM//adiY//yfdX//uspE//glnB//ynbA//phnL//cpxQ//cpxQ//mngA//patZ//fecI//ycjY//uspE//add//yccT//fbaB//cstA//pdxA//emrB//potI//flgG//
PhoP	adeD//pykF//lrhA//purB//agaB//kbp//tadA//artJ//trpA//rmf//yqhG//entS//sroA//yqhG//fliL//lacI//
PspF	nohA//
PurR	ybhF//alsB//artQ//cheR//ilvC//murI//leuA//speA//oxc//bioF//agaR//ampC//uvrD//
RbsR	allC//
RcdA	yjhB//tisB//argE//
RclR	eno//obgE//ecpA//
RcnR	dapD//
RcsAB	uspD//omrB//kbp//bdcA//tynA//
RcsB	borD//yciX//preA//cyaA//
RcsB-BglJ	tktB//cecR//polB//arsC//glpG//sutR//ymjD//ydcU//proM//yeiP//lysR//
Rob	yciW//
RutR	yhdY//
SdiA	ycjF//
SgrR	sroA//cecR//murR//ycjY//btuB//cpxQ//
SoxS	yhdZ//fliL//fabI//wcaA//acrR//flgD//
SutR	ryhB//yqhG//
TorR	glgX//
TrpR	ychH//cpxA//tdh//comR//fliQ//wzyE//treR//dinQ//
TyrR	uidR//uvrB//ychO//
UidR	arcA//
UvrY	flhB//fldB//
XapR	gor//rfe//
YdeO	msrA//pfkA//
YjjQ	kdpC//trmD//torR//rplI//allS//decR//yhjC//
YpdB	tufB//
YqhC	lysW//yhbE//
ZntR	yidL//
ZraR	ydfE//
Zur	proL//tsr//argX//ubiG//secB//
