#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	uspB//
IscR	pdeH//flgI//infC//pepT//dgkA//phnN//purK//creC//
KdpE	trxC//rpsU//cueO//yegZ//
LeuO	ydfE//trpB//ibpB//ppsA//glyT//hemH//
LexA	tyrB//hcaE//lolA//slt//phoA//tdh//recN//rcsB//ymjC//tar//agaC//rdoA//yjjZ//agaS//fliN//wecE//ycgR//yaeP//leuW//pheV//leuL//yfbR//arsC//recN//pheV//dsrA//arcZ//lysV//phoR//potG//alkA//pheS//rcsD//artM//leuQ//trpR//gspB//
LrhA	ygeH//
Lrp	xdhC//yfdV//ydiU//aroH//wecC//agaS//phnJ//fadM//pepA//phnO//oxyS//ymiA//crl//glgB//
LysR	cheB//
MalT	yidQ//
MarA	phnL//valU//
MatA	yoaC//entS//
McbR	artJ//
MetJ	infC//aaeB//ydcU//gltL//proM//
MlrA	dapB//ubiX//flgF//pepT//cmoM//
MngR	phr//flgI//fbaB//
MntR	rclA//ydeA//
MprA	livG//cpxA//ydeA//
MqsA	proL//phr//
MurR	proK//
Nac	fadR//sohB//yciX//valU//rimM//
NadR	hemF//serT//cecR//
NagC	recB//ydfW//yfdV//wecE//gfcA//
NanR	rpoD//alsE//
NimR	fadR//yfiR//
NsrR	hcaD//hofP//yfiR//yeiB//fldB//hcaR//flgK//purB//recX//intQ//argX//ydiV//hokE//sgrR//ppdA//ynbB//lysO//proK//grxA//asnA//mepH//fepD//iscS//ybbW//cpxA//rffG//gfcA//argB//uspD//asnA//
NtrC	fhuD//dhaL//hyi//emrB//ung//tyrU//agaC//asnA//ldtD//fliQ//pheU//frc//trmA//omrB//hflX//flgJ//yaeP//
OmpR	cho//yidQ//yecT//cra//
OxyR	ptrA//hisR//ompT//fliS//murI//flgH//yccJ//yjhB//sroA//
PaaX	yibQ//argI//
PepA	ldtC//
PgrR	metT//ykgO//cra//artJ//yecT//rcnR//iscS//
PhoB	yfiR//ompT//rfe//tonB//ilvN//hokE//speC//ompN//leuQ//phnP//phoE//ldtC//yoaC//fabH//ydfH//preT//secB//argI//dksA//tpr//cysC//ppdB//mukF//pagP//wzb//ppdA//yfbR//recA//ybbW//artM//purE//
PhoP	alaW//yneM//ariR//gudP//rclC//cvpA//cueO//dtpA//rclA//gyrB//wecE//tdh//wzb//obgE//tar//ydfN//
PspF	proM//
PurR	iraD//leuB//cheY//acrR//pagP//livF//yhjC//cysK//tisB//allC//ibpB//phnE_2//mukF//
RbsR	recC//
RcdA	ysgA//iscA//mhpR//
RclR	patZ//bcsZ//ampE//
RcnR	argR//
RcsAB	glgS//queA//pitB//yecT//metF//
RcsB	arsC//tsr//kbl//dinQ//
RcsB-BglJ	pepD//trmA//bluF//grxD//yaiW//apaH//gudP//argA//cheR//fliN//argW//
Rob	yeaE//
RutR	ydfD//
SdiA	rplI//
SgrR	ttdA//fhuB//yaeP//fbaB//mzrA//cstA//
SoxS	hcaE//tadA//htrE//allD//amiA//tyrV//
SutR	yeiP//bioC//
TorR	dtpA//
TrpR	yhdX//yfiR//alsC//tonB//ydfW//alsE//rplI//dicB//
TyrR	argE//purF//narQ//
UidR	alsA//
UvrY	tyrT//yegZ//
XapR	rpiR//tbpA//
YdeO	ycjY//luxS//
YjjQ	wza//agaD//tyrA//ybbY//sfsA//phoP//valX//
YpdB	ruvA//
YqhC	lysU//trpD//
ZntR	cysC//
ZraR	agaS//
Zur	thrS//borD//glgS//leuD//bioD//
