#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gltX//
RcsAB	ydeJ//yqaE//fruB//yoaC//fhuB//
RcsB	valY//entS//rstB//umuC//
RcsB-BglJ	argC//flgD//dsrA//gltI//talA//uraA//yebG//mngA//leuC//mipA//fecI//
Rob	artI//
RutR	cysN//
SdiA	gpmA//
SgrR	malZ//ttdR//ydfX//fliO//ppc//ptrA//
SoxS	glgS//dkgB//ynjI//hcaC//hflX//valY//
SutR	dapD//ydfH//
TorR	cpxP//
TrpR	recA//ompA//grxD//aaeR//yeaH//bluF//eno//yeaH//
TyrR	allC//tktB//rpsP//
UidR	valT//
UvrY	tbpA//yaeQ//
XapR	fliO//lysT//
YdeO	ycjG//ihfB//
YjjQ	yfdE//argB//yoaC//flgK//gudP//speB//hcaF//
YpdB	hcaC//
YqhC	alaW//glmU//
ZntR	mqsR//
ZraR	isrC//
Zur	trpR//ilvN//patZ//dgcN//yhfA//
