#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	lacI//
PhoP	wzc//cynT//argF//phnN//nadB//pdeF//yhbE//phnJ//amiA//kdpC//rclB//pykF//grpE//phnO//metA//copA//
PspF	cdaR//
PurR	znuB//sohB//psiF//rclA//glgX//ddpC//pgi//tisB//raiA//rfe//ompA//flgC//fepG//
RbsR	potH//
RcdA	comR//livM//ppc//
RclR	cvpA//thrS//wzc//
RcnR	cysC//
RcsAB	ychH//tehA//phr//flgE//tsr//
RcsB	yaeP//arcA//thiQ//flgF//
RcsB-BglJ	arsC//lysT//ycjG//hcaR//rstB//sroC//ybfE//hflX//thrS//tcyP//ygiZ//
Rob	emrA//
RutR	yidQ//
SdiA	hemH//
SgrR	flxA//mltF//torR//ddpX//yjhB//ttdT//
SoxS	hflK//yhfA//glgB//mngR//gor//polB//
SutR	tyrB//ydcT//
TorR	yeaG//
TrpR	hchA//wzb//ydcT//grxD//cvpA//alaW//proM//ynbC//
TyrR	ubiG//allA//dhaR//
UidR	ykgO//
UvrY	yeaH//ybhF//
XapR	rpiB//alsE//
YdeO	rffT//alaC//
YjjQ	wzzE//ddpB//rcnR//glmS//sfsB//ycjF//ybbW//
YpdB	tadA//
YqhC	pgi//umuD//
ZntR	proK//
ZraR	yjjP//
Zur	ydfN//rclB//ppdA//yebG//ppsA//
