#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	lysT//
PhoB	alkB//fruK//yhdX//wecC//flgC//ihfB//allA//ada//ykiA//tehB//serX//yegZ//ybbY//argB//pitB//livH//nimR//lysC//mukB//phnG//mltF//hcaR//alaS//ygdB//hcaD//cysN//yegH//cysE//ybhS//agp//ygdB//
PhoP	argA//yagK//ydfW//yeaG//dsrA//cdaR//ubiX//dsbA//fliP//ydiU//acrR//hemF//apaG//mzrA//fruA//cueO//
PspF	fhuD//
PurR	creC//rnlB//talA//slt//rpoD//glpG//creC//rimM//cra//cysC//isrC//dkgA//ychH//
RbsR	wza//
RcdA	sfsB//aaeB//garD//
RclR	mntS//gspA//ycjY//
RcnR	rplU//
RcsAB	mntS//btuB//yebG//ppiD//pheT//
RcsB	xdhA//dapB//psd//motA//
RcsB-BglJ	ydcV//artQ//hofO//ygeH//alaC//yfiB//yidQ//gcvB//phnG//csrB//crl//
Rob	asnB//
RutR	csrB//
SdiA	glnX//
SgrR	valX//aaeX//hcaE//rplI//pepT//ydcV//
SoxS	dgkA//recN//dinQ//agaS//tyrT//yciX//
SutR	hcaR//phnF//
TorR	trxA//
TrpR	thiQ//fruA//yhjX//sutR//yadV//isrC//thrT//rffT//
TyrR	tar//fliS//leuV//
UidR	ydfN//
UvrY	trpC//gudD//
XapR	fliD//cpxR//
YdeO	wrbA//cpxQ//
YjjQ	phoH//glgB//yfiR//ycjX//ygbK//glgB//tadA//
YpdB	ydfE//
YqhC	bdm//yegH//
ZntR	argX//
ZraR	artI//
Zur	mukF//phnK//dhaM//ecpA//azuC//
