#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ybbW//
FNR	artM//yjhC//motB//slyB//trpD//sroA//livM//creB//sxy//rffT//ampE//phnG//speB//tyrA//ydfN//leuW//arfB//ygiZ//yidQ//sroC//recD//alsC//yhdY//mipA//msrA//rpmA//glgS//
FadR	uspB//metU//yfiB//ycjX//lacI//yeiB//pdeF//mcaS//
FeaR	pheT//
Fis	rsmA//agp//sfsA//nadC//recD//rplS//hflX//nadC//thiQ//purE//ygaC//tyrU//trpA//yhdY//tyrA//mgrR//rpiR//hofP//argU//ung//alkB//mgtL//asnA//paaY//ycjG//sbcD//tehA//paaY//ddpC//ftnB//yfdE//aaeA//yeaH//mqsA//yaiW//yeiP//hofM//tehA//queA//pheT//ampC//seqA//yfiB//trpE//lrhA//agaS//fabD//recN//fliM//argB//nohA//yfdX//phnF//fliD//fldA//mgrB//
FlhDC	grxA//ydfE//yhbE//phnL//cynR//yjeV//yecT//prs//ddpX//hokE//isrC//ydjM//yecT//alaC//folE//recX//ppdB//proK//cynR//pheS//yhfA//ppdD//livM//agaB//lolA//agaS//yfbR//aaeA//ydcU//phoA//pheV//lysW//tyrA//ttdT//mqsR//rfe//glnX//gltI//
FliZ	ydfX//
Fur	grpE//cpxR//nimT//iscU//ddpC//osmB//ilvN//fliP//rpsP//mukB//pepT//ttdT//leuQ//dsbG//dacC//ydeA//yhjX//wrbA//ynbD//aaeA//polA//dhaM//mhpR//speA//
GadX	pepD//psiF//pheS//glxK//wcaB//allC//umuD//
GcvA	ycjF//exbD//
H-NS	ddpA//nadC//rpmI//tktB//yciX//thrT//allE//ampC//ubiG//hemF//prs//cvpA//yhbS//nadC//
HU	proL//rclC//
HcaR	argW//cvpA//yeaH//rpoD//ybbW//creB//
IHF	rarA//ynbA//ampC//phnL//proK//yccA//yidQ//
IlvY	ihfB//cheR//
IscR	msrA//hofO//ycgZ//ddpC//trmD//gyrB//rsmA//accD//
KdpE	iscS//ydiU//yidL//hofM//
LeuO	dinB//omrA//ybhR//crl//wzyE//ymjD//
LexA	trxA//fabD//hofC//gcl//dksA//phnP//add//ung//leuB//yneM//tcyP//bioC//argI//ybhL//gltK//lrhA//mqsA//tap//sroC//fliL//ppiD//ompT//tsr//amn//xapA//argA//hchA//rstB//agaS//ydcT//sohB//livH//phoP//leuQ//phoH//bioD//cheA//
LrhA	adeD//
Lrp	bluF//ppc//fepG//yhdZ//glgX//argB//ydfH//xdhC//ycjX//eno//arcA//pheT//dinQ//sutR//
LysR	sfsB//
MalT	polB//
MarA	intQ//htrE//
MatA	tyrA//hokE//
McbR	leuL//
MetJ	mntS//symE//hokE//cynX//fliT//
MlrA	yidL//livF//metF//csrB//yciW//
MngR	treR//ppiD//dacC//
MntR	xdhC//dapB//
MprA	ykiA//mepH//ydeJ//
MqsA	symE//ymgC//
MurR	cysD//
Nac	gltL//tyrA//rffT//yhdY//gpsA//
NadR	rffT//tehB//yhbT//
NagC	flhE//paaY//artP//glxK//sohB//
NanR	metJ//aaeX//
NimR	dinG//arcA//
NsrR	yhfA//pitA//btuB//grxD//arsR//csrB//upp//mukF//apaH//entS//iscS//gudX//nimR//arfB//rfe//ilvY//seqA//ydeJ//lysU//hofP//csrB//rfe//mcbA//glmU//amn//glgX//alaC//tar//metJ//flgL//
NtrC	speC//obgE//cra//rsmA//lysR//tpr//flxA//tyrU//efeU_2//wzyE//flgG//purL//wecE//ydfX//ttdB//wrbA//bioA//
OmpR	cbpA//osmB//bdcA//xapA//
OxyR	phnP//znuC//alaW//phnG//trxC//livF//wza//speB//glgX//
PaaX	mqsR//dinD//
PepA	kbaY//
PgrR	phoH//phnK//cheW//chiA//pepD//cyaA//flhB//
PhoB	trmA//emrA//ydfN//ykiA//alaC//kbp//ttdT//fadM//metC//ibpB//ampD//yciW//xseA//yagK//umuC//gcl//rpsR//argU//agp//argB//dinQ//wcaB//dksA//dhaR//manA//rpsF//luxS//potH//alaX//yciX//cysN//
PhoP	livK//znuB//eno//valU//dksA//csrB//serT//htpG//hyi//rpiB//bdcA//argX//cecR//gudD//leuW//emrA//
PspF	upp//
PurR	ddpF//kbp//efeU_1//gltI//trpB//yccT//yjjZ//rcsD//ompA//dgkA//gspA//umuD//yccJ//
RbsR	gudX//
RcdA	flu//topA//artI//
RclR	cynX//bcsB//ydcS//
RcnR	yojI//
RcsAB	pdeH//yfiB//pheU//nlpA//ampD//
RcsB	rpsF//leuL//cmoM//rybB//
RcsB-BglJ	gfcA//rpiB//phoA//chiA//patD//fliS//acrR//erpA//umuD//psd//leuW//
Rob	ycjF//
RutR	mntS//
SdiA	glnW//
SgrR	dinF//ydeJ//yafN//flhA//yfbR//grxA//
SoxS	envC//dapB//yagK//umuD//yccA//dsbA//
SutR	gfcA//trpR//
TorR	sfsB//
TrpR	cysE//hslJ//yeaH//yqhD//cysE//bioA//trpD//tktB//
TyrR	obgE//dtpA//motA//
UidR	yaiW//
UvrY	yncE//yeaH//
XapR	ydfE//yhdZ//
YdeO	argF//recC//
YjjQ	lysW//ydiV//psiF//phoP//nadB//ynjI//mqsA//
YpdB	alkB//
YqhC	tisB//ybbW//
ZntR	yhbS//
ZraR	ybjG//
Zur	ychO//flgG//gudX//agaI//lysO//
