#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	aroF//
RcsB-BglJ	tdh//gyrB//ung//tyrV//rnlB//tktB//rpiB//ptrA//metJ//agp//livK//
Rob	trpE//
RutR	rffH//
SdiA	yjhB//
SgrR	ydfN//dhaK//livH//cueO//yqaE//zraP//
SoxS	cvpA//fhuE//rpsF//livK//flgJ//bioD//
SutR	ymgC//apaG//
TorR	rffC//
TrpR	flgJ//ruvA//paaY//wzc//ykgR//asnB//flgI//chiA//
TyrR	yncE//speC//ybbY//
UidR	rsmA//
UvrY	hcaD//agaI//
XapR	alaX//pheU//
YdeO	ompN//gpmM//
YjjQ	mltF//rfe//wrbA//phoP//gltJ//flgI//argI//
YpdB	glyT//
YqhC	ydcT//ttdR//
ZntR	pgpC//
ZraR	gltI//
Zur	dkgB//cho//gudD//yegH//ydeA//
