#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	prs//
NsrR	agaD//uspE//yojI//rpsU//leuA//alaW//ppc//pitB//ilvB//yagK//wcaA//flgB//pagP//yeiB//cecR//mlrA//phnK//rpiR//ldtC//ybjG//ykgM//yebE//fliS//yfdV//eno//phnE_2//flhA//pheV//ydbK//flgE//
NtrC	dhaL//bioD//ydeI//aspV//rybA//ybhL//btuB//hdfR//rpiB//sfsA//lrhA//rplU//alsE//serT//preA//arsR//allE//
OmpR	serT//yafO//dkgA//ydfH//
OxyR	yeaD//allD//kdpF//cheR//glxR//trpL//ariR//patD//luxS//
PaaX	phnO//ybbY//
PepA	rpmA//
PgrR	dapB//alkB//bluF//yjhB//ycjF//trpR//rpmI//
PhoB	hofM//ppdA//ynbC//gudD//ybbW//yeiW//gudX//flgB//ung//yfiB//leuB//preT//potI//artJ//ompA//hemH//purB//rutR//wecC//yqaE//alsB//ybhS//entS//ttdB//avtA//speB//trmD//phnJ//yibQ//argE//rof//
PhoP	grxA//dinD//yiiS//ibpB//cpxA//argI//flu//glxR//cstA//bioC//aspV//yccJ//valT//yegZ//alsE//bdm//
PspF	xseA//
PurR	ydeI//wzc//tfaQ//gpmA//argH//rpsF//ykgM//yafP//hcaB//mgtL//dapB//gcvA//mhpT//
RbsR	yiiS//
RcdA	ilvB//dhaR//hofM//
RclR	csrB//adeD//trpL//
RcnR	leuA//
RcsAB	hofC//fliN//ilvN//wrbA//recA//
RcsB	ydfX//ftnB//grxD//symE//
RcsB-BglJ	raiA//agp//hofN//fruK//speA//lrhA//yjjP//kdpB//gltI//mepH//mepH//
Rob	pepD//
RutR	xapB//
SdiA	purF//
SgrR	ybhG//ybhR//wzb//thrU//oxyS//mgtA//
SoxS	trpR//pykF//emrA//fadM//phnO//alaX//
SutR	agaI//flhE//
TorR	glmS//
TrpR	nlpA//trpD//rpmA//ada//acrR//wecE//preA//kbl//
TyrR	fruK//leuA//ycjG//
UidR	mcbA//
UvrY	sbcD//ttdT//
XapR	fldB//tadA//
YdeO	wecE//hdfR//
YjjQ	gudX//trmD//yccA//rpoD//insK//ppdA//potH//
YpdB	phnK//
YqhC	yidL//arcZ//
ZntR	ampC//
ZraR	gltJ//
Zur	ydiU//mgrR//apaH//polA//raiA//
