#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ychF//
NsrR	ruvA//fruA//yhbE//flgI//lexA//dsrA//flgH//psd//rcsD//decR//fruB//dinD//sbcD//kdpF//flu//phoB//yccT//valT//ynjI//gpmM//rpsF//efeU_2//fepG//argR//ygiZ//creC//recD//metF//narQ//alkA//
NtrC	erpA//argE//xseA//yojI//lysU//entS//yqaE//glnV//phnE_2//aaeX//yafP//ynjI//asnA//sbcD//yhbS//pheU//recX//
OmpR	agaS//ttdR//fhuC//hfq//
OxyR	ribA//arcA//mngB//purB//hflK//uvrY//rnlB//yafO//yfdE//
PaaX	lysW//agaI//
PepA	pgpC//
PgrR	yojI//leuP//oxyS//rutR//ecpR//glgX//obgE//
PhoB	patZ//tktB//rpsF//dsrA//flgJ//ada//gudX//patD//rffM//gltI//fabG//tdh//fruA//motA//gcvA//rnlA//yqjA//adiY//gcvB//ttdA//dicB//phnH//cysN//leuB//ykgR//dksA//alaX//yqhD//amiA//tcyP//pepD//
PhoP	exbB//metF//rffM//rffG//livH//glk//fliL//obgE//aroF//cysN//ydeJ//mgtL//leuX//glnU//glnB//gspB//
PspF	azuC//
PurR	flgK//talA//cheA//cpxA//ydcV//ybjG//uvrY//yibQ//grxA//mipA//yqhD//lexA//fbaB//
RbsR	spf//
RcdA	trpB//hofN//ppiD//
RclR	ydcS//rclC//btuB//
RcnR	ygeH//
RcsAB	ybbW//efeU_2//tpiA//ivbL//cra//
RcsB	yjhB//leuB//artI//emrB//
RcsB-BglJ	purC//mcbA//tpiA//comR//xdhB//argT//fepD//cheW//rmf//leuC//purE//
Rob	phnK//
RutR	thrW//
SdiA	bioA//
SgrR	alsB//uvrY//rclA//trpL//mpaA//leuE//
SoxS	tsr//alaX//thiP//ldtC//cheZ//rclC//
SutR	yccA//argR//
TorR	rcsB//
TrpR	mngR//ubiX//arsR//leuX//arsR//glpE//topA//yidL//
TyrR	yncE//mngB//psiF//
UidR	leuC//
UvrY	agaS//ycgZ//
XapR	ldtD//ppdD//
YdeO	agp//rplU//
YjjQ	pheT//cynR//mcbA//ymjD//rfe//fliR//phnF//
YpdB	phnN//
YqhC	glgS//recD//
ZntR	leuA//
ZraR	polB//
Zur	osmB//adeD//yhfA//argR//phoB//
