#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ttdB//
Fur	psd//paaX//rpiR//pitA//malZ//tbpA//argI//glnW//leuA//msrA//cpxR//fliS//yhjC//ymjD//mcaS//ycjF//adeD//ydcS//cho//phnG//folE//rpoD//ygeH//ydeJ//
GadX	hflD//agaI//creB//pnuC//yebG//cpdB//xdhC//
GcvA	flgA//ftsK//
H-NS	flgL//pitA//arsR//fliP//cheR//lacI//trpR//yeaD//rpiR//yjeV//ppdA//thiP//secB//xapA//
HU	dsbG//csrB//
HcaR	malZ//yhdW//artJ//cho//xdhB//glnU//
IHF	motA//yafP//alaA//yafP//yagK//glnU//bdm//
IlvY	iscS//hflK//
IscR	leuQ//gspA//rfe//cysN//ybhF//phnJ//ecnB//hcaF//
KdpE	tyrA//rstA//dhaM//torR//
LeuO	nadA//rnlA//hofM//trpC//adeD//allB//
LexA	flhB//ydfN//omrA//thrU//tbpA//leuQ//yjjP//yebE//ompA//dnaG//mukB//luxS//gltJ//agaB//wcaA//adiY//rpsF//yhbT//ybhS//azuC//agaS//cynS//ymjC//pepT//rpoD//argE//uvrY//alsB//uspE//serX//tar//cysD//adiY//ubiX//leuA//emrB//dinG//
LrhA	cbpM//
Lrp	dsbA//purB//wza//ydfX//phoA//gyrB//wzyE//lexA//mlrA//dhaL//tpiA//yibQ//glgB//yjhC//
LysR	cynT//
MalT	yccA//
MarA	dtpA//rcsB//
MatA	ychH//lacI//
McbR	pheV//
MetJ	hofC//rdoA//sgrR//flgK//purF//
MlrA	chiA//agaB//phnE_1//ilvB//kbaY//
MngR	insD//glmU//mngA//
MntR	yeaH//sutR//
MprA	cysN//ycjG//mepH//
MqsA	yciW//flgI//
MurR	rpmA//
Nac	bioA//yhdZ//hcaC//tyrT//rpiB//
NadR	yhbE//alsC//oxyS//
NagC	cheA//glgS//cpxA//allS//fabG//
NanR	argF//znuA//
NimR	yhdZ//mlrA//
NsrR	rarA//kdpF//mhpT//trmA//fepD//cysK//dhaR//glnB//motA//ykgR//yhfA//lacI//gyrB//ydcT//cysD//ddpC//artJ//bacA//artM//fliP//accA//rnlB//dgcC//yjhB//nimT//allC//pgm//yoaC//phoH//garD//
NtrC	ydbK//wzb//rpsR//yjjP//valY//hemF//creA//flgA//ompX//sbmA//rimM//bioD//trxC//emrB//yjhB//cyaA//argH//
OmpR	gltX//aroF//grxD//yafO//
OxyR	yiiS//ybaT//ppdB//accD//dnaG//arfB//ygbK//cysK//aroF//
PaaX	copA//apaH//
PepA	ycgZ//
PgrR	creC//dhaM//lon//uvrC//leuA//yeaE//creA//
PhoB	ycjY//yhdZ//ydfD//hfq//ycjF//flgF//fhuC//dsbA//bioA//gltI//argR//fliN//ydiU//ykgR//flgC//ymgA//wecC//talA//yaeQ//mgtL//metT//wzc//phnN//purK//rarA//metA//ycjG//flhB//acrR//gpmA//dapB//
PhoP	leuQ//preA//trmA//borD//gcl//argT//valU//glyU//alsC//cpxP//glyU//tar//purF//ttdA//yebG//ymjD//
PspF	ybhG//
PurR	phoE//fliP//creB//htrE//spf//creA//rclA//bluF//omrB//rarA//cynX//yeiP//wecC//
RbsR	alkB//
RcdA	nimT//tisB//ung//
RclR	pagP//ilvY//sxy//
RcnR	ynbA//
RcsAB	lysT//mhpR//ilvY//serT//ybfE//
RcsB	serT//rpoD//oxyS//apaG//
RcsB-BglJ	trpE//tdh//cysD//dacC//cstA//ydcS//purE//serT//mprA//dgcC//pheS//
Rob	fliQ//
RutR	uidR//
SdiA	ymjC//
SgrR	glmS//xdhA//add//tehB//phnE_1//hofC//
SoxS	cpxR//gcvA//ptrA//garD//tynA//leuE//
SutR	gspA//mngR//
TorR	fliS//
TrpR	decR//allA//narQ//sdaA//ribA//kbp//yeiW//ybjG//
TyrR	phnC//hdfR//trmA//
UidR	mpaA//
UvrY	proL//yojI//
XapR	ymjD//rpoD//
YdeO	argA//yjhC//
YjjQ	ibpB//uvrD//add//ydfX//kbl//purC//cpxP//
YpdB	ygaC//
YqhC	mngR//bcsZ//
ZntR	yeaH//
ZraR	argA//
Zur	mipA//rffM//paaY//lolA//valU//
