#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	thrT//
FNR	insK//entS//hofP//zntA//rffC//cbpA//cpdB//preT//fecI//flgH//rffG//ydeI//ydbK//htpG//ymgA//artP//artJ//alaC//mngA//alaA//cysE//recB//glpG//gor//glnW//mzrA//hofB//
FadR	yjjP//ydiV//argW//flhA//rnlA//mepH//mepH//trpD//
FeaR	grxA//
Fis	leuT//aaeX//rimM//mcbA//arsC//ydeJ//nadB//phoR//seqA//nadC//ycgZ//rffG//sfsB//cheY//bioF//envC//proL//yjjP//potF//ychH//borD//xapB//yidL//tehB//cyaA//yagK//csrB//lysW//nadA//agaS//hemF//glk//cyaA//glxK//argC//ecpR//leuX//tdh//yeiB//ybfE//trxC//sroA//rutR//yibQ//ydjM//rpiB//ymgA//yiiS//alsE//agp//cra//ppdD//tynA//yhbT//bluF//thiQ//
FlhDC	yoaC//yhbS//mukB//ydbK//uspB//umuC//glnW//cynT//omrA//prs//yoaC//sutR//thiP//gcvB//ydfW//dhaL//mukE//rarA//cheZ//upp//phr//uvrY//hofN//ppdB//ychH//lysU//yafP//acrR//glgB//allB//ydeA//fldB//treR//hofC//pheT//rybA//dhaM//rstB//
FliZ	cynX//
Fur	valY//exbD//wzc//ychO//sroC//pdeF//rof//arfB//priB//valY//mngA//tcyP//flgA//yebG//yegR//purE//lysW//yhjC//umuD//yidQ//adeD//ddpC//rplS//nimT//
GadX	bdm//artQ//hcaR//yebG//alkB//tbpA//ppc//
GcvA	yfdV//torR//
H-NS	hslJ//proL//hofO//topA//argU//ilvB//ariR//purB//phnM//mqsR//glgX//arsB//dapD//cysN//
HU	wzxE//yaeQ//
HcaR	rffC//ybhF//xapB//ampD//alaX//dksA//
IHF	yfiB//ygbK//ddpD//emrB//dkgA//arsB//phnE_1//
IlvY	argR//upp//
IscR	ubiG//erpA//ydcV//mcaS//yfdE//mcaS//nlpE//thiQ//
KdpE	yeaG//entS//slt//mukB//
LeuO	ddpX//pepA//asnA//fliP//tehB//accA//
LexA	cpxA//rffT//efeU_2//yegZ//glpE//garD//potH//leuX//ecpR//pspF//leuD//yjjZ//ribA//yidL//rpiR//dhaR//omrB//ysgA//efeU_2//add//ygeH//ymgA//phnG//allB//upp//rffC//mngR//cpxA//fruK//phnC//mukE//lexA//ysgA//ydfX//arfB//yafN//arsB//
LrhA	agaD//
Lrp	motB//dnaG//dkgB//rclB//cynT//murR//accD//ilvC//phoA//ompT//fldA//znuC//trpL//ppdC//
LysR	yhbE//
MalT	bioD//
MarA	ompT//cecR//
MatA	trpE//fliS//
McbR	lexA//
MetJ	yegH//mepH//dicC//alaA//yccJ//
MlrA	iscA//yhhY//yegH//yfiB//ybfE//
MngR	valY//ydbK//yjjP//
MntR	livG//pnuC//
MprA	glnB//dsrA//ddpA//
MqsA	valY//pitA//
MurR	yhdY//
Nac	bcsZ//hslJ//uvrB//preA//argC//
NadR	ykiA//murR//htrE//
NagC	murI//iscS//add//insD//fliL//
NanR	phnO//purK//
NimR	uvrY//ychF//
NsrR	mhpT//leuT//fhuA//grpE//yiiS//rplI//ilvC//pitB//yjhC//topA//yecT//yccT//intQ//rcsD//metT//aroH//cysE//speB//lysV//ribA//dhaR//alsC//cpxP//gfcA//rclB//purB//hslJ//arcA//leuC//fabD//
NtrC	fecI//gfcA//ykgO//rdoA//pgm//ompT//yhjX//purL//potG//gpmA//yjeV//fruB//rmf//yfdX//gcvA//glgB//rffC//
OmpR	efeU_1//alaX//argU//cvpA//
OxyR	ung//arfB//fadR//tap//livK//yjhB//ychO//cysK//ydfN//
PaaX	efeU_2//ppiD//
PepA	mgtA//
PgrR	accA//exbD//slt//hofN//purL//dgcN//gltK//
PhoB	rsmA//ymjC//sbcD//fliN//phoR//glpR//mhpT//gudP//aroH//hcaD//argF//avtA//wecC//fliL//yeaG//yeiW//fecI//yfiB//dicB//livK//mukF//ydiV//yoaC//glnU//oxyS//yebG//ampD//hofO//argW//yjhC//ybbW//
PhoP	kbp//ilvN//nimR//narQ//gspB//yhbT//thrU//cynS//cysC//leuX//agaC//dicC//lacI//cheA//sutR//tdh//
PspF	xapB//
PurR	patD//manA//gudD//yqhD//uvrD//metJ//arcA//uvrC//glnU//fabG//ykgM//dgcN//borD//
RbsR	spf//
RcdA	adeD//arcZ//recC//
RclR	dacC//flxA//speB//
RcnR	raiA//
RcsAB	yncE//cpxR//flu//pepT//ddpD//
RcsB	flgC//potI//yoaC//wza//
RcsB-BglJ	rpiR//psd//nimR//rpoD//wcaA//dnaG//phnE_2//ydcS//uspD//ibpB//polB//
Rob	bioB//
RutR	malZ//
SdiA	yojI//
SgrR	hcaC//folE//bluF//mprA//trpD//yciW//
SoxS	znuB//flhA//hcaF//potG//rplS//pheT//
SutR	allB//amn//
TorR	dgkA//
TrpR	mpaA//yeaH//lysC//murR//phnF//phnP//secB//aaeA//
TyrR	yaiW//mntS//yfiR//
UidR	dkgB//
UvrY	nadC//ppdB//
XapR	yfdX//malZ//
YdeO	allE//metU//
YjjQ	fbaB//dinD//trpB//speC//xapB//priB//wcaA//
YpdB	flhA//
YqhC	adiY//ybhF//
ZntR	mhpR//
ZraR	apaH//
Zur	ydbK//wzyE//pdeF//ydfN//pheV//
