#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	dsbG//
FNR	mqsR//lysU//znuB//dgkA//fecR//proK//ddpC//fliS//lysV//cho//ymiA//ppdA//frc//sgrR//crl//yjhC//narQ//ddpD//purF//ldtD//rffH//livK//torR//lon//ppdD//patD//metC//
FadR	yneM//glgX//glpG//osmB//nimR//rcsB//narQ//potI//
FeaR	nohA//
Fis	cheB//gfcA//trpD//ibpB//tyrT//leuW//fhuC//ycgZ//oxc//ecnB//accD//gpmA//argT//serX//phnH//dapB//gltX//fhuD//hcaB//thrT//rpsU//gudD//mscM//agaI//yidQ//hcaF//crl//ppc//yegR//ppsA//sroA//iscU//flgB//alaX//nadB//yojI//pgi//slt//cstA//hcaD//iscU//alaX//recA//rffH//fhuE//accA//mcaS//dhaK//recD//apaH//hdfR//allC//arsC//ihfB//cheB//leuT//
FlhDC	xdhB//dsbG//pepT//cysK//cyaA//yhbS//dgcC//flgD//metJ//gltJ//rpsP//ygbK//phoP//garD//cbpA//yhdW//glnW//flgH//sxy//mepH//yeiP//yncE//aspV//ybbY//tyrU//ybhS//ruvB//lysO//ymgC//ompN//pnuC//phnL//htpG//nadB//leuL//yagK//yeaE//yeaH//
FliZ	rdoA//
Fur	murR//alsB//insD//ppdB//trpB//fadR//fruB//argF//paaX//ddpA//ydeJ//agaB//htrE//msrA//argR//yccT//arsB//alsC//argW//mpaA//ybhS//yidQ//ompT//phnO//
GadX	hofM//rpoD//fliP//cstA//bioC//purB//phnF//
GcvA	potH//ychH//
H-NS	livK//glmU//patD//tar//btuB//asnB//ychH//metT//bdcA//ychF//nlpE//allS//cdaR//nlpE//
HU	glpG//rcsB//
HcaR	omrB//gudX//ddpC//tynA//fepD//flgC//
IHF	tfaQ//rclC//yidQ//leuX//glgS//dkgA//argF//
IlvY	tsgA//agaC//
IscR	gcvA//gltK//torR//isrC//agaC//gcvB//cysD//rfe//
KdpE	ppiD//motB//yeaH//infC//
LeuO	crl//nlpE//folE//sgrR//dgkA//rffT//
LexA	uvrY//ttdA//hslJ//cheA//rybA//bluF//cysK//manA//allS//oxc//livF//crl//argX//metJ//dtpA//priB//hslJ//secB//trxA//thrU//bioA//gltK//purB//ibaG//speC//cecR//rcsD//rplI//arsR//sgrR//nadA//artI//preT//bluF//livF//xdhC//mscM//
LrhA	kdpA//
Lrp	pgi//argX//ychH//dnaG//pykF//ydfW//sroA//raiA//grpE//yebE//rpsU//dinD//arcZ//gcvB//
LysR	tsr//
MalT	fliT//
MarA	recC//adeD//
MatA	alaC//fliN//
McbR	hcaB//
MetJ	creA//xdhC//insK//mukF//gltI//
MlrA	ttdT//artP//sroA//yfdX//fliO//
MngR	thrT//argH//glmU//
MntR	bcsB//ilvC//
MprA	rybB//ompN//yfiR//
MqsA	phoR//ycgZ//
MurR	ariR//
Nac	ynbD//ddpF//arfB//agp//livM//
NadR	proK//leuW//ydbK//
NagC	cpdB//hflK//yidL//rstB//ygeH//
NanR	glk//argF//
NimR	ycjY//mgtA//
NsrR	yeiP//ynbD//artJ//mngB//omrA//phnD//pnuC//ubiG//ychH//uvrD//potG//nimR//ldtC//ydfH//crl//gspA//hemH//fabD//dinQ//hflC//mngR//ydeJ//allD//glpG//yfiR//dhaM//pspF//rfe//flgI//yafO//
NtrC	exbB//ychH//trpL//psiF//fliO//patD//phnL//rplU//glyU//fliR//ryhB//hofP//ymgA//tyrT//yeiW//ycjY//lexA//
OmpR	yhbS//flxA//recA//fruA//
OxyR	bioB//tonB//recB//cho//rpiB//recA//adiY//fepG//yebE//
PaaX	metC//motA//
PepA	livF//
PgrR	hslJ//ttdT//iraP//potH//mgtL//ydcU//agaR//
PhoB	yaiW//gpsA//kbaY//insK//priB//phnG//ydfX//livM//hcaR//leuT//lexA//pheS//ydcS//grpE//fliT//ynbB//dicC//cheB//tdh//efeU_1//mhpR//fldA//yjjZ//flhB//paaX//ydcU//flgI//valX//torR//gudX//phoB//
PhoP	nimR//yeiB//trxA//ycgR//glgS//trpE//ddpX//pdeF//ddpC//flgK//ybhS//cynS//ppsA//sroC//cpxP//rpsR//
PspF	flgE//
PurR	pdeF//yneM//phnI//yhbS//rplS//dacC//dkgA//ihfB//ybhL//leuV//alsC//purC//ybhG//
RbsR	ybaS//
RcdA	dinG//znuC//ddpA//
RclR	leuE//ydfE//ppc//
RcnR	potF//
RcsAB	rclC//ruvB//ilvB//speB//flgG//
RcsB	tufB//alsB//iraP//ygiZ//
RcsB-BglJ	leuT//wzyE//trmD//ydiV//cynX//dicC//yfdX//cvpA//wzc//rstA//ruvB//
Rob	rutR//
RutR	cysK//
SdiA	hcaB//
SgrR	lysV//tap//yeiW//yebG//iscS//mgrB//
SoxS	sroA//agp//mukE//cbpA//lolA//ynbA//
SutR	cpdB//ilvN//
TorR	insK//
TrpR	phnD//dkgB//gcl//alsB//ompN//ybbW//recX//adiY//
TyrR	gcvA//allS//nimR//
UidR	dgcC//
UvrY	ddpD//hofC//
XapR	mltF//flgJ//
YdeO	fepC//phnC//
YjjQ	nimT//purK//yhjC//speB//tehB//rpsU//xseA//
YpdB	avtA//
YqhC	grxA//pheT//
ZntR	xdhA//
ZraR	rpsF//
Zur	ydeA//fruA//omrA//livJ//glnU//
