#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ilvN//
MlrA	mukF//dacC//polB//potH//amiA//
MngR	metA//ybbW//kdpF//
MntR	yeaD//purF//
MprA	hofB//pgm//tbpA//
MqsA	mukE//pdxA//
MurR	accA//
Nac	glyU//ybjG//valT//leuE//luxS//
NadR	rutR//apaG//borD//
NagC	gltI//sfsB//pgm//kdpF//tfaQ//
NanR	fecR//mpaA//
NimR	preA//tbpA//
NsrR	wzc//exbB//tbpA//polA//rpsP//bcsB//ldtD//borD//htrE//flgI//tsgA//alsC//dhaL//nohA//fliQ//tyrT//ychF//seqA//kdpA//yhbE//tynA//dksA//copA//gcl//btuB//cvpA//fruA//dinB//ibaG//mqsR//
NtrC	lysO//metC//alsC//thrU//arcZ//ygaC//ydeA//yafP//ycjX//yjhB//mqsA//ydfD//hyi//yeaD//exbB//ttdB//accA//
OmpR	zntA//adiY//rnlA//ttdA//
OxyR	yjhB//mgtA//upp//dksA//flgC//gudD//msrA//fliP//cyaA//
PaaX	potF//glpR//
PepA	cbpM//
PgrR	borD//hcaC//yegZ//agaD//murR//yfbR//metA//
PhoB	uvrY//mltF//yiiS//ymjD//ychF//msrA//mepH//nohA//ygaC//ryhB//hfq//yhbT//lacI//sfsA//bcsZ//iscR//ldtC//flgD//ymgC//phnC//speB//gltX//argI//phoA//cbpM//hflX//flu//sutR//bioA//dnaG//arsB//
PhoP	fepG//gcvA//artJ//garD//pgpC//ubiG//yadV//flgF//talA//purC//ydcT//sfsB//yegZ//allE//alaW//ttdB//
PspF	aroH//
PurR	phnN//ydiV//alaX//mscM//ybaS//cynS//slyB//yibQ//flgD//hcaF//hofB//ycgZ//garD//
RbsR	ttdB//
RcdA	artP//emrA//murI//
RclR	dsbC//mgtA//gltI//
RcnR	fldA//
RcsAB	rclA//ppsA//rfe//mcaS//decR//
RcsB	ygiZ//bdm//amiA//dsbA//
RcsB-BglJ	creA//livM//ydbD//yiiS//patD//rcsD//argW//alsB//borD//torR//dhaM//
Rob	cyaA//
RutR	serT//
SdiA	trpL//
SgrR	fepD//slt//ydfX//gspA//yhdW//glgB//
SoxS	ompT//rpsP//flgF//fldB//speC//cynS//
SutR	manA//phr//
TorR	mukE//
TrpR	ydeJ//hcaC//wzb//agaD//glyU//lysV//mngB//wecB//
TyrR	glpE//phnL//mcbA//
UidR	ppdC//
UvrY	dgcC//yfdV//
XapR	gfcA//recC//
YdeO	znuC//phnH//
YjjQ	glgX//tdh//creC//pspF//fliL//serX//yeaG//
YpdB	iscA//
YqhC	yjeV//fliM//
ZntR	hfq//
ZraR	cynR//
Zur	btuB//trpA//tehB//yecT//kdpF//
