#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	wecB//
RbsR	yidL//
RcdA	bioB//bacA//mprA//
RclR	sohB//metJ//ddpA//
RcnR	hflD//
RcsAB	tsr//rstA//ycgZ//rpsR//ybhS//
RcsB	agaS//oxc//hcaE//ydfX//
RcsB-BglJ	yafP//dksA//oxyS//phnP//tufB//yeaH//purC//arsB//purE//dnaG//ilvN//
Rob	ddpX//
RutR	cpdB//
SdiA	phnL//
SgrR	recB//accD//proK//bioF//ecpA//secB//
SoxS	ydiU//tehA//dhaL//yfbR//speB//yidL//
SutR	recA//yecT//
TorR	rpmA//
TrpR	ygiZ//yhfA//rdoA//agaI//flgB//flgD//agaB//wzxE//
TyrR	pitA//ecnB//ybhF//
UidR	fliO//
UvrY	tehA//envC//
XapR	gudD//yagK//
YdeO	artQ//pheU//
YjjQ	metA//yqaE//yhdY//yhjC//dinQ//kdpC//yjjP//
YpdB	ydeJ//
YqhC	leuQ//ilvC//
ZntR	nadA//
ZraR	ruvA//
Zur	ydcU//speA//argH//ilvC//fecI//
