#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ldtD//
PhoB	recD//ompN//pspF//pheT//adeD//mntS//accD//gspA//proL//agaC//entS//uraA//wecB//argF//ynbC//slt//rybA//creB//dhaR//leuW//ydiV//agp//cysK//ykiA//comR//cheY//fepC//yhfA//phnL//yqhD//tyrT//
PhoP	ygaC//tynA//yhdW//aaeX//trpB//ryhB//ruvA//hfq//trxA//argX//ygeH//ybfE//fliT//rsmA//mhpR//flgL//
PspF	cpxA//
PurR	upp//rffM//cmoM//phnE_2//recA//cheA//tyrB//pepD//rsmA//patZ//argX//frc//yaeP//
RbsR	ydcV//
RcdA	ybhF//leuD//cpxQ//
RclR	hcaF//fecR//ykiA//
RcnR	grxD//
RcsAB	speA//glpR//crl//bioD//asnB//
RcsB	cpxP//pgpC//glxK//alkA//
RcsB-BglJ	msrA//dksA//fliO//yebE//osmB//phnM//pgm//agaR//yaiW//gpsA//phnD//
Rob	gltK//
RutR	aroF//
SdiA	ymgC//
SgrR	ttdB//ychO//metA//hofP//trmD//gltI//
SoxS	prs//yjhC//hofC//ydbD//mngB//slyB//
SutR	yoaC//leuP//
TorR	ruvB//
TrpR	pepD//treR//mngA//xapB//fhuE//hcaD//phoP//fruB//
TyrR	ddpA//lolA//xdhC//
UidR	dinB//
UvrY	rclC//bioF//
XapR	hflX//recD//
YdeO	ychO//ydfN//
YjjQ	preT//ybaS//agaR//gltJ//umuD//sbcD//aaeA//
YpdB	rpiR//
YqhC	ybhR//ynbC//
ZntR	ybjG//
ZraR	oxyS//
Zur	symE//ddpA//trpL//phnH//gpmM//
