#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	wrbA//
FNR	tyrV//ymjD//pheU//livG//efeU_2//uvrY//glnU//ymiA//ykgM//ydcS//dtpA//uspB//alsE//ttdR//ydfX//osmB//leuC//hcaE//metU//dhaM//ydbK//ybhL//leuV//yegZ//arfB//hyi//flgE//
FadR	sutR//uvrD//ynbC//insK//dapB//dsrA//murI//umuC//
FeaR	cpxP//
Fis	ymjD//uvrB//sbcC//chiA//gpmM//pheT//fnrS//creB//arfB//hofC//phnH//gltI//entS//asnA//emrB//yfdE//yegZ//dinF//treR//mgrB//ydcS//rffH//creA//rcnR//rsmA//nimT//wzyE//pheS//ymgC//trpR//kdpA//yhjC//tsr//polA//yjjP//rcsB//rpmI//dgkA//dacC//ybfE//glnX//creC//metT//aroF//yafN//ruvB//hcaB//yqhD//rplS//bdm//bioF//arcA//grxD//yjjP//ykgM//dapD//
FlhDC	asnB//alkB//sbcD//sgrR//avtA//bdm//gcvB//wzxE//ppdB//cynT//mqsR//yqaE//cho//phnF//fecR//ydfN//pnuC//leuC//sfsA//yojI//yegR//phnJ//glpR//glpE//iscS//hofM//ribA//yccA//lysU//cmoM//argU//fecR//ybhG//tehB//uspE//rnlB//ycgR//gcvA//
FliZ	gpsA//
Fur	livF//hcaF//ycgZ//phnN//rpoD//nlpE//livJ//ynjI//purL//cvpA//kdpC//ppdA//hofM//tyrB//adeD//yhbS//yebE//hslJ//tfaQ//flgK//flxA//uspD//trxA//fhuD//
GadX	rstB//gcvA//sfsB//phnF//frc//pnuC//lysU//
GcvA	dkgA//potH//
H-NS	rffT//ychO//yecT//fecI//ung//rof//mntS//artP//phnE_2//dhaL//alsB//aspV//wzc//trpD//
HU	cynT//proM//
HcaR	amn//kdpB//alaW//leuL//ybjG//uvrD//
IHF	ydfN//grxD//pykF//fhuE//kdpC//ybaS//nadA//
IlvY	purE//prs//
IscR	metT//tap//cheR//lysT//manA//gltK//cyaA//pheU//
KdpE	ygiZ//adeD//fliN//ribA//
LeuO	sxy//rclB//flgA//ompA//artM//cstA//
LexA	comR//dinB//murI//wrbA//argH//aaeR//argH//flgG//metF//agp//yidL//ybhR//osmB//insK//ybbY//yafN//trpR//dhaR//flgE//trpB//mhpT//dinF//hofO//hcaF//pheU//cheR//aaeB//fliS//upp//wecB//yhbT//fadR//wzc//murR//glgS//rplS//phnD//
LrhA	ymjC//
Lrp	isrC//ynbC//dgcN//flgL//hflC//ygdB//ada//allS//kdpC//proL//yaeQ//gor//fhuA//allE//
LysR	ilvN//
MalT	fhuC//
MarA	phnC//hofN//
MatA	glpG//cbpM//
McbR	hcaR//
MetJ	ttdB//tfaQ//treR//pitA//asnA//
MlrA	ynbD//ybaT//mipA//glnB//accA//
MngR	envC//ydcT//glpE//
MntR	sutR//leuB//
MprA	leuB//sbcC//sdaA//
MqsA	hslJ//dhaL//
MurR	ycjF//
Nac	uraA//acrR//creB//ibpB//slyB//
NadR	rutR//phr//ymjC//
NagC	dsrA//yccA//alaA//sutR//flgC//
NanR	torR//trmA//
NimR	tap//glmU//
NsrR	ydfH//tar//artM//gltL//yaeP//fliM//insD//yqjA//msrA//ydcU//cstA//glyT//wcaA//trpC//uvrB//glgS//proM//dkgA//ibaG//yhbS//ynbD//fepD//ftsK//ariR//kbl//fecI//cmoM//cpxR//xdhB//ada//
NtrC	valU//glmS//argR//hcaE//gyrB//rplI//agaI//leuD//ydeJ//mcaS//uspE//gpmM//trmD//ivbL//garD//crl//ydfH//
OmpR	kdpA//speC//flgI//leuC//
OxyR	erpA//speB//alsB//dapB//yqhD//fhuC//comR//arfB//mgrB//
PaaX	sxy//uvrB//
PepA	ydeI//
PgrR	pepD//gyrB//rcnR//pdeF//mqsA//flgJ//ppdB//
PhoB	bioC//torR//hofM//yqhG//pheV//yhdX//ydcU//aaeX//rnlB//pgi//gpmA//bioA//symE//sbcD//yccT//purC//glxR//ychO//argH//ung//ecpA//rnlB//omrA//glmU//yeiP//yibQ//purB//yneM//trpC//ppiD//sutR//
PhoP	uvrB//uidR//leuB//glyU//ydcU//argW//cpxQ//malZ//ttdB//flgA//cbpA//ompN//ybjG//phr//arcZ//glk//
PspF	cho//
PurR	dnaG//uvrB//tcyP//lysT//thrW//phnH//sxy//purE//pheT//kdpB//hdfR//phnN//glnW//
RbsR	folE//
RcdA	sohB//fliP//gltX//
RclR	argW//uspE//rclB//
RcnR	fhuE//
RcsAB	pepT//hofC//pykF//yegH//allE//
RcsB	yhdW//yeaE//leuD//hofO//
RcsB-BglJ	murI//mngR//amn//flgB//argE//glnW//isrC//copA//yidL//purE//ttdB//
Rob	adiY//
RutR	pheS//
SdiA	ompX//
SgrR	zntA//aroH//yjjZ//argU//bdm//fabD//
SoxS	mukB//metF//dhaL//mngB//livG//ybhS//
SutR	recB//alaS//
TorR	bioB//
TrpR	tpr//lysV//phnE_2//nadC//arsC//yhjC//fliN//ynbD//
TyrR	valU//motB//cpxP//
UidR	agaI//
UvrY	yhbE//purE//
XapR	htrE//glnB//
YdeO	mscM//mhpT//
YjjQ	rffC//ymiA//ampD//dkgA//ada//dsbG//fhuD//
YpdB	htpG//
YqhC	fliP//entS//
ZntR	agaI//
ZraR	ycjX//
Zur	comR//glyT//add//ybbW//hemH//
