#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	argE//
EvgA	pagP//borD//metA//trpC//ygdB//livK//rybB//
FNR	pepD//omrB//uvrY//ycgZ//hofB//xapA//tdh//fldB//alsB//ymjC//rpsR//ivbL//aroF//alaA//cynS//nohA//agaD//recA//dsrA//glnV//trxA//mntS//fhuB//dinD//pepT//ydiU//fadM//
FadR	dnaG//leuA//hcaD//narQ//raiA//dicC//lon//argX//
FeaR	rpsU//
Fis	osmB//rplI//dgkA//yeaE//cstA//mhpR//rffC//sfsB//agaI//insD//trpC//valX//ampD//bioD//speB//fabG//flgE//wecC//cpxR//gpmA//motA//valX//pfkA//yjhB//dacC//mngB//yncE//fliR//erpA//cysC//dsbA//hcaC//hyi//leuT//hcaD//ilvB//arsC//glnX//phnE_2//purC//talA//eno//gltI//lysV//azuC//rpiB//rarA//xdhA//hcaB//allB//cdaR//gudP//hchA//speC//bioB//cpxR//
FlhDC	ydjM//pgm//sxy//cbpM//creB//wcaB//ariR//creB//hslJ//ribA//hcaD//alaX//exbD//rnlB//argB//ilvB//hyi//ecpR//ykgO//omrA//livF//dsbG//ppc//borD//mzrA//eno//ppc//yadV//insK//raiA//dapD//ybfE//ydeA//ybhG//rstA//fhuD//dicC//patD//
FliZ	tehB//
Fur	tehA//secB//argA//flgB//artQ//omrB//kdpA//cynR//asnA//dsbA//gltX//glnW//ydiV//yibQ//ariR//cpdB//speA//alsB//dsbG//artP//fadR//purL//flgB//cynX//
GadX	ybhL//flgC//ycjG//purF//crl//nlpA//cbpA//
GcvA	phnE_2//sxy//
H-NS	psd//flhA//glxR//ppdA//cheB//tbpA//seqA//yecT//nadA//sutR//ycjF//cheB//fruA//sfsA//
HU	yqjA//ppdA//
HcaR	accA//ynjI//argU//yeiP//flgH//rpoD//
IHF	hcaD//yafP//thiQ//hfq//yhfA//ecpA//yjjP//
IlvY	mlrA//trpA//
IscR	yibQ//fepC//ydeA//ycjF//tyrT//leuW//tehB//glnV//
KdpE	frc//glnV//ydcS//htpG//
LeuO	ycgZ//insK//hcaR//dapD//glgX//yqhG//
LexA	yjjP//lon//pheT//glpG//mpaA//zntA//kbp//kbp//phnK//rplI//cyaA//zntA//uvrD//rclB//ddpC//argA//dtpA//amiA//hemF//bioC//phoP//grxA//chiA//amiA//trmD//rpsP//pheS//mngR//pepT//xseA//glpE//yhdY//rof//lysO//cecR//rfe//cynT//
LrhA	flgB//
Lrp	yfbR//thiQ//adiY//phnE_2//slt//lrhA//thrT//artQ//lrhA//ydcU//uvrC//kdpA//ybhS//recA//
LysR	uspE//
MalT	chiA//
MarA	decR//recD//
MatA	bcsZ//ygeH//
McbR	trpA//
MetJ	mgrB//polA//glxK//phnL//iraP//
MlrA	ftnB//argC//pheV//hfq//pepD//
MngR	kbl//fliD//pdxA//
MntR	purL//glk//
MprA	ybhL//omrA//uspD//
MqsA	spf//dsbG//
MurR	kdpB//
Nac	pspF//gpmM//nimT//cueO//rybB//
NadR	pepA//dksA//yneM//
NagC	tadA//yhhY//artM//hcaF//mukF//
NanR	azuC//nlpA//
NimR	trmD//xapA//
NsrR	fabG//omrA//rpiB//tcyP//ydcS//insD//artJ//oxyS//wzzE//ddpA//dinB//thiP//glnW//dacC//bcsB//garD//dsbA//purL//argA//hofO//eno//preA//hflC//lexA//lon//hofB//asnB//fliM//queA//gcvB//
NtrC	ampE//rplU//phoH//ppdA//ada//mngB//hofN//livH//flhA//ycgR//tynA//phnG//pagP//rplU//yhjX//ydeJ//yfdE//
OmpR	fabG//tpr//yagK//mukF//
OxyR	livM//gltK//gspB//flgF//ycjY//xseA//mgrB//ilvB//dnaG//
PaaX	leuC//hcaC//
PepA	phnG//
PgrR	cvpA//ydeJ//recA//tadA//trpC//hofN//rpsP//
PhoB	ldtD//yafP//hflX//purF//trmA//copA//agp//tehB//tehA//tcyP//cra//copA//artM//polA//tadA//folE//treR//gpmA//patD//yfiB//argR//allC//mngR//luxS//ynbB//agaD//glpR//psd//agp//fliQ//uspD//
PhoP	tcyP//allC//phoE//trpD//tktB//ybbW//yjeV//ybjG//ydeA//uspE//ompT//gyrB//rplI//torR//hofB//flxA//
PspF	fliO//
PurR	pfkA//lolA//rpsP//mltF//pheT//hflC//hcaE//wcaA//psiF//phoE//ompN//rmf//hflC//
RbsR	tisB//
RcdA	thrW//yeiP//thrU//
RclR	phnL//ychH//hofP//
RcnR	lysC//
RcsAB	rimM//ftnB//glmS//leuX//torR//
RcsB	phoA//yfdE//murR//mukE//
RcsB-BglJ	mqsA//rffM//allD//flhB//phoH//purK//rybA//trxC//wrbA//argW//ecpA//
Rob	yeaH//
RutR	hcaR//
SdiA	aaeA//
SgrR	isrC//gltL//erpA//wza//yjjP//phoE//
SoxS	trpB//flgB//copA//flgK//yfdE//tyrU//
SutR	pdeF//mzrA//
TorR	cynX//
TrpR	cysC//thrW//phnL//ydcS//tehB//fruA//rpmA//luxS//
TyrR	iraP//flgD//yfiR//
UidR	leuD//
UvrY	thrU//dgcN//
XapR	yneM//phnE_2//
YdeO	ampD//mukB//
YjjQ	phoE//dsbA//argI//yfiR//fepC//allB//livJ//
YpdB	ftnB//
YqhC	pdeH//dinQ//
ZntR	argB//
ZraR	rclB//
Zur	artJ//phnG//agaC//alsC//ada//
