#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	wecB//
EvgA	valT//dicB//hisR//glgS//allS//leuW//gfcA//
FNR	yqaE//paaX//thrU//fhuE//fhuA//artP//flu//cysK//phoH//exbB//yafP//ttdR//rclC//nimT//tynA//agaS//sdaA//phr//lacI//glmU//bcsB//dsbG//ampD//fruB//fliP//ompX//agaB//
FadR	arcZ//alaA//rimM//dinD//sutR//fldA//cpxP//torR//
FeaR	mepH//
Fis	sdaA//ymgC//yhhY//ddpA//kbl//leuE//trxA//hofP//psd//alsA//ung//fliL//preA//ydcU//flgI//ibaG//ddpF//sroC//patD//osmB//fruB//ftnB//motB//rpoD//yagK//mepH//cyaA//paaX//ykiA//dkgB//cysK//ydfH//glgX//ttdA//cysN//ychF//glmU//dhaR//ilvY//narQ//fhuA//nlpA//yiiS//ttdB//bioA//yhdX//omrB//pepD//metJ//polA//leuL//alaW//rclB//ibaG//mqsR//pgi//
FlhDC	cynR//pgpC//fliM//fepG//argC//flgL//yhbE//slt//psd//secB//ampE//ppsA//alsA//mpaA//pepT//yccA//alkB//nadC//fliM//leuD//yciW//copA//cheZ//ubiG//crl//gudD//ybhS//fecR//cheZ//queA//umuD//tadA//hdfR//sbcD//argI//hcaE//cvpA//dinG//
FliZ	xapA//
Fur	adiY//yidL//lysR//htpG//polB//mcaS//yadV//flgC//yeiW//cheW//yidL//sbcD//rplU//rffH//emrA//cynX//phnJ//iraP//yccA//ddpA//kdpA//rpmI//cecR//dkgB//
GadX	uvrD//ygbK//ampD//ecnB//hflK//gpsA//yqhD//
GcvA	pgi//ada//
H-NS	wzc//ryhB//wza//bdcA//polA//ppdD//xdhA//ydfX//phnP//hofC//fecI//arfB//fruB//ppc//
HU	adeD//ilvY//
HcaR	uidR//phnC//polB//purB//cysD//rpoD//
IHF	acrR//pfkA//yneM//hofP//dsbA//cecR//yeaD//
IlvY	wzzE//cyaA//
IscR	hofC//ydeI//rstB//recC//alkA//flgD//ynbA//malZ//
KdpE	livG//rstA//bioB//yfdV//
LeuO	rpoD//tyrV//hofB//mepH//trpE//phnM//
LexA	nadA//ygeH//ydbK//pheU//uvrB//phoH//flgH//glxR//sfsA//flhA//rpsP//mngR//pitA//livJ//ryhB//cynX//trpC//rstB//agaD//livF//recC//yegR//phnJ//rnlA//gspB//torR//yhbE//ydfE//pepT//nimR//infC//nadA//wzxE//glgB//emrB//hflK//gyrB//
LrhA	amn//
Lrp	gpmM//yccJ//yaiW//yegR//alaW//ydcT//trpC//hflK//wzyE//phoB//pgpC//dinF//ydfE//glnW//
LysR	ppdC//
MalT	phnK//
MarA	agaD//flgF//
MatA	cra//argF//
McbR	pitB//
MetJ	ydfX//lysC//yegR//cho//ptrA//
MlrA	phnP//ykgO//livF//rutR//cpxP//
MngR	proM//lolA//luxS//
MntR	sfsB//gcvB//
MprA	fliN//slt//tufB//
MqsA	recC//yoaC//
MurR	livK//
Nac	uraA//trxC//yfiB//yciW//dsbA//
NadR	fruK//alaS//sdaA//
NagC	livK//mgrB//pepT//tsr//yecT//
NanR	recC//ddpF//
NimR	flgK//malZ//
NsrR	dinG//glpR//glyU//aroF//rstB//cysD//arsC//entS//rpsU//iscU//insD//oxc//ybhL//wzyE//isrC//rnlB//nadA//ydeI//hfq//rplI//ribA//aspV//emrB//aaeX//sbcC//creA//ybhF//folE//yfiR//bcsZ//
NtrC	rpmI//trpL//rffM//iraD//ddpF//paaX//ygeH//cynS//ybjG//tufB//murR//phoE//ppdD//ppiD//ymgA//phoB//mscM//
OmpR	yeaH//phoR//rplS//ydiU//
OxyR	sfsB//tyrA//yaeP//argW//fabI//mukF//dhaM//yjhB//paaY//
PaaX	thrT//yncE//
PepA	ychO//
PgrR	dsbA//ompX//cheY//flgB//recX//yhjX//valU//
PhoB	cheY//rfe//agaI//phnH//accD//yafO//uspD//leuL//purK//aroF//ydcV//rutR//tyrT//potF//kbaY//gltJ//alsB//cpxA//pitB//insD//rnlB//kbl//alaA//arsB//bdcA//argU//wzc//potF//rpiR//recD//topA//
PhoP	grpE//adeD//ppiD//omrA//metC//nimT//flgF//fepC//leuL//omrB//ttdR//murI//xdhC//yqhD//purE//ymiA//
PspF	kdpA//
PurR	alaA//argB//phnG//phoA//creA//ybhS//tsgA//omrA//sbcC//erpA//ybhL//ppiD//trpE//
RbsR	yneM//
RcdA	yaeQ//yegR//hfq//
RclR	rplU//rclA//ibpB//
RcnR	thiP//
RcsAB	yegR//tyrA//torR//wcaB//isrC//
RcsB	ilvY//fliO//kbp//rplS//
RcsB-BglJ	rpiR//accD//pheT//valX//allC//ydiU//umuC//glxK//gltI//livJ//ilvB//
Rob	valY//
RutR	yncE//
SdiA	cynR//
SgrR	umuC//xdhA//proK//tyrT//yiiS//mgrB//
SoxS	recN//yfdX//asnA//gpmM//wecE//ampD//
SutR	nlpE//mgrR//
TorR	bacA//
TrpR	ydbK//fadM//yidL//livJ//lon//speC//cpxP//efeU_1//
TyrR	artQ//bcsB//livK//
UidR	pheV//
UvrY	flgB//creA//
XapR	cysN//rnlA//
YdeO	pgi//hokE//
YjjQ	sdaA//valT//hslJ//mukF//yneM//yqhG//dksA//
YpdB	wcaA//
YqhC	envC//efeU_2//
ZntR	pgpC//
ZraR	pykF//
Zur	cmoM//leuE//metC//fabG//fbaB//
