#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rnlA//
LexA	acrR//ygeH//mzrA//allS//leuL//yccA//efeU_1//ysgA//rcnR//fhuA//yebG//priB//ttdR//hofM//thrT//ybhF//rimM//yhbS//mcaS//ygiZ//uspB//xseA//leuA//glxR//phr//cra//pnuC//cheW//livM//sohB//ldtC//pheS//ftsK//oxyS//bioD//hcaD//fruK//
LrhA	artQ//
Lrp	glyU//yojI//tar//ubiX//phnJ//tufB//lysR//ygbK//aspV//patD//lysR//pepD//aaeA//argX//
LysR	yccT//
MalT	sdaA//
MarA	rpsF//glnU//
MatA	glk//nadA//
McbR	lrhA//
MetJ	agaS//trpB//tyrT//yqhG//sohB//
MlrA	pgm//gltK//ldtC//sutR//ompN//
MngR	leuX//argR//phoH//
MntR	frc//pdeF//
MprA	insK//arsB//rpmI//
MqsA	argX//flhB//
MurR	cheZ//
Nac	pfkA//uvrY//thrT//dsbA//arcZ//
NadR	spf//phoE//cyaA//
NagC	flgG//bioF//cynS//sbcD//leuC//
NanR	arfB//torR//
NimR	glxK//ydeA//
NsrR	upp//yciX//ilvB//yafP//ydcV//rpsF//glgS//thrW//yegR//phnI//tadA//hofP//bioB//livF//garD//yhjX//alkB//rimM//dkgB//trxA//gudX//cyaA//fliO//allC//valY//fruK//cdaR//pitB//tar//yeaD//
NtrC	ddpF//nohA//valT//flgK//ydiV//argU//slt//rcsD//ddpX//mukE//cysK//alkB//yccA//rnlA//nadA//dhaL//ydeJ//
OmpR	omrA//rcsD//wza//argH//
OxyR	phnI//mlrA//xseA//grxA//yhdZ//argR//ryhB//ykgR//speC//
PaaX	agaC//leuW//
PepA	yfdE//
PgrR	leuB//lrhA//decR//rcsD//xseA//cheB//flhB//
PhoB	kdpB//hofP//dtpA//mhpR//livJ//aroH//yeaH//msrA//allE//asnA//fliM//gudX//fecR//xdhC//phnE_1//mntS//upp//rffH//hcaD//ttdR//hcaD//kdpC//nlpA//pitB//acrR//rarA//wecB//rpsU//phnL//sroA//znuB//
PhoP	yccT//rnlA//dtpA//leuD//ddpF//flgL//argB//gspA//ybjG//insK//flhB//cho//rpsU//glyU//mntS//ydcV//
PspF	iraP//
PurR	ydiU//ribA//allB//ydiU//tufB//xapA//rfe//mipA//ycgR//accD//glpG//yeiB//gudX//
RbsR	fabI//
RcdA	leuV//phnK//agaI//
RclR	ryhB//alkB//ymgA//
RcnR	arsB//
RcsAB	phnD//leuX//ycgR//thrW//torR//
RcsB	flgG//phnD//flgE//allE//
RcsB-BglJ	yhdZ//emrB//hofN//speA//alsE//hcaR//glyU//ykgR//arcA//ybjG//ybbW//
Rob	aaeB//
RutR	leuB//
SdiA	cysD//
SgrR	sxy//bcsZ//thrS//dkgB//tpiA//murI//
SoxS	chiA//xapA//tehB//ycjF//ribA//dgcC//
SutR	mprA//hofM//
TorR	flgL//
TrpR	ynbB//decR//yagK//ymiA//osmB//glyU//uvrC//phoE//
TyrR	livM//znuB//argB//
UidR	ryhB//
UvrY	fldB//rpsR//
XapR	yeiB//flgI//
YdeO	purK//chiA//
YjjQ	cysC//yciW//mgrR//fliN//folE//ycjY//rpsF//
YpdB	argW//
YqhC	hchA//aaeB//
ZntR	yafN//
ZraR	mukB//
Zur	yeaE//phnE_2//argC//tyrA//agaB//
