#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	nadB//
LexA	umuD//dkgB//sroA//efeU_1//phnE_2//ilvY//bioD//gspB//cysN//allB//wzyE//ampE//bioA//add//argH//yhjC//yjhB//ibpB//ompX//livG//flgD//mqsR//hisR//rimM//flgJ//rof//purC//proM//rpmA//crl//flgE//gcvB//xdhA//ibaG//mlrA//bioF//argW//
LrhA	yafO//
Lrp	aaeB//tyrB//wecE//cheA//sgrR//leuA//ddpB//rplU//ydcT//gcvA//yoaC//allC//lacI//topA//
LysR	asnB//
MalT	glgB//
MarA	gcvB//yhbT//
MatA	dapD//agaR//
McbR	murI//
MetJ	lysW//insD//ompT//dhaR//ung//
MlrA	aaeB//yfdE//znuA//ppdC//nimR//
MngR	bacA//kdpA//mlrA//
MntR	ymgC//artJ//
MprA	tehA//cpdB//hcaE//
MqsA	dgcN//accD//
MurR	dsbA//
Nac	flgJ//leuX//sgrR//upp//oxc//
NadR	gpmA//borD//leuD//
NagC	fliN//fruK//fliN//cpxA//lysT//
NanR	recB//bdcA//
NimR	amn//agp//
NsrR	livF//mqsA//mgtA//sxy//osmB//gudX//alkB//obgE//gpsA//phoA//pheS//yqhD//exbB//rffC//pitB//yegZ//arcA//znuA//rpiR//allE//add//ybbW//cynR//glnB//tyrT//dhaM//dkgA//aroF//rdoA//fhuD//
NtrC	lysC//rplU//cheA//trpB//yqjA//phnH//fruA//ykgR//valY//rpsR//wcaB//hslJ//ddpB//ydeA//ybhS//phnO//nimT//
OmpR	fadM//ybjG//metF//yafP//
OxyR	exbB//potF//xapB//yeaE//dhaM//znuB//rcsD//alkB//cheB//
PaaX	pgm//yhdX//
PepA	rffC//
PgrR	leuW//cueO//leuT//cvpA//livH//ibaG//ubiX//
PhoB	ptrA//rpmI//hcaF//ldtD//gspA//ribA//phnN//leuE//leuW//tdh//yjhC//ycjF//ydcS//agaI//uidR//pgm//phnE_1//adiY//emrB//ddpB//glxK//argT//tcyP//flgF//dapD//argU//gltK//ompT//glyT//fldA//ribA//
PhoP	glnB//yciX//rarA//tehB//lysV//cysE//gspB//yhdW//yccT//hofO//bacA//fepG//topA//fliO//cpxR//glmS//
PspF	ppdD//
PurR	potH//fliN//allA//lexA//iscS//lysO//lysC//trxC//gltX//cbpM//sutR//glgX//thrU//
RbsR	glgX//
RcdA	cheR//arsB//yhdY//
RclR	sutR//ompA//pepA//
RcnR	pitB//
RcsAB	yhdX//yeaG//rffC//hofB//glmS//
RcsB	manA//flgH//flxA//glgS//
RcsB-BglJ	glyT//iscU//rpmA//sbcC//ynbC//sxy//ppdA//gltI//gspB//lysC//yciW//
Rob	yciW//
RutR	ycjF//
SdiA	ydcV//
SgrR	lysC//ymgA//mprA//thrU//recC//sxy//
SoxS	yhfA//argA//artI//wrbA//yjjP//fhuD//
SutR	argE//ybaT//
TorR	nimT//
TrpR	livK//hofP//ybhL//fadM//gltJ//yhdW//topA//gcvA//
TyrR	pepT//ilvN//aroF//
UidR	kdpB//
UvrY	wecC//secB//
XapR	sfsB//rplU//
YdeO	sbmA//sgrR//
YjjQ	argE//queA//mqsA//yhdX//hflC//ddpB//phoH//
YpdB	lysO//
YqhC	wecE//phnG//
ZntR	rclC//
ZraR	sroA//
Zur	cueO//adiY//ppdB//gfcA//rnlB//
