#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	allD//
FlhDC	yjhB//tonB//exbB//ddpB//pheS//alaW//lrhA//arsR//thrS//luxS//leuT//yjjP//dhaL//eno//tyrU//yfdX//yebG//yciX//rpmI//recC//rarA//thrS//ynbC//arsC//iscR//alsE//mltF//yfdE//avtA//artJ//valU//ompX//glnV//alsA//rffT//tktB//alaC//mngA//
FliZ	ydiU//
Fur	tcyP//gltI//ruvB//rpoD//garD//rpiB//yegH//gltK//apaG//lysO//gor//alsE//rplU//ynbB//phnG//recN//ycjX//rffG//flgI//gcvB//agaR//argU//rof//gcvB//
GadX	lysV//trpB//ompN//ybhF//emrA//pgm//dapB//
GcvA	fruK//cdaR//
H-NS	pitB//ydeI//tcyP//decR//yebE//speA//purF//gspB//cpxQ//thiQ//yccA//cynT//livG//argF//
HU	topA//ampD//
HcaR	hcaF//rpsU//manA//phoR//ibpB//agaS//
IHF	yebG//rof//yqhG//flgK//mukE//hcaB//cheA//
IlvY	hcaE//iraP//
IscR	rdoA//dinG//hdfR//yeaG//pheS//ruvB//rutR//fliP//
KdpE	alaC//mipA//fbaB//hokE//
LeuO	rpsR//bacA//agaD//fabG//garD//wecC//
LexA	tadA//dhaR//ynbA//gor//allA//ppc//prs//wzc//purF//ybfE//ecpR//ampD//dicB//hofM//tap//insD//yhfA//seqA//topA//ybhR//sfsB//phnP//ruvA//flgB//kbaY//sroA//wzzE//purK//flhE//livG//phnJ//tehA//tyrV//alaA//leuW//trpA//ruvB//
LrhA	argH//
Lrp	uvrB//yfdE//bluF//dicB//mukE//trmD//ydiV//ivbL//yaeP//yebG//trxC//metA//ttdR//metA//
LysR	hslJ//
MalT	xapA//
MarA	ysgA//ilvN//
MatA	glmU//ubiG//
McbR	hdfR//
MetJ	dicB//phnF//lexA//fliQ//pdeH//
MlrA	ykiA//metC//phr//hfq//ycgZ//
MngR	ymgA//wzc//yaiW//
MntR	yeiP//dsbC//
MprA	fliD//znuB//ydbK//
MqsA	htrE//fldB//
MurR	gcvB//
Nac	thrU//pepD//yfdX//ybhS//xseA//
NadR	uidR//fruK//argH//
NagC	ihfB//arsB//patD//yhdX//kbl//
NanR	rpsF//patD//
NimR	ykgM//wzzE//
NsrR	yhjC//dinQ//cheB//ecpR//fabD//asnB//ppdA//mlrA//upp//yhbT//yaiW//murI//yfdV//adiY//sxy//tfaQ//iscU//sdaA//iraP//lon//phnG//sbcC//uspD//rclA//cpxA//yecT//alkB//mukB//cysD//lysC//
NtrC	agaS//sxy//speC//leuP//rstB//yaeQ//leuD//valX//dtpA//allB//cbpM//phnH//ttdR//ibaG//tap//queA//flu//
OmpR	cysN//leuE//motB//fliR//
OxyR	grxD//lysU//glmS//ilvY//fruA//cmoM//asnA//manA//ydfH//
PaaX	gltL//cueO//
PepA	trpL//
PgrR	cheB//flhA//omrA//pagP//pheT//mhpT//phoR//
PhoB	yegH//lolA//infC//ubiX//ygdB//luxS//trmD//gpsA//argH//argA//paaX//mqsA//cpxQ//yccT//ybaT//hofB//potG//emrB//cbpA//yaeQ//cdaR//cysD//pitA//dapD//rplS//gltL//cynX//wzyE//ydcV//fhuD//tyrA//
PhoP	phnJ//fhuD//mukB//dksA//fldB//phoA//hisR//fhuE//ycgZ//flgB//hflD//ddpX//serX//yagK//fruB//fldB//
PspF	ycjF//
PurR	agaC//tbpA//cueO//comR//dhaM//gudP//tufB//yjhC//mcaS//ygiZ//tynA//argC//kdpB//
RbsR	nimT//
RcdA	alkA//sdaA//sbcC//
RclR	phnE_1//fliS//acrR//
RcnR	alaA//
RcsAB	purK//yqjA//flgK//wecB//iscU//
RcsB	recA//ydcS//mhpR//znuC//
RcsB-BglJ	argE//dksA//leuP//tap//rplU//ynbB//cheW//dinF//cpxA//uspD//sgrR//
Rob	argA//
RutR	agaD//
SdiA	cpxP//
SgrR	tisB//dinB//hflC//gyrB//yfdV//phnK//
SoxS	paaX//alaS//glmU//fabH//treR//rybB//
SutR	intQ//rybA//
TorR	ppc//
TrpR	lrhA//yaeQ//spf//cstA//preA//pitB//ddpX//ruvB//
TyrR	alsC//hslJ//yqhG//
UidR	insK//
UvrY	proK//yojI//
XapR	gspB//hofB//
YdeO	ybbW//phoE//
YjjQ	trpR//xdhC//trpL//ttdA//umuD//speA//dhaM//
YpdB	ung//
YqhC	proL//ybhR//
ZntR	iraP//
ZraR	trxC//
Zur	phnD//pspF//metC//accD//hchA//
