#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	trpB//
DicA	mgrB//bacA//rutR//tktB//ttdR//zntA//mepH//rpoD//
DnaA	phnL//emrB//
EvgA	tadA//yfbR//pheV//znuA//rffM//trmA//gfcA//
FNR	dgcC//ppdA//lysT//allD//hflK//glpE//yneM//wecB//frc//alkA//ybjG//ppiD//uspE//mgtA//accD//purC//cynR//ruvA//dicC//yhdZ//cysC//argA//cynX//rpsP//wecC//dinQ//fliQ//
FadR	ppdC//fhuA//pagP//umuC//dkgB//bioF//fruK//lysU//
FeaR	rfe//
Fis	metC//flgG//ycjX//phnE_1//ompT//sfsB//glk//ybjG//umuD//mngR//efeU_1//ydeI//erpA//iscU//fabI//cueO//alaX//argF//iscA//fliQ//phnE_2//ycjG//psiF//dinB//ykgO//flgJ//cbpM//ilvC//nimT//bacA//rimM//cynT//flgA//yeiW//trmD//metU//rplI//cpdB//tbpA//ykgR//hflD//phnL//aaeX//glyU//flgG//tyrB//ymjD//bacA//polA//erpA//patD//yhdZ//pdeH//kdpF//xdhA//dgkA//
FlhDC	borD//yiiS//rffC//fruK//ddpC//agaR//rffC//ychO//lolA//gltL//dsbC//hflX//dsbC//metU//tyrV//cstA//lysO//cysN//xdhB//alsC//ivbL//phnJ//fruA//ydfD//creC//rffG//agaS//mgrB//fruA//nlpA//cysE//uspD//cecR//yebE//ftnB//ariR//dsbC//alaS//
FliZ	pheS//
Fur	potF//oxyS//grxA//cbpM//trpC//trpR//malZ//fabD//grxA//umuC//ddpC//dinD//fhuE//dicB//slt//apaH//znuA//xdhA//bluF//ada//trxC//ydeA//ddpX//ydcV//
GadX	murR//fliT//ubiG//ecpA//pgi//asnA//hokE//
GcvA	cynS//allA//
H-NS	pheT//fabD//comR//ydiU//patZ//kbaY//alsE//ychH//ddpA//yhdZ//yccJ//yqhG//dgkA//sroC//
HU	tsgA//nlpA//
HcaR	trxA//artI//ecnB//yoaC//lrhA//leuT//
IHF	kdpB//rimM//argA//wrbA//sroA//yjhB//yaeQ//
IlvY	alkA//ttdR//
IscR	tyrA//mukF//pdeF//ubiX//lysC//thrS//kbp//leuX//
KdpE	murI//gltL//ybbY//recX//
LeuO	arsC//flgA//ydfD//agaR//yccA//queA//
LexA	allB//valT//bcsB//cpdB//yadV//xapA//alkB//allE//dapD//tyrB//lacI//grxD//potG//livG//cynR//dkgA//argC//gudP//lexA//fliM//alaX//cysN//ibaG//yhjC//ygiZ//fliM//valU//gudX//cynS//nadA//bioF//phnP//rclA//uvrY//argI//uspB//lon//
LrhA	cysD//
Lrp	decR//allS//preT//arsC//yccA//ybhF//ycjX//phnM//yegR//xapA//ybhG//glgB//dinF//rpsU//
LysR	tsgA//
MalT	xdhC//
MarA	ompX//dtpA//
MatA	dinB//glnU//
McbR	wza//
MetJ	ymiA//mprA//aroH//xdhB//ymjD//
MlrA	wzyE//tyrU//arsC//ydeJ//ynjI//
MngR	rfe//flgJ//asnA//
MntR	purL//argR//
MprA	ysgA//serX//yneM//
MqsA	glyT//tyrA//
MurR	rplU//
Nac	rmf//gltL//uvrD//yafP//ybhF//
NadR	artI//aaeR//glgB//
NagC	yjhC//iscS//gltX//pdeF//alsC//
NanR	yibQ//murR//
NimR	ppdB//lysU//
NsrR	rutR//talA//yaeQ//sxy//recA//argE//rffM//mlrA//alaC//glmS//gpmA//grpE//agaS//dsrA//yaiW//phnL//yhbT//fabG//mngR//fruA//livG//alkB//yqjA//dksA//murR//thrU//cstA//dinQ//alsE//umuD//
NtrC	metT//livF//hcaD//entS//oxyS//emrB//dinB//phoR//speA//tsr//ruvB//yagK//speB//pitB//rmf//phnI//lysW//
OmpR	agp//yccJ//yccA//agaC//
OxyR	glpR//rdoA//adiY//flgE//phnN//pgpC//mipA//symE//gudP//
PaaX	yeiB//yfdX//
PepA	avtA//
PgrR	alsB//cynX//fabG//amn//yiiS//xdhA//hflK//
PhoB	leuL//ymiA//flgC//purC//yhdY//phnJ//kdpA//cho//sfsB//psiF//fliD//lysR//wzxE//wzyE//leuL//dsbC//fhuB//glgB//glpR//yjhB//allC//metA//yhhY//cstA//accA//lysO//ybhS//dsbC//pheT//wecE//flgB//
PhoP	secB//glmS//wcaB//metJ//sbcD//polB//trpA//wza//nlpA//torR//preT//sutR//ecnB//asnA//yccJ//alkA//
PspF	treR//
PurR	leuP//ppdC//dinD//fliM//yeaE//recX//adiY//murR//leuD//umuC//motA//wzxE//phnE_1//
RbsR	tyrT//
RcdA	arsC//allC//ddpC//
RclR	glpR//hcaC//ydfX//
RcnR	tynA//
RcsAB	rffC//phnN//alaC//yccA//fliQ//
RcsB	nadC//xapA//gspB//wrbA//
RcsB-BglJ	ydeJ//cbpM//cueO//cysC//ykgM//motA//xapA//tehA//tpr//ychF//murR//
Rob	ibpB//
RutR	yebE//
SdiA	seqA//
SgrR	cysE//thiQ//bioD//rarA//ynbB//yoaC//
SoxS	garD//mhpT//ampD//thrU//pheU//leuA//
SutR	yqhD//garD//
TorR	mgtA//
TrpR	ybhL//uvrC//uspB//bluF//yjjZ//tfaQ//creA//purK//
TyrR	cmoM//yegR//oxyS//
UidR	garD//
UvrY	aaeX//borD//
XapR	yeiB//cbpA//
YdeO	sutR//tbpA//
YjjQ	ppdD//uvrC//dinB//ddpC//wcaB//creB//mngA//
YpdB	ychO//
YqhC	dksA//rfe//
ZntR	pnuC//
ZraR	cmoM//
Zur	chiA//sbmA//ppdD//flgI//mngA//
