#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	avtA//
SdiA	livF//
SgrR	mntS//yqjA//alsE//ompA//ygbK//flhB//
SoxS	flgG//fliT//mscM//ppsA//fabD//yeiB//
SutR	hofM//metU//
TorR	yjjP//
TrpR	sbcC//torR//yeiP//trpL//hemH//zraP//glyT//ydfE//
TyrR	yjhB//paaX//rclB//
UidR	ttdB//
UvrY	gpmM//rstA//
XapR	flgL//alsB//
YdeO	arsR//fabI//
YjjQ	wzb//livG//pdeF//recX//yhdY//cysC//asnB//
YpdB	hofB//
YqhC	hokE//rfe//
ZntR	ubiX//
ZraR	wzxE//
Zur	serT//yeiP//pheS//hcaC//nimT//
