#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	dhaR//
H-NS	hofM//wza//fhuB//sgrR//rmf//slyB//yegH//ecpR//rffG//ddpD//ykgR//iscR//cyaA//rffM//
HU	grpE//ymjD//
HcaR	mhpR//pgi//creB//agaR//fliT//wzxE//
IHF	kbl//flgH//ydcV//rclC//kdpB//yccA//purE//
IlvY	gor//ldtD//
IscR	yjeV//leuT//mngB//mltF//yafP//yqjA//tyrA//uspB//
KdpE	agaD//rplU//rsmA//livF//
LeuO	pagP//uidR//valY//nimR//topA//htpG//
LexA	yafO//ynbC//yjjZ//exbB//pdeF//leuQ//glxR//phnP//rof//hofM//pheV//agp//sfsB//agaB//ada//aspV//ygaC//iscU//ycjF//aspV//ydcT//symE//tyrA//trpL//flgH//paaX//tyrT//purK//yeiP//yafN//ychH//agaB//isrC//uspD//yhjX//yjjP//fliN//
LrhA	ldtD//
Lrp	glnV//mgrB//ycgR//yfdV//livH//pgi//grpE//hdfR//yciW//folE//zntA//uvrC//cheZ//fliO//
LysR	htpG//
MalT	leuA//
MarA	yqaE//ygdB//
MatA	gudX//fldA//
McbR	prs//
MetJ	treR//livF//borD//emrB//ilvB//
MlrA	rnlA//raiA//gudD//seqA//ampD//
MngR	glnV//cysC//asnB//
MntR	hofB//speB//
MprA	fldA//fruK//ilvC//
MqsA	mngA//paaY//
MurR	yaiW//
Nac	arsR//emrB//trpC//grxD//creA//
NadR	fadR//argW//dhaM//
NagC	ydbK//infC//ecnB//yfdV//fliM//
NanR	serX//iscR//
NimR	dicC//yciX//
NsrR	nohA//ybfE//tar//agaR//murI//metC//znuB//mgtA//tynA//azuC//bioD//purK//flgG//metU//fbaB//yidL//leuQ//fepG//ychH//ycjY//dinG//apaH//cbpA//priB//phnN//hemF//ppsA//kdpF//ppsA//alsE//
NtrC	nlpE//phnK//ibpB//rstA//dkgB//yhbS//pheU//hokE//psd//yeaG//bdm//valT//ybaT//talA//fabH//exbB//zntA//
OmpR	tisB//cstA//argU//mcaS//
OxyR	paaX//nimR//ddpB//metA//phnK//hcaC//frc//sbcD//gudP//
PaaX	sutR//uidR//
PepA	flxA//
PgrR	iscA//argH//hcaD//eno//gfcA//iscR//pdeH//
PhoB	phoB//dinQ//slt//yojI//osmB//yhbS//ynjI//ldtD//yqhD//sfsB//ompA//emrB//yhjX//lysV//cmoM//dkgA//yfiB//fepG//fabG//fnrS//pgi//motB//allC//lysT//uraA//wcaA//yibQ//metT//phnE_1//tbpA//flhB//
PhoP	rfe//valY//gltI//msrA//wecB//mcbA//yjjP//fepD//ygdB//tfaQ//amn//metJ//trpC//ykgM//agp//yqhG//
PspF	ydbK//
PurR	ung//nadB//ppdC//metA//polA//phnD//mlrA//uspB//hflC//patZ//cynR//fliD//ppdC//
RbsR	wza//
RcdA	eno//yhjC//xseA//
RclR	ydcS//yhbS//yiiS//
RcnR	chiA//
RcsAB	gudP//pgpC//ydfN//cbpA//lexA//
RcsB	yaeP//speA//ybaS//pitA//
RcsB-BglJ	rnlA//lysT//fliO//arsB//yfdE//tpiA//spf//fliL//proM//glnV//tonB//
Rob	ruvB//
RutR	rplU//
SdiA	ppc//
SgrR	trpL//sfsB//creC//aspV//dhaR//glnB//
SoxS	ddpD//insD//xapA//thrT//glyU//rarA//
SutR	leuQ//ybfE//
TorR	xseA//
TrpR	pheU//pspF//alaC//dgcC//copA//livH//ynbC//ygeH//
TyrR	emrB//metA//pykF//
UidR	gltL//
UvrY	speB//yegH//
XapR	fabG//rpoD//
YdeO	phnL//speA//
YjjQ	artP//rsmA//argR//allS//ybfE//yeiW//dhaK//
YpdB	phoH//
YqhC	artQ//mukE//
ZntR	glyU//
ZraR	htpG//
Zur	uvrB//omrB//yccT//ykgR//phnN//
