#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fldA//
H-NS	yidQ//tyrT//ymgA//purL//valX//decR//tfaQ//malZ//recD//cra//alaX//trmD//slyB//ybaT//
HU	metC//dsbA//
HcaR	ycjY//ychH//ynjI//allE//pheV//exbB//
IHF	ruvA//kdpF//amn//mukF//apaH//ddpA//leuQ//
IlvY	sohB//ybhL//
IscR	gltI//raiA//flgK//iscA//arcZ//csrB//ubiG//pagP//
KdpE	paaY//yafP//flgK//cheZ//
LeuO	fabG//rimM//phnL//leuW//alaC//creA//
LexA	pspF//htrE//iscU//xdhB//fecI//sfsB//potI//yjhC//alaX//tfaQ//agaS//decR//trmA//allD//yhbE//livM//ybhF//cpxR//dnaG//bluF//pheV//dsbG//flgG//dinB//agaD//leuC//glyT//glpG//rarA//mukE//ydiU//grpE//recC//psiF//yhbE//ruvB//valY//
LrhA	yafO//
Lrp	yhjC//sdaA//livK//creB//ecnB//sgrR//glnW//apaG//ymjD//leuD//pheV//yhbT//thrT//ddpD//
LysR	gltX//
MalT	argC//
MarA	cynS//cmoM//
MatA	dkgA//alkB//
McbR	yiiS//
MetJ	rclB//zraP//oxc//cheA//ydfX//
MlrA	livF//ydfH//xapB//ttdB//lysO//
MngR	wcaA//sfsA//yebG//
MntR	mgrB//dksA//
MprA	purE//talA//arsC//
MqsA	thiQ//uvrB//
MurR	zntA//
Nac	torR//livG//flhE//glxR//dapB//
NadR	erpA//yjhB//cvpA//
NagC	uraA//lacI//cbpM//ysgA//alaW//
NanR	rffC//iscS//
NimR	yaeQ//allS//
NsrR	ydcT//wzc//rimM//cpxA//spf//mukB//ydeJ//rplI//osmB//ymiA//zraP//sutR//wzc//ddpD//mukE//argU//rybB//dinG//ygdB//seqA//yhhY//yeaE//valY//thiQ//fruK//apaH//ykgO//acrR//yhbS//dgcC//
NtrC	yhdW//fhuC//trxA//yciX//rclA//ppsA//patD//arfB//alaW//cysD//flxA//cstA//serT//metC//mscM//lysW//yeiB//
OmpR	tcyP//livF//aaeR//speC//
OxyR	artJ//alaC//gpmA//ilvN//mzrA//sohB//ydeJ//glgX//creA//
PaaX	rpoD//flgD//
PepA	preT//
PgrR	glxR//yoaC//phnN//bluF//eno//leuA//trpD//
PhoB	yccT//cheY//pdeH//cheB//mngA//tbpA//artQ//argH//metT//znuC//potH//uspB//fliP//glxR//yjjP//yeiW//alsE//recB//dnaG//livM//pepD//murI//obgE//garD//glgB//hofN//ibaG//motA//gcvA//speB//grxD//
PhoP	frc//fliR//alaS//ilvN//fepG//dhaR//nadA//phnG//seqA//livF//polB//rnlB//dsbC//tdh//isrC//murI//
PspF	ydcU//
PurR	rpsF//iscA//phr//rnlA//fabG//borD//znuC//comR//glgS//mngB//hofO//yjeV//rpmI//
RbsR	leuE//
RcdA	iscA//mhpT//livG//
RclR	fliQ//fliM//seqA//
RcnR	glyT//
RcsAB	patZ//leuD//hemH//recX//aaeX//
RcsB	argX//hflK//ymjD//fldA//
RcsB-BglJ	ruvB//yoaC//wzc//phnC//ibaG//yjeV//dinD//purE//hemH//dapB//alsC//
Rob	msrA//
RutR	flgD//
SdiA	add//
SgrR	entS//glmU//fruK//yqjA//accA//flgI//
SoxS	mngR//bacA//wzyE//cstA//osmB//talA//
SutR	creB//glyU//
TorR	flgB//
TrpR	ycjX//rpiR//argA//phnM//bdm//yagK//pspF//yfdV//
TyrR	hflX//glyT//glxK//
UidR	fadM//
UvrY	chiA//ppdD//
XapR	glnW//mgtL//
YdeO	ivbL//yneM//
YjjQ	nadC//dkgB//erpA//treR//pspF//ydiU//ada//
YpdB	cysN//
YqhC	sgrR//phnK//
ZntR	ydcV//
ZraR	rof//
Zur	csrB//hcaC//pgi//asnA//exbB//
