#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ycjF//
Cra	ygaC//decR//pdxA//lysW//xseA//livG//tynA//apaG//envC//ydeI//argB//flu//dacC//ycjF//rffM//
CreB	yeaG//
CsgD	recA//lon//wcaA//hisR//yafO//yeaG//gfcA//rybA//cpxP//
CueR	ruvB//glpR//
CynR	livK//aspV//mgtA//frc//
CysB	sgrR//osmB//pheV//ynbC//allA//infC//mltF//ysgA//yhdX//phr//
Dan	rfe//flgD//rnlA//cueO//
DhaR	fliO//rclC//metA//ydfE//
DicA	agp//potG//ynbA//preT//yfdX//ydeI//flgL//tisB//
DnaA	cheW//rffM//
EvgA	ybfE//nimR//mcaS//gltI//mngB//ldtD//thrS//
FNR	cpxQ//yeaH//phr//glyT//btuB//agaI//wzzE//rpsR//htrE//xdhC//leuD//manA//rmf//thiQ//kdpC//yidQ//yfbR//uspD//wecB//omrB//pfkA//pfkA//flhA//pfkA//paaY//trmA//yibQ//
FadR	ybfE//livM//ibaG//ykiA//ycjX//glmS//phnL//glnB//
FeaR	yecT//
Fis	rpmI//yhhY//infC//hemH//flhB//valT//cpxA//wzxE//ilvB//ymgC//artJ//dsrA//rcnR//ydfX//lysR//argT//ddpX//ompA//mqsA//pdeF//ysgA//yfiR//rplU//ybhR//potG//ygiZ//zraP//ydcV//hflK//trpL//accA//ymjC//uidR//tadA//gltK//ydeJ//yeiW//dhaM//pdeF//mqsA//dgkA//yccA//speB//uspB//xdhB//fliD//uraA//ydeI//mcaS//yhjC//yegH//glgS//dicC//speB//cynT//ribA//
FlhDC	ttdT//uidR//iraD//uvrC//ftnB//ydiV//wecE//mukB//phoH//narQ//xapB//fabH//mgtL//aaeA//ydcU//flgJ//hcaR//iscR//yeiB//allA//copA//ilvB//fepC//dgkA//nlpA//sohB//sbcD//metA//glmU//livF//cynT//yibQ//agaI//yncE//cynX//fliD//chiA//leuD//
FliZ	paaY//
Fur	mhpT//arfB//uvrD//flgK//rstB//fliL//rcsB//rclA//ldtC//glyU//recC//rimM//pitA//yhdY//ecpR//rpsP//tonB//nadB//allA//rof//grxA//phnK//pdeH//yidL//
GadX	flu//wza//ibpB//yhbE//pagP//yfiR//alaC//
GcvA	add//dhaL//
H-NS	flgD//ddpB//rfe//envC//rcsD//pepD//sroC//osmB//yagK//htrE//leuB//potH//alsB//agaS//
HU	ychH//sutR//
HcaR	ycjG//fabG//tyrU//omrB//dhaR//flgB//
IHF	sohB//hemF//fhuB//cynS//leuV//uspE//gspA//
IlvY	ecpA//rmf//
IscR	sohB//yadV//nlpE//argA//gltK//yibQ//mngA//lon//
KdpE	tdh//uidR//cheB//gltX//
LeuO	ymjC//cysN//ppdC//tap//nimR//rpiR//
LexA	leuP//rybA//mcbA//ychF//ddpD//preA//ddpC//rimM//livG//rffH//btuB//borD//pagP//mltF//gudX//yaiW//adeD//htpG//nadC//allC//glnV//hokE//fepG//intQ//xdhC//ppdC//amn//argU//ydiU//yfiB//gfcA//ycgR//cysN//flgC//slt//fliN//preA//
LrhA	tktB//
Lrp	umuD//dsbC//amiA//argA//gcl//uraA//znuA//purE//sutR//queA//wecE//aspV//metU//adeD//
LysR	ilvB//
MalT	bioC//
MarA	argR//tyrU//
MatA	hcaE//speA//
McbR	uvrC//
MetJ	glmS//yeiB//glxK//nimT//glk//
MlrA	lysW//dsrA//ruvB//yhfA//fldB//
MngR	yoaC//luxS//ada//
MntR	phnH//sbcD//
MprA	ydcU//gcvA//ydeI//
MqsA	glnX//flgF//
MurR	hofP//
Nac	amiA//yhfA//metF//patZ//cmoM//
NadR	yecT//yfdV//tadA//
NagC	ubiG//agaI//ftsK//infC//phnN//
NanR	ygeH//flgI//
NimR	aaeA//yfbR//
NsrR	agaI//hofN//preA//slt//argA//xapA//ecpR//wza//ilvY//glmS//serT//yeaD//trpE//secB//lysU//raiA//yeiW//yccA//cynT//yeiP//rstB//rpsR//rffC//bioA//rclB//agp//yaeQ//purE//flhB//htrE//
NtrC	nlpE//umuC//cho//yfbR//valY//leuT//gltX//ygeH//uspB//yfdV//dinD//phnL//trpC//rcsB//yeiP//mukB//ivbL//
OmpR	fruB//cheA//flxA//oxc//
OxyR	mzrA//argR//yciW//ddpF//argU//ilvY//yccT//bioA//yecT//
PaaX	rybA//apaH//
PepA	argU//
PgrR	crl//uvrB//wzc//rpsU//ivbL//glpG//aaeA//
PhoB	obgE//mgrR//fepC//gpsA//ynbC//rpsR//kdpC//glpE//dinQ//ihfB//ybhG//hofC//yncE//xdhC//mlrA//kdpC//alaC//queA//phnP//fliL//leuX//tyrT//ynbD//fliR//tadA//ydjM//ung//sxy//phoR//ppdC//amiA//
PhoP	comR//valX//bacA//artP//yhjC//yjjZ//pgi//fliQ//cpdB//xapB//ydbK//ppc//yegH//kbaY//mipA//chiA//
PspF	hisR//
PurR	ynbD//livH//mgtL//phnG//fepD//flu//dkgA//dnaG//cho//cpxR//rdoA//fliS//aaeX//
RbsR	yhbT//
RcdA	insK//alkA//yhbS//
RclR	cysC//ddpD//argW//
RcnR	rpsP//
RcsAB	hcaC//glyT//mukB//cpxP//dhaM//
RcsB	hflK//yciW//glyU//mpaA//
RcsB-BglJ	cmoM//potF//asnB//cynS//umuD//dhaR//rclA//flhA//bluF//borD//proL//
Rob	yccA//
RutR	eno//
SdiA	trpE//
SgrR	gltK//ldtC//xseA//ydeI//allS//fliM//
SoxS	flhA//gor//cheW//fruK//uspD//fepG//
SutR	tonB//kbl//
TorR	mlrA//
TrpR	flgI//mgtA//phnK//fadM//dhaM//argW//murR//dacC//
TyrR	leuB//purK//flgF//
UidR	sbmA//
UvrY	potI//fepC//
XapR	agaD//potH//
YdeO	argH//creC//
YjjQ	yeaH//pdeF//yhbS//tsr//phnO//rpiR//alaW//
YpdB	alaC//
YqhC	flgI//dinD//
ZntR	aaeX//
ZraR	artQ//
Zur	ymjC//uvrC//ymgA//tisB//rdoA//
