#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	mgtL//
FNR	hofO//yegH//rof//leuX//flxA//tehB//ydcV//ptrA//ubiG//mhpT//agaR//aaeR//bioA//yciW//cpxR//ompA//rpsF//hofB//fldA//argX//sfsB//rybA//livJ//hcaF//rclA//htpG//flgC//
FadR	ymgC//phnE_1//luxS//mprA//ttdR//spf//glpE//leuW//
FeaR	fecI//
Fis	lolA//ddpC//glpG//ymgA//kdpA//trpL//allS//bluF//insK//apaH//uvrD//ivbL//glxR//yeaH//valX//bioF//lysV//fhuC//potI//tyrU//arsC//lysU//allA//fliP//yaeP//rfe//proL//mscM//ydiU//flgD//yjjZ//pfkA//rffC//phnO//yhfA//valX//ycjF//exbD//allB//pitB//tadA//decR//mpaA//aroF//sbcD//iscU//ilvN//ycjX//xseA//ybjG//fhuA//phoB//agaR//yidQ//phnJ//potH//
FlhDC	yhdZ//cheZ//gudP//proM//kdpA//glpR//gltK//adeD//ydfN//glyT//gltK//cysN//lysT//hflK//phnL//hflD//fliO//hofC//gpmA//hemH//flgB//trxA//leuC//yciX//trpR//arsR//pspF//pgm//patZ//agaB//ilvB//glpR//intQ//thrW//dsbC//gltK//rpoD//uidR//
FliZ	lysV//
Fur	ddpF//fruB//ddpF//artI//lrhA//phnL//mcbA//tar//tonB//fliM//ddpA//nlpA//aspV//cheW//ymgC//metC//rpsF//rpsU//recN//ymiA//ddpB//yfdV//ybhS//fepD//
GadX	thrS//creC//accA//mlrA//livF//hemH//fepD//
GcvA	pagP//osmB//
H-NS	tehB//rpsF//spf//gcvB//osmB//uvrD//argU//gltX//xdhA//fhuD//yegR//ydcT//accA//ymgA//
HU	rpoD//pitA//
HcaR	sbcD//lysV//pgm//potF//ydjM//fecI//
IHF	dacC//artM//mgtA//glgX//ymgA//argR//tsgA//
IlvY	mngR//recB//
IscR	dsrA//gltJ//mgtL//purC//yncE//purL//cysE//tyrU//
KdpE	flgK//avtA//gudP//grpE//
LeuO	glgX//ybaS//glmS//agaC//flgB//fliR//
LexA	asnA//yneM//pgpC//ompX//fliN//isrC//flxA//leuE//creC//topA//allE//ddpX//envC//arsC//yjeV//eno//fhuC//murR//ppiD//purB//cpxQ//narQ//yqaE//apaG//artJ//leuA//btuB//gor//phnF//omrB//ynbC//leuC//phnE_1//ftsK//glpR//pykF//luxS//
LrhA	lysU//
Lrp	glmS//fadM//rdoA//aaeX//sgrR//ecnB//ariR//tsgA//uspE//ydfW//yhjC//ydiV//grxD//fabD//
LysR	dinF//
MalT	dsbA//
MarA	sohB//comR//
MatA	metJ//wecC//
McbR	arsB//
MetJ	nohA//trmA//tyrB//tpr//sbmA//
MlrA	allA//purK//yjjZ//cheZ//pepD//
MngR	oxc//yebE//lysC//
MntR	tfaQ//rcsD//
MprA	upp//iscS//ycjY//
MqsA	creB//recA//
MurR	nadC//
Nac	livG//hcaR//flgB//cynT//mepH//
NadR	pdxA//uvrC//fepD//
NagC	gpsA//ivbL//valU//cynT//leuW//
NanR	dinF//fecI//
NimR	ptrA//hchA//
NsrR	sroA//fhuC//rpsF//purF//phnE_2//yidQ//uvrC//rpiB//rpmA//leuQ//potI//phnK//mgrR//psiF//aaeX//flgC//phnN//aaeB//rpiR//arsR//dapB//flgA//fhuB//flu//livM//ttdA//murR//pepD//flgA//ttdB//
NtrC	leuQ//btuB//ampC//aaeB//pykF//flhB//yafN//tadA//iscA//xapB//ttdB//valY//mntS//mlrA//leuP//asnA//znuC//
OmpR	bioF//psd//yeaD//yfdV//
OxyR	yaiW//ampE//rpsU//copA//gltX//pykF//emrA//pagP//gltI//
PaaX	alaC//asnA//
PepA	yeiB//
PgrR	flgE//hdfR//trpR//ybaS//tdh//yeaH//fliD//
PhoB	alsC//tyrA//bluF//adeD//phnF//flhB//argR//fhuE//purK//purB//argH//cheB//ydeJ//dgcC//ompN//tadA//glgB//hflK//rpmA//yibQ//bdcA//ldtD//cynX//tehB//ydbK//cynT//glyT//ibpB//mepH//rclC//narQ//
PhoP	valT//gpmA//proM//wzzE//rffG//flgH//ompT//yfdX//valY//gcvB//obgE//hyi//flgK//yidL//fabH//ampD//
PspF	mgtA//
PurR	ppdB//cpxR//ampD//allB//mscM//znuC//uvrB//ubiX//arsR//uspE//flgC//ybbW//ydfE//
RbsR	rimM//
RcdA	pgm//alkB//tsgA//
RclR	argB//leuD//cheY//
RcnR	hflC//
RcsAB	rffT//frc//potG//kbl//kdpC//
RcsB	fliP//intQ//cecR//mprA//
RcsB-BglJ	ppdB//rffH//phnK//trpD//ydfH//erpA//rffH//thiQ//dkgA//wzzE//dinQ//
Rob	glpR//
RutR	dapD//
SdiA	dtpA//
SgrR	ygbK//ynbD//hofP//yidQ//uvrC//murI//
SoxS	kbp//fepC//pfkA//yafO//cheW//dsbA//
SutR	mgtA//ddpC//
TorR	cueO//
TrpR	ibpB//yfdX//tktB//alaS//phnC//ddpX//hisR//ychH//
TyrR	pdxA//mprA//fliP//
UidR	sroA//
UvrY	fruK//paaX//
XapR	lrhA//dnaG//
YdeO	potG//tyrU//
YjjQ	yaeP//yhjC//fliS//ibaG//flxA//uspE//pagP//
YpdB	rybB//
YqhC	flgK//htpG//
ZntR	yhdY//
ZraR	ynbC//
Zur	mhpT//leuW//fhuD//ybhL//ilvY//
