#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	amn//
IlvY	glgS//bioB//
IscR	rffG//hflX//ynjI//recC//allA//ecnB//iscS//comR//
KdpE	yccJ//cynT//ydeA//yeaD//
LeuO	fliM//gcvB//ynbC//glnV//iraD//cysD//
LexA	slyB//lrhA//sxy//mzrA//slt//iraD//yccJ//lacI//allA//trpB//fecI//flgA//ptrA//dapB//garD//yhdZ//yoaC//argF//yneM//serT//sbcC//lysU//pheS//leuW//lysO//hslJ//mgtA//cmoM//pheS//trpL//ppc//fnrS//ppdA//flgG//trpB//yhjC//dacC//
LrhA	mgtA//
Lrp	agaB//hisR//thrU//tonB//sfsA//xdhC//ydfN//fepG//nohA//dacC//flhB//ymiA//prs//yjeV//
LysR	mngB//
MalT	metJ//
MarA	lysU//rfe//
MatA	sroA//ymgA//
McbR	rffC//
MetJ	cho//cpxR//ydfD//pheT//alsA//
MlrA	thiP//phoR//argA//rclA//ykgM//
MngR	yaiW//yegH//flgA//
MntR	metU//yjhC//
MprA	wrbA//torR//ygiZ//
MqsA	dgcN//ydcV//
MurR	rsmA//
Nac	ymgC//asnB//rstB//aaeB//dgkA//
NadR	rybB//pfkA//phnG//
NagC	bdcA//ryhB//alaW//fepD//livM//
NanR	ydcU//flgC//
NimR	fnrS//yccJ//
NsrR	hofB//glgX//gltI//dsbG//oxyS//hisR//sfsB//hokE//ybaS//yccJ//phoB//ydfX//aaeX//purF//rimM//purB//recA//ftsK//yebE//ldtC//hofP//paaY//yidQ//lysC//iscA//thiQ//rnlB//bcsB//malZ//flhB//
NtrC	ddpC//cynR//yeaE//rutR//rpoD//trpA//sfsB//fliR//fecI//ecpR//recC//yhdW//yqhD//rstB//dhaK//xdhC//mhpT//
OmpR	pfkA//tktB//ppc//xseA//
OxyR	cheB//gspA//flu//narQ//ivbL//dgkA//rpmA//cbpM//sgrR//
PaaX	ykgM//yegZ//
PepA	spf//
PgrR	rpsF//ibpB//wrbA//sohB//pheV//lrhA//zraP//
PhoB	glgX//gspA//tsr//phnC//azuC//yegR//hofO//yhfA//borD//arsR//fhuB//erpA//mukE//ddpX//borD//rffT//umuC//gspA//yeaG//ybbY//metC//uidR//ycgZ//ppdB//hslJ//wrbA//yhhY//csrB//cynR//htrE//fadM//
PhoP	alaW//trmA//rclB//phoA//yqaE//yqhD//phnE_2//rffG//ybhR//allB//cysE//ychF//azuC//preA//hofB//asnB//
PspF	yeaE//
PurR	fliD//uidR//rimM//ydcU//emrB//argF//kbl//aroH//phnJ//nlpE//pitA//garD//yecT//
RbsR	metC//
RcdA	yhbS//xdhB//purC//
RclR	ybhL//queA//purK//
RcnR	dhaL//
RcsAB	argI//ribA//hyi//cysN//ldtD//
RcsB	alaA//yhdW//iscR//mqsR//
RcsB-BglJ	znuC//fliM//ydeJ//purC//leuA//cheZ//omrB//flgE//agaI//tyrA//ydcT//
Rob	rplU//
RutR	mepH//
SdiA	fabG//
SgrR	allE//thrU//phnJ//phnF//glyU//infC//
SoxS	yeiP//torR//ybbW//rybA//luxS//ybhL//
SutR	queA//rffC//
TorR	comR//
TrpR	tsgA//manA//ppc//ruvB//bcsZ//artJ//osmB//yibQ//
TyrR	grpE//cueO//cysN//
UidR	lysW//
UvrY	rclB//glnX//
XapR	ampE//dinG//
YdeO	dgcN//flgC//
YjjQ	rffC//grxD//recN//phoA//dkgA//ppiD//envC//
YpdB	gltK//
YqhC	dhaM//ydcV//
ZntR	yhbT//
ZraR	phnL//
Zur	ung//ddpC//tbpA//dhaR//cynT//
