#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	isrC//
LeuO	aroF//fliN//sgrR//glpR//glgS//iscA//
LexA	lysO//yibQ//polB//ybhR//yfdE//phnD//fliT//yeaH//argE//iscS//arcZ//yjhC//dapD//yiiS//yegR//uvrY//lysV//ybhL//psiF//copA//sutR//allB//leuP//copA//ydeI//bioC//lysO//patD//pepA//sbcC//rybA//ddpX//ygbK//cynT//fabD//sbcC//tadA//
LrhA	pepD//
Lrp	rnlA//fadR//ddpF//agaC//copA//ampD//cecR//fhuB//ynbD//argT//pgpC//yhbT//trpB//creC//
LysR	rybB//
MalT	pgi//
MarA	tar//ymjC//
MatA	allS//livG//
McbR	phnD//
MetJ	kbaY//trmD//glgX//kdpC//raiA//
MlrA	ydeI//yoaC//fliR//tpiA//sroC//
MngR	dsrA//ykgM//ttdR//
MntR	azuC//btuB//
MprA	hokE//tehA//rclC//
MqsA	ddpC//cysD//
MurR	dkgB//
Nac	mepH//rpsU//metF//glnB//valX//
NadR	znuC//lysC//dgkA//
NagC	kbl//pdeF//fliQ//cvpA//thrU//
NanR	ydiV//mqsA//
NimR	livM//exbD//
NsrR	argR//ldtD//hflC//mhpR//asnB//mgrB//valU//iscA//lysW//allE//chiA//mzrA//bioB//gltL//ilvN//cpdB//yqjA//gor//pepA//ymiA//wcaA//wrbA//ddpD//proK//mukF//dhaL//nlpE//emrA//fruA//tpr//
NtrC	argA//rpmI//glgB//hcaC//yafP//motA//rpiR//ydfE//fadM//fbaB//pgm//recN//polA//motB//hokE//exbB//slyB//
OmpR	yjhB//narQ//mprA//grxA//
OxyR	recD//artM//leuX//cynT//potI//thrS//yeiW//metA//yeiB//
PaaX	yqhD//allC//
PepA	glnB//
PgrR	lysC//msrA//glxR//sroA//nlpE//torR//potG//
PhoB	entS//uraA//recX//dapB//leuE//seqA//gltL//thrS//fepG//narQ//cho//garD//gyrB//dsbC//ybfE//dicB//mscM//phoR//leuV//mepH//trpL//rpmA//artI//phoP//intQ//aroF//dksA//leuV//luxS//flu//allC//
PhoP	prs//creB//argX//uraA//argR//allC//alaS//cysE//lysU//flgA//argC//proK//mlrA//dhaM//iscR//mgrB//
PspF	yfdX//
PurR	hcaR//ydcS//patZ//phr//yciW//aroF//arsR//treR//dgcN//mgtL//dsbA//polA//argB//
RbsR	chiA//
RcdA	valT//lysO//fepC//
RclR	rpmA//artQ//ecnB//
RcnR	phoP//
RcsAB	tynA//ychH//kdpC//iscA//hofN//
RcsB	rsmA//sroC//yccA//fruA//
RcsB-BglJ	ybbW//topA//wecC//alsC//aaeR//yegZ//sohB//phnL//tap//glnX//yqhD//
Rob	uvrC//
RutR	csrB//
SdiA	copA//
SgrR	tonB//fhuE//rpsF//argW//cysE//hflD//
SoxS	leuQ//rffM//nimT//htrE//leuB//xdhA//
SutR	ymjC//rpmI//
TorR	tdh//
TrpR	ppc//argA//tyrU//speA//bacA//ilvN//gudD//lysR//
TyrR	cheR//yncE//pepT//
UidR	alsE//
UvrY	yeaD//ada//
XapR	rcsD//ybhG//
YdeO	cueO//sbmA//
YjjQ	rpsR//polB//rplU//yneM//rcsD//fruA//ubiG//
YpdB	proK//
YqhC	glnV//ada//
ZntR	ygaC//
ZraR	hdfR//
Zur	leuC//rutR//cpdB//ynbB//azuC//
