#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	hofN//
Fis	flgG//bdm//yjhC//rpoD//azuC//cbpM//cynT//yecT//ychO//yhdX//ruvA//yhhY//acrR//mlrA//aroH//ppdD//yfdX//dinG//gltJ//sutR//paaX//purK//cheY//ppsA//cmoM//kbp//fhuD//ppdD//proL//flhB//kbp//preA//hofP//yfdX//allA//tdh//phoH//glmU//thrS//cpxA//ompA//rpsP//glpG//dinB//bacA//leuV//ddpA//ydeA//rpsR//yeiB//gudD//valY//artJ//comR//pdeF//cstA//
FlhDC	flhB//flgC//rpsR//hofO//tehA//ynbB//dicC//dsbG//yfdV//cheA//alsA//potI//yhfA//uspB//nadA//ecpR//alaA//cheZ//sbcC//flgK//glnV//ddpB//rplU//livM//emrB//ydfH//alaS//ybaS//glnV//rclA//yqjA//ygeH//ilvY//ppdB//hemF//thrS//yfbR//valY//
FliZ	nohA//
Fur	ppdA//leuW//yecT//ppdB//gspB//rplS//upp//gcvA//yhdW//rplI//psd//trmD//phoR//dsbC//dgcC//topA//ydcV//gudX//ycjX//cheZ//yebE//dhaR//gltJ//flgF//
GadX	rffM//cpxP//cpxA//allS//yafP//hflX//uvrC//
GcvA	potF//flgJ//
H-NS	seqA//insK//ycjF//osmB//gcvB//wzxE//pheS//bioA//cheW//pepD//dhaL//livM//ybaT//hcaB//
HU	borD//mgtL//
HcaR	rplU//trpL//sxy//envC//cbpA//ychH//
IHF	paaX//aaeB//accA//tynA//argU//artI//rybB//
IlvY	glnV//gspA//
IscR	bioA//patZ//wcaA//flgF//apaG//phoH//rplS//ygaC//
KdpE	glpG//sxy//ybbY//mngB//
LeuO	mntS//znuC//pitB//ihfB//seqA//pheV//
LexA	iraP//fhuB//phnJ//efeU_2//ibaG//leuA//pagP//creA//xapA//yneM//flgH//flgH//gspA//ynbD//raiA//artQ//xapB//hcaR//cynR//aaeA//wecE//motA//yeaE//dsrA//yebE//tcyP//lysW//murR//argH//hcaD//ttdA//manA//flu//purK//yfiR//aaeB//phnG//
LrhA	ynjI//
Lrp	azuC//fliL//wecE//ilvY//rpsF//ykgO//ompT//fruA//rpsP//obgE//yhjX//rarA//lysT//pgm//
LysR	ppiD//
MalT	ppiD//
MarA	potG//ppdD//
MatA	treR//fliQ//
McbR	wcaB//
MetJ	luxS//dhaR//alaX//iraP//creC//
MlrA	wzxE//valU//yibQ//cheW//btuB//
MngR	tbpA//yegZ//efeU_2//
MntR	yfdX//pepT//
MprA	glnW//yccJ//hofC//
MqsA	ygeH//talA//
MurR	ydfX//
Nac	ydjM//ybhS//thrS//wzzE//ynbB//
NadR	glyU//gudX//mcbA//
NagC	ribA//crl//leuC//trpA//prs//
NanR	hcaC//paaY//
NimR	zraP//yjjZ//
NsrR	ydeI//argX//xapA//livJ//phnG//aaeR//mukF//leuT//wecB//rybB//ubiG//fhuE//aaeR//ilvC//hofO//wzyE//recC//trpL//yegZ//pgpC//ydiU//ompN//argU//mukE//wcaB//recX//livJ//livM//ddpD//agaS//
NtrC	amiA//flgB//sbmA//cecR//nlpA//trpL//yafP//dsbA//hfq//yegZ//hemF//uvrB//alsE//exbB//mhpR//cpxQ//cheZ//
OmpR	motB//ydeJ//allE//rpsU//
OxyR	emrA//fhuB//yeiW//ydeJ//nimT//btuB//pdeH//wecC//serT//
PaaX	ybfE//accD//
PepA	hokE//
PgrR	yaiW//ppsA//trpD//fliP//fadR//fliR//hcaB//
PhoB	yhbT//rpiB//uspB//wzc//sbcD//sroA//yfdV//ydeJ//artP//fadR//leuW//iscA//gfcA//trpL//dinF//pepA//polA//alsC//lysR//allS//flgB//yoaC//slt//ybhL//flgJ//phnF//flgD//ppiD//hofC//cyaA//ilvY//
PhoP	ivbL//leuA//ybaS//pnuC//cpdB//patZ//rcsB//argR//fldB//queA//dicC//alaC//fruB//lysU//phnJ//nadC//
PspF	bcsZ//
PurR	dinB//ppdB//yhbE//allE//hokE//yccT//mngR//pgm//rof//gltJ//ldtD//tyrA//glpE//
RbsR	pfkA//
RcdA	cysE//ibaG//cysN//
RclR	yqhD//tdh//flxA//
RcnR	erpA//
RcsAB	aroH//dinF//lysU//flgB//tisB//
RcsB	queA//trpC//ampC//rpsP//
RcsB-BglJ	tbpA//livG//pagP//trxC//queA//yccA//livH//bcsB//tyrA//motA//spf//
Rob	tyrT//
RutR	flxA//
SdiA	lysR//
SgrR	rpmA//serX//ydfW//ilvB//hisR//apaG//
SoxS	recA//hofO//potH//ppiD//sohB//ybhR//
SutR	rpsU//rpsR//
TorR	ruvB//
TrpR	pspF//valU//trpE//pepT//flgH//lysV//bdm//mprA//
TyrR	ydfW//mlrA//yqjA//
UidR	pdxA//
UvrY	ykgO//xapA//
XapR	ttdT//ydfN//
YdeO	dinD//hofP//
YjjQ	gcvA//tyrV//phnC//glk//fliM//gcl//hflC//
YpdB	gspB//
YqhC	yccA//artJ//
ZntR	hcaF//
ZraR	ruvA//
Zur	fldA//cbpM//add//leuX//yafO//
