#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	sfsA//
DicA	uraA//hemH//yidQ//yhjX//flhA//lysO//ppiD//motB//
DnaA	cynR//yebG//
EvgA	dinG//tcyP//efeU_1//ftnB//recD//rdoA//rpoD//
FNR	alsB//ymgA//recC//efeU_1//pheS//yciW//nadB//ybhS//ppc//sbcD//proL//ubiG//yafP//flgC//fadR//pgi//yafN//zraP//avtA//wecE//ubiX//exbD//ttdA//hofN//lrhA//polB//rffC//
FadR	wzzE//alaC//ppsA//fadM//exbD//amn//mlrA//rpoD//
FeaR	recD//
Fis	yebE//yoaC//cueO//potI//yfiB//trpL//dicC//hflC//grpE//recX//hofP//yegZ//ribA//artP//flhA//ycgZ//trmA//ydeI//ada//mipA//ilvC//tap//bioC//fliR//dsbG//preT//priB//cheW//wzxE//dgcN//dinB//yciW//hcaE//omrB//yidL//ddpC//phnG//speC//recN//ppsA//nadA//ecnB//nimT//allA//argI//ydcV//yjhB//mcaS//uspB//yfbR//iscA//yccA//trpL//cpdB//artP//argT//
FlhDC	trpL//ydeA//ymjD//lysU//xdhA//flxA//dinQ//nlpA//metT//yjjZ//nimT//pykF//argT//wzxE//dicB//potH//arsR//mntS//nlpA//mzrA//sdaA//dksA//apaH//nadC//dkgB//thrU//efeU_2//wzyE//rsmA//ybhS//ibaG//ydjM//talA//gudP//wecE//cpxP//alsB//ampC//
FliZ	kbp//
Fur	livM//flgJ//hcaR//ychH//hemH//mscM//adiY//yoaC//paaY//dinF//phnD//fadM//preA//rffM//phnJ//ynbD//mltF//rpsF//dtpA//livM//valX//zntA//mscM//torR//
GadX	mprA//purC//rpiR//tpr//yciX//yeiB//rof//
GcvA	rpsF//gudD//
H-NS	glpG//lolA//mcbA//slt//glmU//cvpA//gcvB//pspF//flgK//cecR//wecB//fbaB//murI//decR//
HU	emrB//fliD//
HcaR	hflK//ydjM//flhA//bluF//ycgZ//flgJ//
IHF	aroH//oxc//gspA//uvrC//glnW//tyrT//hyi//
IlvY	allA//wzb//
IscR	fliR//iscU//yjhB//erpA//rpmI//folE//flgG//raiA//
KdpE	arfB//gltL//gyrB//pepA//
LeuO	rpsP//leuT//symE//pheV//thrS//gpsA//
LexA	leuL//ynbD//ydfX//ibaG//flgA//xdhB//yneM//yeaD//valT//livJ//ttdA//wrbA//ynbD//yeaG//grpE//yibQ//ynbA//yoaC//yciX//ddpX//polB//glpG//phoA//dksA//patZ//cpxQ//argR//ampD//fliP//dinQ//fepG//ada//mngB//ryhB//livJ//fabH//bcsZ//
LrhA	efeU_1//
Lrp	lacI//dhaK//rclA//fliN//arcZ//btuB//tsr//oxyS//rcsD//ubiX//ynjI//tsr//ubiG//amn//
LysR	ppc//
MalT	wcaA//
MarA	lysR//xapA//
MatA	ibpB//valX//
McbR	rpsP//
MetJ	phnE_1//rplI//phnI//fruB//argU//
MlrA	sgrR//ychH//phnI//lolA//wecB//
MngR	agaD//argU//fhuB//
MntR	ydcT//ydeA//
MprA	pdeH//hflX//ycjY//
MqsA	gltK//tadA//
MurR	rcsD//
Nac	trpC//flgF//nlpA//ybhR//pdxA//
NadR	ttdB//argI//phoH//
NagC	allA//trpE//cheA//aaeR//htpG//
NanR	bcsZ//bluF//
NimR	flgL//mngA//
NsrR	sroC//hcaB//tap//ydeI//yecT//creC//hcaR//uvrY//hflD//fruB//speC//yhbE//ilvN//fliM//alaW//priB//flgC//mgtA//speB//ychH//ydeI//dinQ//sohB//rpmA//ygiZ//flgJ//dhaR//yneM//fldB//ttdT//
NtrC	copA//phnP//cysE//insK//serX//rplS//rclC//gltI//arsR//emrB//rmf//fldB//artJ//yjhC//yeiP//hofP//ydeJ//
OmpR	ddpF//btuB//pepT//yqhD//
OxyR	wecC//livM//proM//mngB//metU//dhaM//bcsZ//gcvA//glyT//
PaaX	grpE//ynbD//
PepA	mscM//
PgrR	mqsR//wzc//amn//argC//leuC//fepG//phoB//
PhoB	livF//ydjM//glyU//fliR//manA//ybhS//yhbS//ybjG//serT//nimT//garD//cpxQ//uidR//metF//hofB//yciX//cheR//bdm//ibpB//tdh//cynX//apaG//zntA//argC//ynbB//ybhR//livK//yhdZ//erpA//leuC//fepC//
PhoP	mqsA//lysW//sfsB//ilvB//flgC//pgm//pheU//cra//tap//yjjZ//ilvY//rpmI//seqA//alaC//kbl//ivbL//
PspF	comR//
PurR	cysC//fliD//kbl//yjhB//thrS//hflD//pheT//mpaA//ydeA//argX//polB//lysC//ptrA//
RbsR	cueO//
RcdA	tbpA//artP//yhfA//
RclR	sfsA//rybB//fabH//
RcnR	yecT//
RcsAB	hcaE//leuX//oxyS//ivbL//ubiX//
RcsB	ybhS//yhjC//prs//rpsR//
RcsB-BglJ	mlrA//aaeA//yidL//yeiB//frc//ybjG//mlrA//ompN//gpmM//fabD//alaS//
Rob	narQ//
RutR	ychO//
SdiA	dsbG//
SgrR	creA//tonB//hemH//rclA//cbpM//intQ//
SoxS	umuC//rpiR//emrB//ycgR//efeU_2//rpsF//
SutR	glk//yafP//
TorR	talA//
TrpR	paaX//fecR//cbpA//tbpA//upp//ygeH//ydfN//dgcC//
TyrR	leuD//recC//lysV//
UidR	alkA//
UvrY	ychH//csrB//
XapR	ecpA//dicC//
YdeO	glnB//exbB//
YjjQ	livK//tdh//gltK//artJ//leuE//ychF//livG//
YpdB	glmS//
YqhC	glpR//fecI//
ZntR	phnM//
ZraR	wzyE//
Zur	ilvB//uvrD//ycjY//yeiW//rpsP//
