#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yeaH//
LexA	glyT//aroH//hofC//dsbG//tehB//tufB//phoR//yfdE//arcA//ddpA//glgB//allD//fliO//ycjY//ihfB//uidR//fruA//htrE//alaS//rstB//recA//wzc//glmU//fldA//fliR//yccT//ydfE//rstA//yebE//argA//motB//recX//ybfE//leuL//bioD//gltK//ydeI//
LrhA	alaW//
Lrp	cpxR//agaD//sroA//efeU_1//cheZ//wecC//lolA//fbaB//wecB//phoE//ecpA//yhbE//ilvN//rpmI//
LysR	hofP//
MalT	cheZ//
MarA	yhbT//sbcC//
MatA	rffH//rplS//
McbR	kdpB//
MetJ	motB//sgrR//speA//upp//purE//
MlrA	lysC//yjjZ//pheU//yfdV//gpsA//
MngR	fepD//thrW//creA//
MntR	grpE//cho//
MprA	rpmA//alaS//yneM//
MqsA	fhuD//secB//
MurR	phoA//
Nac	hslJ//dinF//kdpC//ilvN//recC//
NadR	ymjD//tap//gpsA//
NagC	hcaF//trxC//yhhY//rpsF//talA//
NanR	mcbA//ompA//
NimR	borD//ibpB//
NsrR	tsr//adeD//umuC//arfB//rplU//prs//kbaY//ybbW//recA//recD//ymgC//argT//cpxP//alaC//dkgB//cynS//bacA//ruvB//flgJ//mngA//pheV//valX//artQ//symE//bluF//arsB//polB//csrB//recD//mngB//
NtrC	tpiA//kbp//flgH//leuL//ycjX//allA//yqjA//trpE//hemF//proK//dhaR//ddpX//nohA//ygbK//arsC//arsC//leuV//
OmpR	fepC//narQ//trpC//manA//
OxyR	preA//pepT//ompA//queA//ycgZ//emrB//yeaE//glnX//ppdC//
PaaX	leuL//phnK//
PepA	purE//
PgrR	luxS//ilvC//trmD//ddpF//dapB//potF//wzyE//
PhoB	argE//sdaA//arcA//recX//ompX//lysW//ykiA//leuA//ygbK//gltJ//omrB//iscS//yeaH//crl//metF//preT//ygdB//alsE//grxA//alaC//trpB//umuD//alsA//umuD//ppdD//fliD//ydfW//grpE//mukF//ychF//ygeH//
PhoP	rclC//ecpR//dicB//sfsB//trpD//ybhS//argH//gudX//chiA//trmD//glpG//recA//livH//bacA//ung//ddpC//
PspF	eno//
PurR	recA//ycjX//trpL//trpB//ydfX//arfB//priB//rybB//yebE//gyrB//wzc//fliQ//uidR//
RbsR	tfaQ//
RcdA	cbpM//ykgO//tyrU//
RclR	ybhL//apaG//leuA//
RcnR	uvrD//
RcsAB	rpoD//uvrC//rffC//rpmA//fliM//
RcsB	tehA//wzzE//ruvB//purK//
RcsB-BglJ	ppc//zntA//grpE//hcaE//agaD//omrB//rffH//potI//flgF//insD//trxA//
Rob	wrbA//
RutR	arsR//
SdiA	fabD//
SgrR	ompN//yebE//rplS//proM//aspV//iscS//
SoxS	rffG//cecR//leuB//gltX//argU//phnG//
SutR	dinF//dapD//
TorR	argR//
TrpR	ftsK//yjeV//ppsA//hokE//yidQ//uspE//fadR//ppsA//
TyrR	tadA//yqhG//ompN//
UidR	ecnB//
UvrY	umuC//upp//
XapR	mhpT//flgL//
YdeO	csrB//yhdY//
YjjQ	hokE//bioA//rclC//tehA//lon//dhaL//wzxE//
YpdB	ygbK//
YqhC	yfdE//cstA//
ZntR	metC//
ZraR	tfaQ//
Zur	glyT//polB//ybhG//ydeJ//ttdT//
