#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	efeU_2//
Fur	rcnR//rpsU//mgtL//aaeR//gltL//phnK//hflC//phoR//yebG//argW//infC//ampC//ompT//lysU//wecE//hflK//pgi//recD//rclC//gpmM//mgrR//lysU//rsmA//malZ//
GadX	aaeB//ymgC//secB//efeU_2//rplU//ynbB//tufB//
GcvA	yfiR//rpsP//
H-NS	ybjG//umuD//rclC//fruB//pitB//pnuC//argR//ycgR//lysW//ampE//cynT//lysC//tktB//bacA//
HU	torR//psd//
HcaR	arsC//rplI//ycjX//infC//agaD//kbp//
IHF	ycjF//ybbW//pfkA//yhjX//pheV//livJ//lysT//
IlvY	tyrA//arcZ//
IscR	recC//rffH//crl//fhuD//ybfE//wzzE//mepH//omrA//
KdpE	livM//bioD//phnL//arcA//
LeuO	kbp//ecnB//trxC//ydjM//dgcC//nadA//
LexA	argW//efeU_2//cynX//rybB//fldB//bioA//hcaD//dsbC//dgcC//cpxQ//yncE//yecT//arsC//leuB//hofC//lysW//fabD//emrA//rcnR//gspA//agp//gltK//pheT//manA//ynbA//yccT//hofO//rimM//alaS//leuX//apaH//iscS//mgtA//phr//cecR//pnuC//pheT//
LrhA	ybhG//
Lrp	sxy//talA//yibQ//alsE//yafO//arcZ//queA//leuX//fliL//agp//metA//argF//phoH//ttdB//
LysR	ynjI//
MalT	ecpR//
MarA	leuX//yjjZ//
MatA	folE//cho//
McbR	ycgR//
MetJ	trpE//fruK//ydcS//rdoA//upp//
MlrA	thrS//mukF//yhdY//pepA//wzc//
MngR	rclB//pheT//potI//
MntR	cbpM//livK//
MprA	patD//gspA//phnC//
MqsA	wzc//allS//
MurR	ymiA//
Nac	agaI//mgrB//ychO//bioF//fabI//
NadR	yncE//yncE//ydiU//
NagC	omrA//yeiW//fruA//ftnB//ymjC//
NanR	exbD//bioF//
NimR	ppc//uvrD//
NsrR	leuL//rpoD//dapD//cyaA//fnrS//dtpA//phnK//yhdZ//yeaE//leuC//sroC//cpxP//yjhC//ddpF//preA//xseA//murI//omrA//ribA//ppdD//cho//wza//glnX//cheW//dinG//dkgA//tadA//phnE_2//trpL//ybbY//
NtrC	wecE//rimM//argA//hfq//sgrR//agp//arsR//bacA//ubiG//ompA//pgi//livG//zraP//ampC//thiP//flgB//trpD//
OmpR	proL//pnuC//uvrY//ung//
OxyR	rplI//sfsB//fliP//mukE//hofC//nadB//accD//yneM//ppdC//
PaaX	yjhC//ybaS//
PepA	trmA//
PgrR	lysO//bcsZ//artM//psiF//kdpF//ubiG//nadB//
PhoB	flu//ampC//ydcV//glmS//paaY//ilvN//phnF//grxD//uvrD//patZ//symE//rpmA//tyrU//amn//argH//cstA//rpsP//glnW//thrS//ycjY//yhjC//mipA//phoA//tcyP//creC//gudD//yfdX//livK//tyrV//phnI//ecpR//
PhoP	ryhB//avtA//ttdA//yfdV//yagK//leuX//recD//cynT//tpr//mipA//yqhD//iraD//fruA//wzxE//ydeI//phoE//
PspF	mzrA//
PurR	cynX//argC//uvrY//bluF//mukF//pagP//motA//ddpD//glnX//kbp//slyB//ppdB//ychH//
RbsR	pheV//
RcdA	gor//argX//ydiU//
RclR	purB//livH//rpsP//
RcnR	lysW//
RcsAB	fhuB//wzb//yegZ//xseA//glnV//
RcsB	wzxE//glyT//pdeH//cdaR//
RcsB-BglJ	yccT//ynbD//phoE//bioB//sbcC//glyU//tyrB//flu//gpmM//hofB//rclB//
Rob	purK//
RutR	arcZ//
SdiA	yoaC//
SgrR	ftnB//obgE//lysT//ydfN//yidL//leuQ//
SoxS	ycgR//priB//wzzE//ynbB//yeaH//dsrA//
SutR	valY//ompN//
TorR	yccA//
TrpR	tar//ymgC//yccT//arsR//hemH//ydcU//ppiD//flhE//
TyrR	glpG//oxyS//yagK//
UidR	argA//
UvrY	yfdV//fliQ//
XapR	aroF//sxy//
YdeO	flgA//pdeF//
YjjQ	rffH//artM//fliP//znuB//leuW//ydbK//yegZ//
YpdB	yfdX//
YqhC	apaG//leuX//
ZntR	flgK//
ZraR	fruB//
Zur	flgD//tufB//rpsP//amiA//leuT//
