#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	fliL//
LexA	murR//infC//fhuC//tpiA//bacA//raiA//yhdX//recA//speC//flgH//ykiA//ecpR//ydeI//hcaD//flu//aaeA//ydcS//valT//hofP//motB//tyrA//cynS//wzzE//sroA//pheV//fliT//ycjY//mntS//fliN//glmU//ecpA//gfcA//artI//phnJ//fhuE//mpaA//sdaA//
LrhA	aroF//
Lrp	fliL//flhB//cysC//flhA//mltF//cho//hcaR//flgG//potF//znuB//glnW//dinQ//potF//tehB//
LysR	ydfE//
MalT	gltK//
MarA	ilvY//dtpA//
MatA	cynX//agaD//
McbR	creB//
MetJ	yidL//dksA//yccA//potF//flgG//
MlrA	yhdX//mqsR//ppdA//rpsR//cpxQ//
MngR	agaD//sxy//manA//
MntR	flgJ//ynbD//
MprA	mgrB//leuE//sdaA//
MqsA	dapB//ddpX//
MurR	flgD//
Nac	cpxQ//yadV//pepD//ttdR//ampC//
NadR	arcZ//rsmA//obgE//
NagC	alaS//fepC//hemH//ddpX//yfiR//
NanR	glnW//glk//
NimR	ubiX//obgE//
NsrR	dinD//flgK//kdpC//tyrV//yfdX//yaeP//rpiB//ibpB//infC//valT//leuP//rdoA//ddpD//dicB//sbcD//cpxP//livJ//thrW//nadC//xapA//cpxP//speA//dinF//priB//yagK//leuL//ldtC//ttdR//yneM//ilvN//
NtrC	iscA//seqA//ycjY//iscS//rpiB//preT//lysO//fhuB//allD//glnU//rclB//dicB//tar//speA//efeU_2//hisR//rybB//
OmpR	ampD//arfB//yciW//metF//
OxyR	nimR//yjhB//ibpB//yeaG//recC//agaI//ydcT//ychH//osmB//
PaaX	allS//tyrA//
PepA	thrU//
PgrR	gyrB//flgK//fruA//yhjX//pspF//alaA//murR//
PhoB	ydjM//paaY//cynS//grpE//pepD//mpaA//malZ//msrA//isrC//gpsA//lysW//rsmA//pitB//glnV//fhuA//alaW//yqaE//tyrT//fruB//rarA//yafN//ybhG//rplI//ygaC//ampD//ompA//bcsZ//emrB//yhbT//purE//dicC//
PhoP	thiP//gor//cysE//asnA//oxc//nadC//leuL//yeaE//htrE//zraP//fhuB//phnE_1//hflD//yciW//polB//yccT//
PspF	yfdE//
PurR	preT//pitA//dhaR//pdeH//mntS//pgpC//flgE//ycjF//cueO//mukE//lrhA//dhaM//yhdZ//
RbsR	tcyP//
RcdA	ydcV//phnP//rybB//
RclR	yhjX//mukB//tyrA//
RcnR	gor//
RcsAB	ybhG//yfiR//bioD//flu//alaW//
RcsB	cysC//yoaC//yfiR//phoE//
RcsB-BglJ	hofN//agaS//flgL//gltK//rffT//metT//agp//cpxP//hofN//yegH//glxK//
Rob	hcaR//
RutR	pykF//
SdiA	malZ//
SgrR	intQ//glxR//dapB//rcsD//phnC//speC//
SoxS	livH//glpG//ttdB//fruB//htrE//rpoD//
SutR	purB//allS//
TorR	mukF//
TrpR	yjjZ//garD//sohB//uspD//rnlB//recN//phoP//hisR//
TyrR	btuB//cecR//mipA//
UidR	metT//
UvrY	cpdB//ecpR//
XapR	arsB//ygbK//
YdeO	umuD//sbcC//
YjjQ	mgrR//gcl//pitA//dsbG//glyU//cheZ//hcaR//
YpdB	flgC//
YqhC	cysD//yafN//
ZntR	ompN//
ZraR	ygiZ//
Zur	rybA//ydfE//trxC//valT//thiP//
